#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.4502978283e+02    2.1035616983e+04   -2.3486630347e+02    8.9836520634e+01    1.1050858135e+02   -3.6276730470e+02    1.7392419885e+01    1.0240000000e+03    3.9554298855e-03    5.0703125000e-01
         1   -1.4504479649e+02    2.1040034475e+04   -2.3386342920e+02    8.8818632703e+01    1.1034295795e+02   -3.6178830833e+02    1.7581921185e+01    1.0240000000e+03    3.8510833401e-03    5.0791590074e-01
         2   -1.4500464497e+02    2.1028098525e+04   -2.3313631033e+02    8.8131665353e+01    1.1056992122e+02   -3.6099327031e+02    1.7287038766e+01    1.0240000000e+03    3.8038718048e-03    5.0881204044e-01
         3   -1.4500770026e+02    2.1028756924e+04   -2.3233919378e+02    8.7331493519e+01    1.1012433001e+02   -3.6044978708e+02    1.7986263287e+01    1.0240000000e+03    3.7850432564e-03    5.0788143382e-01
         4   -1.4509153766e+02    2.1053143848e+04   -2.3404956790e+02    8.8958030246e+01    1.1056415831e+02   -3.6193446041e+02    1.7320734194e+01    1.0240000000e+03    3.7727826275e-03    5.0650275735e-01
         5   -1.4501686306e+02    2.1031538131e+04   -2.3377608037e+02    8.8759217304e+01    1.1029131993e+02   -3.6078243092e+02    1.6715030625e+01    1.0240000000e+03    3.7711795885e-03    5.0742187500e-01
         6   -1.4511837337e+02    2.1061959066e+04   -2.3467567817e+02    8.9557304800e+01    1.1013254089e+02   -3.6225303899e+02    1.7444819928e+01    1.0240000000e+03    3.7626712583e-03    5.0732996324e-01
         7   -1.4504503652e+02    2.1040006528e+04   -2.3465963723e+02    8.9614600705e+01    1.1065854538e+02   -3.6353914323e+02    1.8220960622e+01    1.0240000000e+03    3.7635092158e-03    5.0813419118e-01
         8   -1.4506658697e+02    2.1046028009e+04   -2.3277282025e+02    8.7706233279e+01    1.1010924868e+02   -3.6064462159e+02    1.7762552656e+01    1.0240000000e+03    3.7688580342e-03    5.1142003676e-01
         9   -1.4505565953e+02    2.1043089643e+04   -2.3496320423e+02    8.9907544700e+01    1.1032075692e+02   -3.6295088861e+02    1.7666927456e+01    1.0240000000e+03    3.7480825558e-03    5.0604319853e-01
        10   -1.4500188454e+02    2.1027694798e+04   -2.3374932579e+02    8.8747441247e+01    1.1079493605e+02   -3.6258904673e+02    1.8044784886e+01    1.0240000000e+03    3.7487552036e-03    5.0790441176e-01
        11   -1.4497766527e+02    2.1020392977e+04   -2.3127323806e+02    8.6295572794e+01    1.0974276909e+02   -3.5997989456e+02    1.8963887411e+01    1.0240000000e+03    3.7326992024e-03    5.0512408088e-01
        12   -1.4503227460e+02    2.1036651492e+04   -2.3322130381e+02    8.8189029217e+01    1.0977288898e+02   -3.5990525764e+02    1.6911064852e+01    1.0240000000e+03    3.7304509897e-03    5.0571001838e-01
