#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -5.7981418002e+01    3.3626043279e+03   -8.4358470138e+01    2.6377052136e+01    3.9066694397e+01   -1.3306508192e+02    9.6399173895e+00    1.0240000000e+03    2.9395513702e-03    6.2324218750e-01
         1   -5.7990342583e+01    3.3637872278e+03   -8.3951291245e+01    2.5960948663e+01    3.9017272454e+01   -1.3347226908e+02    1.0503705382e+01    1.0240000000e+03    2.8828890063e-03    6.2534179688e-01
         2   -5.8002279468e+01    3.3649576014e+03   -8.4574278056e+01    2.6571998588e+01    3.8847634045e+01   -1.3266814256e+02    9.2462304580e+00    1.0240000000e+03    2.8094006702e-03    6.2443033854e-01
         3   -5.7999138832e+01    3.3645814792e+03   -8.3350506426e+01    2.5351367594e+01    3.8532809162e+01   -1.3128550377e+02    9.4021881863e+00    1.0240000000e+03    2.7982813772e-03    6.2335611979e-01
         4   -5.7939585861e+01    3.3577561743e+03   -8.3882479914e+01    2.5942894053e+01    3.8738556949e+01   -1.3227800980e+02    9.6569729395e+00    1.0240000000e+03    2.8082977515e-03    6.2236328125e-01
         5   -5.7986479464e+01    3.3633562806e+03   -8.3489985712e+01    2.5503506248e+01    3.8694662546e+01   -1.3218573704e+02    1.0001088778e+01    1.0240000000e+03    2.8077911120e-03    6.2335611979e-01
         6   -5.7994765177e+01    3.3641456755e+03   -8.4243014601e+01    2.6248249424e+01    3.8863087269e+01   -1.3240722408e+02    9.3011222062e+00    1.0240000000e+03    2.8024024796e-03    6.2556966146e-01
         7   -5.8010906686e+01    3.3659447513e+03   -8.4350197421e+01    2.6339290735e+01    3.8939955919e+01   -1.3233724428e+02    9.0470909413e+00    1.0240000000e+03    2.7964655310e-03    6.2291666667e-01
         8   -5.7968992526e+01    3.3611561081e+03   -8.3870815987e+01    2.5901823460e+01    3.9001425134e+01   -1.3284116942e+02    9.9689282955e+00    1.0240000000e+03    2.8012148105e-03    6.2290039063e-01
         9   -5.8053454408e+01    3.3712631979e+03   -8.4351901943e+01    2.6298447535e+01    3.8848328277e+01   -1.3264707805e+02    9.4468478307e+00    1.0240000000e+03    2.7889821213e-03    6.2516276042e-01
        10   -5.7932228854e+01    3.3577485133e+03   -8.4418977199e+01    2.6486748345e+01    3.9023608936e+01   -1.3354628620e+02    1.0103700069e+01    1.0240000000e+03    2.7672373690e-03    6.2006835938e-01
        11   -5.7995391260e+01    3.3642362423e+03   -8.3916653213e+01    2.5921261954e+01    3.8878459525e+01   -1.3186867642e+02    9.0735636840e+00    1.0240000000e+03    2.7914266102e-03    6.2446289063e-01
        12   -5.7975223295e+01    3.3620141181e+03   -8.3767473034e+01    2.5792249739e+01    3.9051278613e+01   -1.3253398718e+02    9.7152355351e+00    1.0240000000e+03    2.7969130315e-03    6.2574869792e-01
        13   -5.7990148165e+01    3.3636057153e+03   -8.4266240625e+01    2.6276092459e+01    3.9048698686e+01   -1.3266756696e+02    9.3526276446e+00    1.0240000000e+03    2.8007107321e-03    6.2394205729e-01
        14   -5.8022683483e+01    3.3672344145e+03   -8.4430771783e+01    2.6408088300e+01    3.8819918349e+01   -1.3209680642e+02    8.8461162852e+00    1.0240000000e+03    2.7759952936e-03    6.2327473958e-01
        15   -5.7968663781e+01    3.3612183704e+03   -8.4145231993e+01    2.6176568212e+01    3.8987786687e+01   -1.3278817145e+02    9.6551527649e+00    1.0240000000e+03    2.7878463734e-03    6.2530924479e-01
        16   -5.7998179063e+01    3.3646490527e+03   -8.4082491643e+01    2.6084312580e+01    3.9160657571e+01   -1.3306154236e+02    9.8183931465e+00    1.0240000000e+03    2.7985074557e-03    6.2290039063e-01
        17   -5.8015567631e+01    3.3667321424e+03   -8.4556206934e+01    2.6540639303e+01    3.9133868664e+01   -1.3302246658e+02    9.3323909850e+00    1.0240000000e+03    2.8111445718e-03    6.2394205729e-01
