# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -5.8026666944e+01    9.1476071709e-01    4.0990000000e+03    4.0960000000e+03    0.0000000000e+00   -5.8010912454e+01    9.6265553801e-01    9.9755859375e-01
         1   -5.8001657571e+01    8.1761236198e-01    4.0930589952e+03    4.0960000000e+03    0.0000000000e+00   -5.8063274633e+01    9.6321748662e-01    9.9072265625e-01
         2   -5.8024973216e+01    9.0393588785e-01    4.0964474326e+03    4.0900000000e+03    3.6132812500e-02   -5.7928361687e+01    9.6352697573e-01    9.9706601467e-01
         3   -5.8020642714e+01    8.2231166227e-01    4.0958320101e+03    4.0990000000e+03    1.9531250000e-02   -5.8061580905e+01    9.6018384949e-01    9.9609660893e-01
         4   -5.8027151280e+01    1.0252134444e+00    4.0966397152e+03    4.1070000000e+03    2.3437500000e-02   -5.8154740076e+01    9.6367446790e-01    9.9366934502e-01
         5   -5.8056249054e+01    1.0530577850e+00    4.0968683564e+03    4.0910000000e+03    2.5390625000e-02   -5.7966078840e+01    9.6223860074e-01    9.9437790271e-01
         6   -5.8060040136e+01    9.6369699595e-01    4.0962560600e+03    4.0950000000e+03    2.6367187500e-02   -5.8044040532e+01    9.6100439684e-01    9.9731379731e-01
         7   -5.8015820002e+01    7.6362045467e-01    4.0945372729e+03    4.1050000000e+03    1.9531250000e-02   -5.8169782894e+01    9.6711898754e-01    9.9537149817e-01
         8   -5.8055732880e+01    1.1942360096e+00    4.0976908575e+03    4.1000000000e+03    1.7578125000e-02   -5.8064624300e+01    9.6276675160e-01    9.9414634146e-01
         9   -5.8080017639e+01    1.0905595973e+00    4.0968597956e+03    4.0930000000e+03    2.2460937500e-02   -5.8019098368e+01    9.6299990179e-01    9.9462496946e-01
        10   -5.8040173901e+01    8.8480730995e-01    4.0937981797e+03    4.0850000000e+03    2.1484375000e-02   -5.7945559668e+01    9.6510584177e-01    9.9534883721e-01
        11   -5.8026718461e+01    1.0197909356e+00    4.0952974017e+03    4.0930000000e+03    2.6367187500e-02   -5.8003539390e+01    9.6255078093e-01    9.9462496946e-01
        12   -5.8050551660e+01    9.4905094414e-01    4.0970165226e+03    4.0950000000e+03    2.3437500000e-02   -5.8014509939e+01    9.6426189164e-01    9.9560439560e-01
        13   -5.8070779475e+01    8.0335217860e-01    4.0973937837e+03    4.1040000000e+03    2.6367187500e-02   -5.8148112667e+01    9.6279046279e-01    9.9244639376e-01
        14   -5.8044211291e+01    8.1888014391e-01    4.0945909821e+03    4.0870000000e+03    3.0273437500e-02   -5.7960795317e+01    9.6164959338e-01    9.9388304380e-01
        15   -5.8042713348e+01    8.2639996464e-01    4.0954144004e+03    4.0830000000e+03    2.2460937500e-02   -5.7885267521e+01    9.6356325381e-01    9.9706098457e-01
        16   -5.8059264099e+01    8.0279968147e-01    4.0965430314e+03    4.0960000000e+03    2.4414062500e-02   -5.8042713348e+01    9.6386904801e-01    9.9609375000e-01
        17   -5.8061558085e+01    1.0077540183e+00    4.0961380325e+03    4.1000000000e+03    1.9531250000e-02   -5.8108068397e+01    9.6380052460e-01    9.9658536585e-01
        18   -5.8045106256e+01    8.8226969728e-01    4.0957374976e+03    4.1050000000e+03    1.7578125000e-02   -5.8171300844e+01    9.6328448134e-01    9.9317904994e-01
        19   -5.8044173409e+01    1.1250612053e+00    4.0956891928e+03    4.0880000000e+03    2.7343750000e-02   -5.7947354514e+01    9.6180513024e-01    9.9681996086e-01
        20   -5.8078604769e+01    1.0474688225e+00    4.0971419513e+03    4.0960000000e+03    1.9531250000e-02   -5.8044173409e+01    9.6182047629e-01    9.9291992188e-01
        21   -5.8054049528e+01    8.2105890896e-01    4.0950936876e+03    4.0930000000e+03    2.7343750000e-02   -5.8041970258e+01    9.6505552454e-01    9.9486928903e-01
        22   -5.8047172016e+01    8.4034620947e-01    4.0955795865e+03    4.0900000000e+03    2.0507812500e-02   -5.7980753644e+01    9.6360925422e-01    9.9657701711e-01
        23   -5.8024456069e+01    8.3637315541e-01    4.0949349822e+03    4.0960000000e+03    1.9531250000e-02   -5.8047172016e+01    9.6663985513e-01    9.9462890625e-01
        24   -5.8030847588e+01    8.4617988212e-01    4.0964232490e+03    4.0960000000e+03    2.1484375000e-02   -5.8024456069e+01    9.6296542164e-01    9.9633789062e-01
        25   -5.8014093952e+01    8.4062537272e-01    4.0954075213e+03    4.1020000000e+03    1.9531250000e-02   -5.8104036184e+01    9.6428117425e-01    9.9244271087e-01
