#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -7.1339595430e+01    5.0902004601e+03   -1.0626214243e+02    3.4922546999e+01    4.9482470055e+01   -1.6753176012e+02    1.1787147638e+01    1.0240000000e+03    2.8254005592e-03    5.9583834135e-01
         1   -7.1347177818e+01    5.0913511723e+03   -1.0718318594e+02    3.5836008120e+01    4.9675782577e+01   -1.6732917691e+02    1.0470208391e+01    1.0240000000e+03    2.7258526534e-03    5.9698016827e-01
         2   -7.1360927284e+01    5.0934241343e+03   -1.0690868003e+02    3.5547752750e+01    4.9722332642e+01   -1.6897346058e+02    1.2342447902e+01    1.0240000000e+03    2.6679635048e-03    5.9705528846e-01
         3   -7.1279025811e+01    5.0818114014e+03   -1.0684926352e+02    3.5570237705e+01    4.9769945280e+01   -1.6802125643e+02    1.1402047639e+01    1.0240000000e+03    2.6618635748e-03    5.9996995192e-01
         4   -7.1350572692e+01    5.0922271713e+03   -1.0547836277e+02    3.4127790079e+01    4.9478229220e+01   -1.6636850112e+02    1.1411909134e+01    1.0240000000e+03    2.6454248000e-03    5.9843750000e-01
         5   -7.1316250155e+01    5.0868454950e+03   -1.0584109780e+02    3.4524847641e+01    4.9743998898e+01   -1.6715710308e+02    1.1572006386e+01    1.0240000000e+03    2.6452739257e-03    6.0223858173e-01
         6   -7.1356308275e+01    5.0927273700e+03   -1.0535446968e+02    3.3998161409e+01    4.9791092863e+01   -1.6688375151e+02    1.1738188960e+01    1.0240000000e+03    2.6366042439e-03    6.0039062500e-01
         7   -7.1385337364e+01    5.0972144741e+03   -1.0611599130e+02    3.4730653933e+01    4.9778663992e+01   -1.6748365465e+02    1.1588999364e+01    1.0240000000e+03    2.6275247801e-03    5.9785156250e-01
         8   -7.1353679879e+01    5.0920967444e+03   -1.0599150702e+02    3.4637827138e+01    4.9408656669e+01   -1.6687161195e+02    1.1471448266e+01    1.0240000000e+03    2.6187549811e-03    5.9649939904e-01
         9   -7.1410237261e+01    5.1003167630e+03   -1.0555500959e+02    3.4144772325e+01    4.9566382611e+01   -1.6650042421e+02    1.1379032016e+01    1.0240000000e+03    2.6252220850e-03    6.0133713942e-01
        10   -7.1380357144e+01    5.0960932893e+03   -1.0654437006e+02    3.5164012919e+01    4.9481650237e+01   -1.6774978009e+02    1.1723759787e+01    1.0240000000e+03    2.6219545398e-03    5.9708533654e-01
        11   -7.1397599994e+01    5.0985708506e+03   -1.0624871394e+02    3.4851113945e+01    4.9548038639e+01   -1.6708684024e+02    1.1290087666e+01    1.0240000000e+03    2.6246001944e-03    6.0001502404e-01
        12   -7.1364528918e+01    5.0938139974e+03   -1.0592169104e+02    3.4557162120e+01    4.9774178903e+01   -1.6784999223e+02    1.2154122287e+01    1.0240000000e+03    2.6163747534e-03    5.9376502404e-01
        13   -7.1320420742e+01    5.0874603310e+03   -1.0538069117e+02    3.4060270425e+01    4.9423750502e+01   -1.6648999370e+02    1.1685552028e+01    1.0240000000e+03    2.6240807492e-03    5.9696514423e-01
        14   -7.1381709350e+01    5.0964189250e+03   -1.0622024510e+02    3.4838535754e+01    4.9506900473e+01   -1.6727316534e+02    1.1546019759e+01    1.0240000000e+03    2.6307094377e-03    5.9860276442e-01
        15   -7.1311740146e+01    5.0862512310e+03   -1.0665880083e+02    3.5347060685e+01    4.9784190015e+01   -1.6791596877e+02    1.1472977927e+01    1.0240000000e+03    2.6215603575e-03    5.9926382212e-01
        16   -7.1363740771e+01    5.0938555744e+03   -1.0621524746e+02    3.4851506691e+01    4.9644992919e+01   -1.6749325328e+02    1.1633012895e+01    1.0240000000e+03    2.6146587916e-03    5.9899338942e-01
        17   -7.1309017130e+01    5.0858920771e+03   -1.0632616723e+02    3.5017150105e+01    4.9675760634e+01   -1.6798838710e+02    1.1986459229e+01    1.0240000000e+03    2.6114257053e-03    5.9681490385e-01
        18   -7.1356697389e+01    5.0924947308e+03   -1.0602643596e+02    3.4669738571e+01    4.9418366229e+01   -1.6694684583e+02    1.1502043641e+01    1.0240000000e+03    2.6225780603e-03    6.0321514423e-01
