# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -7.1366839486e+01    1.1675450586e+00    4.0950000000e+03    4.0960000000e+03    0.0000000000e+00   -7.1327786516e+01    9.5495592509e-01    9.9536132812e-01
         1   -7.1362558399e+01    1.0848294032e+00    4.0984033249e+03    4.0960000000e+03    0.0000000000e+00   -7.1354630964e+01    9.5204156485e-01    9.8901367188e-01
         2   -7.1375458959e+01    9.4537891446e-01    4.0967474967e+03    4.1040000000e+03    4.7851562500e-02   -7.1460119406e+01    9.5304286679e-01    9.9634502924e-01
         3   -7.1375689448e+01    1.2105320926e+00    4.0958735501e+03    4.0990000000e+03    1.4648437500e-02   -7.1412066649e+01    9.5456380951e-01    9.9316906563e-01
         4   -7.1399788447e+01    1.0567804809e+00    4.0962884941e+03    4.0830000000e+03    2.7343750000e-02   -7.1216745678e+01    9.5255098652e-01    9.9657114867e-01
         5   -7.1370406423e+01    8.9242769122e-01    4.0953000248e+03    4.1050000000e+03    3.4179687500e-02   -7.1509531205e+01    9.5501526965e-01    9.9634591961e-01
         6   -7.1404827596e+01    1.6138190758e+00    4.0976851324e+03    4.1090000000e+03    1.7578125000e-02   -7.1528846531e+01    9.5449401245e-01    9.9075200779e-01
         7   -7.1398392851e+01    1.5975242861e+00    4.0959475885e+03    4.0870000000e+03    3.7109375000e-02   -7.1294843439e+01    9.5600779660e-01    9.9632982628e-01
         8   -7.1346844692e+01    9.3638970701e-01    4.0940307885e+03    4.0980000000e+03    2.5390625000e-02   -7.1422800954e+01    9.5461403512e-01    9.9487554905e-01
         9   -7.1353870259e+01    9.0571852060e-01    4.0963040915e+03    4.0950000000e+03    2.0507812500e-02   -7.1334636171e+01    9.5422617488e-01    9.9511599512e-01
        10   -7.1363363202e+01    1.0575383483e+00    4.0960471357e+03    4.0920000000e+03    1.9531250000e-02   -7.1305018276e+01    9.5494498658e-01    9.9462365591e-01
        11   -7.1377892465e+01    9.3050725087e-01    4.0967253968e+03    4.0980000000e+03    2.7343750000e-02   -7.1387771306e+01    9.5545675077e-01    9.9609565642e-01
        12   -7.1390434935e+01    1.0951876500e+00    4.0972565132e+03    4.1080000000e+03    2.5390625000e-02   -7.1524162682e+01    9.5471920241e-01    9.9269717624e-01
        13   -7.1376168127e+01    1.0741026978e+00    4.0953914562e+03    4.0960000000e+03    2.9296875000e-02   -7.1390434935e+01    9.5486365667e-01    9.9316406250e-01
        14   -7.1400003452e+01    1.1953641615e+00    4.0965543165e+03    4.0880000000e+03    2.7343750000e-02   -7.1278416385e+01    9.5179013373e-01    9.9461839530e-01
        15   -7.1404120514e+01    1.0287013816e+00    4.0963598855e+03    4.0930000000e+03    2.4414062500e-02   -7.1363368941e+01    9.5335532112e-01    9.9535792817e-01
        16   -7.1401553663e+01    1.3321264373e+00    4.0955020218e+03    4.0920000000e+03    1.7578125000e-02   -7.1355268531e+01    9.5281071903e-01    9.9535679374e-01
        17   -7.1372826684e+01    1.0637553323e+00    4.0944876340e+03    4.0900000000e+03    1.8554687500e-02   -7.1328257779e+01    9.5338831366e-01    9.9486552567e-01
        18   -7.1384026388e+01    1.2291151879e+00    4.0964156413e+03    4.0910000000e+03    2.1484375000e-02   -7.1311754245e+01    9.5311745729e-01    9.9633341481e-01
        19   -7.1413732373e+01    1.1855764309e+00    4.0976506546e+03    4.1070000000e+03    2.8320312500e-02   -7.1518123749e+01    9.5283164571e-01    9.9391283175e-01
        20   -7.1385524260e+01    1.2710761221e+00    4.0949934040e+03    4.1010000000e+03    2.3437500000e-02   -7.1474730307e+01    9.5189885821e-01    9.9317239698e-01
        21   -7.1387629040e+01    9.7254630292e-01    4.0964580040e+03    4.0970000000e+03    2.5390625000e-02   -7.1397729802e+01    9.5348973217e-01    9.9414205516e-01
        22   -7.1393172977e+01    1.0441856659e+00    4.0958960669e+03    4.0930000000e+03    2.3437500000e-02   -7.1350994529e+01    9.5512430256e-01    9.9511360860e-01
        23   -7.1391587843e+01    1.2053334245e+00    4.0956807348e+03    4.0900000000e+03    1.9531250000e-02   -7.1319877093e+01    9.5222749462e-01    9.9486552567e-01
        24   -7.1390618718e+01    1.2325728778e+00    4.0959642681e+03    4.0980000000e+03    2.6367187500e-02   -7.1415995947e+01    9.5361394958e-01    9.9219131284e-01
        25   -7.1377473879e+01    8.8878038804e-01    4.0950044530e+03    4.0850000000e+03    2.9296875000e-02   -7.1256160747e+01    9.5413535580e-01    9.9436964504e-01
        26   -7.1373826264e+01    9.2980293901e-01    4.0951527649e+03    4.0820000000e+03    2.2460937500e-02   -7.1206282711e+01    9.5355868223e-01    9.9608035277e-01
        27   -7.1379525689e+01    9.2155333730e-01    4.0959729511e+03    4.0910000000e+03    2.4414062500e-02   -7.1312753825e+01    9.5231924323e-01    9.9657785383e-01
        28   -7.1406368939e+01    1.2273270900e+00    4.0973885476e+03    4.1020000000e+03    2.4414062500e-02   -7.1452714284e+01    9.5242733455e-01    9.9390541199e-01
        29   -7.1410671767e+01    1.1826650648e+00    4.0961894525e+03    4.0960000000e+03    2.4414062500e-02   -7.1406368939e+01    9.5532799529e-01    9.9487304688e-01
        30   -7.1393357857e+01    1.2773356374e+00    4.0949878470e+03    4.0920000000e+03    2.0507812500e-02   -7.1361819785e+01    9.5161261465e-01    9.9462365591e-01
        31   -7.1377299355e+01    1.2133450120e+00    4.0953553786e+03    4.0970000000e+03    2.4414062500e-02   -7.1405563398e+01    9.5507691271e-01    9.9463021723e-01
        32   -7.1389800053e+01    1.1622097392e+00    4.0964669409e+03    4.0960000000e+03    2.1484375000e-02   -7.1377299355e+01    9.5171154042e-01    9.9487304688e-01
        33   -7.1411953383e+01    1.3890157267e+00    4.0971219780e+03    4.0990000000e+03    2.3437500000e-02   -7.1426407742e+01    9.5320613561e-01    9.9365698951e-01
        34   -7.1401644948e+01    1.1093842842e+00    4.0953134484e+03    4.0930000000e+03    2.5390625000e-02   -7.1375318872e+01    9.5143221875e-01    9.9657952602e-01
        35   -7.1413923103e+01    1.2187904221e+00    4.0964875340e+03    4.0980000000e+03    1.8554687500e-02   -7.1426053052e+01    9.5485641475e-01    9.9414348463e-01
        36   -7.1375604233e+01    9.9996098645e-01    4.0949591956e+03    4.1000000000e+03    2.5390625000e-02   -7.1462727401e+01    9.5544757945e-01    9.9609756098e-01
        37   -7.1359516554e+01    9.8303475580e-01    4.0956327544e+03    4.1010000000e+03    1.6601562500e-02   -7.1436602167e+01    9.5048707608e-01    9.9463545477e-01
        38   -7.1393689833e+01    1.0780639387e+00    4.0969943939e+03    4.0930000000e+03    2.1484375000e-02   -7.1322882042e+01    9.5246981171e-01    9.9462496946e-01
        39   -7.1409453034e+01    1.0576795353e+00    4.0970802940e+03    4.1000000000e+03    2.8320312500e-02   -7.1442494132e+01    9.5262217504e-01    9.9390243902e-01
        40   -7.1374937582e+01    1.1465676483e+00    4.0946485486e+03    4.0950000000e+03    2.2460937500e-02   -7.1397244513e+01    9.5190531515e-01    9.9609279609e-01
        41   -7.1371682607e+01    9.6617417757e-01    4.0958265210e+03    4.0990000000e+03    1.9531250000e-02   -7.1411545271e+01    9.5302880398e-01    9.9292510368e-01
        42   -7.1376678166e+01    1.1443540684e+00    4.0957497501e+03    4.0860000000e+03    2.8320312500e-02   -7.1249463040e+01    9.5227177268e-01    9.9510523740e-01
        43   -7.1354416897e+01    1.4315006700e+00    4.0948293779e+03    4.0930000000e+03    2.6367187500e-02   -7.1340043654e+01    9.5093455472e-01    9.9242609333e-01
        44   -7.1388077347e+01    1.2140474441e+00    4.0973546746e+03    4.0890000000e+03    2.9296875000e-02   -7.1268894579e+01    9.5247149167e-01    9.9682073857e-01
        45   -7.1418752621e+01    1.3662277565e+00    4.0971799233e+03    4.0990000000e+03    2.2460937500e-02   -7.1424685036e+01    9.5310667284e-01    9.9414491339e-01
        46   -7.1416894950e+01    1.1584825144e+00    4.0960194405e+03    4.0940000000e+03    2.3437500000e-02   -7.1394332596e+01    9.4960771305e-01    9.9242794333e-01
        47   -7.1401093257e+01    1.2711760327e+00    4.0952841967e+03    4.0920000000e+03    3.0273437500e-02   -7.1368042968e+01    9.5158743504e-01    9.9413489736e-01
