#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.4508710342e+02    2.1052572180e+04   -2.3485348665e+02    8.9766383236e+01    1.1034033614e+02   -3.6189249809e+02    1.6698675294e+01    2.0478300000e+05    8.5157302301e-01    9.4394465443e-01
         1   -1.4508357715e+02    2.1051755036e+04   -2.3532755200e+02    9.0243974849e+01    1.1040043234e+02   -3.6251408991e+02    1.6786105573e+01    2.0494100000e+05    7.4158349237e-01    9.4382105244e-01
         2   -1.4509016196e+02    2.1053493506e+04   -2.3520067157e+02    9.0110509614e+01    1.1024276267e+02   -3.6217896266e+02    1.6735528411e+01    2.0447900000e+05    7.1547460137e-01    9.4364855792e-01
         3   -1.4508730174e+02    2.1052646219e+04   -2.3553849435e+02    9.0451192604e+01    1.1039219875e+02   -3.6269195585e+02    1.6761262754e+01    2.0592000000e+05    7.6519086701e-01    9.4375350227e-01
         4   -1.4508075482e+02    2.1050720953e+04   -2.3537165862e+02    9.0290903797e+01    1.1028293486e+02   -3.6235595855e+02    1.6701365073e+01    2.0454400000e+05    7.0819922001e-01    9.4351099282e-01
         5   -1.4509228352e+02    2.1054053161e+04   -2.3519955893e+02    9.0107275411e+01    1.1013630603e+02   -3.6208128584e+02    1.6745420875e+01    2.0339700000e+05    7.1577783395e-01    9.4363877103e-01
         6   -1.4509168061e+02    2.1054020384e+04   -2.3552590956e+02    9.0434228950e+01    1.1044985468e+02   -3.6262398720e+02    1.6648222955e+01    2.0463000000e+05    7.3930496606e-01    9.4356504713e-01
         7   -1.4509502574e+02    2.1054904961e+04   -2.3504832633e+02    8.9953300596e+01    1.1020164761e+02   -3.6188921514e+02    1.6639241191e+01    2.0455000000e+05    7.3054877552e-01    9.4356251939e-01
         8   -1.4510152508e+02    2.1057038061e+04   -2.3521256536e+02    9.0111040277e+01    1.1029450387e+02   -3.6229999776e+02    1.6792928525e+01    2.0609300000e+05    7.7780693537e-01    9.4394535634e-01
         9   -1.4509510132e+02    2.1055015991e+04   -2.3507012859e+02    8.9975027278e+01    1.1030630713e+02   -3.6190765352e+02    1.6531217792e+01    2.0845500000e+05    8.1020316365e-01    9.4367245553e-01
        10   -1.4509545535e+02    2.1055039393e+04   -2.3540608568e+02    9.0310630327e+01    1.1040752824e+02   -3.6254275361e+02    1.6729139697e+01    2.0678500000e+05    8.1077587116e-01    9.4371584257e-01
        11   -1.4509349262e+02    2.1054461197e+04   -2.3525876608e+02    9.0165273453e+01    1.1051684217e+02   -3.6251781090e+02    1.6742202655e+01    2.0759300000e+05    7.9909174494e-01    9.4359306207e-01
        12   -1.4509295694e+02    2.1054291497e+04   -2.3519454816e+02    9.0101591220e+01    1.1032144881e+02   -3.6214027716e+02    1.6624280184e+01    2.0590300000e+05    7.7044930984e-01    9.4377476226e-01
        13   -1.4509478965e+02    2.1054786611e+04   -2.3558966140e+02    9.0494871749e+01    1.1039310833e+02   -3.6276560311e+02    1.6782833376e+01    2.0518800000e+05    7.4858837156e-01    9.4370938408e-01
