# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.4504237353e+02    2.2020350965e+00    4.1330000000e+03    4.1350000000e+03    0.0000000000e+00   -1.4509974758e+02    9.5672988541e-01    9.9347037485e-01
         1   -1.4507332494e+02    2.1298040590e+00    4.0991858487e+03    4.1350000000e+03    0.0000000000e+00   -1.4594163831e+02    9.5702242634e-01    9.8428053204e-01
         2   -1.4506734552e+02    2.0695653251e+00    4.0960787760e+03    4.0990000000e+03    6.0546875000e-02   -1.4514654032e+02    9.5720296837e-01    9.9609660893e-01
         3   -1.4509543520e+02    2.2203251401e+00    4.0967425917e+03    4.1020000000e+03    1.8554687500e-02   -1.4521372271e+02    9.5503619168e-01    9.9536811312e-01
         4   -1.4509244100e+02    2.0241231948e+00    4.0957472138e+03    4.0930000000e+03    1.7578125000e-02   -1.4502216617e+02    9.5828122430e-01    9.9511360860e-01
         5   -1.4508418864e+02    2.3523561873e+00    4.0955704096e+03    4.0920000000e+03    1.9531250000e-02   -1.4499473704e+02    9.5615692757e-01    9.9608993157e-01
         6   -1.4510355508e+02    2.4651931346e+00    4.0962696716e+03    4.0990000000e+03    2.2460937500e-02   -1.4515740402e+02    9.5589252943e-01    9.9585264699e-01
         7   -1.4507875660e+02    2.0254414236e+00    4.0951641004e+03    4.0940000000e+03    1.6601562500e-02   -1.4505471503e+02    9.5697844978e-01    9.9706888129e-01
         8   -1.4509992420e+02    2.1734697719e+00    4.0963438606e+03    4.0960000000e+03    1.3671875000e-02   -1.4507875660e+02    9.5514506333e-01    9.9487304688e-01
         9   -1.4507309852e+02    1.9914453055e+00    4.0953401444e+03    4.0930000000e+03    2.0507812500e-02   -1.4502665518e+02    9.5635433563e-01    9.9706816516e-01
        10   -1.4509609770e+02    2.1934800488e+00    4.0967585254e+03    4.1030000000e+03    2.1484375000e-02   -1.4524385110e+02    9.5587997087e-01    9.9244455277e-01
        11   -1.4508540201e+02    2.1066001541e+00    4.0953580791e+03    4.0860000000e+03    3.0273437500e-02   -1.4485165856e+02    9.5658808346e-01    9.9779735683e-01
        12   -1.4509691076e+02    2.6272012929e+00    4.0959885601e+03    4.1000000000e+03    2.2460937500e-02   -1.4518301061e+02    9.5743335285e-01    9.9682926829e-01
        13   -1.4507449267e+02    2.2808458964e+00    4.0956157690e+03    4.1040000000e+03    1.5625000000e-02   -1.4529203277e+02    9.5626329815e-01    9.9439571150e-01
        14   -1.4508565731e+02    2.6650543604e+00    4.0958332550e+03    4.0890000000e+03    2.2460937500e-02   -1.4490344803e+02    9.5546178827e-01    9.9779897285e-01
        15   -1.4507445036e+02    2.0919039147e+00    4.0958811034e+03    4.1000000000e+03    1.8554687500e-02   -1.4518326591e+02    9.5762811096e-01    9.9780487805e-01
