#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -8.6631411814e+01    7.5060150250e+03   -1.3353189736e+02    4.6900485549e+01    6.4047531740e+01   -2.0989872800e+02    1.2319298895e+01    1.0240000000e+03    3.9374071639e-03    4.9454520089e-01
         1   -8.6510157947e+01    7.4851198111e+03   -1.3416568140e+02    4.7655523455e+01    6.3954490017e+01   -2.0974637199e+02    1.1626200572e+01    1.0240000000e+03    3.8603225257e-03    4.9264787946e-01
         2   -8.6589196145e+01    7.4986067972e+03   -1.3309594311e+02    4.6506746964e+01    6.3943125698e+01   -2.0911272446e+02    1.2073655656e+01    1.0240000000e+03    3.8121347316e-03    4.9448939732e-01
         3   -8.6557358937e+01    7.4930490203e+03   -1.3326630829e+02    4.6708949350e+01    6.3977134949e+01   -2.0933091200e+02    1.2087468760e+01    1.0240000000e+03    3.7935914006e-03    4.9256417411e-01
         4   -8.6492394452e+01    7.4821594019e+03   -1.3332387822e+02    4.6831483765e+01    6.3787846831e+01   -2.0918800772e+02    1.2076282669e+01    1.0240000000e+03    3.7897746079e-03    4.9723772321e-01
         5   -8.6515027238e+01    7.4858225729e+03   -1.3328573360e+02    4.6770706362e+01    6.3731890809e+01   -2.0966352547e+02    1.2645901059e+01    1.0240000000e+03    3.7766091991e-03    4.9691685268e-01
         6   -8.6530270526e+01    7.4885566886e+03   -1.3387455590e+02    4.7344285374e+01    6.3975525711e+01   -2.1024721815e+02    1.2397136537e+01    1.0240000000e+03    3.7755127996e-03    4.9612165179e-01
         7   -8.6576765569e+01    7.4966523997e+03   -1.3317606120e+02    4.6599295626e+01    6.3686513981e+01   -2.0928236691e+02    1.2419791734e+01    1.0240000000e+03    3.7647944409e-03    4.9758649554e-01
         8   -8.6568328148e+01    7.4951450972e+03   -1.3397394324e+02    4.7405615092e+01    6.3820886048e+01   -2.0957579446e+02    1.1780965169e+01    1.0240000000e+03    3.7704601418e-03    4.9701450893e-01
         9   -8.6566327647e+01    7.4949273269e+03   -1.3411738396e+02    4.7551056312e+01    6.4107919761e+01   -2.0962712939e+02    1.1401825674e+01    1.0240000000e+03    3.7596526090e-03    4.9658203125e-01
        10   -8.6577106617e+01    7.4968608450e+03   -1.3490040966e+02    4.8323303043e+01    6.4097695580e+01   -2.1123559974e+02    1.2237494503e+01    1.0240000000e+03    3.7526246160e-03    4.9626116071e-01
        11   -8.6539805376e+01    7.4903168201e+03   -1.3352505547e+02    4.6985250089e+01    6.4104327416e+01   -2.1108390487e+02    1.3454521988e+01    1.0240000000e+03    3.7416971754e-03    4.9859095982e-01
        12   -8.6546808146e+01    7.4912436467e+03   -1.3333674141e+02    4.6789933264e+01    6.3698743517e+01   -2.0958024512e+02    1.2544760197e+01    1.0240000000e+03    3.7438466679e-03    4.9479631696e-01
        13   -8.6513707521e+01    7.4856890218e+03   -1.3303532124e+02    4.6521613715e+01    6.3586152676e+01   -2.0934696051e+02    1.2725486602e+01    1.0240000000e+03    3.7517019082e-03    4.9695870536e-01
        14   -8.6513912662e+01    7.4857576102e+03   -1.3255104460e+02    4.6037131940e+01    6.3791441484e+01   -2.0865613684e+02    1.2313650754e+01    1.0240000000e+03    3.7546311505e-03    4.9917689732e-01
        15   -8.6605995918e+01    7.5017043491e+03   -1.3352247613e+02    4.6916480214e+01    6.3749735660e+01   -2.0995653448e+02    1.2684322692e+01    1.0240000000e+03    3.7421353627e-03    4.9769810268e-01
        16   -8.6552575307e+01    7.4926534266e+03   -1.3248430106e+02    4.5931725756e+01    6.3695636600e+01   -2.0837155296e+02    1.2191615298e+01    1.0240000000e+03    3.7349564955e-03    4.9856305804e-01
        17   -8.6568032450e+01    7.4950387032e+03   -1.3346007896e+02    4.6892046508e+01    6.3556923151e+01   -2.0928939335e+02    1.2272391237e+01    1.0240000000e+03    3.7349527702e-03    4.9630301339e-01
        18   -8.6490132811e+01    7.4816751856e+03   -1.3331202885e+02    4.6821896042e+01    6.3855652004e+01   -2.0878861656e+02    1.1620935703e+01    1.0240000000e+03    3.7465882488e-03    4.9882812500e-01
        19   -8.6574514515e+01    7.4965393591e+03   -1.3227510355e+02    4.5700589032e+01    6.4075021940e+01   -2.0964160019e+02    1.3291474699e+01    1.0240000000e+03    3.7347103935e-03    4.9776785714e-01
        20   -8.6542410635e+01    7.4904378915e+03   -1.3252477771e+02    4.5982367073e+01    6.3601098989e+01   -2.0849469328e+02    1.2368816579e+01    1.0240000000e+03    3.7224704865e-03    4.9790736607e-01
        21   -8.6570689418e+01    7.4956176150e+03   -1.3339420156e+02    4.6823512144e+01    6.3636482706e+01   -2.0938185030e+02    1.2351166036e+01    1.0240000000e+03    3.7314894143e-03    4.9634486607e-01
        22   -8.6676903264e+01    7.5318776161e+03   -1.3283008345e+02    4.6153180188e+01    6.3657941485e+01   -2.0898813530e+02    1.2500110366e+01    1.0240000000e+03    3.7224604748e-03    4.9312220982e-01
        23   -8.6552111761e+01    7.4923848963e+03   -1.3275281072e+02    4.6200698962e+01    6.3644954859e+01   -2.0865166666e+02    1.2253901081e+01    1.0240000000e+03    3.7267038133e-03    4.9398716518e-01
        24   -8.6656687011e+01    7.5109950033e+03   -1.3354185010e+02    4.6885163086e+01    6.3989809842e+01   -2.0984315472e+02    1.2311494778e+01    1.0240000000e+03    3.7304919679e-03    4.9467075893e-01
        25   -8.6576050635e+01    7.4964992856e+03   -1.3435368147e+02    4.7777630830e+01    6.3892352877e+01   -2.1016740470e+02    1.1921370360e+01    1.0240000000e+03    3.7394133396e-03    4.9806082589e-01
        26   -8.6547184006e+01    7.4932163119e+03   -1.3465794923e+02    4.8110765226e+01    6.4153345427e+01   -2.1034231994e+02    1.1531025279e+01    1.0240000000e+03    3.7135223392e-03    4.9444754464e-01
