#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9633672127e+02    3.8550352344e+04   -3.2410407727e+02    1.2776735600e+02    1.5667717915e+02   -5.0235825675e+02    2.1577000336e+01    1.0240000000e+03    5.3597502410e-03    3.9553865132e-01
         1   -1.9615943422e+02    3.8486916866e+04   -3.2403288355e+02    1.2787344933e+02    1.5694627953e+02   -5.0145465381e+02    2.0475490734e+01    1.0240000000e+03    5.2786930464e-03    3.9311266447e-01
         2   -1.9635372969e+02    3.8557303320e+04   -3.2569641634e+02    1.2934268665e+02    1.5719201916e+02   -5.0316604554e+02    2.0277610047e+01    1.0240000000e+03    5.2284740377e-03    3.9724506579e-01
         3   -1.9628484114e+02    3.8530202514e+04   -3.2616813080e+02    1.2988328966e+02    1.5728810798e+02   -5.0565658273e+02    2.2200343950e+01    1.0240000000e+03    5.2058538422e-03    3.9655633224e-01
         4   -1.9631713817e+02    3.8542813396e+04   -3.2522106731e+02    1.2890392914e+02    1.5682402580e+02   -5.0289465952e+02    2.0849566402e+01    1.0240000000e+03    5.1910562906e-03    3.9913651316e-01
         5   -1.9632907524e+02    3.8547655588e+04   -3.2736014177e+02    1.3103106653e+02    1.5684526070e+02   -5.0487055691e+02    2.0665154437e+01    1.0240000000e+03    5.1694340073e-03    3.9579564145e-01
         6   -1.9628861224e+02    3.8531780277e+04   -3.2696019960e+02    1.3067158735e+02    1.5747220006e+02   -5.0516178504e+02    2.0729385376e+01    1.0240000000e+03    5.1803013775e-03    3.9620682566e-01
         7   -1.9631345547e+02    3.8541766009e+04   -3.2904245399e+02    1.3272899852e+02    1.5746619215e+02   -5.0758972011e+02    2.1081073969e+01    1.0240000000e+03    5.1603449974e-03    3.9720394737e-01
         8   -1.9622984694e+02    3.8514124736e+04   -3.2622172346e+02    1.2999187652e+02    1.5712098899e+02   -5.0313882520e+02    1.9796112757e+01    1.0240000000e+03    5.1436705980e-03    3.9369860197e-01
         9   -1.9631760815e+02    3.8543094548e+04   -3.2813609132e+02    1.3181848316e+02    1.5706640605e+02   -5.0641658487e+02    2.1214087499e+01    1.0240000000e+03    5.1318029873e-03    3.9328741776e-01
        10   -1.9624275094e+02    3.8514055912e+04   -3.2559386998e+02    1.2935111904e+02    1.5770902422e+02   -5.0452873757e+02    2.1225843377e+01    1.0240000000e+03    5.1322286017e-03    3.9597039474e-01
        11   -1.9630656418e+02    3.8538873073e+04   -3.2513253711e+02    1.2882597293e+02    1.5715764519e+02   -5.0345483429e+02    2.1164651986e+01    1.0240000000e+03    5.1454177592e-03    3.9740953947e-01
        12   -1.9619634696e+02    3.8495293490e+04   -3.2624516199e+02    1.3004881503e+02    1.5775806101e+02   -5.0541683663e+02    2.1413613619e+01    1.0240000000e+03    5.1446992438e-03    3.9692639803e-01
        13   -1.9621970045e+02    3.8505192364e+04   -3.2582364537e+02    1.2960394492e+02    1.5706791840e+02   -5.0304686539e+02    2.0155301629e+01    1.0240000000e+03    5.1513309591e-03    3.9761513158e-01
        14   -1.9625991108e+02    3.8520546288e+04   -3.2794384751e+02    1.3168393643e+02    1.5751010648e+02   -5.0662227979e+02    2.1168325803e+01    1.0240000000e+03    5.1311168354e-03    3.9785156250e-01
        15   -1.9630289581e+02    3.8537513036e+04   -3.2660109954e+02    1.3029820373e+02    1.5732397247e+02   -5.0510541746e+02    2.1180345446e+01    1.0240000000e+03    5.1158601418e-03    3.9670024671e-01
        16   -1.9631853044e+02    3.8543657678e+04   -3.2641322031e+02    1.3009468986e+02    1.5784714267e+02   -5.0401706403e+02    1.9756701051e+01    1.0240000000e+03    5.1316353492e-03    3.9636101974e-01
        17   -1.9625668526e+02    3.8519553940e+04   -3.2743552306e+02    1.3117883779e+02    1.5792213776e+02   -5.0686218036e+02    2.1504519544e+01    1.0240000000e+03    5.1265219226e-03    3.9581620066e-01
        18   -1.9625755231e+02    3.8519156333e+04   -3.2528892440e+02    1.2903137210e+02    1.5724581883e+02   -5.0413726987e+02    2.1602526633e+01    1.0240000000e+03    5.1286965609e-03    3.9783100329e-01
