# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.9629227457e+02    2.9957845374e+00    4.0870000000e+03    4.0960000000e+03    0.0000000000e+00   -1.9638355300e+02    8.7362205084e-01    9.8999023438e-01
         1   -1.9634547597e+02    2.9923650228e+00    4.1064687050e+03    4.0960000000e+03    0.0000000000e+00   -1.9618229041e+02    8.7281278749e-01    9.8315429688e-01
         2   -1.9631336207e+02    2.8898853964e+00    4.0943832457e+03    4.0930000000e+03    6.5429687500e-02   -1.9630884146e+02    8.7283391927e-01    9.8998289763e-01
         3   -1.9633311496e+02    3.3419951163e+00    4.0958373538e+03    4.0880000000e+03    3.9062500000e-02   -1.9621561033e+02    8.7806483865e-01    9.9143835616e-01
         4   -1.9632038471e+02    4.3059157074e+00    4.0939223410e+03    4.0860000000e+03    3.3203125000e-02   -1.9621089540e+02    8.7367531639e-01    9.9290259422e-01
         5   -1.9634170114e+02    4.1176768707e+00    4.0959772151e+03    4.0960000000e+03    3.8085937500e-02   -1.9632038471e+02    8.7595775970e-01    9.9243164062e-01
         6   -1.9633178473e+02    2.7517989601e+00    4.0957388661e+03    4.1000000000e+03    3.2226562500e-02   -1.9639050544e+02    8.7570766589e-01    9.9097560976e-01
         7   -1.9630401057e+02    3.2089533337e+00    4.0954406108e+03    4.0970000000e+03    3.6132812500e-02   -1.9634399027e+02    8.7497778797e-01    9.9218940688e-01
         8   -1.9631074511e+02    2.5576612614e+00    4.0962842633e+03    4.0950000000e+03    3.1250000000e-02   -1.9629180205e+02    8.7702508276e-01    9.9194139194e-01
         9   -1.9630587081e+02    3.1527472029e+00    4.0956206531e+03    4.0950000000e+03    2.9296875000e-02   -1.9629853659e+02    8.7257744022e-01    9.9194139194e-01
        10   -1.9627486502e+02    3.2543207875e+00    4.0955788548e+03    4.1000000000e+03    3.6132812500e-02   -1.9635467511e+02    8.7322607885e-01    9.9146341463e-01
        11   -1.9630549847e+02    2.9315949682e+00    4.0966973290e+03    4.0950000000e+03    3.4179687500e-02   -1.9626265650e+02    8.7456127331e-01    9.8998778999e-01
        12   -1.9630441149e+02    2.7316277699e+00    4.0965605807e+03    4.0990000000e+03    4.2968750000e-02   -1.9634210616e+02    8.7465959746e-01    9.9024152232e-01
        13   -1.9632657885e+02    3.2942152893e+00    4.0961427933e+03    4.0910000000e+03    3.5156250000e-02   -1.9624333905e+02    8.7426000347e-01    9.9462234173e-01
        14   -1.9630679053e+02    2.9519278155e+00    4.0960190056e+03    4.1020000000e+03    3.1250000000e-02   -1.9639976744e+02    8.7050833569e-01    9.8976109215e-01
