#  Lmax = 1 nonlocal L channels1
#  Units = bohr hartree 
#  r  -r*V/zeff   Vnl ... 
2.210000000000e-03       1.674053061061e-02       7.889603865613e+01
1.921000000000e-02       1.448741148934e-01       7.847257651110e+01
3.621000000000e-02       2.700507099399e-01       7.738737569838e+01
5.321000000000e-02       3.899180719493e-01       7.566796036164e+01
7.021000000000e-02       5.024590453866e-01       7.335735175370e+01
8.721000000000e-02       6.060435025729e-01       7.051231070602e+01
1.042100000000e-01       6.994591575751e-01       6.720103499962e+01
1.212100000000e-01       7.819207632059e-01       6.350043048611e+01
1.382100000000e-01       8.530591772018e-01       5.949316542501e+01
1.552100000000e-01       9.128922895604e-01       5.526462028061e+01
1.722100000000e-01       9.617811074315e-01       5.089990767100e+01
1.892100000000e-01       1.000374878978e+00       4.648111159805e+01
2.062100000000e-01       1.029549155345e+00       4.208484317717e+01
2.232100000000e-01       1.050341112260e+00       3.778023199925e+01
2.402100000000e-01       1.063885779932e+00       3.362739528483e+01
2.572100000000e-01       1.071356557413e+00       2.967642187329e+01
2.742100000000e-01       1.073912609792e+00       2.596686635292e+01
2.912100000000e-01       1.072655013998e+00       2.252772053867e+01
3.082100000000e-01       1.068592684978e+00       1.937780839400e+01
3.252100000000e-01       1.062618417925e+00       1.652653320232e+01
3.422100000000e-01       1.055494682831e+00       1.397489554281e+01
3.592100000000e-01       1.047848225045e+00       1.171669358616e+01
3.762100000000e-01       1.040172282255e+00       9.739827804945e+00
3.932100000000e-01       1.032834777237e+00       8.027627010053e+00
4.102100000000e-01       1.026090958672e+00       6.560135121359e+00
4.272100000000e-01       1.020098871663e+00       5.315303831224e+00
4.442100000000e-01       1.014936190774e+00       4.270051314702e+00
4.612100000000e-01       1.010617235004e+00       3.401165760794e+00
4.782100000000e-01       1.007109115073e+00       2.686038310849e+00
4.952100000000e-01       1.004346338562e+00       2.103227743438e+00
5.122100000000e-01       1.002243391503e+00       1.632864344442e+00
5.292100000000e-01       1.000705069888e+00       1.256908336608e+00
5.462100000000e-01       9.996345355522e-01       9.592831300577e-01
5.632100000000e-01       9.989392108327e-01       7.259048629170e-01
5.802100000000e-01       9.985347418764e-01       5.446309426094e-01
5.972100000000e-01       9.983473209172e-01       4.051488407494e-01
6.142100000000e-01       9.983146924793e-01       2.988247804498e-01
6.312100000000e-01       9.983861537636e-01       2.185286096965e-01
6.482100000000e-01       9.985218541740e-01       1.584490687965e-01
6.652100000000e-01       9.986916435110e-01       1.139097278208e-01
6.822100000000e-01       9.988736837077e-01       8.119355830153e-02
6.992100000000e-01       9.990529901400e-01       5.738152678942e-02
7.162100000000e-01       9.992200165586e-01       4.020798259453e-02
7.332100000000e-01       9.993693676732e-01       2.793458054866e-02
7.502100000000e-01       9.994986804257e-01       1.924251391346e-02
7.672100000000e-01       9.996076941191e-01       1.314228931164e-02
7.842100000000e-01       9.996975085856e-01       8.899591582771e-03
8.012100000000e-01       9.997700154975e-01       5.975286674310e-03
8.182100000000e-01       9.998274821706e-01       3.977746397969e-03
8.352100000000e-01       9.998722620951e-01       2.625459340755e-03
8.522100000000e-01       9.999066069610e-01       1.718157377504e-03
8.692100000000e-01       9.999325561844e-01       1.114834853940e-03
8.862100000000e-01       9.999518831613e-01       7.172122333097e-04
9.032100000000e-01       9.999660806065e-01       4.574825100422e-04
9.202100000000e-01       9.999763712626e-01       2.893285411598e-04
9.372100000000e-01       9.999837333711e-01       1.814250795559e-04
9.542100000000e-01       9.999889332154e-01       1.127959434959e-04
9.712100000000e-01       9.999925596690e-01       6.953110122767e-05
9.882100000000e-01       9.999950572638e-01       4.249661719081e-05
1.005210000000e+00       9.999967560092e-01       2.575252100561e-05
1.022210000000e+00       9.999978970332e-01       1.547324380695e-05
1.039210000000e+00       9.999986538377e-01       0.000000000000e+00
1.056210000000e+00       9.999991494394e-01       0.000000000000e+00
1.073210000000e+00       9.999994698026e-01       0.000000000000e+00
1.090210000000e+00       9.999996741533e-01       0.000000000000e+00
1.107210000000e+00       9.999998027271e-01       0.000000000000e+00
1.124210000000e+00       9.999998824761e-01       0.000000000000e+00
1.141210000000e+00       9.999999312047e-01       0.000000000000e+00
1.158210000000e+00       9.999999605076e-01       0.000000000000e+00
1.175210000000e+00       9.999999778278e-01       0.000000000000e+00
1.192210000000e+00       9.999999878734e-01       0.000000000000e+00
1.209210000000e+00       9.999999935770e-01       0.000000000000e+00
1.226210000000e+00       9.999999967367e-01       0.000000000000e+00
1.243210000000e+00       9.999999984362e-01       0.000000000000e+00
1.260210000000e+00       9.999999993168e-01       0.000000000000e+00
1.277210000000e+00       9.999999997506e-01       0.000000000000e+00
1.294210000000e+00       9.999999999490e-01       0.000000000000e+00
1.311210000000e+00       1.000000000028e+00       0.000000000000e+00
1.328210000000e+00       1.000000000052e+00       0.000000000000e+00
1.345210000000e+00       1.000000000051e+00       0.000000000000e+00
1.362210000000e+00       1.000000000041e+00       0.000000000000e+00
1.379210000000e+00       1.000000000031e+00       0.000000000000e+00
1.396210000000e+00       1.000000000022e+00       0.000000000000e+00
1.413210000000e+00       1.000000000014e+00       0.000000000000e+00
1.430210000000e+00       1.000000000009e+00       0.000000000000e+00
1.447210000000e+00       1.000000000006e+00       0.000000000000e+00
1.464210000000e+00       1.000000000004e+00       0.000000000000e+00
1.481210000000e+00       1.000000000002e+00       0.000000000000e+00
1.498210000000e+00       1.000000000001e+00       0.000000000000e+00
1.515210000000e+00       1.000000000001e+00       0.000000000000e+00
1.532210000000e+00       1.000000000000e+00       0.000000000000e+00
1.549210000000e+00       1.000000000000e+00       0.000000000000e+00
1.566210000000e+00       1.000000000000e+00       0.000000000000e+00
1.583210000000e+00       1.000000000000e+00       0.000000000000e+00
1.600210000000e+00       1.000000000000e+00       0.000000000000e+00
1.617210000000e+00       1.000000000000e+00       0.000000000000e+00
1.634210000000e+00       1.000000000000e+00       0.000000000000e+00
1.651210000000e+00       1.000000000000e+00       0.000000000000e+00
1.668210000000e+00       1.000000000000e+00       0.000000000000e+00
1.685210000000e+00       1.000000000000e+00       0.000000000000e+00
1.702210000000e+00       1.000000000000e+00       0.000000000000e+00
1.719210000000e+00       1.000000000000e+00       0.000000000000e+00
1.736210000000e+00       1.000000000000e+00       0.000000000000e+00
1.753210000000e+00       1.000000000000e+00       0.000000000000e+00
1.770210000000e+00       1.000000000000e+00       0.000000000000e+00
1.787210000000e+00       1.000000000000e+00       0.000000000000e+00
1.804210000000e+00       1.000000000000e+00       0.000000000000e+00
1.821210000000e+00       1.000000000000e+00       0.000000000000e+00
1.838210000000e+00       1.000000000000e+00       0.000000000000e+00
1.855210000000e+00       1.000000000000e+00       0.000000000000e+00
1.872210000000e+00       1.000000000000e+00       0.000000000000e+00
1.889210000000e+00       1.000000000000e+00       0.000000000000e+00
1.906210000000e+00       1.000000000000e+00       0.000000000000e+00
1.923210000000e+00       1.000000000000e+00       0.000000000000e+00
1.940210000000e+00       1.000000000000e+00       0.000000000000e+00
1.957210000000e+00       1.000000000000e+00       0.000000000000e+00
1.974210000000e+00       1.000000000000e+00       0.000000000000e+00
1.991210000000e+00       1.000000000000e+00       0.000000000000e+00
2.008210000000e+00       1.000000000000e+00       0.000000000000e+00
2.025210000000e+00       1.000000000000e+00       0.000000000000e+00
2.042210000000e+00       1.000000000000e+00       0.000000000000e+00
2.059210000000e+00       1.000000000000e+00       0.000000000000e+00
2.076210000000e+00       1.000000000000e+00       0.000000000000e+00
2.093210000000e+00       1.000000000000e+00       0.000000000000e+00
2.110210000000e+00       1.000000000000e+00       0.000000000000e+00
2.127210000000e+00       1.000000000000e+00       0.000000000000e+00
2.144210000000e+00       1.000000000000e+00       0.000000000000e+00
2.161210000000e+00       1.000000000000e+00       0.000000000000e+00
2.178210000000e+00       1.000000000000e+00       0.000000000000e+00
2.195210000000e+00       1.000000000000e+00       0.000000000000e+00
2.212210000000e+00       1.000000000000e+00       0.000000000000e+00
2.229210000000e+00       1.000000000000e+00       0.000000000000e+00
2.246210000000e+00       1.000000000000e+00       0.000000000000e+00
2.263210000000e+00       1.000000000000e+00       0.000000000000e+00
