#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2323089317e+02    1.5187811958e+04   -1.9594947293e+02    7.2718579767e+01    9.2069369049e+01   -3.0438832433e+02    1.6369482352e+01    1.0240000000e+03    4.5913117938e-03    4.6087646484e-01
         1   -1.2326637001e+02    1.5196280756e+04   -1.9610493664e+02    7.2838566627e+01    9.2102061314e+01   -3.0493191902e+02    1.6724921070e+01    1.0240000000e+03    4.4942707755e-03    4.6124267578e-01
         2   -1.2331902065e+02    1.5209492170e+04   -1.9472448753e+02    7.1405466874e+01    9.1828412682e+01   -3.0332452762e+02    1.6771627411e+01    1.0240000000e+03    4.4880942442e-03    4.6864013672e-01
         3   -1.2328453944e+02    1.5200403301e+04   -1.9471953925e+02    7.1434999812e+01    9.1838460240e+01   -3.0279479961e+02    1.6236800116e+01    1.0240000000e+03    4.4493866153e-03    4.6604003906e-01
         4   -1.2324857694e+02    1.5192004935e+04   -1.9579347431e+02    7.2544897366e+01    9.2219993285e+01   -3.0499800816e+02    1.6984540566e+01    1.0240000000e+03    4.4419125188e-03    4.6484375000e-01
         5   -1.2326958216e+02    1.5196841872e+04   -1.9549370377e+02    7.2224121608e+01    9.2605789323e+01   -3.0595254691e+02    1.7853053815e+01    1.0240000000e+03    4.4301433954e-03    4.6168212891e-01
         6   -1.2324057490e+02    1.5189815401e+04   -1.9577128600e+02    7.2530711096e+01    9.2558234585e+01   -3.0530234569e+02    1.6972825102e+01    1.0240000000e+03    4.4261021540e-03    4.6424560547e-01
         7   -1.2323350092e+02    1.5188376475e+04   -1.9616419919e+02    7.2930698270e+01    9.2550501343e+01   -3.0509951162e+02    1.6384811084e+01    1.0240000000e+03    4.4276551344e-03    4.6431884766e-01
         8   -1.2326300234e+02    1.5195202824e+04   -1.9572447170e+02    7.2461469353e+01    9.2074894151e+01   -3.0356076092e+02    1.5761395077e+01    1.0240000000e+03    4.4052014127e-03    4.6229248047e-01
         9   -1.2328511384e+02    1.5200957031e+04   -1.9539349222e+02    7.2108378379e+01    9.1896085324e+01   -3.0396259397e+02    1.6673016427e+01    1.0240000000e+03    4.3989662081e-03    4.6427001953e-01
        10   -1.2330827903e+02    1.5206360729e+04   -1.9505891487e+02    7.1750635838e+01    9.2059894824e+01   -3.0261178825e+02    1.5492978560e+01    1.0240000000e+03    4.4005310629e-03    4.6585693359e-01
        11   -1.2325786656e+02    1.5193998482e+04   -1.9443825281e+02    7.1180386247e+01    9.1615883555e+01   -3.0172069042e+02    1.5666554058e+01    1.0240000000e+03    4.3896124698e-03    4.6256103516e-01
        12   -1.2325129714e+02    1.5192240975e+04   -1.9496338018e+02    7.1712083043e+01    9.1869706344e+01   -3.0278669455e+02    1.5953608027e+01    1.0240000000e+03    4.3885905761e-03    4.6134033203e-01
        13   -1.2317785197e+02    1.5174357398e+04   -1.9624217469e+02    7.3064322722e+01    9.2804850165e+01   -3.0581624592e+02    1.6769221063e+01    1.0240000000e+03    4.4058696367e-03    4.6256103516e-01
        14   -1.2327970003e+02    1.5199260485e+04   -1.9524260010e+02    7.1962900075e+01    9.2359025429e+01   -3.0407997632e+02    1.6478350787e+01    1.0240000000e+03    4.3940311298e-03    4.6488037109e-01
        15   -1.2323455134e+02    1.5189139264e+04   -1.9417526454e+02    7.0940713199e+01    9.1818864619e+01   -3.0185792047e+02    1.5863791310e+01    1.0240000000e+03    4.3812058866e-03    4.6193847656e-01
        16   -1.2324738289e+02    1.5191399083e+04   -1.9473056894e+02    7.1483186050e+01    9.1721464669e+01   -3.0191998193e+02    1.5467948321e+01    1.0240000000e+03    4.3851267546e-03    4.6339111328e-01
        17   -1.2331628308e+02    1.5208413234e+04   -1.9530054119e+02    7.1984258116e+01    9.2194861873e+01   -3.0326809090e+02    1.5772687834e+01    1.0240000000e+03    4.3827272020e-03    4.6121826172e-01
        18   -1.2326909137e+02    1.5196772223e+04   -1.9675341283e+02    7.3484321462e+01    9.2577275230e+01   -3.0581887801e+02    1.6488189948e+01    1.0240000000e+03    4.3665291741e-03    4.5955810547e-01
        19   -1.2327626812e+02    1.5198508993e+04   -1.9639078259e+02    7.3114514463e+01    9.2359583503e+01   -3.0404664406e+02    1.5296277965e+01    1.0240000000e+03    4.3827360496e-03    4.6419677734e-01
        20   -1.2325121954e+02    1.5192254845e+04   -1.9636096855e+02    7.3109749018e+01    9.2373964055e+01   -3.0480832527e+02    1.6073392659e+01    1.0240000000e+03    4.3784666341e-03    4.6420898438e-01
        21   -1.2320937364e+02    1.5182096512e+04   -1.9572365107e+02    7.2514277427e+01    9.2327226730e+01   -3.0506763737e+02    1.7016759573e+01    1.0240000000e+03    4.3811851647e-03    4.6276855469e-01
        22   -1.2324484314e+02    1.5190907254e+04   -1.9624265791e+02    7.2997814775e+01    9.2638347420e+01   -3.0517155654e+02    1.6290551206e+01    1.0240000000e+03    4.4007762335e-03    4.6601562500e-01
        23   -1.2325951627e+02    1.5194471143e+04   -1.9679716939e+02    7.3537653119e+01    9.2425607258e+01   -3.0506961302e+02    1.5846836375e+01    1.0240000000e+03    4.3691047467e-03    4.6088867187e-01
        24   -1.2330052106e+02    1.5204988536e+04   -1.9643973674e+02    7.3139215675e+01    9.2452029750e+01   -3.0569565990e+02    1.6803893412e+01    1.0240000000e+03    4.3754491489e-03    4.6566162109e-01
        25   -1.2321928589e+02    1.5184875268e+04   -1.9648987072e+02    7.3270584822e+01    9.2072527893e+01   -3.0475403206e+02    1.6191633448e+01    1.0240000000e+03    4.3780128472e-03    4.6535644531e-01
        26   -1.2325892256e+02    1.5194415326e+04   -1.9561276964e+02    7.2353847084e+01    9.2383651633e+01   -3.0437260653e+02    1.6376185255e+01    1.0240000000e+03    4.3559528422e-03    4.5970458984e-01
        27   -1.2330323479e+02    1.5205322343e+04   -1.9506552462e+02    7.1762289823e+01    9.2906071229e+01   -3.0415422067e+02    1.6182624822e+01    1.0240000000e+03    4.3786126189e-03    4.6297607422e-01
        28   -1.2321418056e+02    1.5184284523e+04   -1.9640231442e+02    7.3188133864e+01    9.2705022554e+01   -3.0649471877e+02    1.7387381798e+01    1.0240000000e+03    4.3636257760e-03    4.6188964844e-01
        29   -1.2324412223e+02    1.5191846256e+04   -1.9518577747e+02    7.1941655240e+01    9.2358787217e+01   -3.0511195517e+02    1.7567390491e+01    1.0240000000e+03    4.3828159105e-03    4.6722412109e-01
        30   -1.2332254813e+02    1.5210086397e+04   -1.9605932251e+02    7.2736774382e+01    9.2250769328e+01   -3.0464569515e+02    1.6335603309e+01    1.0240000000e+03    4.3774170335e-03    4.6850585938e-01
        31   -1.2322730880e+02    1.5186782980e+04   -1.9477559508e+02    7.1548286273e+01    9.2013959062e+01   -3.0306709615e+02    1.6277542011e+01    1.0240000000e+03    4.3602478690e-03    4.6109619141e-01
        32   -1.2323544948e+02    1.5188372150e+04   -1.9707627419e+02    7.3840824703e+01    9.2660465523e+01   -3.0614604655e+02    1.6409306839e+01    1.0240000000e+03    4.3848485220e-03    4.6730957031e-01
        33   -1.2328780713e+02    1.5201542852e+04   -1.9561816635e+02    7.2330359223e+01    9.2075987206e+01   -3.0360882272e+02    1.5914669163e+01    1.0240000000e+03    4.3779821135e-03    4.6802978516e-01
        34   -1.2338444868e+02    1.5225567295e+04   -1.9527720418e+02    7.1892755503e+01    9.2137107495e+01   -3.0357235819e+02    1.6158046518e+01    1.0240000000e+03    4.3810384814e-03    4.6649169922e-01
        35   -1.2330830523e+02    1.5206625980e+04   -1.9662372373e+02    7.3315418501e+01    9.2366686235e+01   -3.0556523296e+02    1.6574822994e+01    1.0240000000e+03    4.3665196281e-03    4.6218261719e-01
        36   -1.2329510453e+02    1.5203394598e+04   -1.9602944313e+02    7.2734338599e+01    9.2389144961e+01   -3.0615812981e+02    1.7739541717e+01    1.0240000000e+03    4.3651771266e-03    4.6066894531e-01
