# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.2329845349e+02    1.5892973893e+00    4.0990000000e+03    4.0960000000e+03    0.0000000000e+00   -1.2330488402e+02    9.1703333415e-01    9.9121093750e-01
         1   -1.2333776018e+02    1.9497505132e+00    4.0951378699e+03    4.0960000000e+03    0.0000000000e+00   -1.2333506118e+02    9.2157885019e-01    9.8754882812e-01
         2   -1.2333266642e+02    1.8565874519e+00    4.0960337520e+03    4.0980000000e+03    4.9804687500e-02   -1.2336216829e+02    9.1827913183e-01    9.9389946315e-01
         3   -1.2332514728e+02    1.7770547951e+00    4.0964637567e+03    4.1030000000e+03    2.6367187500e-02   -1.2341804270e+02    9.1653499068e-01    9.9195710456e-01
         4   -1.2330771479e+02    1.9080635194e+00    4.0946899681e+03    4.0920000000e+03    3.2226562500e-02   -1.2327629529e+02    9.2092735250e-01    9.9462365591e-01
         5   -1.2331536265e+02    1.8791237769e+00    4.0965300792e+03    4.1000000000e+03    2.8320312500e-02   -1.2335651909e+02    9.1793119347e-01    9.9170731707e-01
         6   -1.2332276556e+02    1.8841098907e+00    4.0961921210e+03    4.0930000000e+03    3.0273437500e-02   -1.2327872813e+02    9.1625266579e-01    9.9511360860e-01
         7   -1.2329166205e+02    1.7458362066e+00    4.0953845599e+03    4.1040000000e+03    2.8320312500e-02   -1.2342032657e+02    9.1756830078e-01    9.9171539961e-01
         8   -1.2332181448e+02    2.3368805046e+00    4.0972953228e+03    4.0970000000e+03    3.3203125000e-02   -1.2330386760e+02    9.1450822883e-01    9.9438613620e-01
         9   -1.2328129609e+02    1.7177614477e+00    4.0940418203e+03    4.0950000000e+03    2.1484375000e-02   -1.2330960596e+02    9.1724621885e-01    9.9242979243e-01
        10   -1.2331286330e+02    2.1014264242e+00    4.0975249926e+03    4.0990000000e+03    3.3203125000e-02   -1.2331790378e+02    9.1671208087e-01    9.9316906563e-01
        11   -1.2332147823e+02    2.0089340178e+00    4.0958953285e+03    4.0920000000e+03    2.7343750000e-02   -1.2326401132e+02    9.1655577258e-01    9.9364613881e-01
        12   -1.2331007960e+02    1.6754816522e+00    4.0963261895e+03    4.1020000000e+03    3.3203125000e-02   -1.2339466683e+02    9.1595501982e-01    9.9098000975e-01
        13   -1.2327523113e+02    1.7383671484e+00    4.0940149496e+03    4.0870000000e+03    3.5156250000e-02   -1.2320009544e+02    9.1371139508e-01    9.9535111329e-01
        14   -1.2331639832e+02    1.8139181153e+00    4.0971192388e+03    4.0920000000e+03    2.3437500000e-02   -1.2322637915e+02    9.1488100436e-01    9.9315738025e-01
        15   -1.2331677348e+02    1.7830060996e+00    4.0953304881e+03    4.0870000000e+03    2.7343750000e-02   -1.2320641416e+02    9.1826366235e-01    9.9339368730e-01
        16   -1.2334502452e+02    1.9133513638e+00    4.0962828590e+03    4.0890000000e+03    2.8320312500e-02   -1.2323125116e+02    9.1754587196e-01    9.9315235999e-01
        17   -1.2329991485e+02    1.7363424680e+00    4.0945785504e+03    4.0990000000e+03    3.7109375000e-02   -1.2338163221e+02    9.1650040545e-01    9.9512076116e-01
        18   -1.2327731402e+02    1.8638577150e+00    4.0950543734e+03    4.0990000000e+03    1.8554687500e-02   -1.2333652254e+02    9.1774992676e-01    9.9194925592e-01
        19   -1.2332919350e+02    1.6978986443e+00    4.0975786544e+03    4.0910000000e+03    3.2226562500e-02   -1.2321624158e+02    9.1384178150e-01    9.9291126864e-01
        20   -1.2333709619e+02    1.9623546112e+00    4.0961705279e+03    4.0920000000e+03    2.9296875000e-02   -1.2328034151e+02    9.1620629087e-01    9.9511241447e-01
        21   -1.2330283842e+02    1.7387048208e+00    4.0951876899e+03    4.1040000000e+03    3.0273437500e-02   -1.2343465719e+02    9.1701199994e-01    9.9342105263e-01
        22   -1.2334555690e+02    2.0578197666e+00    4.0975688170e+03    4.0970000000e+03    2.6367187500e-02   -1.2331504396e+02    9.1637688864e-01    9.9340981206e-01
        23   -1.2331188710e+02    1.6361618207e+00    4.0946426118e+03    4.0940000000e+03    2.6367187500e-02   -1.2332113687e+02    9.2102755621e-01    9.9438202247e-01
        24   -1.2331667908e+02    1.6959955135e+00    4.0965979955e+03    4.1010000000e+03    2.8320312500e-02   -1.2337288503e+02    9.1626156053e-01    9.9366008291e-01
        25   -1.2331998856e+02    1.8632542852e+00    4.0962761858e+03    4.0990000000e+03    2.4414062500e-02   -1.2335328677e+02    9.1715970812e-01    9.9219321786e-01
        26   -1.2335896812e+02    1.7008832820e+00    4.0976189077e+03    4.0960000000e+03    3.1250000000e-02   -1.2331998856e+02    9.1757144675e-01    9.9243164062e-01
        27   -1.2330798887e+02    1.7038027532e+00    4.0942047467e+03    4.0960000000e+03    3.0273437500e-02   -1.2335896812e+02    9.1870299953e-01    9.9243164062e-01
        28   -1.2332738950e+02    1.9329579607e+00    4.0965817964e+03    4.0920000000e+03    3.0273437500e-02   -1.2325913688e+02    9.1496887720e-01    9.9242424242e-01
        29   -1.2331173221e+02    1.8987865756e+00    4.0954533540e+03    4.0900000000e+03    2.7343750000e-02   -1.2325409362e+02    9.1558439863e-01    9.9486552567e-01
        30   -1.2331497300e+02    1.9013658275e+00    4.0970759251e+03    4.1080000000e+03    3.7109375000e-02   -1.2345800242e+02    9.1575360583e-01    9.9269717624e-01
        31   -1.2336049710e+02    1.8106717344e+00    4.0984107556e+03    4.1050000000e+03    2.9296875000e-02   -1.2342471576e+02    9.1795888081e-01    9.9366626066e-01
        32   -1.2330840646e+02    1.8717237512e+00    4.0950484065e+03    4.1070000000e+03    2.7343750000e-02   -1.2349459446e+02    9.1637816715e-01    9.9147796445e-01
        33   -1.2332893323e+02    1.7211247266e+00    4.0970052694e+03    4.0970000000e+03    3.3203125000e-02   -1.2332061200e+02    9.1805925318e-01    9.9585062241e-01
        34   -1.2331053499e+02    1.6973045115e+00    4.0955297556e+03    4.1010000000e+03    1.9531250000e-02   -1.2338993117e+02    9.2017373525e-01    9.9268471105e-01
        35   -1.2334520606e+02    2.1682583307e+00    4.0970293006e+03    4.0940000000e+03    2.9296875000e-02   -1.2328611497e+02    9.1695276862e-01    9.9364924279e-01
        36   -1.2334612201e+02    1.8383742182e+00    4.0966608797e+03    4.1000000000e+03    2.9296875000e-02   -1.2339401036e+02    9.1941512111e-01    9.9097560976e-01
        37   -1.2336095341e+02    1.9672487670e+00    4.0959763693e+03    4.0860000000e+03    3.5156250000e-02   -1.2322390244e+02    9.1798474406e-01    9.9339207048e-01
        38   -1.2336010710e+02    1.9924359552e+00    4.0958733325e+03    4.0950000000e+03    3.5156250000e-02   -1.2334874489e+02    9.1638021805e-01    9.9389499389e-01
        39   -1.2333726437e+02    1.7253297741e+00    4.0956893295e+03    4.1010000000e+03    2.7343750000e-02   -1.2342110503e+02    9.1808002688e-01    9.9268471105e-01
        40   -1.2336047089e+02    2.0347880359e+00    4.0978386807e+03    4.1050000000e+03    3.2226562500e-02   -1.2344700713e+02    9.1488626539e-01    9.9342265530e-01
        41   -1.2331227209e+02    2.1662011727e+00    4.0942260411e+03    4.0970000000e+03    2.4414062500e-02   -1.2337267643e+02    9.1758944136e-01    9.9170124481e-01
        42   -1.2330435489e+02    1.7531809820e+00    4.0956128723e+03    4.0950000000e+03    3.1250000000e-02   -1.2330006357e+02    9.1579878585e-01    9.9536019536e-01
        43   -1.2334401916e+02    2.2661308535e+00    4.0982420615e+03    4.1070000000e+03    2.9296875000e-02   -1.2343845225e+02    9.1975795786e-01    9.9147796445e-01
        44   -1.2333338026e+02    1.8697164732e+00    4.0954194653e+03    4.0960000000e+03    3.3203125000e-02   -1.2334401916e+02    9.1939094656e-01    9.9365234375e-01
        45   -1.2332954101e+02    1.9099937497e+00    4.0966401624e+03    4.1060000000e+03    3.4179687500e-02   -1.2345530180e+02    9.1493142866e-01    9.9269361909e-01
        46   -1.2331452148e+02    2.4456156200e+00    4.0955988217e+03    4.0980000000e+03    2.5390625000e-02   -1.2335394912e+02    9.1626571123e-01    9.9267935578e-01
        47   -1.2330221398e+02    1.6647777003e+00    4.0959981389e+03    4.0990000000e+03    2.9296875000e-02   -1.2335112917e+02    9.1645065213e-01    9.9292510368e-01
        48   -1.2331346451e+02    2.0730953370e+00    4.0960308430e+03    4.0920000000e+03    2.7343750000e-02   -1.2325336200e+02    9.1964302029e-01    9.9560117302e-01
        49   -1.2333229518e+02    1.6333734110e+00    4.0975847268e+03    4.1080000000e+03    3.2226562500e-02   -1.2345973473e+02    9.1627276156e-01    9.9099318403e-01
        50   -1.2332838092e+02    1.6664463000e+00    4.0955013906e+03    4.0920000000e+03    3.4179687500e-02   -1.2328344320e+02    9.1614209633e-01    9.9389051808e-01
        51   -1.2335223949e+02    2.3724923915e+00    4.0964031207e+03    4.0900000000e+03    2.4414062500e-02   -1.2325508504e+02    9.1530707249e-01    9.9413202934e-01
        52   -1.2336006673e+02    1.8114471522e+00    4.0969675948e+03    4.0980000000e+03    3.0273437500e-02   -1.2337664759e+02    9.1739290408e-01    9.9219131284e-01
        53   -1.2333388557e+02    1.9853895456e+00    4.0948033706e+03    4.0920000000e+03    2.9296875000e-02   -1.2331121475e+02    9.1429542269e-01    9.9340175953e-01
        54   -1.2336279069e+02    2.2185686619e+00    4.0970999888e+03    4.0980000000e+03    3.2226562500e-02   -1.2335829368e+02    9.1869693690e-01    9.9341142020e-01
        55   -1.2332446648e+02    1.7036216820e+00    4.0938319343e+03    4.0910000000e+03    2.4414062500e-02   -1.2330171825e+02    9.1557052333e-01    9.9388902469e-01
        56   -1.2338310913e+02    2.0432263393e+00    4.0984286972e+03    4.0960000000e+03    2.9296875000e-02   -1.2332446648e+02    9.1955454398e-01    9.9438476562e-01
        57   -1.2333960873e+02    1.8034268958e+00    4.0952528220e+03    4.1070000000e+03    3.2226562500e-02   -1.2351720649e+02    9.1992365581e-01    9.9050401753e-01
        58   -1.2336012957e+02    1.9407408075e+00    4.0965799575e+03    4.0940000000e+03    3.5156250000e-02   -1.2331518871e+02    9.1759369505e-01    9.9193942355e-01
        59   -1.2337199047e+02    1.9624225716e+00    4.0954094176e+03    4.0830000000e+03    3.2226562500e-02   -1.2320118580e+02    9.1905742662e-01    9.9485672300e-01
        60   -1.2333533494e+02    1.9122044819e+00    4.0951065486e+03    4.1020000000e+03    3.9062500000e-02   -1.2344517906e+02    9.1918738571e-01    9.9414919551e-01
        61   -1.2335770535e+02    2.1221494827e+00    4.0973369129e+03    4.1040000000e+03    2.4414062500e-02   -1.2343289595e+02    9.1445449762e-01    9.9195906433e-01
        62   -1.2331249403e+02    1.8797622462e+00    4.0954063910e+03    4.1040000000e+03    3.1250000000e-02   -1.2345526636e+02    9.1796548392e-01    9.9366471735e-01
        63   -1.2333135034e+02    1.6064880236e+00    4.0970616972e+03    4.1030000000e+03    2.3437500000e-02   -1.2339787031e+02    9.1799983631e-01    9.9634413844e-01
        64   -1.2332801102e+02    2.4457526738e+00    4.0966314925e+03    4.1110000000e+03    2.1484375000e-02   -1.2351412135e+02    9.1329837448e-01    9.9099975675e-01
        65   -1.2336689630e+02    1.9602143829e+00    4.0971940390e+03    4.0930000000e+03    3.5156250000e-02   -1.2329137651e+02    9.1825144222e-01    9.9438064989e-01
        66   -1.2333743670e+02    1.7526393138e+00    4.0964319165e+03    4.1100000000e+03    3.9062500000e-02   -1.2353750334e+02    9.1922191931e-01    9.8929440389e-01
        67   -1.2331319781e+02    1.9599891052e+00    4.0936448512e+03    4.0800000000e+03    4.1992187500e-02   -1.2314174173e+02    9.1745201168e-01    9.9583333333e-01
        68   -1.2331824527e+02    1.9520722364e+00    4.0961472018e+03    4.0960000000e+03    3.2226562500e-02   -1.2331319781e+02    9.1771564115e-01    9.9462890625e-01
        69   -1.2331896088e+02    1.8221339725e+00    4.0971565932e+03    4.1100000000e+03    3.3203125000e-02   -1.2348885231e+02    9.1787079416e-01    9.9270072993e-01
        70   -1.2333176141e+02    1.6441710757e+00    4.0970901409e+03    4.1040000000e+03    2.8320312500e-02   -1.2341652189e+02    9.1827236770e-01    9.9317738791e-01
        71   -1.2333797152e+02    1.6756690870e+00    4.0955864907e+03    4.0900000000e+03    2.7343750000e-02   -1.2325846552e+02    9.1597212724e-01    9.9559902200e-01
        72   -1.2336237843e+02    1.8035713160e+00    4.0981462266e+03    4.1100000000e+03    3.7109375000e-02   -1.2350857856e+02    9.1533152511e-01    9.9294403893e-01
        73   -1.2333290692e+02    1.9640194584e+00    4.0956111923e+03    4.1060000000e+03    2.7343750000e-02   -1.2348429997e+02    9.1455652613e-01    9.9415489528e-01
        74   -1.2332782021e+02    1.7828886155e+00    4.0961934683e+03    4.1010000000e+03    2.3437500000e-02   -1.2339390486e+02    9.1686869411e-01    9.9317239698e-01
        75   -1.2331984939e+02    2.0501528887e+00    4.0949179054e+03    4.0910000000e+03    2.5390625000e-02   -1.2326674778e+02    9.1655583879e-01    9.9315570765e-01
        76   -1.2333907744e+02    1.7178747654e+00    4.0964561839e+03    4.0910000000e+03    2.6367187500e-02   -1.2325877695e+02    9.1673624741e-01    9.9388902469e-01
        77   -1.2330943768e+02    1.7170406391e+00    4.0948314601e+03    4.0970000000e+03    3.0273437500e-02   -1.2335128298e+02    9.1968958807e-01    9.9389797413e-01
        78   -1.2332629634e+02    1.7282234914e+00    4.0978651672e+03    4.1100000000e+03    3.4179687500e-02   -1.2348004472e+02    9.1781355506e-01    9.9367396594e-01
        79   -1.2329570663e+02    1.6203782923e+00    4.0953992759e+03    4.1040000000e+03    2.5390625000e-02   -1.2342385735e+02    9.1767205101e-01    9.9366471735e-01
        80   -1.2332180922e+02    1.7778221102e+00    4.0981168879e+03    4.1100000000e+03    3.0273437500e-02   -1.2346631367e+02    9.1995487695e-01    9.9367396594e-01
        81   -1.2332976303e+02    1.7971788985e+00    4.0970017977e+03    4.1040000000e+03    2.4414062500e-02   -1.2341937023e+02    9.1748201716e-01    9.9195906433e-01
        82   -1.2333071053e+02    1.7268956269e+00    4.0966902397e+03    4.1040000000e+03    3.2226562500e-02   -1.2342732403e+02    9.1387557135e-01    9.9195906433e-01
        83   -1.2335624751e+02    2.1302696705e+00    4.0962665444e+03    4.0900000000e+03    3.2226562500e-02   -1.2325741465e+02    9.1591219628e-01    9.9168704156e-01
        84   -1.2331918490e+02    1.7547630464e+00    4.0941582517e+03    4.0850000000e+03    3.3203125000e-02   -1.2322178954e+02    9.1715338666e-01    9.9436964504e-01
        85   -1.2332929833e+02    2.0850031159e+00    4.0966879968e+03    4.0970000000e+03    3.4179687500e-02   -1.2333139045e+02    9.1733582975e-01    9.9389797413e-01
        86   -1.2329969093e+02    1.7201674164e+00    4.0945507429e+03    4.0950000000e+03    2.4414062500e-02   -1.2331708980e+02    9.1657267151e-01    9.9242979243e-01
        87   -1.2331221993e+02    1.5305647488e+00    4.0959685911e+03    4.0880000000e+03    2.9296875000e-02   -1.2320193919e+02    9.1812623174e-01    9.9437377691e-01
        88   -1.2335309343e+02    1.8115555523e+00    4.0980093449e+03    4.1020000000e+03    3.5156250000e-02   -1.2338540853e+02    9.1648430911e-01    9.9219892735e-01
        89   -1.2329929021e+02    1.7818016788e+00    4.0933637701e+03    4.0890000000e+03    3.1250000000e-02   -1.2326757111e+02    9.1837388775e-01    9.9364147713e-01
        90   -1.2333340863e+02    2.1283457756e+00    4.0964328487e+03    4.0870000000e+03    2.5390625000e-02   -1.2318930605e+02    9.1494872854e-01    9.9461707854e-01
        91   -1.2329867292e+02    1.5553699927e+00    4.0948651081e+03    4.0980000000e+03    3.0273437500e-02   -1.2335781673e+02    9.1859408771e-01    9.9316739873e-01
        92   -1.2334099521e+02    1.7069617443e+00    4.0978730275e+03    4.0970000000e+03    2.7343750000e-02   -1.2331087846e+02    9.1810731035e-01    9.9218940688e-01
        93   -1.2332672742e+02    1.9701343052e+00    4.0947750194e+03    4.0890000000e+03    2.9296875000e-02   -1.2325547289e+02    9.1721247193e-01    9.9461971142e-01
        94   -1.2329780294e+02    1.6405132411e+00    4.0952287913e+03    4.0980000000e+03    2.9296875000e-02   -1.2335113552e+02    9.1857744345e-01    9.9316739873e-01
        95   -1.2334224859e+02    1.5926125000e+00    4.0973831112e+03    4.0940000000e+03    2.6367187500e-02   -1.2327338291e+02    9.1785686907e-01    9.9316072301e-01
        96   -1.2331076777e+02    1.6474612023e+00    4.0950399238e+03    4.0990000000e+03    2.9296875000e-02   -1.2337885628e+02    9.1731285989e-01    9.9438887534e-01
        97   -1.2331447206e+02    1.7284465557e+00    4.0962325351e+03    4.0980000000e+03    2.1484375000e-02   -1.2333517588e+02    9.1720660712e-01    9.9487554905e-01
        98   -1.2337226402e+02    1.9124168481e+00    4.0982759786e+03    4.1000000000e+03    2.1484375000e-02   -1.2336327636e+02    9.1748652223e-01    9.9317073171e-01
        99   -1.2332892507e+02    1.7816723981e+00    4.0941853907e+03    4.0950000000e+03    2.7343750000e-02   -1.2336005550e+02    9.1510991318e-01    9.9267399267e-01
       100   -1.2334539290e+02    1.7841667028e+00    4.0968219772e+03    4.0960000000e+03    3.0273437500e-02   -1.2332892507e+02    9.1845803336e-01    9.9243164062e-01
       101   -1.2337780410e+02    1.8345550987e+00    4.0923087692e+03    4.0900000000e+03    3.0273437500e-02   -1.2332745915e+02    9.1503802608e-01    9.9584352078e-01
       102   -1.2337043395e+02    1.7980982105e+00    4.1038646922e+03    4.1010000000e+03    2.6367187500e-02   -1.2333837894e+02    9.1909716348e-01    9.9292855401e-01
       103   -1.2333290559e+02    1.8997543443e+00    4.1050482018e+03    4.1050000000e+03    3.2226562500e-02   -1.2335290221e+02    9.1684820628e-01    9.9269183922e-01
       104   -1.2330647501e+02    2.0182835203e+00    4.0943881274e+03    4.0970000000e+03    2.8320312500e-02   -1.2335588311e+02    9.1963395446e-01    9.9365389309e-01
       105   -1.2331814556e+02    2.3210168309e+00    4.0936604660e+03    4.0970000000e+03    2.4414062500e-02   -1.2335133643e+02    9.1795866406e-01    9.9292164999e-01
       106   -1.2332805347e+02    2.2831696983e+00    4.0928424728e+03    4.0950000000e+03    2.7343750000e-02   -1.2334341193e+02    9.1616272021e-01    9.9413919414e-01
       107   -1.2332583671e+02    1.8352093947e+00    4.0916913433e+03    4.0930000000e+03    2.3437500000e-02   -1.2333927905e+02    9.1760583668e-01    9.9267041290e-01
       108   -1.2335676934e+02    1.9986765237e+00    4.0890590373e+03    4.0890000000e+03    2.8320312500e-02   -1.2333680651e+02    9.1902633775e-01    9.9290780142e-01
       109   -1.2333703241e+02    2.0132061593e+00    4.0910969769e+03    4.0900000000e+03    2.9296875000e-02   -1.2333564212e+02    9.1649249455e-01    9.9070904645e-01
       110   -1.2331369452e+02    1.6221087901e+00    4.0786674416e+03    4.0790000000e+03    3.4179687500e-02   -1.2333491514e+02    9.1533222002e-01    9.9362588870e-01
       111   -1.2331009595e+02    1.8802182362e+00    4.0852040520e+03    4.0870000000e+03    3.2226562500e-02   -1.2333668887e+02    9.1713897855e-01    9.9168093956e-01
       112   -1.2331841606e+02    2.0047236589e+00    4.0722017176e+03    4.0740000000e+03    3.3203125000e-02   -1.2333140348e+02    9.1575389148e-01    9.9410898380e-01
       113   -1.2334920857e+02    1.6814251428e+00    4.0759371242e+03    4.0760000000e+03    2.4414062500e-02   -1.2332984096e+02    9.1607036459e-01    9.9533856722e-01
       114   -1.2331532224e+02    1.7666315592e+00    4.0890001440e+03    4.0890000000e+03    3.1250000000e-02   -1.2333185960e+02    9.1564672267e-01    9.9461971142e-01
       115   -1.2330160322e+02    2.1220979453e+00    4.0926088030e+03    4.0950000000e+03    2.6367187500e-02   -1.2333436844e+02    9.1752808013e-01    9.9218559219e-01
       116   -1.2331167065e+02    1.7488142817e+00    4.0889754387e+03    4.0910000000e+03    3.1250000000e-02   -1.2333218552e+02    9.1817977638e-01    9.9242239061e-01
       117   -1.2328718731e+02    1.8745378244e+00    4.0858014550e+03    4.0880000000e+03    3.0273437500e-02   -1.2332958112e+02    9.1758526437e-01    9.9339530333e-01
       118   -1.2334079387e+02    2.5123195198e+00    4.0871608470e+03    4.0890000000e+03    2.7343750000e-02   -1.2332872207e+02    9.1664202012e-01    9.9168500856e-01
       119   -1.2332684938e+02    1.8461337479e+00    4.0810418900e+03    4.0810000000e+03    3.3203125000e-02   -1.2332448762e+02    9.1581399346e-01    9.9289389855e-01
       120   -1.2330921411e+02    1.8558474529e+00    4.0849378662e+03    4.0860000000e+03    3.2226562500e-02   -1.2332634393e+02    9.1564144126e-01    9.9339207048e-01
       121   -1.2330443361e+02    1.8508474404e+00    4.0831286914e+03    4.0850000000e+03    2.6367187500e-02   -1.2332600683e+02    9.1926049324e-01    9.9339045288e-01
       122   -1.2326913503e+02    1.9218466285e+00    4.0792752631e+03    4.0820000000e+03    2.6367187500e-02   -1.2332438663e+02    9.1787201864e-01    9.9534541891e-01
       123   -1.2329421221e+02    1.9423489058e+00    4.0915326775e+03    4.0950000000e+03    3.1250000000e-02   -1.2332654990e+02    9.1377835799e-01    9.9365079365e-01
       124   -1.2331248550e+02    1.6563228567e+00    4.0932541750e+03    4.0950000000e+03    2.2460937500e-02   -1.2332414744e+02    9.1652057951e-01    9.9316239316e-01
       125   -1.2334708936e+02    2.2960144616e+00    4.0885250740e+03    4.0880000000e+03    2.7343750000e-02   -1.2332122940e+02    9.1960310098e-01    9.9266144814e-01
       126   -1.2335989201e+02    1.8533046325e+00    4.0873788075e+03    4.0850000000e+03    2.9296875000e-02   -1.2332008378e+02    9.1671375553e-01    9.9265605875e-01
       127   -1.2332711168e+02    1.8478755620e+00    4.0845451054e+03    4.0830000000e+03    2.9296875000e-02   -1.2332049467e+02    9.1674917626e-01    9.9363213324e-01
       128   -1.2326864094e+02    1.7371843731e+00    4.0801364562e+03    4.0820000000e+03    2.5390625000e-02   -1.2332154324e+02    9.1985066899e-01    9.9265066144e-01
       129   -1.2331832989e+02    1.8543394135e+00    4.0851940797e+03    4.0870000000e+03    3.4179687500e-02   -1.2332284133e+02    9.1550726976e-01    9.9241497431e-01
       130   -1.2330520887e+02    1.7001772116e+00    4.0867374583e+03    4.0870000000e+03    3.0273437500e-02   -1.2332096133e+02    9.1948167110e-01    9.9143626132e-01
       131   -1.2331994967e+02    1.9050229205e+00    4.0707518169e+03    4.0710000000e+03    3.1250000000e-02   -1.2331688295e+02    9.1795552525e-01    9.9312208303e-01
       132   -1.2332408625e+02    1.7507889785e+00    4.0734645348e+03    4.0730000000e+03    2.9296875000e-02   -1.2331681797e+02    9.1822403260e-01    9.9337097962e-01
       133   -1.2335140264e+02    1.8245638969e+00    4.0843545490e+03    4.0830000000e+03    3.4179687500e-02   -1.2331919442e+02    9.1663437102e-01    9.9289737938e-01
       134   -1.2332764933e+02    1.9087285419e+00    4.0725577794e+03    4.0710000000e+03    2.6367187500e-02   -1.2331630146e+02    9.1589310809e-01    9.9533284205e-01
       135   -1.2335401008e+02    1.9432994085e+00    4.0829883828e+03    4.0820000000e+03    2.6367187500e-02   -1.2331982782e+02    9.1686412002e-01    9.9387555120e-01
       136   -1.2332907845e+02    1.8566149298e+00    4.0782799290e+03    4.0770000000e+03    2.4414062500e-02   -1.2331872434e+02    9.1850640804e-01    9.9337748344e-01
