#  Lmax = 1 nonlocal L channels1
#  Units = bohr hartree 
#  r  -r*V/zeff   Vnl ... 
2.210000000000e-03       1.402504504863e-02       8.611618135950e+01
1.921000000000e-02       1.215302390932e-01       8.523478257975e+01
3.621000000000e-02       2.272692374305e-01       8.301808565048e+01
5.321000000000e-02       3.298020543938e-01       7.962614963285e+01
7.021000000000e-02       4.278434809268e-01       7.528939423756e+01
8.721000000000e-02       5.202886680329e-01       7.027630826628e+01
1.042100000000e-01       6.062315132413e-01       6.485943283201e+01
1.212100000000e-01       6.849755317647e-01       5.928610884156e+01
1.382100000000e-01       7.560372336783e-01       5.375846253456e+01
1.552100000000e-01       8.191423501196e-01       4.842435967061e+01
1.722100000000e-01       8.742155385725e-01       4.337839966486e+01
1.892100000000e-01       9.213644360031e-01       3.867014826338e+01
2.062100000000e-01       9.608591097961e-01       3.431604615067e+01
2.232100000000e-01       9.931080733497e-01       3.031170560069e+01
2.402100000000e-01       1.018632085338e+00       2.664226320996e+01
2.572100000000e-01       1.038036939934e+00       2.328964618562e+01
2.742100000000e-01       1.051986387144e+00       2.023665657615e+01
2.912100000000e-01       1.061176204582e+00       1.746846968488e+01
3.082100000000e-01       1.066310286992e+00       1.497243810182e+01
3.252100000000e-01       1.068079438526e+00       1.273707174256e+01
3.422100000000e-01       1.067143357698e+00       1.075085931652e+01
3.592100000000e-01       1.064116108451e+00       9.001333539969e+00
3.762100000000e-01       1.059555182245e+00       7.474547882967e+00
3.932100000000e-01       1.053954087274e+00       6.154967777714e+00
4.102100000000e-01       1.047738253619e+00       5.025688611055e+00
4.272100000000e-01       1.041263929661e+00       4.068861675879e+00
4.442100000000e-01       1.034819658126e+00       3.266215199384e+00
4.612100000000e-01       1.028629870886e+00       2.599581910054e+00
4.782100000000e-01       1.022860115752e+00       2.051373224920e+00
4.952100000000e-01       1.017623436432e+00       1.604966277593e+00
5.122100000000e-01       1.012987453361e+00       1.244990123215e+00
5.292100000000e-01       1.008981735397e+00       9.575114977897e-01
5.462100000000e-01       1.005605116316e+00       7.301294268350e-01
5.632100000000e-01       1.002832667134e+00       5.519926654095e-01
5.802100000000e-01       1.000622108769e+00       4.137559816429e-01
5.972100000000e-01       9.989195129051e-01       3.074912450745e-01
6.142100000000e-01       9.976642004295e-01       2.265680618748e-01
6.312100000000e-01       9.967928013767e-01       1.655168067819e-01
6.482100000000e-01       9.962424856765e-01       1.198844820599e-01
6.652100000000e-01       9.959534095584e-01       8.609170263935e-02
6.822100000000e-01       9.958704493501e-01       6.129669879584e-02
6.992100000000e-01       9.959443111038e-01       4.327034352657e-02
7.162100000000e-01       9.961321142886e-01       3.028454604802e-02
7.332100000000e-01       9.963975496900e-01       2.101499164577e-02
7.502100000000e-01       9.967107087877e-01       1.445821993841e-02
7.672100000000e-01       9.970476736282e-01       9.862294912837e-03
7.842100000000e-01       9.973899465088e-01       6.669886640520e-03
8.012100000000e-01       9.977237886339e-01       4.472358034391e-03
8.182100000000e-01       9.980395193856e-01       2.973253609004e-03
8.352100000000e-01       9.983308230664e-01       1.959768787059e-03
8.522100000000e-01       9.985940910929e-01       1.280723350567e-03
8.692100000000e-01       9.988278229946e-01       8.298188001395e-04
8.862100000000e-01       9.990320983773e-01       5.330753397063e-04
9.032100000000e-01       9.992081253649e-01       3.395246845271e-04
9.202100000000e-01       9.993578659630e-01       2.144033742132e-04
9.372100000000e-01       9.994837346476e-01       1.342361114010e-04
9.542100000000e-01       9.995883637584e-01       8.332674861209e-05
9.712100000000e-01       9.996744277079e-01       5.128338569641e-05
9.882100000000e-01       9.997445173087e-01       3.129294686221e-05
1.005210000000e+00       9.998010555068e-01       1.893191148832e-05
1.022210000000e+00       9.998462462601e-01       0.000000000000e+00
1.039210000000e+00       9.998820489606e-01       0.000000000000e+00
1.056210000000e+00       9.999101718336e-01       0.000000000000e+00
1.073210000000e+00       9.999320789957e-01       0.000000000000e+00
1.090210000000e+00       9.999490061614e-01       0.000000000000e+00
1.107210000000e+00       9.999619819632e-01       0.000000000000e+00
1.124210000000e+00       9.999718516682e-01       0.000000000000e+00
1.141210000000e+00       9.999793016862e-01       0.000000000000e+00
1.158210000000e+00       9.999848831054e-01       0.000000000000e+00
1.175210000000e+00       9.999890337688e-01       0.000000000000e+00
1.192210000000e+00       9.999920979622e-01       0.000000000000e+00
1.209210000000e+00       9.999943437934e-01       0.000000000000e+00
1.226210000000e+00       9.999959781087e-01       0.000000000000e+00
1.243210000000e+00       9.999971590324e-01       0.000000000000e+00
1.260210000000e+00       9.999980063739e-01       0.000000000000e+00
1.277210000000e+00       9.999986101397e-01       0.000000000000e+00
1.294210000000e+00       9.999990373799e-01       0.000000000000e+00
1.311210000000e+00       9.999993376321e-01       0.000000000000e+00
1.328210000000e+00       9.999995471999e-01       0.000000000000e+00
1.345210000000e+00       9.999996924773e-01       0.000000000000e+00
1.362210000000e+00       9.999997925041e-01       0.000000000000e+00
1.379210000000e+00       9.999998609086e-01       0.000000000000e+00
1.396210000000e+00       9.999999073717e-01       0.000000000000e+00
1.413210000000e+00       9.999999387181e-01       0.000000000000e+00
1.430210000000e+00       9.999999597232e-01       0.000000000000e+00
1.447210000000e+00       9.999999737033e-01       0.000000000000e+00
1.464210000000e+00       9.999999829448e-01       0.000000000000e+00
1.481210000000e+00       9.999999890125e-01       0.000000000000e+00
1.498210000000e+00       9.999999929691e-01       0.000000000000e+00
1.515210000000e+00       9.999999955315e-01       0.000000000000e+00
1.532210000000e+00       9.999999971795e-01       0.000000000000e+00
1.549210000000e+00       9.999999982320e-01       0.000000000000e+00
1.566210000000e+00       9.999999988995e-01       0.000000000000e+00
1.583210000000e+00       9.999999993199e-01       0.000000000000e+00
1.600210000000e+00       9.999999995827e-01       0.000000000000e+00
1.617210000000e+00       9.999999997459e-01       0.000000000000e+00
1.634210000000e+00       9.999999998464e-01       0.000000000000e+00
1.651210000000e+00       9.999999999079e-01       0.000000000000e+00
1.668210000000e+00       9.999999999452e-01       0.000000000000e+00
1.685210000000e+00       9.999999999676e-01       0.000000000000e+00
1.702210000000e+00       9.999999999811e-01       0.000000000000e+00
1.719210000000e+00       9.999999999890e-01       0.000000000000e+00
1.736210000000e+00       9.999999999937e-01       0.000000000000e+00
1.753210000000e+00       9.999999999964e-01       0.000000000000e+00
1.770210000000e+00       9.999999999980e-01       0.000000000000e+00
1.787210000000e+00       9.999999999989e-01       0.000000000000e+00
1.804210000000e+00       9.999999999994e-01       0.000000000000e+00
1.821210000000e+00       9.999999999997e-01       0.000000000000e+00
1.838210000000e+00       9.999999999998e-01       0.000000000000e+00
1.855210000000e+00       9.999999999999e-01       0.000000000000e+00
1.872210000000e+00       1.000000000000e+00       0.000000000000e+00
1.889210000000e+00       1.000000000000e+00       0.000000000000e+00
1.906210000000e+00       1.000000000000e+00       0.000000000000e+00
1.923210000000e+00       1.000000000000e+00       0.000000000000e+00
1.940210000000e+00       1.000000000000e+00       0.000000000000e+00
1.957210000000e+00       1.000000000000e+00       0.000000000000e+00
1.974210000000e+00       1.000000000000e+00       0.000000000000e+00
1.991210000000e+00       1.000000000000e+00       0.000000000000e+00
2.008210000000e+00       1.000000000000e+00       0.000000000000e+00
2.025210000000e+00       1.000000000000e+00       0.000000000000e+00
2.042210000000e+00       1.000000000000e+00       0.000000000000e+00
2.059210000000e+00       1.000000000000e+00       0.000000000000e+00
2.076210000000e+00       1.000000000000e+00       0.000000000000e+00
2.093210000000e+00       1.000000000000e+00       0.000000000000e+00
2.110210000000e+00       1.000000000000e+00       0.000000000000e+00
2.127210000000e+00       1.000000000000e+00       0.000000000000e+00
2.144210000000e+00       1.000000000000e+00       0.000000000000e+00
2.161210000000e+00       1.000000000000e+00       0.000000000000e+00
2.178210000000e+00       1.000000000000e+00       0.000000000000e+00
2.195210000000e+00       1.000000000000e+00       0.000000000000e+00
2.212210000000e+00       1.000000000000e+00       0.000000000000e+00
2.229210000000e+00       1.000000000000e+00       0.000000000000e+00
2.246210000000e+00       1.000000000000e+00       0.000000000000e+00
2.263210000000e+00       1.000000000000e+00       0.000000000000e+00
2.280210000000e+00       1.000000000000e+00       0.000000000000e+00
2.297210000000e+00       1.000000000000e+00       0.000000000000e+00
2.314210000000e+00       1.000000000000e+00       0.000000000000e+00
2.331210000000e+00       1.000000000000e+00       0.000000000000e+00
2.348210000000e+00       1.000000000000e+00       0.000000000000e+00
2.365210000000e+00       1.000000000000e+00       0.000000000000e+00
2.382210000000e+00       1.000000000000e+00       0.000000000000e+00
2.399210000000e+00       1.000000000000e+00       0.000000000000e+00
2.416210000000e+00       1.000000000000e+00       0.000000000000e+00
2.433210000000e+00       1.000000000000e+00       0.000000000000e+00
2.450210000000e+00       1.000000000000e+00       0.000000000000e+00
2.467210000000e+00       1.000000000000e+00       0.000000000000e+00
2.484210000000e+00       1.000000000000e+00       0.000000000000e+00
2.501210000000e+00       1.000000000000e+00       0.000000000000e+00
2.518210000000e+00       1.000000000000e+00       0.000000000000e+00
2.535210000000e+00       1.000000000000e+00       0.000000000000e+00
2.552210000000e+00       1.000000000000e+00       0.000000000000e+00
2.569210000000e+00       1.000000000000e+00       0.000000000000e+00
2.586210000000e+00       1.000000000000e+00       0.000000000000e+00
2.603210000000e+00       1.000000000000e+00       0.000000000000e+00
2.620210000000e+00       1.000000000000e+00       0.000000000000e+00
2.637210000000e+00       1.000000000000e+00       0.000000000000e+00
2.654210000000e+00       1.000000000000e+00       0.000000000000e+00
2.671210000000e+00       1.000000000000e+00       0.000000000000e+00
2.688210000000e+00       1.000000000000e+00       0.000000000000e+00
2.705210000000e+00       1.000000000000e+00       0.000000000000e+00
2.722210000000e+00       1.000000000000e+00       0.000000000000e+00
2.739210000000e+00       1.000000000000e+00       0.000000000000e+00
2.756210000000e+00       1.000000000000e+00       0.000000000000e+00
2.773210000000e+00       1.000000000000e+00       0.000000000000e+00
2.790210000000e+00       1.000000000000e+00       0.000000000000e+00
2.807210000000e+00       1.000000000000e+00       0.000000000000e+00
2.824210000000e+00       1.000000000000e+00       0.000000000000e+00
2.841210000000e+00       1.000000000000e+00       0.000000000000e+00
2.858210000000e+00       1.000000000000e+00       0.000000000000e+00
2.875210000000e+00       1.000000000000e+00       0.000000000000e+00
2.892210000000e+00       1.000000000000e+00       0.000000000000e+00
2.909210000000e+00       1.000000000000e+00       0.000000000000e+00
2.926210000000e+00       1.000000000000e+00       0.000000000000e+00
2.943210000000e+00       1.000000000000e+00       0.000000000000e+00
2.960210000000e+00       1.000000000000e+00       0.000000000000e+00
2.977210000000e+00       1.000000000000e+00       0.000000000000e+00
2.994210000000e+00       1.000000000000e+00       0.000000000000e+00
3.011210000000e+00       1.000000000000e+00       0.000000000000e+00
3.028210000000e+00       1.000000000000e+00       0.000000000000e+00
3.045210000000e+00       1.000000000000e+00       0.000000000000e+00
3.062210000000e+00       1.000000000000e+00       0.000000000000e+00
3.079210000000e+00       1.000000000000e+00       0.000000000000e+00
3.096210000000e+00       1.000000000000e+00       0.000000000000e+00
3.113210000000e+00       1.000000000000e+00       0.000000000000e+00
3.130210000000e+00       1.000000000000e+00       0.000000000000e+00
3.147210000000e+00       1.000000000000e+00       0.000000000000e+00
3.164210000000e+00       1.000000000000e+00       0.000000000000e+00
3.181210000000e+00       1.000000000000e+00       0.000000000000e+00
3.198210000000e+00       1.000000000000e+00       0.000000000000e+00
3.215210000000e+00       1.000000000000e+00       0.000000000000e+00
