#  Lmax = 1 nonlocal L channels1
#  Units = bohr hartree 
#  r  -r*V/zeff   Vnl ... 
2.210000000000e-03       1.827345327207e-02       1.756771951467e+02
1.921000000000e-02       1.580167758994e-01       1.731629489090e+02
3.621000000000e-02       2.939726714491e-01       1.668691050429e+02
5.321000000000e-02       4.231634049251e-01       1.573193591969e+02
7.021000000000e-02       5.430888444127e-01       1.452509193873e+02
8.721000000000e-02       6.517995867449e-01       1.314971412428e+02
1.042100000000e-01       7.479352970770e-01       1.168751741899e+02
1.212100000000e-01       8.307284694398e-01       1.021022505120e+02
1.382100000000e-01       8.999762501759e-01       8.775062653233e+01
1.552100000000e-01       9.559850072110e-01       7.423791595648e+01
1.722100000000e-01       9.994938255788e-01       6.184134021103e+01
1.892100000000e-01       1.031583977831e+00       5.072273235209e+01
2.062100000000e-01       1.053581641374e+00       4.095430911778e+01
2.232100000000e-01       1.066960758242e+00       3.254021786135e+01
2.402100000000e-01       1.073252057550e+00       2.543306297512e+01
2.572100000000e-01       1.073963020920e+00       1.954681774992e+01
2.742100000000e-01       1.070512121783e+00       1.476786790943e+01
2.912100000000e-01       1.064179163854e+00       1.096523909662e+01
3.082100000000e-01       1.056072122429e+00       8.000177201308e+00
3.252100000000e-01       1.047109661197e+00       5.734678098491e+00
3.422100000000e-01       1.038017538982e+00       4.038422395747e+00
3.592100000000e-01       1.029336465836e+00       2.793741687087e+00
3.762100000000e-01       1.021438623116e+00       1.898540766495e+00
3.932100000000e-01       1.014550004306e+00       1.267376561391e+00
4.102100000000e-01       1.008775901300e+00       8.310739313016e-01
4.272100000000e-01       1.004127213302e+00       5.353279520210e-01
4.442100000000e-01       1.000545705300e+00       3.387236275019e-01
4.612100000000e-01       9.979268482466e-01       2.105309299633e-01
4.782100000000e-01       9.961393641118e-01       1.285378285839e-01
4.952100000000e-01       9.950410490230e-01       7.708867719923e-02
5.122100000000e-01       9.944908184239e-01       4.541451354813e-02
5.292100000000e-01       9.943572040351e-01       2.628108402978e-02
5.462100000000e-01       9.945237245203e-01       1.493951068598e-02
5.632100000000e-01       9.948916635960e-01       8.342071637163e-03
5.802100000000e-01       9.953808262926e-01       4.575683481629e-03
5.972100000000e-01       9.959288275049e-01       2.465373239794e-03
6.142100000000e-01       9.964894115098e-01       1.304828539497e-03
6.312100000000e-01       9.970302233874e-01       6.783739176676e-04
6.482100000000e-01       9.975303613090e-01       3.464410122211e-04
6.652100000000e-01       9.979779564838e-01       1.737935259083e-04
6.822100000000e-01       9.983679425676e-01       8.564114195242e-05
6.992100000000e-01       9.987001114991e-01       4.145491670710e-05
7.162100000000e-01       9.989774988750e-01       1.971127490654e-05
7.332100000000e-01       9.992051022533e-01       0.000000000000e+00
7.502100000000e-01       9.993889095770e-01       0.000000000000e+00
7.672100000000e-01       9.995351991783e-01       0.000000000000e+00
7.842100000000e-01       9.996500659319e-01       0.000000000000e+00
8.012100000000e-01       9.997391266467e-01       0.000000000000e+00
8.182100000000e-01       9.998073616164e-01       0.000000000000e+00
8.352100000000e-01       9.998590537737e-01       0.000000000000e+00
8.522100000000e-01       9.998977945066e-01       0.000000000000e+00
8.692100000000e-01       9.999265309584e-01       0.000000000000e+00
8.862100000000e-01       9.999476361902e-01       0.000000000000e+00
9.032100000000e-01       9.999629889247e-01       0.000000000000e+00
9.202100000000e-01       9.999740538337e-01       0.000000000000e+00
9.372100000000e-01       9.999819567565e-01       0.000000000000e+00
9.542100000000e-01       9.999875517844e-01       0.000000000000e+00
9.712100000000e-01       9.999914789148e-01       0.000000000000e+00
9.882100000000e-01       9.999942121639e-01       0.000000000000e+00
1.005210000000e+00       9.999960987499e-01       0.000000000000e+00
1.022210000000e+00       9.999973903350e-01       0.000000000000e+00
1.039210000000e+00       9.999982674663e-01       0.000000000000e+00
1.056210000000e+00       9.999988583968e-01       0.000000000000e+00
1.073210000000e+00       9.999992533807e-01       0.000000000000e+00
1.090210000000e+00       9.999995153276e-01       0.000000000000e+00
1.107210000000e+00       9.999996877005e-01       0.000000000000e+00
1.124210000000e+00       9.999998002540e-01       0.000000000000e+00
1.141210000000e+00       9.999998731844e-01       0.000000000000e+00
1.158210000000e+00       9.999999200784e-01       0.000000000000e+00
1.175210000000e+00       9.999999500020e-01       0.000000000000e+00
1.192210000000e+00       9.999999689514e-01       0.000000000000e+00
1.209210000000e+00       9.999999808602e-01       0.000000000000e+00
1.226210000000e+00       9.999999882877e-01       0.000000000000e+00
1.243210000000e+00       9.999999928854e-01       0.000000000000e+00
1.260210000000e+00       9.999999957099e-01       0.000000000000e+00
1.277210000000e+00       9.999999974319e-01       0.000000000000e+00
1.294210000000e+00       9.999999984740e-01       0.000000000000e+00
1.311210000000e+00       9.999999990998e-01       0.000000000000e+00
1.328210000000e+00       9.999999994729e-01       0.000000000000e+00
1.345210000000e+00       9.999999996936e-01       0.000000000000e+00
1.362210000000e+00       9.999999998232e-01       0.000000000000e+00
1.379210000000e+00       9.999999998987e-01       0.000000000000e+00
1.396210000000e+00       9.999999999424e-01       0.000000000000e+00
1.413210000000e+00       9.999999999675e-01       0.000000000000e+00
1.430210000000e+00       9.999999999818e-01       0.000000000000e+00
1.447210000000e+00       9.999999999899e-01       0.000000000000e+00
1.464210000000e+00       9.999999999944e-01       0.000000000000e+00
1.481210000000e+00       9.999999999969e-01       0.000000000000e+00
1.498210000000e+00       9.999999999983e-01       0.000000000000e+00
1.515210000000e+00       9.999999999991e-01       0.000000000000e+00
1.532210000000e+00       9.999999999995e-01       0.000000000000e+00
1.549210000000e+00       9.999999999997e-01       0.000000000000e+00
1.566210000000e+00       9.999999999999e-01       0.000000000000e+00
1.583210000000e+00       9.999999999999e-01       0.000000000000e+00
1.600210000000e+00       1.000000000000e+00       0.000000000000e+00
1.617210000000e+00       1.000000000000e+00       0.000000000000e+00
1.634210000000e+00       1.000000000000e+00       0.000000000000e+00
1.651210000000e+00       1.000000000000e+00       0.000000000000e+00
1.668210000000e+00       1.000000000000e+00       0.000000000000e+00
1.685210000000e+00       1.000000000000e+00       0.000000000000e+00
1.702210000000e+00       1.000000000000e+00       0.000000000000e+00
1.719210000000e+00       1.000000000000e+00       0.000000000000e+00
