#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0381136755e+02    1.0778382926e+04   -1.6200165609e+02    5.8190288546e+01    7.6524347291e+01   -2.5214173171e+02    1.3615728324e+01    1.0240000000e+03    4.2297935579e-03    4.8531250000e-01
         1   -1.0373841407e+02    1.0762652243e+04   -1.6197970502e+02    5.8241290951e+01    7.5895729291e+01   -2.5067345061e+02    1.2798016295e+01    1.0240000000e+03    4.1506299749e-03    4.8907552083e-01
         2   -1.0370879912e+02    1.0756592250e+04   -1.6268028108e+02    5.8971481961e+01    7.6169101023e+01   -2.5218855465e+02    1.3339172550e+01    1.0240000000e+03    4.0971245617e-03    4.8657552083e-01
         3   -1.0377624258e+02    1.0770844222e+04   -1.6267064078e+02    5.8894398196e+01    7.5869505040e+01   -2.5186017190e+02    1.3320026081e+01    1.0240000000e+03    4.0766764432e-03    4.8678385417e-01
         4   -1.0379490159e+02    1.0774803991e+04   -1.6235102670e+02    5.8556125109e+01    7.6080339117e+01   -2.5209217459e+02    1.3660808778e+01    1.0240000000e+03    4.0759483818e-03    4.8815104167e-01
         5   -1.0376024034e+02    1.0767440970e+04   -1.6260111615e+02    5.8840875813e+01    7.6118954349e+01   -2.5326360328e+02    1.4543532772e+01    1.0240000000e+03    4.0548760444e-03    4.8527343750e-01
         6   -1.0384345769e+02    1.0784726928e+04   -1.6028889583e+02    5.6445438142e+01    7.5812006156e+01   -2.5100742595e+02    1.4906523962e+01    1.0240000000e+03    4.0666123386e-03    4.8875000000e-01
         7   -1.0379911589e+02    1.0775508186e+04   -1.6197345324e+02    5.8174337343e+01    7.5740984989e+01   -2.5189431076e+02    1.4179872537e+01    1.0240000000e+03    4.0492922999e-03    4.8679687500e-01
         8   -1.0374923587e+02    1.0765392999e+04   -1.6178338489e+02    5.8034149027e+01    7.5816636803e+01   -2.5148066580e+02    1.3880644107e+01    1.0240000000e+03    4.0442405734e-03    4.8733072917e-01
         9   -1.0375411466e+02    1.0766136676e+04   -1.6159284214e+02    5.7838727484e+01    7.5621762704e+01   -2.5177929134e+02    1.4564686493e+01    1.0240000000e+03    4.0413103998e-03    4.8830729167e-01
        10   -1.0382469806e+02    1.0780884121e+04   -1.6223756202e+02    5.8412863966e+01    7.6132301022e+01   -2.5277361871e+02    1.4403755662e+01    1.0240000000e+03    4.0335117374e-03    4.8350260417e-01
        11   -1.0377636671e+02    1.0770767776e+04   -1.6248769522e+02    5.8711328507e+01    7.5886642689e+01   -2.5172173589e+02    1.3347397981e+01    1.0240000000e+03    4.0295098443e-03    4.8572916667e-01
        12   -1.0369464096e+02    1.0753789801e+04   -1.6152325903e+02    5.7828618074e+01    7.5848591578e+01   -2.5198439413e+02    1.4612543525e+01    1.0240000000e+03    4.0257254150e-03    4.8635416667e-01
        13   -1.0379354672e+02    1.0774553636e+04   -1.6146724191e+02    5.7673695193e+01    7.5890605588e+01   -2.5161172982e+02    1.4253882322e+01    1.0240000000e+03    4.0289822500e-03    4.8811197917e-01
        14   -1.0383586628e+02    1.0783229341e+04   -1.6226570743e+02    5.8429841149e+01    7.6167622903e+01   -2.5270062671e+02    1.4267296381e+01    1.0240000000e+03    4.0354032535e-03    4.8756510417e-01
        15   -1.0391806387e+02    1.0800432935e+04   -1.6272456457e+02    5.8806500697e+01    7.5970950000e+01   -2.5285050191e+02    1.4154987344e+01    1.0240000000e+03    4.0141036734e-03    4.8367187500e-01
        16   -1.0382839249e+02    1.0781702649e+04   -1.6256288551e+02    5.8734493016e+01    7.6354928561e+01   -2.5355787385e+02    1.4640059780e+01    1.0240000000e+03    4.0388295893e-03    4.8802083333e-01
        17   -1.0376883239e+02    1.0769252027e+04   -1.6194013118e+02    5.8171298794e+01    7.5682770958e+01   -2.5181568447e+02    1.4192782330e+01    1.0240000000e+03    4.0257677902e-03    4.8572916667e-01
        18   -1.0374976525e+02    1.0765095175e+04   -1.6161318608e+02    5.7863420836e+01    7.6027656804e+01   -2.5194243921e+02    1.4301596323e+01    1.0240000000e+03    4.0214145556e-03    4.8544270833e-01
        19   -1.0377867869e+02    1.0771336182e+04   -1.6188282083e+02    5.8104142135e+01    7.5665029424e+01   -2.5100027362e+02    1.3452423368e+01    1.0240000000e+03    4.0235128254e-03    4.8833333333e-01
        20   -1.0376493904e+02    1.0768485638e+04   -1.6159234545e+02    5.7827406411e+01    7.5621622131e+01   -2.5139979671e+02    1.4185829128e+01    1.0240000000e+03    4.0209961589e-03    4.8548177083e-01
        21   -1.0380038988e+02    1.0775795393e+04   -1.6284679677e+02    5.9046406888e+01    7.5899419571e+01   -2.5252614695e+02    1.3779930608e+01    1.0240000000e+03    4.0142554790e-03    4.8572916667e-01
        22   -1.0376245955e+02    1.0768039040e+04   -1.6147589160e+02    5.7713432044e+01    7.5714210463e+01   -2.5183234944e+02    1.4642247382e+01    1.0240000000e+03    4.0119681507e-03    4.8774739583e-01
        23   -1.0376841864e+02    1.0769267328e+04   -1.5986821531e+02    5.6099796668e+01    7.5255653262e+01   -2.4905801747e+02    1.3934148895e+01    1.0240000000e+03    4.0176915936e-03    4.8867187500e-01
        24   -1.0378767605e+02    1.0773063258e+04   -1.6033863051e+02    5.6550954457e+01    7.5746806574e+01   -2.5079862819e+02    1.4713191107e+01    1.0240000000e+03    4.0062810294e-03    4.8826822917e-01
        25   -1.0375920503e+02    1.0767156819e+04   -1.6096305241e+02    5.7203847382e+01    7.5505157933e+01   -2.5006213864e+02    1.3593928300e+01    1.0240000000e+03    4.0138701443e-03    4.9007812500e-01
        26   -1.0381898748e+02    1.0779885176e+04   -1.6099415065e+02    5.7175163166e+01    7.5835053021e+01   -2.5102363483e+02    1.4194431159e+01    1.0240000000e+03    4.0095432196e-03    4.8657552083e-01
        27   -1.0379825148e+02    1.0775131024e+04   -1.6198900479e+02    5.8190753309e+01    7.6098538989e+01   -2.5228580216e+02    1.4198258387e+01    1.0240000000e+03    4.0007578209e-03    4.8513020833e-01
        28   -1.0384832725e+02    1.0786079115e+04   -1.6224770671e+02    5.8399379456e+01    7.6276746084e+01   -2.5285907159e+02    1.4334618797e+01    1.0240000000e+03    3.9986260235e-03    4.8381510417e-01
        29   -1.0381621482e+02    1.0779329031e+04   -1.6196221182e+02    5.8145997000e+01    7.6331020803e+01   -2.5359963889e+02    1.5306406268e+01    1.0240000000e+03    4.0196832269e-03    4.8692708333e-01
        30   -1.0380101997e+02    1.0775998511e+04   -1.6212787976e+02    5.8326859785e+01    7.6500347015e+01   -2.5316733114e+02    1.4539104364e+01    1.0240000000e+03    4.0187409613e-03    4.8876302083e-01
        31   -1.0377170662e+02    1.0769899589e+04   -1.6104411582e+02    5.7272409196e+01    7.6083443259e+01   -2.5181849552e+02    1.4690936440e+01    1.0240000000e+03    4.0198503993e-03    4.8861979167e-01
        32   -1.0378680699e+02    1.0773703150e+04   -1.6242860165e+02    5.8641794657e+01    7.6114081476e+01   -2.5317647933e+02    1.4633796203e+01    1.0240000000e+03    4.0094640572e-03    4.8759114583e-01
