#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.6932677783e+02    2.8675769374e+04   -2.7654513466e+02    1.0721835684e+02    1.3085888755e+02   -4.2603059490e+02    1.8626572684e+01    1.0240000000e+03    5.1866029389e-03    4.2335069444e-01
         1   -1.6924667520e+02    2.8647269711e+04   -2.7367312340e+02    1.0442644820e+02    1.3018970522e+02   -4.2436715094e+02    2.0504322329e+01    1.0240000000e+03    5.1106682513e-03    4.2405598958e-01
         2   -1.6932748856e+02    2.8674152563e+04   -2.7628020989e+02    1.0695272133e+02    1.3077906424e+02   -4.2805303972e+02    2.0993765585e+01    1.0240000000e+03    5.0652001519e-03    4.2550998264e-01
         3   -1.6927496431e+02    2.8656160179e+04   -2.7491139346e+02    1.0563642915e+02    1.2998983227e+02   -4.2528730204e+02    2.0386076306e+01    1.0240000000e+03    5.0306092016e-03    4.2561848958e-01
         4   -1.6927275430e+02    2.8655764761e+04   -2.7647213613e+02    1.0719938183e+02    1.3027141441e+02   -4.2645740708e+02    1.9713856541e+01    1.0240000000e+03    5.0182216801e-03    4.2100694444e-01
         5   -1.6924991029e+02    2.8648022291e+04   -2.7617384427e+02    1.0692393398e+02    1.3034383522e+02   -4.2602205030e+02    1.9504370817e+01    1.0240000000e+03    4.9982420169e-03    4.2215711806e-01
         6   -1.6922238770e+02    2.8639388070e+04   -2.7943354399e+02    1.1021115629e+02    1.3081261046e+02   -4.2879143400e+02    1.8545279557e+01    1.0240000000e+03    5.0072013400e-03    4.2613932292e-01
         7   -1.6930216896e+02    2.8665221430e+04   -2.7711387955e+02    1.0781171059e+02    1.3078417131e+02   -4.2641763103e+02    1.8519580171e+01    1.0240000000e+03    4.9766222946e-03    4.2055121528e-01
         8   -1.6935236806e+02    2.8682686872e+04   -2.7660132560e+02    1.0724895754e+02    1.3061571083e+02   -4.2585935555e+02    1.8642319111e+01    1.0240000000e+03    4.9822502770e-03    4.2204861111e-01
         9   -1.6915290912e+02    2.8617353267e+04   -2.7598092579e+02    1.0682801667e+02    1.3058076648e+02   -4.2641485565e+02    1.9853163381e+01    1.0240000000e+03    4.9710161984e-03    4.2131076389e-01
        10   -1.6922852308e+02    2.8641159834e+04   -2.7502650669e+02    1.0579798361e+02    1.3026129097e+02   -4.2445546571e+02    1.9167668047e+01    1.0240000000e+03    4.9720902462e-03    4.2438151042e-01
        11   -1.6930023515e+02    2.8664863944e+04   -2.7730534222e+02    1.0800510707e+02    1.3035867234e+02   -4.2617548103e+02    1.8511466471e+01    1.0240000000e+03    4.9713093322e-03    4.2564019097e-01
        12   -1.6927505010e+02    2.8656804441e+04   -2.7714573221e+02    1.0787068211e+02    1.3038578699e+02   -4.2700931931e+02    1.9477800110e+01    1.0240000000e+03    4.9451240338e-03    4.2309027778e-01
        13   -1.6925172705e+02    2.8648183723e+04   -2.7692751790e+02    1.0767579085e+02    1.3025353917e+02   -4.2637327179e+02    1.9192214714e+01    1.0240000000e+03    4.9523438793e-03    4.2333984375e-01
        14   -1.6922079597e+02    2.8638784938e+04   -2.7741286435e+02    1.0819206838e+02    1.3086108928e+02   -4.2701977632e+02    1.8745822688e+01    1.0240000000e+03    4.9596345052e-03    4.2546657986e-01
        15   -1.6919349879e+02    2.8628501635e+04   -2.7785824693e+02    1.0866474815e+02    1.3117916326e+02   -4.2855251517e+02    1.9515104973e+01    1.0240000000e+03    4.9559366889e-03    4.2238498264e-01
        16   -1.6922172011e+02    2.8638053555e+04   -2.7771173517e+02    1.0849001506e+02    1.3124670731e+02   -4.2850786350e+02    1.9549421026e+01    1.0240000000e+03    4.9429123756e-03    4.2041015625e-01
        17   -1.6923204683e+02    2.8641372879e+04   -2.7888716124e+02    1.0965511441e+02    1.3150182192e+02   -4.3044436548e+02    2.0055382323e+01    1.0240000000e+03    4.9475652631e-03    4.2309027778e-01
        18   -1.6930461393e+02    2.8666547935e+04   -2.7729450462e+02    1.0798989069e+02    1.3149414617e+02   -4.2818884435e+02    1.9400193552e+01    1.0240000000e+03    4.9325153232e-03    4.2023654514e-01
        19   -1.6912551160e+02    2.8605403193e+04   -2.7576505022e+02    1.0663953862e+02    1.3095913175e+02   -4.2695676884e+02    2.0232586867e+01    1.0240000000e+03    4.9268361181e-03    4.2208116319e-01
        20   -1.6933110705e+02    2.8676931997e+04   -2.7723716528e+02    1.0790605823e+02    1.3172402934e+02   -4.2828145727e+02    1.9320262646e+01    1.0240000000e+03    4.9299430102e-03    4.2030164931e-01
        21   -1.6919670754e+02    2.8629700838e+04   -2.7874683012e+02    1.0955012258e+02    1.3149799882e+02   -4.2851548018e+02    1.8270651251e+01    1.0240000000e+03    4.9543981440e-03    4.2452256944e-01
        22   -1.6925467835e+02    2.8649641430e+04   -2.7762004631e+02    1.0836536796e+02    1.3125789970e+02   -4.2684864920e+02    1.7970703189e+01    1.0240000000e+03    4.9263618421e-03    4.2285156250e-01
        23   -1.6926311297e+02    2.8652233712e+04   -2.7683143601e+02    1.0756832305e+02    1.3119018077e+02   -4.2657884659e+02    1.8557229805e+01    1.0240000000e+03    4.9236644991e-03    4.2568359375e-01
        24   -1.6916705882e+02    2.8619451579e+04   -2.7404479892e+02    1.0487774010e+02    1.3039147463e+02   -4.2299960687e+02    1.8563333327e+01    1.0240000000e+03    4.9251045566e-03    4.2459852431e-01
        25   -1.6925789951e+02    2.8650504166e+04   -2.7600440112e+02    1.0674650161e+02    1.3117518707e+02   -4.2810932512e+02    2.0929736931e+01    1.0240000000e+03    4.9260687083e-03    4.2296006944e-01
        26   -1.6930591145e+02    2.8667015556e+04   -2.7885020520e+02    1.0954429375e+02    1.3148656993e+02   -4.2971279910e+02    1.9376023967e+01    1.0240000000e+03    4.9260610249e-03    4.2590060764e-01
        27   -1.6927416558e+02    2.8656597713e+04   -2.7716567609e+02    1.0789151051e+02    1.3136415284e+02   -4.2755758970e+02    1.9027760765e+01    1.0240000000e+03    4.9310801551e-03    4.2577039931e-01
        28   -1.6925189996e+02    2.8648350663e+04   -2.7683248998e+02    1.0758059002e+02    1.3166301659e+02   -4.2862378187e+02    2.0128275308e+01    1.0240000000e+03    4.9119431060e-03    4.2354600694e-01
        29   -1.6918627863e+02    2.8625783403e+04   -2.7650724578e+02    1.0732096715e+02    1.3075110688e+02   -4.2713300922e+02    1.9874656572e+01    1.0240000000e+03    4.8847410362e-03    4.2039930556e-01
        30   -1.6913426536e+02    2.8609055667e+04   -2.7676625411e+02    1.0763198874e+02    1.3114566001e+02   -4.2685092832e+02    1.8939014205e+01    1.0240000000e+03    4.9088892993e-03    4.2354600694e-01
        31   -1.6919796772e+02    2.8631050038e+04   -2.7881862838e+02    1.0962066066e+02    1.3140825359e+02   -4.2898190958e+02    1.8755027607e+01    1.0240000000e+03    4.9036480486e-03    4.2156032986e-01
        32   -1.6932086297e+02    2.8672013998e+04   -2.7665917370e+02    1.0733831073e+02    1.3105704425e+02   -4.2772793564e+02    2.0011717691e+01    1.0240000000e+03    4.9080061726e-03    4.2442491319e-01
        33   -1.6925619460e+02    2.8650123287e+04   -2.7633827972e+02    1.0708208511e+02    1.3146760490e+02   -4.2614147707e+02    1.8335592457e+01    1.0240000000e+03    4.9067251384e-03    4.2350260417e-01
        34   -1.6931664348e+02    2.8670560359e+04   -2.7576565802e+02    1.0644901454e+02    1.3049198233e+02   -4.2431225575e+02    1.8054615397e+01    1.0240000000e+03    4.9070836976e-03    4.2442491319e-01
        35   -1.6935139001e+02    2.8684593342e+04   -2.7727915086e+02    1.0792776085e+02    1.3118379282e+02   -4.2726911788e+02    1.8806174200e+01    1.0240000000e+03    4.9196823966e-03    4.2396918403e-01
        36   -1.6927081651e+02    2.8655743668e+04   -2.7661475508e+02    1.0734393857e+02    1.3139615102e+02   -4.2725539199e+02    1.9244485894e+01    1.0240000000e+03    4.9205378164e-03    4.2519531250e-01
        37   -1.6926252395e+02    2.8652090528e+04   -2.7655732648e+02    1.0729480253e+02    1.3176089077e+02   -4.2798172317e+02    1.9663505916e+01    1.0240000000e+03    4.9070431851e-03    4.1929253472e-01
        38   -1.6926377108e+02    2.8652348157e+04   -2.7521217736e+02    1.0594840628e+02    1.3092275100e+02   -4.2563034471e+02    1.9495416343e+01    1.0240000000e+03    4.9065842759e-03    4.2294921875e-01
        39   -1.6922528458e+02    2.8639822167e+04   -2.7699813484e+02    1.0777285025e+02    1.3115615794e+02   -4.2638529954e+02    1.8231006764e+01    1.0240000000e+03    4.9108103849e-03    4.2433810764e-01
        40   -1.6922188202e+02    2.8639033357e+04   -2.7604914617e+02    1.0682726415e+02    1.3084203891e+02   -4.2572991533e+02    1.8838730246e+01    1.0240000000e+03    4.9320866819e-03    4.2788628472e-01
        41   -1.6920269819e+02    2.8632669685e+04   -2.7608336170e+02    1.0688066351e+02    1.3105700136e+02   -4.2701573110e+02    1.9875368031e+01    1.0240000000e+03    4.9239313230e-03    4.2386067708e-01
        42   -1.6918207333e+02    2.8624965301e+04   -2.7680010200e+02    1.0761802867e+02    1.3086196444e+02   -4.2636696408e+02    1.8704897641e+01    1.0240000000e+03    4.9070946407e-03    4.2340494792e-01
        43   -1.6918846145e+02    2.8628718819e+04   -2.7636212838e+02    1.0717366693e+02    1.3089471663e+02   -4.2610523505e+02    1.8848390035e+01    1.0240000000e+03    4.9160071649e-03    4.2492404514e-01
        44   -1.6920996480e+02    2.8634181845e+04   -2.7520301717e+02    1.0599305237e+02    1.3030339387e+02   -4.2599845623e+02    2.0492045184e+01    1.0240000000e+03    4.9077135045e-03    4.2291666667e-01
        45   -1.6918439441e+02    2.8625440710e+04   -2.7499643260e+02    1.0581203819e+02    1.2984121246e+02   -4.2358104296e+02    1.8743397906e+01    1.0240000000e+03    4.9116685987e-03    4.2378472222e-01
        46   -1.6926999799e+02    2.8654716646e+04   -2.7780337332e+02    1.0853337534e+02    1.3075362902e+02   -4.2895448040e+02    2.0397478051e+01    1.0240000000e+03    4.8958628904e-03    4.2323133681e-01
        47   -1.6914622033e+02    2.8612675365e+04   -2.7604317618e+02    1.0689695585e+02    1.3087296889e+02   -4.2597766969e+02    1.9061524625e+01    1.0240000000e+03    4.9041521270e-03    4.2166883681e-01
        48   -1.6924567818e+02    2.8645900175e+04   -2.7776461534e+02    1.0851893716e+02    1.3100410776e+02   -4.2833865479e+02    1.9569931682e+01    1.0240000000e+03    4.9086192157e-03    4.2396918403e-01
        49   -1.6922325390e+02    2.8638735749e+04   -2.7770195267e+02    1.0847869877e+02    1.3061600106e+02   -4.2776529477e+02    1.9447341043e+01    1.0240000000e+03    4.8840481322e-03    4.2196180556e-01
        50   -1.6921239031e+02    2.8635186230e+04   -2.7738826696e+02    1.0817587665e+02    1.3134057458e+02   -4.2876529937e+02    2.0036457839e+01    1.0240000000e+03    4.8918293323e-03    4.2166883681e-01
        51   -1.6928125543e+02    2.8658167571e+04   -2.7785100491e+02    1.0856974948e+02    1.3166438855e+02   -4.2897660109e+02    1.9461207628e+01    1.0240000000e+03    4.9131577834e-03    4.2212456597e-01
        52   -1.6921666403e+02    2.8636620462e+04   -2.7752200002e+02    1.0830533600e+02    1.3146213671e+02   -4.2900700674e+02    2.0022870008e+01    1.0240000000e+03    4.9062729813e-03    4.2378472222e-01
        53   -1.6920857086e+02    2.8633567969e+04   -2.7716258905e+02    1.0795401819e+02    1.3141524127e+02   -4.2875724821e+02    2.0179417898e+01    1.0240000000e+03    4.8920428380e-03    4.2187500000e-01
        54   -1.6923100406e+02    2.8641580243e+04   -2.7774141984e+02    1.0851041577e+02    1.3152470564e+02   -4.2870078860e+02    1.9434663124e+01    1.0240000000e+03    4.9094890710e-03    4.2279730903e-01
        55   -1.6937115405e+02    2.8688947284e+04   -2.7954710555e+02    1.1017595150e+02    1.3148054321e+02   -4.3144143251e+02    2.0413783746e+01    1.0240000000e+03    4.9032447860e-03    4.2059461806e-01
        56   -1.6921451632e+02    2.8635777319e+04   -2.7599325147e+02    1.0677873515e+02    1.3096257349e+02   -4.2759790717e+02    2.0642082208e+01    1.0240000000e+03    4.9020678271e-03    4.2491319444e-01
        57   -1.6936941424e+02    2.8702789286e+04   -2.7723131583e+02    1.0786190160e+02    1.3087478842e+02   -4.2663338360e+02    1.8527279349e+01    1.0240000000e+03    4.9082837068e-03    4.2655164931e-01
        58   -1.6924380647e+02    2.8645724457e+04   -2.7605122755e+02    1.0680742108e+02    1.3123602948e+02   -4.2715329288e+02    1.9866035855e+01    1.0240000000e+03    4.8997669946e-03    4.2391493056e-01
        59   -1.6922480146e+02    2.8639040094e+04   -2.7512556428e+02    1.0590076281e+02    1.3061161241e+02   -4.2485632583e+02    1.9119149143e+01    1.0240000000e+03    4.9012759700e-03    4.2606336806e-01
        60   -1.6925332508e+02    2.8648969138e+04   -2.7699657123e+02    1.0774324615e+02    1.3166940643e+02   -4.2897669886e+02    2.0310721210e+01    1.0240000000e+03    4.8953068908e-03    4.2261284722e-01
        61   -1.6922808686e+02    2.8640529293e+04   -2.7609778722e+02    1.0686970036e+02    1.3101745994e+02   -4.2774553567e+02    2.0630288519e+01    1.0240000000e+03    4.8978298437e-03    4.2330729167e-01
        62   -1.6928250177e+02    2.8659122160e+04   -2.7572616495e+02    1.0644366318e+02    1.3061503757e+02   -4.2561178795e+02    1.9270585430e+01    1.0240000000e+03    4.8769172281e-03    4.2143012153e-01
        63   -1.6930815985e+02    2.8667597839e+04   -2.7445981421e+02    1.0515165436e+02    1.3063391897e+02   -4.2508175013e+02    1.9988016943e+01    1.0240000000e+03    4.9043183681e-03    4.2647569444e-01
        64   -1.6928588730e+02    2.8659870937e+04   -2.7462600234e+02    1.0534011504e+02    1.3060322494e+02   -4.2442655527e+02    1.9197327983e+01    1.0240000000e+03    4.8856665380e-03    4.2282986111e-01
        65   -1.6922817234e+02    2.8640014388e+04   -2.7691861562e+02    1.0769044328e+02    1.3079645737e+02   -4.2613976447e+02    1.8424691482e+01    1.0240000000e+03    4.8861063551e-03    4.2267795139e-01
        66   -1.6918401105e+02    2.8625795637e+04   -2.7604732858e+02    1.0686331754e+02    1.3074617723e+02   -4.2501627197e+02    1.8222766162e+01    1.0240000000e+03    4.8888877500e-03    4.2187500000e-01
        67   -1.6918018413e+02    2.8624097857e+04   -2.7798553303e+02    1.0880534889e+02    1.3128732171e+02   -4.2857077634e+02    1.9297921597e+01    1.0240000000e+03    4.8955497332e-03    4.2281901042e-01
        68   -1.6928312074e+02    2.8659164236e+04   -2.7783349174e+02    1.0855037100e+02    1.3144313801e+02   -4.2898130696e+02    1.9704677208e+01    1.0240000000e+03    4.8958377447e-03    4.2120225694e-01
        69   -1.6931711772e+02    2.8670290757e+04   -2.7772357504e+02    1.0840645732e+02    1.3169001327e+02   -4.2988206906e+02    2.0468480753e+01    1.0240000000e+03    4.8977890983e-03    4.2171223958e-01
        70   -1.6924131002e+02    2.8645277175e+04   -2.7880127278e+02    1.0955996276e+02    1.3169528548e+02   -4.2901751482e+02    1.8520956561e+01    1.0240000000e+03    4.9065966159e-03    4.2399088542e-01
        71   -1.6921129525e+02    2.8634567833e+04   -2.7783222343e+02    1.0862092818e+02    1.3122978581e+02   -4.2872454955e+02    1.9662540309e+01    1.0240000000e+03    4.8947269097e-03    4.2316623264e-01
        72   -1.6922643149e+02    2.8642941620e+04   -2.7855473935e+02    1.0932830786e+02    1.3106160099e+02   -4.2923224215e+02    1.9615901819e+01    1.0240000000e+03    4.8904668074e-03    4.2368706597e-01
        73   -1.6928173497e+02    2.8659138876e+04   -2.7735251100e+02    1.0807077603e+02    1.3144808391e+02   -4.2744214827e+02    1.8641553364e+01    1.0240000000e+03    4.8997243866e-03    4.2417534722e-01
        74   -1.6922623721e+02    2.8640248612e+04   -2.7455469259e+02    1.0532845538e+02    1.3081278269e+02   -4.2429919069e+02    1.8931715414e+01    1.0240000000e+03    4.8987923656e-03    4.2514105903e-01
        75   -1.6927262281e+02    2.8656796508e+04   -2.7732083998e+02    1.0804821717e+02    1.3139057161e+02   -4.2835018802e+02    1.9638776438e+01    1.0240000000e+03    4.9076692667e-03    4.2438151042e-01
