#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -4.6473661729e+01    2.1603353869e+03   -6.5820855657e+01    1.9347193928e+01    3.0138348986e+01   -1.0403002019e+02    8.0708155511e+00    2.0480000000e+03    5.9564535040e-03    5.9024325284e-01
         1   -4.6539207222e+01    2.1694676989e+03   -6.5591954259e+01    1.9052747037e+01    2.9953476722e+01   -1.0377217374e+02    8.2267427609e+00    2.0480000000e+03    5.8488512877e-03    5.9091796875e-01
         2   -4.6512782661e+01    2.1642671714e+03   -6.5640655777e+01    1.9127873116e+01    3.0083981860e+01   -1.0415701361e+02    8.4323759764e+00    2.0480000000e+03    5.7761212811e-03    5.9066051136e-01
         3   -4.6519519175e+01    2.1647197240e+03   -6.5702567101e+01    1.9183047926e+01    3.0155842706e+01   -1.0386207795e+02    8.0036681407e+00    2.0480000000e+03    5.7603183668e-03    5.9186789773e-01
         4   -4.6490320104e+01    2.1619155100e+03   -6.5766683406e+01    1.9276363302e+01    3.0292796533e+01   -1.0442700920e+02    8.3675292639e+00    2.0480000000e+03    5.7522533461e-03    5.9335049716e-01
         5   -4.6470654057e+01    2.1602095538e+03   -6.5687548843e+01    1.9216894785e+01    3.0092539818e+01   -1.0371711547e+02    7.9370268107e+00    2.0480000000e+03    5.7252158877e-03    5.9034978693e-01
         6   -4.6484889339e+01    2.1615418276e+03   -6.5646056610e+01    1.9161167272e+01    3.0230054899e+01   -1.0418916042e+02    8.3130489086e+00    2.0480000000e+03    5.7259190362e-03    5.9082031250e-01
         7   -4.6482996555e+01    2.1612840647e+03   -6.5907109616e+01    1.9424113061e+01    3.0293942098e+01   -1.0446737196e+02    8.2663202474e+00    2.0480000000e+03    5.7291125413e-03    5.9021661932e-01
         8   -4.6471369871e+01    2.1602112949e+03   -6.6072701344e+01    1.9601331473e+01    3.0163385798e+01   -1.0435470753e+02    8.1186203889e+00    2.0480000000e+03    5.7353880256e-03    5.9219637784e-01
         9   -4.6523317053e+01    2.1651047932e+03   -6.6272585554e+01    1.9749268501e+01    3.0433090163e+01   -1.0520681913e+02    8.5011434157e+00    2.0480000000e+03    5.7128753979e-03    5.8919566761e-01
        10   -4.6503031002e+01    2.1630648295e+03   -6.5634799708e+01    1.9131768706e+01    3.0188754928e+01   -1.0409042688e+02    8.2668722410e+00    2.0480000000e+03    5.7003889233e-03    5.8898259943e-01
        11   -4.6488067432e+01    2.1617020016e+03   -6.5796666560e+01    1.9308599128e+01    3.0187648594e+01   -1.0404020956e+02    8.0558944071e+00    2.0480000000e+03    5.7043978013e-03    5.9155717330e-01
        12   -4.6506965326e+01    2.1634754057e+03   -6.5677973227e+01    1.9171007901e+01    3.0435641626e+01   -1.0447529650e+02    8.3616816468e+00    2.0480000000e+03    5.6972124148e-03    5.9237393466e-01
        13   -4.6497895676e+01    2.1626735288e+03   -6.5806323286e+01    1.9308427611e+01    3.0255136046e+01   -1.0466365198e+02    8.6021926487e+00    2.0480000000e+03    5.6959353387e-03    5.9154829545e-01
        14   -4.6503671222e+01    2.1632660683e+03   -6.5952894526e+01    1.9449223304e+01    3.0296890985e+01   -1.0396263187e+02    7.7128463615e+00    2.0480000000e+03    5.6938410271e-03    5.9061612216e-01
        15   -4.6497553177e+01    2.1627551127e+03   -6.5791140363e+01    1.9293587185e+01    3.0227114673e+01   -1.0454054794e+02    8.5222929045e+00    2.0480000000e+03    5.6801231112e-03    5.9253373580e-01
        16   -4.6472746604e+01    2.1602356331e+03   -6.5584784688e+01    1.9112038084e+01    3.0289569881e+01   -1.0435149571e+02    8.4771411399e+00    2.0480000000e+03    5.7027684525e-03    5.9148615057e-01
        17   -4.6505088847e+01    2.1633170950e+03   -6.5464204350e+01    1.8959115503e+01    3.0281849350e+01   -1.0417992159e+02    8.4338678874e+00    2.0480000000e+03    5.6972657330e-03    5.9104225852e-01
        18   -4.6502048065e+01    2.1632236309e+03   -6.5591549654e+01    1.9089501589e+01    3.0240546164e+01   -1.0453088499e+02    8.6987891711e+00    2.0480000000e+03    5.6848069653e-03    5.8921342330e-01
        19   -4.6498522172e+01    2.1626945810e+03   -6.5543294898e+01    1.9044772726e+01    3.0261872671e+01   -1.0380345611e+02    7.9982885391e+00    2.0480000000e+03    5.6982031092e-03    5.9121093750e-01
        20   -4.6504781771e+01    2.1633072544e+03   -6.5781123361e+01    1.9276341590e+01    3.0345984577e+01   -1.0440243095e+02    8.2753230091e+00    2.0480000000e+03    5.6978373323e-03    5.9138849432e-01
        21   -4.6506019707e+01    2.1635602566e+03   -6.5582583830e+01    1.9076564124e+01    3.0260577832e+01   -1.0422356118e+02    8.3803995208e+00    2.0480000000e+03    5.6902428623e-03    5.9190340909e-01
        22   -4.6501705560e+01    2.1629986329e+03   -6.5593255578e+01    1.9091550018e+01    3.0201693560e+01   -1.0383833943e+02    8.0433902958e+00    2.0480000000e+03    5.6874470320e-03    5.9221413352e-01
        23   -4.6487716127e+01    2.1617061176e+03   -6.5884317775e+01    1.9396601649e+01    3.0317081957e+01   -1.0432256139e+02    8.1211616571e+00    2.0480000000e+03    5.6855648290e-03    5.9200994318e-01
        24   -4.6463679268e+01    2.1594251796e+03   -6.5808859696e+01    1.9345180428e+01    3.0222334993e+01   -1.0371259955e+02    7.6814048598e+00    2.0480000000e+03    5.7294878643e-03    5.9101562500e-01
        25   -4.6461458586e+01    2.1591961649e+03   -6.5848032741e+01    1.9386574155e+01    3.0210810033e+01   -1.0425216364e+02    8.1933208624e+00    2.0480000000e+03    5.6750320364e-03    5.9068714489e-01
        26   -4.6502227258e+01    2.1632166615e+03   -6.5705168601e+01    1.9202941343e+01    3.0185312872e+01   -1.0413471291e+02    8.2442314324e+00    2.0480000000e+03    5.6600072421e-03    5.9017223011e-01
        27   -4.6507883871e+01    2.1636568183e+03   -6.5945390295e+01    1.9437506424e+01    3.0236095212e+01   -1.0455696513e+02    8.3754796252e+00    2.0480000000e+03    5.6756669655e-03    5.9101562500e-01
        28   -4.6474985446e+01    2.1604619133e+03   -6.6078192865e+01    1.9603207420e+01    3.0162439349e+01   -1.0441259974e+02    8.1719675210e+00    2.0480000000e+03    5.6805226486e-03    5.8998579545e-01
        29   -4.6463891454e+01    2.1599821145e+03   -6.5947695587e+01    1.9483804133e+01    3.0262951227e+01   -1.0434131360e+02    8.1306667866e+00    2.0480000000e+03    5.6836167350e-03    5.9270241477e-01
        30   -4.6479241320e+01    2.1611522829e+03   -6.5510912560e+01    1.9031671240e+01    3.0103582432e+01   -1.0347207578e+02    7.8575807916e+00    2.0480000000e+03    5.6743547320e-03    5.9050958807e-01
        31   -4.6465314840e+01    2.1598713024e+03   -6.5720474202e+01    1.9255159362e+01    3.0217957022e+01   -1.0436034794e+02    8.4219167197e+00    2.0480000000e+03    5.6900524069e-03    5.9272904830e-01
        32   -4.6483168795e+01    2.1613875817e+03   -6.5564815324e+01    1.9081646529e+01    3.0327423475e+01   -1.0415472708e+02    8.2624882786e+00    2.0480000000e+03    5.6980475783e-03    5.9403409091e-01
        33   -4.6483277256e+01    2.1614843430e+03   -6.5606151632e+01    1.9122874376e+01    3.0298899196e+01   -1.0464375293e+02    8.7387021047e+00    2.0480000000e+03    5.6806623470e-03    5.9153941761e-01
        34   -4.6511026082e+01    2.1638742915e+03   -6.6134052519e+01    1.9623026437e+01    3.0390047605e+01   -1.0467510661e+02    8.1510064867e+00    2.0480000000e+03    5.6847559754e-03    5.8726917614e-01
        35   -4.6480093783e+01    2.1612147619e+03   -6.5855610153e+01    1.9375516370e+01    3.0393186703e+01   -1.0445372021e+02    8.2049233577e+00    2.0480000000e+03    5.6798108853e-03    5.8971946023e-01
        36   -4.6490133702e+01    2.1619323971e+03   -6.5840266349e+01    1.9350132647e+01    3.0379797391e+01   -1.0464956968e+02    8.4295059422e+00    2.0480000000e+03    5.6736932602e-03    5.9145063920e-01
        37   -4.6514586486e+01    2.1642090141e+03   -6.5816245218e+01    1.9301658732e+01    3.0262473162e+01   -1.0432462434e+02    8.2459059605e+00    2.0480000000e+03    5.6761130691e-03    5.9270241477e-01
        38   -4.6497108648e+01    2.1626037037e+03   -6.5809557688e+01    1.9312449040e+01    3.0280862469e+01   -1.0409570157e+02    8.0052814146e+00    2.0480000000e+03    5.6858323514e-03    5.9236505682e-01
        39   -4.6495326227e+01    2.1625505307e+03   -6.6247990047e+01    1.9752663819e+01    3.0178064352e+01   -1.0416376810e+02    7.7377137023e+00    2.0480000000e+03    5.6759968866e-03    5.8950639205e-01
        40   -4.6483339853e+01    2.1614110164e+03   -6.5952043669e+01    1.9468703817e+01    3.0211557222e+01   -1.0444310805e+02    8.2795071592e+00    2.0480000000e+03    5.6846374646e-03    5.8813920455e-01
        41   -4.6479648218e+01    2.1611495707e+03   -6.5614439959e+01    1.9134791741e+01    3.0164785899e+01   -1.0442469040e+02    8.6454645427e+00    2.0480000000e+03    5.6897695176e-03    5.9151278409e-01
        42   -4.6490191434e+01    2.1618876675e+03   -6.5652003613e+01    1.9161812179e+01    3.0129381433e+01   -1.0390523162e+02    8.1238465755e+00    2.0480000000e+03    5.6990704034e-03    5.9281782670e-01
        43   -4.6452614972e+01    2.1583500825e+03   -6.5884710913e+01    1.9432095941e+01    3.0138129711e+01   -1.0386151170e+02    7.8386710812e+00    2.0480000000e+03    5.6867457461e-03    5.9240944602e-01
        44   -4.6483551081e+01    2.1611879756e+03   -6.5740185857e+01    1.9256634776e+01    3.0044546153e+01   -1.0355404824e+02    7.7693162334e+00    2.0480000000e+03    5.6609231979e-03    5.9200106534e-01
        45   -4.6511398000e+01    2.1640529233e+03   -6.5970486788e+01    1.9459088788e+01    3.0099544601e+01   -1.0367498957e+02    7.6049581798e+00    2.0480000000e+03    5.6693907827e-03    5.9124644886e-01
        46   -4.6496075470e+01    2.1626111283e+03   -6.5652525000e+01    1.9156449530e+01    3.0214784309e+01   -1.0411780199e+02    8.2504926831e+00    2.0480000000e+03    5.6627513841e-03    5.8939098011e-01
        47   -4.6502592591e+01    2.1630714745e+03   -6.5744732068e+01    1.9242139476e+01    3.0177769238e+01   -1.0405029306e+02    8.1277917561e+00    2.0480000000e+03    5.6783065666e-03    5.9153941761e-01
        48   -4.6484679692e+01    2.1615924099e+03   -6.5585017744e+01    1.9100338052e+01    3.0119361283e+01   -1.0367452443e+02    7.9701454028e+00    2.0480000000e+03    5.6669039186e-03    5.9210759943e-01
        49   -4.6495990781e+01    2.1626923561e+03   -6.5966822095e+01    1.9470831314e+01    3.0189901001e+01   -1.0407269827e+02    7.9159751720e+00    2.0480000000e+03    5.6674268562e-03    5.9171697443e-01
        50   -4.6498012214e+01    2.1631273845e+03   -6.5869421228e+01    1.9371409014e+01    3.0271099442e+01   -1.0433411939e+02    8.1935987185e+00    2.0480000000e+03    5.6681430433e-03    5.9097123580e-01
        51   -4.6476986538e+01    2.1607924212e+03   -6.5808155136e+01    1.9331168598e+01    3.0135073959e+01   -1.0381572005e+02    7.8724909566e+00    2.0480000000e+03    5.6534050964e-03    5.8892933239e-01
        52   -4.6467749568e+01    2.1600415259e+03   -6.5758550460e+01    1.9290800893e+01    3.0424876439e+01   -1.0505660231e+02    8.8731754057e+00    2.0480000000e+03    5.6967425626e-03    5.9411399148e-01
        53   -4.6485658716e+01    2.1616383550e+03   -6.5797828761e+01    1.9312170045e+01    3.0197742172e+01   -1.0436835372e+02    8.3727827908e+00    2.0480000000e+03    5.6721461006e-03    5.9027876420e-01
        54   -4.6487112848e+01    2.1615463587e+03   -6.5621550375e+01    1.9134437528e+01    3.0027458103e+01   -1.0387818514e+02    8.2291766642e+00    2.0480000000e+03    5.6741875596e-03    5.9217862216e-01
        55   -4.6499090788e+01    2.1627238661e+03   -6.5684010156e+01    1.9184919368e+01    3.0097325791e+01   -1.0402517487e+02    8.2438389222e+00    2.0480000000e+03    5.6638547685e-03    5.8992365057e-01
        56   -4.6497731224e+01    2.1625727369e+03   -6.6055772338e+01    1.9558041114e+01    3.0190602164e+01   -1.0405880341e+02    7.8124289031e+00    2.0480000000e+03    5.6643274147e-03    5.8926669034e-01
        57   -4.6471652390e+01    2.1602578445e+03   -6.5643648879e+01    1.9171996489e+01    3.0201033523e+01   -1.0408123707e+02    8.2365546642e+00    2.0480000000e+03    5.6659360416e-03    5.9070490057e-01
        58   -4.6515238029e+01    2.1643252479e+03   -6.5811297944e+01    1.9296059915e+01    3.0212219239e+01   -1.0432795268e+02    8.3044354948e+00    2.0480000000e+03    5.6882384233e-03    5.9414062500e-01
        59   -4.6505784823e+01    2.1634747015e+03   -6.5787456689e+01    1.9281671866e+01    3.0261005906e+01   -1.0458562738e+02    8.5371647879e+00    2.0480000000e+03    5.6767461356e-03    5.9316406250e-01
        60   -4.6496203895e+01    2.1624261256e+03   -6.5973973781e+01    1.9477769885e+01    3.0183770425e+01   -1.0413751148e+02    7.9797672706e+00    2.0480000000e+03    5.6708606426e-03    5.9069602273e-01
