#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -5.8073934589e+01    3.3737083620e+03   -8.3997650756e+01    2.5923716167e+01    3.9478736803e+01   -1.3371993319e+02    1.0243545630e+01    1.0240000000e+03    3.4625886474e-03    5.6197916667e-01
         1   -5.8044954990e+01    3.3701322795e+03   -8.4411146937e+01    2.6366191947e+01    3.9177676484e+01   -1.3308659968e+02    9.4977762551e+00    1.0240000000e+03    3.3696659375e-03    5.6004231771e-01
         2   -5.7985053132e+01    3.3631208055e+03   -8.4648196940e+01    2.6663143808e+01    3.9218295746e+01   -1.3313018041e+02    9.2636877260e+00    1.0240000000e+03    3.3244870137e-03    5.5917968750e-01
         3   -5.8018937615e+01    3.3669131979e+03   -8.4310790514e+01    2.6291852899e+01    3.9453387706e+01   -1.3391944472e+02    1.0155266499e+01    1.0240000000e+03    3.3237047028e-03    5.5872395833e-01
         4   -5.7934471791e+01    3.3572719562e+03   -8.4194771721e+01    2.6260299930e+01    3.9244098149e+01   -1.3250692163e+02    9.0680517638e+00    1.0240000000e+03    3.3064894378e-03    5.5722656250e-01
         5   -5.8038534142e+01    3.3693394414e+03   -8.4309477922e+01    2.6270943780e+01    3.9052367177e+01   -1.3253933354e+02    9.1774884394e+00    1.0240000000e+03    3.3098349813e-03    5.6227213542e-01
         6   -5.7979848593e+01    3.3623938294e+03   -8.4454986172e+01    2.6475137579e+01    3.9178861294e+01   -1.3281923745e+02    9.1853899821e+00    1.0240000000e+03    3.3105621114e-03    5.6188151042e-01
         7   -5.8026633746e+01    3.3677203473e+03   -8.4533091015e+01    2.6506457269e+01    3.8932630058e+01   -1.3277719215e+02    9.3114710792e+00    1.0240000000e+03    3.2973948400e-03    5.6100260417e-01
         8   -5.8045290945e+01    3.3700309966e+03   -8.5064232391e+01    2.7018941446e+01    3.9173707691e+01   -1.3344547678e+02    9.2075366951e+00    1.0240000000e+03    3.2946679275e-03    5.6020507813e-01
         9   -5.8021164028e+01    3.3670147234e+03   -8.4721385656e+01    2.6700221627e+01    3.9279965863e+01   -1.3355581529e+02    9.5544637736e+00    1.0240000000e+03    3.2961801626e-03    5.5724283854e-01
        10   -5.7991506830e+01    3.3641492936e+03   -8.3904482950e+01    2.5912976120e+01    3.8864204611e+01   -1.3244999669e+02    9.6813091253e+00    1.0240000000e+03    3.2900169026e-03    5.6313476563e-01
        11   -5.8045194824e+01    3.3702090592e+03   -8.4197949018e+01    2.6152754194e+01    3.9311184786e+01   -1.3278305580e+02    9.2739219916e+00    1.0240000000e+03    3.2862382941e-03    5.6311848958e-01
        12   -5.7999722836e+01    3.3649060077e+03   -8.3994085030e+01    2.5994362194e+01    3.8835185889e+01   -1.3198248586e+02    9.1532149381e+00    1.0240000000e+03    3.2743853517e-03    5.5708007813e-01
        13   -5.8017664522e+01    3.3667893582e+03   -8.4010860909e+01    2.5993196387e+01    3.8817828182e+01   -1.3198038109e+02    9.1516920027e+00    1.0240000000e+03    3.2660376746e-03    5.5911458333e-01
        14   -5.8037973956e+01    3.3692791121e+03   -8.3864610245e+01    2.5826636288e+01    3.8941141067e+01   -1.3251394533e+02    9.7081940205e+00    1.0240000000e+03    3.2795709558e-03    5.6232096354e-01
        15   -5.8039079641e+01    3.3694548272e+03   -8.4198309114e+01    2.6159229472e+01    3.8950021305e+01   -1.3268433914e+02    9.5360087244e+00    1.0240000000e+03    3.2736840658e-03    5.6193033854e-01
        16   -5.8001534133e+01    3.3649897599e+03   -8.3956852497e+01    2.5955318364e+01    3.8970995153e+01   -1.3272130529e+02    9.7934576374e+00    1.0240000000e+03    3.2700886950e-03    5.6196289063e-01
