#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -7.1352237896e+01    5.0919303051e+03   -1.0643035961e+02    3.5078121716e+01    4.9795713087e+01   -1.6767386084e+02    1.1447788139e+01    1.0240000000e+03    3.7073309068e-03    5.3754507212e-01
         1   -7.1335807852e+01    5.0895552201e+03   -1.0672721237e+02    3.5391404516e+01    4.9757760475e+01   -1.6770029388e+02    1.1215321035e+01    1.0240000000e+03    3.6150726955e-03    5.3033353365e-01
         2   -7.1330833072e+01    5.0891829879e+03   -1.0680824221e+02    3.5477409142e+01    4.9470224648e+01   -1.6751253550e+02    1.1234068642e+01    1.0240000000e+03    3.5684998147e-03    5.3212139423e-01
         3   -7.1287461322e+01    5.0827391293e+03   -1.0633622182e+02    3.5048760500e+01    4.9604969867e+01   -1.6803704833e+02    1.2095856643e+01    1.0240000000e+03    3.5639090929e-03    5.3239182692e-01
         4   -7.1370502919e+01    5.0948762044e+03   -1.0569018986e+02    3.4319686938e+01    4.9488028696e+01   -1.6717110951e+02    1.1992890955e+01    1.0240000000e+03    3.5459399223e-03    5.3324819712e-01
         5   -7.1362469704e+01    5.0937857457e+03   -1.0642827782e+02    3.5065808120e+01    4.9535573000e+01   -1.6720750149e+02    1.1243650668e+01    1.0240000000e+03    3.5213297233e-03    5.3194110577e-01
         6   -7.1328568956e+01    5.0888455839e+03   -1.0591229138e+02    3.4583722426e+01    4.9606922166e+01   -1.6770932054e+02    1.2190106987e+01    1.0240000000e+03    3.5270026419e-03    5.3398437500e-01
         7   -7.1345249508e+01    5.0912383105e+03   -1.0635007435e+02    3.5004824840e+01    4.9542624194e+01   -1.6686761840e+02    1.0974919854e+01    1.0240000000e+03    3.5251062363e-03    5.3383413462e-01
         8   -7.1346740419e+01    5.0914309505e+03   -1.0610770961e+02    3.4760969187e+01    4.9429993461e+01   -1.6699061374e+02    1.1452910672e+01    1.0240000000e+03    3.5184142180e-03    5.3282752404e-01
         9   -7.1336847504e+01    5.0898294864e+03   -1.0690962673e+02    3.5572779225e+01    4.9622020791e+01   -1.6779527163e+02    1.1263624113e+01    1.0240000000e+03    3.5288247745e-03    5.3724459135e-01
        10   -7.1373817867e+01    5.0950924854e+03   -1.0680600404e+02    3.5432186172e+01    4.9874163654e+01   -1.6830950609e+02    1.1629338400e+01    1.0240000000e+03    3.5122982226e-03    5.3365384615e-01
        11   -7.1314874198e+01    5.0869194821e+03   -1.0651451635e+02    3.5199642156e+01    4.9735693760e+01   -1.6816260239e+02    1.1912392276e+01    1.0240000000e+03    3.5113082267e-03    5.3210637019e-01
        12   -7.1352389215e+01    5.0922783495e+03   -1.0635806893e+02    3.5005679712e+01    4.9597954120e+01   -1.6748883992e+02    1.1532816876e+01    1.0240000000e+03    3.5099228844e-03    5.3470552885e-01
        13   -7.1364933325e+01    5.0938894598e+03   -1.0611723920e+02    3.4752305880e+01    4.9572663476e+01   -1.6778234822e+02    1.2092445537e+01    1.0240000000e+03    3.4945199732e-03    5.3338341346e-01
        14   -7.1363840212e+01    5.0938119634e+03   -1.0644152891e+02    3.5077688696e+01    4.9524522780e+01   -1.6737057155e+02    1.1404519861e+01    1.0240000000e+03    3.5000334028e-03    5.3398437500e-01
        15   -7.1307241646e+01    5.0857668662e+03   -1.0712893826e+02    3.5821696613e+01    4.9896407110e+01   -1.6901939470e+02    1.1994049327e+01    1.0240000000e+03    3.4953395370e-03    5.3284254808e-01
        16   -7.1349371114e+01    5.0918712024e+03   -1.0542614430e+02    3.4076773188e+01    4.9466891119e+01   -1.6710932693e+02    1.2216291507e+01    1.0240000000e+03    3.4916303121e-03    5.3389423077e-01
        17   -7.1330304224e+01    5.0888506258e+03   -1.0645576339e+02    3.5125459170e+01    4.9501036690e+01   -1.6743519530e+02    1.1478395220e+01    1.0240000000e+03    3.4901855979e-03    5.3210637019e-01
        18   -7.1341848413e+01    5.0903729265e+03   -1.0627752267e+02    3.4935674253e+01    4.9677949287e+01   -1.6732231578e+02    1.1366843828e+01    1.0240000000e+03    3.4975088201e-03    5.3423978365e-01
        19   -7.1321808189e+01    5.0876187437e+03   -1.0632211228e+02    3.5000304090e+01    4.9654391934e+01   -1.6709568373e+02    1.1119179518e+01    1.0240000000e+03    3.4799657296e-03    5.3156550481e-01
        20   -7.1355192450e+01    5.0927193264e+03   -1.0653993503e+02    3.5184742578e+01    4.9671169511e+01   -1.6811028016e+02    1.1899175623e+01    1.0240000000e+03    3.4896505531e-03    5.3774038462e-01
        21   -7.1350298304e+01    5.0917278931e+03   -1.0642211581e+02    3.5071817505e+01    4.9705038637e+01   -1.6733675288e+02    1.1209598430e+01    1.0240000000e+03    3.4762402065e-03    5.3168569712e-01
        22   -7.1307321360e+01    5.0855617225e+03   -1.0604702125e+02    3.4739699891e+01    4.9625062250e+01   -1.6720085915e+02    1.1528775644e+01    1.0240000000e+03    3.4914191347e-03    5.3610276442e-01
        23   -7.1344023641e+01    5.0908300479e+03   -1.0583832383e+02    3.4494300186e+01    4.9594766912e+01   -1.6698000996e+02    1.1546919215e+01    1.0240000000e+03    3.4729312174e-03    5.3069411058e-01
        24   -7.1359995394e+01    5.0930651353e+03   -1.0636224227e+02    3.5002246877e+01    4.9820822750e+01   -1.6778816650e+02    1.1605101476e+01    1.0240000000e+03    3.4818439744e-03    5.3407451923e-01
        25   -7.1356139134e+01    5.0929293544e+03   -1.0624731900e+02    3.4891179864e+01    4.9503965676e+01   -1.6649066462e+02    1.0739379942e+01    1.0240000000e+03    3.4733884968e-03    5.3422475962e-01
        26   -7.1367411296e+01    5.0941047058e+03   -1.0638728635e+02    3.5019875053e+01    4.9724491816e+01   -1.6732994755e+02    1.1218169386e+01    1.0240000000e+03    3.4739740659e-03    5.3215144231e-01
        27   -7.1331923349e+01    5.0894903177e+03   -1.0653188205e+02    3.5199958697e+01    4.9755800021e+01   -1.6821356630e+02    1.1925884231e+01    1.0240000000e+03    3.4749787301e-03    5.2925180288e-01
        28   -7.1344744439e+01    5.0908323951e+03   -1.0642965230e+02    3.5084907861e+01    4.9744680460e+01   -1.6768807900e+02    1.1513746240e+01    1.0240000000e+03    3.4857518040e-03    5.3255709135e-01
        29   -7.1334948976e+01    5.0894966952e+03   -1.0609741721e+02    3.4762468233e+01    4.9762672383e+01   -1.6720625517e+02    1.1346165580e+01    1.0240000000e+03    3.4883981571e-03    5.3273737981e-01
        30   -7.1358616419e+01    5.0931152461e+03   -1.0605691115e+02    3.4698294734e+01    4.9575304310e+01   -1.6721016075e+02    1.1577945282e+01    1.0240000000e+03    3.4812197555e-03    5.3623798077e-01
        31   -7.1315165070e+01    5.0870663094e+03   -1.0594615054e+02    3.4630985474e+01    4.9459253360e+01   -1.6712892960e+02    1.1723525691e+01    1.0240000000e+03    3.4822842572e-03    5.3750000000e-01
        32   -7.1275351681e+01    5.0811229698e+03   -1.0646409260e+02    3.5188740916e+01    4.9837515329e+01   -1.6774972306e+02    1.1448115130e+01    1.0240000000e+03    3.4911765251e-03    5.3414963942e-01
        33   -7.1341303483e+01    5.0905671801e+03   -1.0628485737e+02    3.4943553883e+01    4.9582315969e+01   -1.6777097811e+02    1.1903804779e+01    1.0240000000e+03    3.4778949339e-03    5.3282752404e-01
        34   -7.1348433806e+01    5.0915742110e+03   -1.0643617774e+02    3.5087743937e+01    4.9543739777e+01   -1.6774139746e+02    1.1761479938e+01    1.0240000000e+03    3.4734457731e-03    5.3467548077e-01
        35   -7.1340788342e+01    5.0906422830e+03   -1.0627624606e+02    3.4935457722e+01    4.9625585638e+01   -1.6839670166e+02    1.2494869960e+01    1.0240000000e+03    3.4742741846e-03    5.3787560096e-01
        36   -7.1316670306e+01    5.0868516237e+03   -1.0638744516e+02    3.5070774854e+01    4.9496977446e+01   -1.6741341724e+02    1.1528994638e+01    1.0240000000e+03    3.4727063030e-03    5.3401442308e-01
        37   -7.1313381661e+01    5.0865746458e+03   -1.0647603346e+02    3.5162651799e+01    4.9236126577e+01   -1.6673849799e+02    1.1026337948e+01    1.0240000000e+03    3.4823019523e-03    5.3834134615e-01
        38   -7.1343145431e+01    5.0908639116e+03   -1.0594823308e+02    3.4605087649e+01    4.9284976715e+01   -1.6614163455e+02    1.0908424758e+01    1.0240000000e+03    3.4705928992e-03    5.3225661058e-01
