# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -7.1371406696e+01    1.1144297146e+00    4.1060000000e+03    4.0960000000e+03    0.0000000000e+00   -7.1382421590e+01    9.7993534063e-01    9.9584960938e-01
         1   -7.1367741368e+01    9.5302710825e-01    4.0851225769e+03    4.0960000000e+03    0.0000000000e+00   -7.1615249782e+01    9.7977440630e-01    9.9414062500e-01
         2   -7.1362547297e+01    8.3745087543e-01    4.0959251707e+03    4.1040000000e+03    3.1250000000e-02   -7.1562863381e+01    9.7944241544e-01    9.9731968811e-01
         3   -7.1373857083e+01    9.6416383442e-01    4.0963056886e+03    4.1000000000e+03    1.0742187500e-02   -7.1460155894e+01    9.7979025454e-01    9.9658536585e-01
         4   -7.1385847889e+01    1.0347919730e+00    4.0962598250e+03    4.0990000000e+03    1.2695312500e-02   -7.1447072462e+01    9.7972711860e-01    9.9609660893e-01
         5   -7.1374615738e+01    1.2439934188e+00    4.0957271533e+03    4.0970000000e+03    1.5625000000e-02   -7.1410258972e+01    9.7926009014e-01    9.9536246034e-01
         6   -7.1367164084e+01    1.0098114229e+00    4.0955738728e+03    4.0850000000e+03    1.8554687500e-02   -7.1105699795e+01    9.7904354396e-01    9.9681762546e-01
         7   -7.1374551254e+01    9.7903344173e-01    4.0960573141e+03    4.0900000000e+03    1.7578125000e-02   -7.1220572316e+01    9.7876442530e-01    9.9779951100e-01
         8   -7.1361880921e+01    1.1949250484e+00    4.0953670876e+03    4.0840000000e+03    8.7890625000e-03   -7.1081152511e+01    9.8090862608e-01    9.9951028404e-01
         9   -7.1364201853e+01    1.3029372689e+00    4.0958625065e+03    4.0990000000e+03    1.6601562500e-02   -7.1435096299e+01    9.8176872684e-01    9.9682849475e-01
        10   -7.1375398078e+01    1.2244931767e+00    4.0960459530e+03    4.0950000000e+03    1.2695312500e-02   -7.1339784810e+01    9.8158891777e-01    9.9755799756e-01
        11   -7.1358961092e+01    1.1801046266e+00    4.0954987494e+03    4.0940000000e+03    9.7656250000e-03   -7.1326558029e+01    9.8016850896e-01    9.9633610161e-01
        12   -7.1396158625e+01    1.2599501572e+00    4.0966474214e+03    4.0920000000e+03    1.3671875000e-02   -7.1261257127e+01    9.8258549538e-01    9.9828934506e-01
        13   -7.1393266579e+01    9.8801460576e-01    4.0957071713e+03    4.0950000000e+03    8.7890625000e-03   -7.1371741581e+01    9.7972654729e-01    9.9658119658e-01
        14   -7.1393365918e+01    9.7596030515e-01    4.0959301671e+03    4.0940000000e+03    1.3671875000e-02   -7.1344426529e+01    9.8002225030e-01    9.9658036150e-01
