#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2625405316e+02    5.1193767929e+04   -3.7723752398e+02    1.5098347082e+02    1.7998635700e+02   -5.8214017632e+02    2.4916295338e+01    1.0240000000e+03    5.7735247537e-03    3.8945312500e-01
         1   -2.2614327136e+02    5.1143547091e+04   -3.7571343953e+02    1.4957016817e+02    1.7892968421e+02   -5.7885340268e+02    2.4210278930e+01    1.0240000000e+03    5.6739605498e-03    3.9156250000e-01
         2   -2.2616110408e+02    5.1151291417e+04   -3.7571575514e+02    1.4955465106e+02    1.7901726028e+02   -5.7821228990e+02    2.3479274474e+01    1.0240000000e+03    5.6090587750e-03    3.9059570312e-01
         3   -2.2623910993e+02    5.1187650083e+04   -3.7407973849e+02    1.4784062857e+02    1.7834837181e+02   -5.7675212165e+02    2.4324011347e+01    1.0240000000e+03    5.5835871026e-03    3.8786132813e-01
         4   -2.2624976093e+02    5.1191945060e+04   -3.7505658591e+02    1.4880682497e+02    1.7884945761e+02   -5.7780517325e+02    2.3899129732e+01    1.0240000000e+03    5.5794273503e-03    3.9010742188e-01
         5   -2.2625440311e+02    5.1193410553e+04   -3.7464897057e+02    1.4839456746e+02    1.7908683406e+02   -5.7755569077e+02    2.3819886144e+01    1.0240000000e+03    5.5716689676e-03    3.8937500000e-01
         6   -2.2626938802e+02    5.1201423592e+04   -3.7835971429e+02    1.5209032627e+02    1.8023255306e+02   -5.8319680292e+02    2.4604535567e+01    1.0240000000e+03    5.5668517016e-03    3.8775390625e-01
         7   -2.2633368846e+02    5.1230818811e+04   -3.7468140615e+02    1.4834771769e+02    1.7924937363e+02   -5.7787506045e+02    2.3944280671e+01    1.0240000000e+03    5.5510431994e-03    3.8885742187e-01
         8   -2.2620282401e+02    5.1170969612e+04   -3.7760644612e+02    1.5140362210e+02    1.8004330821e+02   -5.8113163458e+02    2.3481880256e+01    1.0240000000e+03    5.5507095531e-03    3.8926757813e-01
         9   -2.2625348095e+02    5.1193328103e+04   -3.7716355357e+02    1.5091007262e+02    1.7977394123e+02   -5.8181069770e+02    2.4873202897e+01    1.0240000000e+03    5.5580146145e-03    3.9049804688e-01
        10   -2.2621121392e+02    5.1174858823e+04   -3.7648526116e+02    1.5027404723e+02    1.7965466295e+02   -5.7834488099e+02    2.2204956887e+01    1.0240000000e+03    5.5442322046e-03    3.8664062500e-01
        11   -2.2614293484e+02    5.1143963108e+04   -3.7608628146e+02    1.4994334662e+02    1.7968843620e+02   -5.7799228490e+02    2.2217567243e+01    1.0240000000e+03    5.5433723610e-03    3.8781250000e-01
        12   -2.2616305898e+02    5.1153115230e+04   -3.7539349867e+02    1.4923043968e+02    1.8014406402e+02   -5.7983709079e+02    2.4299528101e+01    1.0240000000e+03    5.5449404754e-03    3.8938476563e-01
        13   -2.2625221065e+02    5.1194154864e+04   -3.7531260573e+02    1.4906039509e+02    1.8017792484e+02   -5.7870174467e+02    2.3211214094e+01    1.0240000000e+03    5.5443956517e-03    3.8975585938e-01
