# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.2627206961e+02    3.0538724460e+00    4.0900000000e+03    4.0960000000e+03    0.0000000000e+00   -2.2619696538e+02    8.5972724744e-01    9.8925781250e-01
         1   -2.2633464476e+02    3.3812303595e+00    4.1055670770e+03    4.0960000000e+03    0.0000000000e+00   -2.2619877372e+02    8.5919720321e-01    9.8657226562e-01
         2   -2.2628293002e+02    3.2980311528e+00    4.0969666800e+03    4.1160000000e+03    6.9335937500e-02   -2.2657819127e+02    8.5950278571e-01    9.8590864917e-01
         3   -2.2627077343e+02    3.4879064590e+00    4.0932454387e+03    4.0800000000e+03    5.5664062500e-02   -2.2608723505e+02    8.5838275477e-01    9.9093137255e-01
         4   -2.2628133917e+02    3.9216050879e+00    4.0940051597e+03    4.0780000000e+03    3.5156250000e-02   -2.2605056265e+02    8.5712816848e-01    9.9190779794e-01
         5   -2.2628163988e+02    3.9764971977e+00    4.0950795633e+03    4.0880000000e+03    4.1015625000e-02   -2.2618358743e+02    8.6093887548e-01    9.9315068493e-01
         6   -2.2631330835e+02    3.4424653338e+00    4.0995249302e+03    4.1100000000e+03    4.6875000000e-02   -2.2645224692e+02    8.5870753750e-01    9.8710462287e-01
         7   -2.2629429253e+02    3.4167306772e+00    4.0961662233e+03    4.1000000000e+03    4.9804687500e-02   -2.2636211264e+02    8.5761302368e-01    9.8780487805e-01
         8   -2.2628917795e+02    3.8575878113e+00    4.0940083816e+03    4.0830000000e+03    4.7851562500e-02   -2.2613534876e+02    8.5836506866e-01    9.9289737938e-01
         9   -2.2633872230e+02    3.6873409893e+00    4.0977630452e+03    4.0950000000e+03    3.9062500000e-02   -2.2627696943e+02    8.6011858154e-01    9.9023199023e-01
        10   -2.2632760233e+02    4.0145512752e+00    4.0961117951e+03    4.0970000000e+03    4.0039062500e-02   -2.2635092784e+02    8.6276396859e-01    9.9218940688e-01
        11   -2.2633519828e+02    3.7453016857e+00    4.0962053201e+03    4.0990000000e+03    3.2226562500e-02   -2.2636421002e+02    8.5984608461e-01    9.8877775067e-01
        12   -2.2630335404e+02    3.5833533957e+00    4.0931961559e+03    4.0850000000e+03    4.2968750000e-02   -2.2620074031e+02    8.5618461457e-01    9.9265605875e-01
        13   -2.2633520779e+02    4.4325806130e+00    4.0962248901e+03    4.0920000000e+03    3.4179687500e-02   -2.2625450205e+02    8.6132151278e-01    9.9193548387e-01
        14   -2.2635964544e+02    3.7062023178e+00    4.0978692385e+03    4.1060000000e+03    4.4921875000e-02   -2.2645712933e+02    8.5611946364e-01    9.9098879688e-01
