#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.4498913109e+02    2.1035066172e+04   -2.3441424067e+02    8.9425109578e+01    1.1014788114e+02   -3.6190673162e+02    1.7344609812e+01    2.0480000000e+03    1.5343618268e+01    4.4268918505e-01
         1   -1.4499269115e+02    2.1033773945e+04   -2.3309400421e+02    8.8101313064e+01    1.1031842882e+02   -3.6052691861e+02    1.7114485583e+01    2.0480000000e+03    1.5799954624e+01    4.4324257047e-01
         2   -1.4499376664e+02    2.1035042052e+04   -2.3348269651e+02    8.8488929872e+01    1.1024987289e+02   -3.6117485354e+02    1.7442284138e+01    2.0480000000e+03    1.5780523235e+01    4.4274471507e-01
         3   -1.4509408782e+02    2.1062710167e+04   -2.3411318233e+02    8.9019094514e+01    1.1065111306e+02   -3.6306891411e+02    1.8304618713e+01    2.0480000000e+03    1.5776949977e+01    4.4275811887e-01
         4   -1.4492174069e+02    2.1012125429e+04   -2.3381334976e+02    8.8891609074e+01    1.1042540764e+02   -3.6135657726e+02    1.7117819863e+01    2.0480000000e+03    1.5776708473e+01    4.4297640931e-01
         5   -1.4510594574e+02    2.1062011007e+04   -2.3448639191e+02    8.9380446171e+01    1.0993879815e+02   -3.6188694945e+02    1.7461759394e+01    2.0480000000e+03    1.5760781807e+01    4.4277343750e-01
         6   -1.4514110447e+02    2.1072539199e+04   -2.3334361875e+02    8.8202514283e+01    1.0992572446e+02   -3.6114262371e+02    1.7873280493e+01    2.0480000000e+03    1.5766814939e+01    4.4312193627e-01
         7   -1.4494997872e+02    2.1020853811e+04   -2.3503011858e+02    9.0080139852e+01    1.1017337705e+02   -3.6181461399e+02    1.6611118363e+01    2.0480000000e+03    1.5762408328e+01    4.4206207874e-01
         8   -1.4494511402e+02    2.1024414274e+04   -2.3446034165e+02    8.9515227630e+01    1.1028013324e+02   -3.6188265931e+02    1.7142184420e+01    2.0480000000e+03    1.5768656673e+01    4.4265759038e-01
         9   -1.4500959134e+02    2.1035681687e+04   -2.3227082517e+02    8.7261233835e+01    1.1001265417e+02   -3.6024573246e+02    1.7962253116e+01    2.0480000000e+03    1.5757224429e+01    4.4247185202e-01
        10   -1.4498254440e+02    2.1030648424e+04   -2.3276146048e+02    8.7778916081e+01    1.1016357107e+02   -3.6094808304e+02    1.8023051493e+01    2.0480000000e+03    1.5755367953e+01    4.4325980392e-01
        11   -1.4505540455e+02    2.1049569695e+04   -2.3341409431e+02    8.8358689767e+01    1.1009474267e+02   -3.6181711988e+02    1.8308282893e+01    2.0480000000e+03    1.5750576449e+01    4.4244600184e-01
        12   -1.4501967257e+02    2.1040598348e+04   -2.3349954308e+02    8.8479870516e+01    1.1027052475e+02   -3.6222794214e+02    1.8457874312e+01    2.0480000000e+03    1.5758553700e+01    4.4272939645e-01
