# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.4517600090e+02    6.9186665657e+00    4.0380000000e+03    4.0340000000e+03    0.0000000000e+00   -1.4511534079e+02    9.8330321146e-01    9.9305899851e-01
         1   -1.4512966029e+02    9.3522577496e+00    4.0926013869e+03    4.0340000000e+03    0.0000000000e+00   -1.4232372733e+02    9.8120530626e-01    9.9355478433e-01
         2   -1.4521074065e+02    5.8947983457e+00    4.0968575143e+03    4.0990000000e+03    2.4218750000e-01   -1.4527609104e+02    9.8016634854e-01    9.9390095145e-01
         3   -1.4510843159e+02    8.6067334575e+00    4.0947203410e+03    4.0840000000e+03    8.5937500000e-02   -1.4462394316e+02    9.8095785679e-01    9.9828599412e-01
         4   -1.4518040486e+02    6.6665799611e+00    4.0969399371e+03    4.1010000000e+03    8.2031250000e-02   -1.4535242332e+02    9.8094093966e-01    9.9707388442e-01
         5   -1.4514372536e+02    7.6420387852e+00    4.0957811909e+03    4.1070000000e+03    7.0312500000e-02   -1.4571679431e+02    9.8087591613e-01    9.9366934502e-01
         6   -1.4514179927e+02    6.5310754928e+00    4.0960849020e+03    4.0900000000e+03    8.2031250000e-02   -1.4485054183e+02    9.7953509097e-01    9.9828850856e-01
         7   -1.4510289165e+02    7.3264439114e+00    4.0957572353e+03    4.1070000000e+03    8.5937500000e-02   -1.4567818871e+02    9.8136924787e-01    9.9342585829e-01
         8   -1.4516053651e+02    6.8473760363e+00    4.0964624177e+03    4.0880000000e+03    8.9843750000e-02   -1.4471188468e+02    9.8151244683e-01    9.9657534247e-01
         9   -1.4512716742e+02    7.4284477549e+00    4.0954691757e+03    4.0920000000e+03    6.6406250000e-02   -1.4496512858e+02    9.8032181415e-01    9.9682306940e-01
        10   -1.4513041005e+02    7.4214760888e+00    4.0962372367e+03    4.1030000000e+03    8.5937500000e-02   -1.4546867257e+02    9.8151953426e-01    9.9439434560e-01
        11   -1.4514899963e+02    6.6503922574e+00    4.0932597603e+03    4.0930000000e+03    8.2031250000e-02   -1.4512643473e+02    9.8115389150e-01    9.9584656731e-01
        12   -1.4516803711e+02    7.1962236326e+00    4.0897294588e+03    4.0890000000e+03    6.2500000000e-02   -1.4512707829e+02    9.8120934365e-01    9.9682073857e-01
        13   -1.4517076732e+02    7.7566559452e+00    4.0906167298e+03    4.0900000000e+03    5.4687500000e-02   -1.4513405978e+02    9.8078461310e-01    9.9731051345e-01
        14   -1.4513484352e+02    8.5339849203e+00    4.1020266252e+03    4.1020000000e+03    7.8125000000e-02   -1.4514511732e+02    9.8252959886e-01    9.9658703072e-01
        15   -1.4513979650e+02    7.3526769857e+00    4.0978023014e+03    4.0980000000e+03    5.4687500000e-02   -1.4514956447e+02    9.8253588048e-01    9.9633967789e-01
        16   -1.4513564834e+02    6.7057770624e+00    4.1018473476e+03    4.1020000000e+03    7.0312500000e-02   -1.4514816795e+02    9.8243826615e-01    9.9804973184e-01
        17   -1.4517345735e+02    7.0356851246e+00    4.1080663505e+03    4.1080000000e+03    4.6875000000e-02   -1.4514864277e+02    9.8132882505e-01    9.9415774099e-01
        18   -1.4511094556e+02    8.3874152446e+00    4.0981029699e+03    4.0980000000e+03    9.3750000000e-02   -1.4514494690e+02    9.8089771015e-01    9.9731576379e-01
        19   -1.4508457153e+02    7.6197103321e+00    4.1029591997e+03    4.1040000000e+03    6.6406250000e-02   -1.4514963202e+02    9.8124711323e-01    9.9658869396e-01
        20   -1.4522010995e+02    7.0968760234e+00    4.1051279178e+03    4.1050000000e+03    5.0781250000e-02   -1.4514620214e+02    9.8179366066e-01    9.9585870889e-01
        21   -1.4509959878e+02    7.9501333517e+00    4.1014143577e+03    4.1010000000e+03    6.2500000000e-02   -1.4513982399e+02    9.8094581094e-01    9.9804925628e-01
        22   -1.4509214638e+02    7.2246227430e+00    4.1048475679e+03    4.1060000000e+03    5.0781250000e-02   -1.4514783462e+02    9.8104113575e-01    9.9659035558e-01
        23   -1.4504809936e+02    9.7539850700e+00    4.0983657501e+03    4.1000000000e+03    5.4687500000e-02   -1.4514284940e+02    9.7975960809e-01    9.9560975610e-01
        24   -1.4503735297e+02    7.9867245785e+00    4.0900262982e+03    4.0920000000e+03    7.0312500000e-02   -1.4513734435e+02    9.8178388223e-01    9.9657869013e-01
        25   -1.4509033581e+02    7.7304709014e+00    4.0895780080e+03    4.0910000000e+03    5.4687500000e-02   -1.4513108514e+02    9.8111578132e-01    9.9486678074e-01
        26   -1.4506711039e+02    8.4921177481e+00    4.0882162169e+03    4.0890000000e+03    7.4218750000e-02   -1.4512466154e+02    9.8227072261e-01    9.9559794571e-01
        27   -1.4509982207e+02    7.7604531925e+00    4.0842208367e+03    4.0850000000e+03    5.8593750000e-02   -1.4512156305e+02    9.8203226387e-01    9.9706242350e-01
        28   -1.4509434746e+02    7.5796072670e+00    4.0874558500e+03    4.0880000000e+03    5.4687500000e-02   -1.4511912263e+02    9.8117422863e-01    9.9535225049e-01
        29   -1.4516410234e+02    7.8082358862e+00    4.0802151697e+03    4.0800000000e+03    6.2500000000e-02   -1.4511604505e+02    9.8156338782e-01    9.9681372549e-01
        30   -1.4517233152e+02    7.5431911975e+00    4.0819593023e+03    4.0810000000e+03    5.0781250000e-02   -1.4511500954e+02    9.8155736945e-01    9.9607939231e-01
        31   -1.4505820660e+02    9.5231323913e+00    4.0819987494e+03    4.0820000000e+03    6.2500000000e-02   -1.4511741760e+02    9.8221985590e-01    9.9632533072e-01
        32   -1.4512646875e+02    7.3592997890e+00    4.0856355963e+03    4.0860000000e+03    7.4218750000e-02   -1.4512073749e+02    9.8206602651e-01    9.9681840431e-01
        33   -1.4514589670e+02    8.8685009175e+00    4.0923480644e+03    4.0920000000e+03    7.4218750000e-02   -1.4511937983e+02    9.8217837362e-01    9.9657869013e-01
        34   -1.4514178040e+02    9.1892362300e+00    4.0954807911e+03    4.0950000000e+03    6.2500000000e-02   -1.4512036736e+02    9.8180525873e-01    9.9536019536e-01
        35   -1.4514672187e+02    7.2748461389e+00    4.0995065201e+03    4.0990000000e+03    8.5937500000e-02   -1.4512235509e+02    9.7972603206e-01    9.9634057087e-01
        36   -1.4514377308e+02    8.3790143690e+00    4.0993386556e+03    4.0990000000e+03    5.8593750000e-02   -1.4512313038e+02    9.8322266739e-01    9.9512076116e-01
        37   -1.4511849022e+02    1.5839164772e+01    4.0900638223e+03    4.0900000000e+03    7.4218750000e-02   -1.4512183318e+02    9.8115641170e-01    9.9633251834e-01
        38   -1.4519430628e+02    6.6821767381e+00    4.0959141880e+03    4.0950000000e+03    7.0312500000e-02   -1.4512378614e+02    9.8168678221e-01    9.9560439560e-01
        39   -1.4520498538e+02    1.1715516126e+01    4.0924670331e+03    4.0910000000e+03    7.0312500000e-02   -1.4512261783e+02    9.8215012450e-01    9.9584453679e-01
        40   -1.4516884795e+02    6.6625617896e+00    4.0962032680e+03    4.0950000000e+03    8.2031250000e-02   -1.4512594400e+02    9.8213908390e-01    9.9731379731e-01
        41   -1.4512931273e+02    8.1890649338e+00    4.1042930176e+03    4.1040000000e+03    6.2500000000e-02   -1.4513068124e+02    9.8075015529e-01    9.9537037037e-01
        42   -1.4513564715e+02    7.2102019124e+00    4.0970101756e+03    4.0970000000e+03    7.4218750000e-02   -1.4513022782e+02    9.8258317215e-01    9.9487429827e-01
        43   -1.4508938530e+02    1.3368525993e+01    4.0938327459e+03    4.0940000000e+03    8.2031250000e-02   -1.4512947497e+02    9.8149138406e-01    9.9633610161e-01
        44   -1.4506340906e+02    8.2687074120e+00    4.0932228385e+03    4.0940000000e+03    5.0781250000e-02   -1.4512964214e+02    9.8094011019e-01    9.9535906204e-01
        45   -1.4504350300e+02    8.8681231743e+00    4.0913895814e+03    4.0930000000e+03    7.0312500000e-02   -1.4512823370e+02    9.8031900631e-01    9.9486928903e-01
        46   -1.4505009543e+02    8.0345827539e+00    4.0854836315e+03    4.0870000000e+03    8.2031250000e-02   -1.4512494567e+02    9.8166961268e-01    9.9632982628e-01
        47   -1.4512013782e+02    7.4382080999e+00    4.0862702945e+03    4.0870000000e+03    5.4687500000e-02   -1.4512268507e+02    9.8181781660e-01    9.9632982628e-01
        48   -1.4512179915e+02    6.7129166582e+00    4.0889097673e+03    4.0890000000e+03    5.8593750000e-02   -1.4512120617e+02    9.8126485265e-01    9.9682073857e-01
        49   -1.4512036350e+02    6.7388158974e+00    4.0949332292e+03    4.0950000000e+03    7.0312500000e-02   -1.4512260119e+02    9.8035798713e-01    9.9511599512e-01
        50   -1.4511917710e+02    6.8910507982e+00    4.0919396326e+03    4.0920000000e+03    7.4218750000e-02   -1.4512184217e+02    9.8106941323e-01    9.9511241447e-01
        51   -1.4508953529e+02    1.0000745251e+01    4.0836754023e+03    4.0840000000e+03    7.0312500000e-02   -1.4511982532e+02    9.8035234903e-01    9.9706170421e-01
        52   -1.4507114387e+02    7.0600973992e+00    4.0850982975e+03    4.0860000000e+03    5.4687500000e-02   -1.4512022963e+02    9.8105679014e-01    9.9486049927e-01
        53   -1.4505360659e+02    8.0939077416e+00    4.0729208068e+03    4.0740000000e+03    7.4218750000e-02   -1.4511651778e+02    9.7945465146e-01    9.9607265587e-01
        54   -1.4507578575e+02    7.7350698716e+00    4.0679170686e+03    4.0690000000e+03    6.2500000000e-02   -1.4511413611e+02    9.8117614174e-01    9.9606782993e-01
        55   -1.4509740813e+02    1.5439384847e+01    4.0693953273e+03    4.0700000000e+03    5.8593750000e-02   -1.4511288977e+02    9.8102858651e-01    9.9680589681e-01
        56   -1.4510638547e+02    6.7950869710e+00    4.0700422001e+03    4.0700000000e+03    5.0781250000e-02   -1.4511194473e+02    9.8145574512e-01    9.9582309582e-01
        57   -1.4508766032e+02    8.6316739776e+00    4.0667693425e+03    4.0670000000e+03    6.2500000000e-02   -1.4511076258e+02    9.8078351841e-01    9.9508237030e-01
        58   -1.4513116848e+02    8.7934321445e+00    4.0640135989e+03    4.0640000000e+03    7.0312500000e-02   -1.4510978545e+02    9.8207596591e-01    9.9704724409e-01
        59   -1.4511859070e+02    9.8376269554e+00    4.0671900522e+03    4.0670000000e+03    5.8593750000e-02   -1.4510991176e+02    9.8018218837e-01    9.9631177772e-01
        60   -1.4506650248e+02    8.0065802289e+00    4.0696604219e+03    4.0700000000e+03    7.0312500000e-02   -1.4511093217e+02    9.8223630846e-01    9.9729729730e-01
        61   -1.4508408977e+02    6.9489339846e+00    4.0792823864e+03    4.0800000000e+03    7.4218750000e-02   -1.4511341146e+02    9.8062355012e-01    9.9681372549e-01
        62   -1.4507828583e+02    8.0457645039e+00    4.0794454926e+03    4.0800000000e+03    4.6875000000e-02   -1.4511243410e+02    9.8040111782e-01    9.9632352941e-01
