#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -8.6629547278e+01    7.5081239327e+03   -1.3400830432e+02    4.7378757038e+01    6.3680237819e+01   -2.1006244807e+02    1.2373905934e+01    8.1928000000e+04    1.7175622088e+02    9.9378478111e-01
         1   -8.6625988900e+01    7.5073801462e+03   -1.3377834880e+02    4.7152359899e+01    6.3642055725e+01   -2.0985856029e+02    1.2438155771e+01    8.2002000000e+04    1.7879020870e+02    9.9379741017e-01
         2   -8.6612297730e+01    7.5056622413e+03   -1.3355708273e+02    4.6944785002e+01    6.3554296181e+01   -2.0927184446e+02    1.2160465547e+01    8.2168000000e+04    1.9687818255e+02    9.9392894809e-01
         3   -8.6611606176e+01    7.5047224319e+03   -1.3344223039e+02    4.6830624214e+01    6.3514085478e+01   -2.0902396038e+02    1.2067644507e+01    8.1959000000e+04    1.7932244088e+02    9.9387837092e-01
         4   -8.6620669978e+01    7.5066213085e+03   -1.3350773164e+02    4.6887061667e+01    6.3613067548e+01   -2.0951581271e+02    1.2395013522e+01    8.1746000000e+04    1.5791667966e+02    9.9387885421e-01
         5   -8.6635130431e+01    7.5095608887e+03   -1.3359355192e+02    4.6958421491e+01    6.3589721587e+01   -2.0938497429e+02    1.2201700783e+01    8.2005000000e+04    1.8413550175e+02    9.9391567617e-01
         6   -8.6615434206e+01    7.5054623073e+03   -1.3328646714e+02    4.6671032932e+01    6.3556376019e+01   -2.0896716856e+02    1.2124325401e+01    8.1795000000e+04    1.6817453569e+02    9.9401981423e-01
         7   -8.6625711052e+01    7.5076577169e+03   -1.3336194679e+02    4.6736235739e+01    6.3473422630e+01   -2.0887334296e+02    1.2037973540e+01    8.1972000000e+04    1.6948970949e+02    9.9393781776e-01
         8   -8.6634018443e+01    7.5092518146e+03   -1.3356792858e+02    4.6933910133e+01    6.3524219557e+01   -2.0898255181e+02    1.1890403679e+01    8.2125000000e+04    2.0272091864e+02    9.9407546109e-01
         9   -8.6628084526e+01    7.5079073508e+03   -1.3330525946e+02    4.6677174936e+01    6.3574210892e+01   -2.0926611107e+02    1.2386640717e+01    8.2005000000e+04    1.8383191355e+02    9.9395871231e-01
        10   -8.6622701673e+01    7.5069439040e+03   -1.3331156188e+02    4.6688860207e+01    6.3559646053e+01   -2.0941131738e+02    1.2540109443e+01    8.2029000000e+04    1.8546971615e+02    9.9388801625e-01
        11   -8.6631692292e+01    7.5085687940e+03   -1.3351916818e+02    4.6887475887e+01    6.3636506063e+01   -2.0953263445e+02    1.2376960206e+01    8.2006000000e+04    1.7767353570e+02    9.9396439406e-01
        12   -8.6621199583e+01    7.5067989753e+03   -1.3359680183e+02    4.6975602247e+01    6.3652443033e+01   -2.0952597047e+02    1.2276725605e+01    8.2229000000e+04    2.0302026546e+02    9.9393859158e-01
        13   -8.6633686973e+01    7.5088820597e+03   -1.3341208466e+02    4.6778397690e+01    6.3560680171e+01   -2.0905085647e+02    1.2078091635e+01    8.1622000000e+04    1.6745624959e+02    9.9383164139e-01
        14   -8.6622122602e+01    7.5068133865e+03   -1.3334430939e+02    4.6722186793e+01    6.3555822176e+01   -2.0892554267e+02    1.2025411098e+01    8.1545000000e+04    1.7422075288e+02    9.9389486833e-01
        15   -8.6627830120e+01    7.5076444815e+03   -1.3313397154e+02    4.6506141417e+01    6.3496788197e+01   -2.0897047674e+02    1.2339717002e+01    8.2299000000e+04    2.0881441521e+02    9.9384632342e-01
        16   -8.6632722242e+01    7.5087647106e+03   -1.3322618660e+02    4.6593464353e+01    6.3440865170e+01   -2.0859827166e+02    1.1931219897e+01    8.2161000000e+04    1.9889268408e+02    9.9382655903e-01
        17   -8.6621112237e+01    7.5067556914e+03   -1.3318028002e+02    4.6559167785e+01    6.3546354929e+01   -2.0885877836e+02    1.2132143410e+01    8.2490000000e+04    2.0817160433e+02    9.9379937055e-01
        18   -8.6635034336e+01    7.5092415431e+03   -1.3333904990e+02    4.6704015569e+01    6.3677377401e+01   -2.0900561175e+02    1.1989184443e+01    8.2348000000e+04    2.0761720178e+02    9.9388698729e-01
        19   -8.6625004722e+01    7.5096477238e+03   -1.3351844129e+02    4.6893436563e+01    6.3739550926e+01   -2.0946310661e+02    1.2205114396e+01    8.2326000000e+04    2.0423693417e+02    9.9395512641e-01
        20   -8.6605125688e+01    7.5046419127e+03   -1.3382324858e+02    4.7218122891e+01    6.3794623651e+01   -2.0996850296e+02    1.2350630733e+01    8.2160000000e+04    2.0867911272e+02    9.9380144319e-01
        21   -8.6646617376e+01    7.5115413463e+03   -1.3373177269e+02    4.7085155313e+01    6.3842319996e+01   -2.0978896288e+02    1.2214870197e+01    8.2137000000e+04    1.8770620486e+02    9.9394903801e-01
        22   -8.6622860270e+01    7.5071416727e+03   -1.3412196920e+02    4.7499108934e+01    6.3969653489e+01   -2.1038900333e+02    1.2297380640e+01    8.2347000000e+04    2.0871445071e+02    9.9376964914e-01
        23   -8.6618036917e+01    7.5059685135e+03   -1.3422691212e+02    4.7608875201e+01    6.3935873321e+01   -2.1049066872e+02    1.2327883281e+01    8.1870000000e+04    1.7534827142e+02    9.9375097959e-01
        24   -8.6615438291e+01    7.5062099555e+03   -1.3362654798e+02    4.7011109694e+01    6.3896469271e+01   -2.1002625804e+02    1.2503240781e+01    8.1562000000e+04    1.5891185463e+02    9.9377513190e-01
        25   -8.6627988820e+01    7.5078719513e+03   -1.3391564671e+02    4.7287657887e+01    6.3932855530e+01   -2.1016229820e+02    1.2313795968e+01    8.1607000000e+04    1.6485645866e+02    9.9398354839e-01
        26   -8.6615886857e+01    7.5062355416e+03   -1.3369754986e+02    4.7081663001e+01    6.3818302137e+01   -2.0974356415e+02    1.2227712161e+01    8.1518000000e+04    1.6578068930e+02    9.9389669402e-01
        27   -8.6637069523e+01    7.5095599268e+03   -1.3353081336e+02    4.6893743833e+01    6.3761389123e+01   -2.0958660459e+02    1.2294402115e+01    8.1112000000e+04    1.6289564128e+02    9.9392686846e-01
        28   -8.6642568352e+01    7.5104948627e+03   -1.3357839826e+02    4.6935829907e+01    6.3635185885e+01   -2.0944306898e+02    1.2229484831e+01    8.1053000000e+04    1.5926088125e+02    9.9398844575e-01
        29   -8.6631443084e+01    7.5085238860e+03   -1.3370267314e+02    4.7071230055e+01    6.3678721006e+01   -2.0952443826e+02    1.2143044111e+01    8.1281000000e+04    1.6221947987e+02    9.9400916506e-01
        30   -8.6624901585e+01    7.5072101775e+03   -1.3365027570e+02    4.7025374110e+01    6.3590106593e+01   -2.0924545180e+02    1.2005069509e+01    8.1603000000e+04    1.6010374868e+02    9.9389306667e-01
        31   -8.6625020219e+01    7.5074484821e+03   -1.3327754977e+02    4.6652529549e+01    6.3515331611e+01   -2.0902979114e+02    1.2236909765e+01    8.1780000000e+04    1.6411115568e+02    9.9385462262e-01
        32   -8.6603833323e+01    7.5036709476e+03   -1.3332171791e+02    4.6717884589e+01    6.3500314704e+01   -2.0886377289e+02    1.2041740277e+01    8.1946000000e+04    1.7000939462e+02    9.9381182754e-01
        33   -8.6620175225e+01    7.5067243054e+03   -1.3330597982e+02    4.6685804599e+01    6.3459745367e+01   -2.0880840129e+02    1.2042676096e+01    8.1691000000e+04    1.5772247874e+02    9.9391798595e-01
        34   -8.6630055152e+01    7.5084711441e+03   -1.3337531815e+02    4.6745262994e+01    6.3466005816e+01   -2.0909327396e+02    1.2251950001e+01    8.1916000000e+04    1.7426552658e+02    9.9374333192e-01
        35   -8.6624656011e+01    7.5072579626e+03   -1.3367550642e+02    4.7050850413e+01    6.3561459803e+01   -2.0935841301e+02    1.2121446783e+01    8.1251000000e+04    1.5697202290e+02    9.9376049867e-01
