# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.9646634687e+02    1.0072179358e+01    4.1550000000e+03    4.1490000000e+03    0.0000000000e+00   -1.9637984357e+02    9.7386355563e-01    9.9011810075e-01
         1   -1.9634885557e+02    1.4922465798e+01    4.0941188776e+03    4.1490000000e+03    0.0000000000e+00   -1.9932665498e+02    9.7263632858e-01    9.8192335503e-01
         2   -1.9639198302e+02    1.2402103350e+01    4.0965874880e+03    4.1040000000e+03    1.2500000000e-01   -1.9673909960e+02    9.7264098805e-01    9.9147173489e-01
         3   -1.9641630283e+02    1.2126075787e+01    4.0960862437e+03    4.0840000000e+03    6.6406250000e-02   -1.9580518553e+02    9.7438127394e-01    9.9632713026e-01
         4   -1.9636602407e+02    1.3126657328e+01    4.0954700564e+03    4.0970000000e+03    5.2734375000e-02   -1.9646512500e+02    9.7198511923e-01    9.9560654137e-01
         5   -1.9633225568e+02    1.4240438323e+01    4.0956356842e+03    4.0980000000e+03    3.5156250000e-02   -1.9646365649e+02    9.7227030748e-01    9.9511957052e-01
         6   -1.9633640002e+02    1.2749182405e+01    4.0958806137e+03    4.0950000000e+03    3.5156250000e-02   -1.9628342159e+02    9.7215494873e-01    9.9633699634e-01
         7   -1.9629308767e+02    1.3442996223e+01    4.0952887873e+03    4.0920000000e+03    2.7343750000e-02   -1.9614099209e+02    9.7484510903e-01    9.9560117302e-01
         8   -1.9633302339e+02    1.2704974766e+01    4.0965422858e+03    4.1010000000e+03    5.2734375000e-02   -1.9653707940e+02    9.7337135802e-01    9.9512314070e-01
         9   -1.9638671379e+02    1.1935305767e+01    4.0964276290e+03    4.0970000000e+03    3.5156250000e-02   -1.9638184555e+02    9.7369159633e-01    9.9365389309e-01
        10   -1.9644127207e+02    1.0528673788e+01    4.0966607431e+03    4.0950000000e+03    5.0781250000e-02   -1.9633787970e+02    9.7305408146e-01    9.9462759463e-01
        11   -1.9633910332e+02    1.6292903421e+01    4.0980107299e+03    4.0980000000e+03    4.6875000000e-02   -1.9638720195e+02    9.7267496698e-01    9.9487554905e-01
        12   -1.9638282861e+02    1.3815349039e+01    4.0968911933e+03    4.0980000000e+03    4.1015625000e-02   -1.9641448109e+02    9.7303676687e-01    9.9487554905e-01
        13   -1.9642974229e+02    1.2965168152e+01    4.0953168356e+03    4.0950000000e+03    3.9062500000e-02   -1.9638878556e+02    9.7326392192e-01    9.9560439560e-01
        14   -1.9638815016e+02    1.1501772522e+01    4.0943168173e+03    4.0940000000e+03    3.5156250000e-02   -1.9638699105e+02    9.7407044942e-01    9.9633610161e-01
        15   -1.9635671911e+02    1.3677423717e+01    4.0943792765e+03    4.0950000000e+03    3.1250000000e-02   -1.9639568785e+02    9.7228630668e-01    9.9584859585e-01
        16   -1.9627551917e+02    1.6514932008e+01    4.0923230074e+03    4.0940000000e+03    3.3203125000e-02   -1.9639414664e+02    9.7253227705e-01    9.9487054226e-01
        17   -1.9627175374e+02    1.6204875172e+01    4.0927712328e+03    4.0950000000e+03    4.2968750000e-02   -1.9638897431e+02    9.7486286645e-01    9.9560439560e-01
        18   -1.9631027154e+02    1.3368204072e+01    4.0975106080e+03    4.0990000000e+03    4.1015625000e-02   -1.9637573822e+02    9.7348239879e-01    9.9609660893e-01
        19   -1.9625782474e+02    1.5572025299e+01    4.1032506235e+03    4.1050000000e+03    4.2968750000e-02   -1.9636572844e+02    9.7240840774e-01    9.9366626066e-01
        20   -1.9643829445e+02    1.1076266960e+01    4.0987703832e+03    4.0990000000e+03    4.4921875000e-02   -1.9635893953e+02    9.7591596451e-01    9.9536472310e-01
        21   -1.9636213778e+02    1.3586231457e+01    4.0968628923e+03    4.0960000000e+03    3.3203125000e-02   -1.9634908168e+02    9.7402103800e-01    9.9438476562e-01
        22   -1.9624941686e+02    1.4215519152e+01    4.0948648474e+03    4.0960000000e+03    4.4921875000e-02   -1.9635651608e+02    9.7451557950e-01    9.9511718750e-01
        23   -1.9629532100e+02    1.3758706517e+01    4.0921367949e+03    4.0940000000e+03    3.9062500000e-02   -1.9635646012e+02    9.7444999128e-01    9.9389350269e-01
        24   -1.9645380974e+02    1.1023023145e+01    4.0836422114e+03    4.0830000000e+03    4.8828125000e-02   -1.9634608881e+02    9.7459813071e-01    9.9583639481e-01
        25   -1.9645356123e+02    1.6517033941e+01    4.0920509509e+03    4.0900000000e+03    4.6875000000e-02   -1.9634420532e+02    9.7367033596e-01    9.9584352078e-01
        26   -1.9634907479e+02    1.6731283093e+01    4.0938697756e+03    4.0930000000e+03    3.7109375000e-02   -1.9635169721e+02    9.7273445045e-01    9.9486928903e-01
        27   -1.9633301208e+02    1.6127668441e+01    4.0958657442e+03    4.0960000000e+03    4.2968750000e-02   -1.9635837880e+02    9.7504754827e-01    9.9560546875e-01
        28   -1.9637750035e+02    1.1838824862e+01    4.0979138686e+03    4.0980000000e+03    3.9062500000e-02   -1.9635835007e+02    9.7306520816e-01    9.9585163494e-01
        29   -1.9638558060e+02    1.1145013965e+01    4.0995138812e+03    4.0990000000e+03    3.1250000000e-02   -1.9635728618e+02    9.7562804863e-01    9.9463283728e-01
        30   -1.9645637682e+02    1.2394389928e+01    4.1003839400e+03    4.0990000000e+03    4.2968750000e-02   -1.9635833349e+02    9.7422849715e-01    9.9487679922e-01
        31   -1.9639805966e+02    1.2071170520e+01    4.1004584687e+03    4.0990000000e+03    3.7109375000e-02   -1.9635966584e+02    9.7613073164e-01    9.9560868505e-01
        32   -1.9640196913e+02    1.1830475336e+01    4.1126534831e+03    4.1120000000e+03    5.6640625000e-02   -1.9636726156e+02    9.7369355301e-01    9.9659533074e-01
        33   -1.9637164884e+02    1.5187240661e+01    4.1192737702e+03    4.1190000000e+03    4.1015625000e-02   -1.9637047100e+02    9.7284820980e-01    9.9417334304e-01
