#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9635272656e+02    3.8567950690e+04   -3.2840030831e+02    1.3204758175e+02    1.5720451309e+02   -5.0571225328e+02    2.0107431886e+01    8.1984000000e+04    6.3583541451e+01    9.8455134383e-01
         1   -1.9637707537e+02    3.8577250316e+04   -3.2783357268e+02    1.3145649731e+02    1.5706621015e+02   -5.0494674945e+02    2.0046966616e+01    8.2157000000e+04    6.6568788044e+01    9.8501820589e-01
         2   -1.9637004309e+02    3.8575915760e+04   -3.2820368502e+02    1.3183364193e+02    1.5725237173e+02   -5.0589797110e+02    2.0441914352e+01    8.3357000000e+04    7.9593595180e+01    9.8476224405e-01
         3   -1.9638375719e+02    3.8579982656e+04   -3.2790238983e+02    1.3151863264e+02    1.5731735162e+02   -5.0575849282e+02    2.0538751363e+01    8.3818000000e+04    7.9638794015e+01    9.8478819999e-01
         4   -1.9635098108e+02    3.8569443948e+04   -3.2800919720e+02    1.3165821612e+02    1.5744421642e+02   -5.0564409321e+02    2.0190679593e+01    8.3882000000e+04    8.0465905206e+01    9.8474377173e-01
         5   -1.9635277165e+02    3.8568635633e+04   -3.2823617227e+02    1.3188340062e+02    1.5761310038e+02   -5.0618657719e+02    2.0337304539e+01    8.4436000000e+04    8.0594958778e+01    9.8483089111e-01
         6   -1.9634277821e+02    3.8564976220e+04   -3.2888813937e+02    1.3254536116e+02    1.5768171060e+02   -5.0698573275e+02    2.0415882781e+01    8.3847000000e+04    7.9900000546e+01    9.8465161404e-01
         7   -1.9637896037e+02    3.8578573567e+04   -3.2733374683e+02    1.3095478647e+02    1.5727603726e+02   -5.0488107210e+02    2.0271288008e+01    8.3422000000e+04    8.0256953591e+01    9.8504952586e-01
         8   -1.9634619982e+02    3.8565924051e+04   -3.2764706729e+02    1.3130086747e+02    1.5732096142e+02   -5.0498991236e+02    2.0021883656e+01    8.2793000000e+04    7.8123845749e+01    9.8481724250e-01
         9   -1.9638429923e+02    3.8580217809e+04   -3.2817862188e+02    1.3179432265e+02    1.5730477156e+02   -5.0539364563e+02    1.9910252196e+01    8.3518000000e+04    8.0779953901e+01    9.8505709072e-01
        10   -1.9637288704e+02    3.8575904828e+04   -3.2833240769e+02    1.3195952065e+02    1.5744493157e+02   -5.0618281078e+02    2.0405471521e+01    8.3046000000e+04    7.9657587825e+01    9.8482726918e-01
        11   -1.9637794378e+02    3.8578435435e+04   -3.2900016399e+02    1.3262222022e+02    1.5774176095e+02   -5.0718209688e+02    2.0440171932e+01    8.2528000000e+04    7.8168302292e+01    9.8479867586e-01
        12   -1.9636640116e+02    3.8573282894e+04   -3.2876484716e+02    1.3239844600e+02    1.5770152007e+02   -5.0670489880e+02    2.0238531560e+01    8.2530000000e+04    7.7590404861e+01    9.8462384459e-01
        13   -1.9635732134e+02    3.8570829882e+04   -3.2825027740e+02    1.3189295606e+02    1.5747962076e+02   -5.0630663906e+02    2.0576740904e+01    8.2212000000e+04    7.5228953810e+01    9.8459303636e-01
        14   -1.9636704040e+02    3.8573318469e+04   -3.2864288510e+02    1.3227584470e+02    1.5741898170e+02   -5.0674671927e+02    2.0684852472e+01    8.2160000000e+04    7.1325821912e+01    9.8473036240e-01
        15   -1.9637411902e+02    3.8576169238e+04   -3.2837478952e+02    1.3200067050e+02    1.5711202292e+02   -5.0562150652e+02    2.0134694084e+01    8.1794000000e+04    5.3545695663e+01    9.8484425023e-01
        16   -1.9635052928e+02    3.8567278060e+04   -3.2767192646e+02    1.3132139718e+02    1.5698903881e+02   -5.0519162330e+02    2.0530658036e+01    8.2309000000e+04    7.7418932836e+01    9.8490382631e-01
        17   -1.9633608617e+02    3.8561234695e+04   -3.2749745361e+02    1.3116136745e+02    1.5708622429e+02   -5.0471077369e+02    2.0127095782e+01    8.2139000000e+04    7.1838134580e+01    9.8484682956e-01
        18   -1.9633435885e+02    3.8560803511e+04   -3.2763528459e+02    1.3130092574e+02    1.5706522157e+02   -5.0492945582e+02    2.0228949662e+01    8.2851000000e+04    7.9066617236e+01    9.8496864464e-01
        19   -1.9633965905e+02    3.8563288666e+04   -3.2748613372e+02    1.3114647467e+02    1.5707057354e+02   -5.0491110430e+02    2.0354397039e+01    8.2848000000e+04    8.0275245974e+01    9.8481215087e-01
