#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2328586228e+02    1.5201500452e+04   -1.9524214551e+02    7.1956283229e+01    9.1173294405e+01   -3.0319411435e+02    1.6778674440e+01    1.0880000000e+03    2.9870682451e-01    4.9972426471e-01
         1   -1.2327652944e+02    1.5199255700e+04   -1.9571372231e+02    7.2437192878e+01    9.1364105115e+01   -3.0231177082e+02    1.5233943386e+01    1.0880000000e+03    3.1262012812e-01    5.0113740809e-01
         2   -1.2325080590e+02    1.5192746832e+04   -1.9604526939e+02    7.2794463492e+01    9.1199596508e+01   -3.0307138608e+02    1.5826520175e+01    1.0880000000e+03    3.1159602149e-01    5.0141314338e-01
         3   -1.2331163468e+02    1.5208392213e+04   -1.9452154605e+02    7.1209911372e+01    9.1283545131e+01   -3.0273769949e+02    1.6932608307e+01    1.0880000000e+03    3.1221008432e-01    4.9980468750e-01
         4   -1.2330778541e+02    1.5206868857e+04   -1.9596162355e+02    7.2653838142e+01    9.1628844062e+01   -3.0419035218e+02    1.6599884562e+01    1.0880000000e+03    3.1304334564e-01    5.0055147059e-01
         5   -1.2330256795e+02    1.5205793095e+04   -1.9594424113e+02    7.2641673174e+01    9.1921148550e+01   -3.0308753975e+02    1.5222150073e+01    1.0880000000e+03    3.1302168659e-01    5.0145909926e-01
         6   -1.2329345691e+02    1.5204428421e+04   -1.9626795404e+02    7.2974497128e+01    9.1498464049e+01   -3.0284710961e+02    1.5080691528e+01    1.0880000000e+03    3.1239721026e-01    5.0147058824e-01
         7   -1.2331599412e+02    1.5208866073e+04   -1.9476106675e+02    7.1445072627e+01    9.1129983866e+01   -3.0233433183e+02    1.6443281220e+01    1.0880000000e+03    3.1287515317e-01    5.0364200368e-01
         8   -1.2320218326e+02    1.5180770604e+04   -1.9569661502e+02    7.2494431756e+01    9.1092568011e+01   -3.0263140463e+02    1.5842221606e+01    1.0880000000e+03    3.1194090514e-01    5.0118336397e-01
         9   -1.2336048449e+02    1.5220022638e+04   -1.9443403128e+02    7.1073546790e+01    9.1521667617e+01   -3.0216965831e+02    1.6213959420e+01    1.0880000000e+03    3.1209844899e-01    5.0417049632e-01
        10   -1.2332352648e+02    1.5210550884e+04   -1.9488526676e+02    7.1561740289e+01    9.1637730208e+01   -3.0290736044e+02    1.6384363463e+01    1.0880000000e+03    3.1214448569e-01    5.0359604779e-01
        11   -1.2337432811e+02    1.5224034542e+04   -1.9474879699e+02    7.1374468883e+01    9.1554582862e+01   -3.0196852070e+02    1.5665140847e+01    1.0880000000e+03    3.1294496883e-01    5.0087316176e-01
        12   -1.2328745082e+02    1.5201723175e+04   -1.9526642939e+02    7.1978978570e+01    9.1115832355e+01   -3.0304937575e+02    1.6667114002e+01    1.0880000000e+03    3.1248868498e-01    5.0467601103e-01
        13   -1.2331522494e+02    1.5209230068e+04   -1.9404971874e+02    7.0734493798e+01    9.1155793979e+01   -3.0113595508e+02    1.5930442362e+01    1.0880000000e+03    3.1264616834e-01    5.0012637868e-01
        14   -1.2320501822e+02    1.5181342121e+04   -1.9368477382e+02    7.0479755598e+01    9.1152560991e+01   -3.0130734831e+02    1.6470013499e+01    1.0880000000e+03    3.1282325023e-01    5.0134420956e-01
        15   -1.2331820059e+02    1.5209132197e+04   -1.9417811514e+02    7.0859914544e+01    9.1820983724e+01   -3.0169754428e+02    1.5698445416e+01    1.0880000000e+03    3.1272043288e-01    5.0317095588e-01
        16   -1.2325656310e+02    1.5194522016e+04   -1.9455510631e+02    7.1298543215e+01    9.1193845277e+01   -3.0152418410e+02    1.5775232514e+01    1.0880000000e+03    3.1245796974e-01    5.0119485294e-01
        17   -1.2318838661e+02    1.5177561679e+04   -1.9511409629e+02    7.1925709678e+01    9.1604264018e+01   -3.0220873815e+02    1.5490377840e+01    1.0880000000e+03    3.1298207996e-01    5.0459558824e-01
        18   -1.2330681777e+02    1.5206787506e+04   -1.9419183668e+02    7.0885018907e+01    9.1231652776e+01   -3.0037387807e+02    1.4950388612e+01    1.0880000000e+03    3.1268021859e-01    5.0485983456e-01
        19   -1.2327079315e+02    1.5197757357e+04   -1.9407357252e+02    7.0802779371e+01    9.1189253414e+01   -3.0096550839e+02    1.5702682451e+01    1.0880000000e+03    3.1165733692e-01    5.0319393382e-01
        20   -1.2328897460e+02    1.5202966752e+04   -1.9385949273e+02    7.0570518134e+01    9.1196955131e+01   -3.0096396436e+02    1.5907516493e+01    1.0880000000e+03    3.1182589908e-01    5.0109145221e-01
        21   -1.2331534574e+02    1.5209265583e+04   -1.9524036249e+02    7.1925016753e+01    9.1504405841e+01   -3.0231885988e+02    1.5574091549e+01    1.0880000000e+03    3.1252452381e-01    5.0477941176e-01
        22   -1.2322625171e+02    1.5186789957e+04   -1.9500338627e+02    7.1777134553e+01    9.1231537736e+01   -3.0230173336e+02    1.6066809362e+01    1.0880000000e+03    3.1205685634e-01    5.0219439338e-01
        23   -1.2323107051e+02    1.5188029353e+04   -1.9424184130e+02    7.1010770789e+01    9.1159047108e+01   -3.0168385294e+02    1.6282964539e+01    1.0880000000e+03    3.1310336138e-01    5.0258501838e-01
        24   -1.2330863758e+02    1.5207099196e+04   -1.9451276814e+02    7.1204130561e+01    9.1588236978e+01   -3.0113905931e+02    1.5038054188e+01    1.0880000000e+03    3.1291733857e-01    5.0087316176e-01
        25   -1.2324565475e+02    1.5191655187e+04   -1.9496514679e+02    7.1719492041e+01    9.1302110980e+01   -3.0244164656e+02    1.6174388786e+01    1.0880000000e+03    3.1238695475e-01    5.0311351103e-01
        26   -1.2323494508e+02    1.5189115476e+04   -1.9394662230e+02    7.0711677228e+01    9.0407543943e+01   -2.9982834228e+02    1.5474176037e+01    1.0880000000e+03    3.1134429464e-01    5.0463005515e-01
        27   -1.2331255810e+02    1.5209064377e+04   -1.9475709576e+02    7.1444537663e+01    9.0943644371e+01   -3.0103275749e+02    1.5332017350e+01    1.0880000000e+03    3.1241110143e-01    5.0373391544e-01
        28   -1.2333391071e+02    1.5213632753e+04   -1.9474555886e+02    7.1411648155e+01    9.0882892078e+01   -3.0109536850e+02    1.5466917555e+01    1.0880000000e+03    3.1196220789e-01    5.0541130515e-01
        29   -1.2326641670e+02    1.5196483543e+04   -1.9460271590e+02    7.1336299200e+01    9.1002463534e+01   -3.0118128085e+02    1.5576101410e+01    1.0880000000e+03    3.1204224728e-01    5.0412454044e-01
