# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.2332593349e+02    1.3538119504e+00    1.6327000000e+04    1.6320000000e+04    0.0000000000e+00   -1.2328850954e+02    9.8445033828e-01    9.9877450980e-01
         1   -1.2334007208e+02    1.5238682685e+00    1.5999028872e+04    1.6320000000e+04    0.0000000000e+00   -1.2737222487e+02    9.8478203409e-01    9.8014705882e-01
         2   -1.2333094837e+02    1.6909773346e+00    1.5999612540e+04    1.6000000000e+04    2.2334558824e-01   -1.2334007208e+02    9.8476320404e-01    9.9850000000e-01
         3   -1.2334024321e+02    1.6685558396e+00    1.6000506807e+04    1.6010000000e+04    3.1250000000e-02   -1.2345590933e+02    9.8439719876e-01    9.9756402249e-01
         4   -1.2334050647e+02    1.4949634250e+00    1.6000094468e+04    1.5996000000e+04    3.4926470588e-02   -1.2329023696e+02    9.8396163734e-01    9.9812453113e-01
         5   -1.2333652788e+02    1.4722260290e+00    1.5999975833e+04    1.6003000000e+04    3.3088235294e-02   -1.2337800296e+02    9.8396962667e-01    9.9818783978e-01
         6   -1.2333402900e+02    1.4297886394e+00    1.5999885797e+04    1.6000000000e+04    2.4816176471e-02   -1.2333652788e+02    9.8479537666e-01    9.9856250000e-01
         7   -1.2333531502e+02    1.3809453911e+00    1.6000115146e+04    1.6007000000e+04    2.7573529412e-02   -1.2342150986e+02    9.8417093185e-01    9.9862560130e-01
         8   -1.2333332528e+02    1.5239015811e+00    1.6000168626e+04    1.6014000000e+04    2.5735294118e-02   -1.2351023850e+02    9.8453600789e-01    9.9793930311e-01
         9   -1.2333565574e+02    1.4927738476e+00    1.6000106910e+04    1.6002000000e+04    2.8492647059e-02   -1.2335832372e+02    9.8426490906e-01    9.9837520310e-01
        10   -1.2333326991e+02    1.3928630300e+00    1.5999899136e+04    1.6001000000e+04    2.3897058824e-02   -1.2334815535e+02    9.8420506906e-01    9.9831260546e-01
        11   -1.2333360767e+02    1.5309233555e+00    1.5999934927e+04    1.5998000000e+04    2.4816176471e-02   -1.2330826835e+02    9.8397427282e-01    9.9868733592e-01
        12   -1.2333925694e+02    1.6029367053e+00    1.6000177163e+04    1.6001000000e+04    2.1139705882e-02   -1.2334610728e+02    9.8420063364e-01    9.9881257421e-01
        13   -1.2335577193e+02    1.4293596620e+00    1.6000888443e+04    1.6011000000e+04    2.4816176471e-02   -1.2347670969e+02    9.8415900908e-01    9.9737680345e-01
        14   -1.2334253365e+02    1.4281821558e+00    1.5999411398e+04    1.5996000000e+04    3.5845588235e-02   -1.2330576568e+02    9.8461206246e-01    9.9812453113e-01
        15   -1.2335347812e+02    1.3853383299e+00    1.6000441221e+04    1.5995000000e+04    2.5735294118e-02   -1.2328002388e+02    9.8473381291e-01    9.9781181619e-01
        16   -1.2335977645e+02    1.8934707837e+00    1.6000149449e+04    1.5994000000e+04    2.9411764706e-02   -1.2327846405e+02    9.8406079712e-01    9.9868700763e-01
        17   -1.2336497785e+02    3.8403989942e+00    1.5999659845e+04    1.6001000000e+04    2.5735294118e-02   -1.2337227606e+02    9.8420112549e-01    9.9793762890e-01
        18   -1.2335120094e+02    1.8189825294e+00    1.5999009045e+04    1.6004000000e+04    3.2169117647e-02   -1.2341497160e+02    9.8417123209e-01    9.9793801550e-01
