# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.2331946083e+02    5.4941304724e+00    4.1010000000e+03    4.0960000000e+03    0.0000000000e+00   -1.2330870915e+02    9.1881117271e-01    9.8681640625e-01
         1   -1.2328391856e+02    7.7496787559e+00    4.0888502279e+03    4.0960000000e+03    0.0000000000e+00   -1.2338045876e+02    9.1778133445e-01    9.7631835938e-01
         2   -1.2330852170e+02    7.1323918631e+00    4.0953336418e+03    4.0860000000e+03    1.6015625000e-01   -1.2316169900e+02    9.1674013608e-01    9.9021047479e-01
         3   -1.2338827337e+02    5.8860852683e+00    4.0984420505e+03    4.0930000000e+03    8.2031250000e-02   -1.2327188719e+02    9.1879946725e-01    9.8900561935e-01
         4   -1.2334258641e+02    6.7107193818e+00    4.0951205822e+03    4.1030000000e+03    9.5703125000e-02   -1.2347364965e+02    9.2001217547e-01    9.9025103583e-01
         5   -1.2333434521e+02    6.0094753312e+00    4.0961968133e+03    4.1030000000e+03    7.6171875000e-02   -1.2342796269e+02    9.1581648820e-01    9.8659517426e-01
         6   -1.2338639904e+02    5.8730032791e+00    4.0977786818e+03    4.0940000000e+03    1.0156250000e-01   -1.2330992519e+02    9.1765948293e-01    9.8851978505e-01
         7   -1.2334897477e+02    6.3345028421e+00    4.0941757075e+03    4.0930000000e+03    8.5937500000e-02   -1.2334976453e+02    9.1728329648e-01    9.8851698021e-01
         8   -1.2338516888e+02    5.8921480941e+00    4.0964048038e+03    4.0910000000e+03    8.3984375000e-02   -1.2328790233e+02    9.1951133962e-01    9.8900024444e-01
         9   -1.2335635269e+02    5.8613825542e+00    4.0951332487e+03    4.0940000000e+03    8.3984375000e-02   -1.2336074886e+02    9.1787129327e-01    9.9022960430e-01
        10   -1.2340417446e+02    5.1335546326e+00    4.0976604095e+03    4.1000000000e+03    8.7890625000e-02   -1.2340515699e+02    9.1817470700e-01    9.8951219512e-01
        11   -1.2340731067e+02    6.8495201605e+00    4.0954103009e+03    4.1020000000e+03    7.6171875000e-02   -1.2347736306e+02    9.1688835090e-01    9.8561677231e-01
        12   -1.2345065300e+02    7.8949265974e+00    4.0963792191e+03    4.0860000000e+03    1.0546875000e-01   -1.2328509111e+02    9.2040405917e-01    9.8751835536e-01
        13   -1.2334146057e+02    5.9031671304e+00    4.0918624130e+03    4.0910000000e+03    9.7656250000e-02   -1.2338958056e+02    9.1651485092e-01    9.8826692740e-01
        14   -1.2339519918e+02    5.5132188220e+00    4.0969604513e+03    4.0860000000e+03    8.3984375000e-02   -1.2321924101e+02    9.1711532361e-01    9.8996573666e-01
        15   -1.2337195965e+02    6.9584065544e+00    4.0957806180e+03    4.1130000000e+03    1.1523437500e-01   -1.2360228925e+02    9.1960867797e-01    9.8978847557e-01
        16   -1.2335620320e+02    6.5087836350e+00    4.0959930447e+03    4.1100000000e+03    7.4218750000e-02   -1.2354256669e+02    9.1662129918e-01    9.8467153285e-01
        17   -1.2341418224e+02    6.0536961196e+00    4.0975767341e+03    4.0860000000e+03    1.1132812500e-01   -1.2323398363e+02    9.1608453586e-01    9.8898678414e-01
        18   -1.2341172185e+02    6.9799612140e+00    4.0947841964e+03    4.0890000000e+03    8.5937500000e-02   -1.2332865992e+02    9.1820879005e-01    9.9217412570e-01
        19   -1.2341596365e+02    6.7884211991e+00    4.0959530919e+03    4.1040000000e+03    8.3984375000e-02   -1.2350928286e+02    9.1759154824e-01    9.8854775828e-01
        20   -1.2334907003e+02    5.7633107415e+00    4.0929839501e+03    4.0970000000e+03    8.7890625000e-02   -1.2342816919e+02    9.1857300616e-01    9.8852819136e-01
        21   -1.2335848957e+02    5.9890158877e+00    4.0970849193e+03    4.1010000000e+03    8.7890625000e-02   -1.2341006796e+02    9.1853506517e-01    9.8780785174e-01
        22   -1.2333893203e+02    6.3212505430e+00    4.0949691168e+03    4.0970000000e+03    8.5937500000e-02   -1.2337069511e+02    9.1743614369e-01    9.8779594825e-01
        23   -1.2342043285e+02    5.1994542168e+00    4.0999697931e+03    4.1030000000e+03    1.0351562500e-01   -1.2342430831e+02    9.1729985840e-01    9.8781379478e-01
        24   -1.2337246458e+02    6.2469879810e+00    4.0948088340e+03    4.1010000000e+03    9.1796875000e-02   -1.2348143078e+02    9.1735913637e-01    9.8853938064e-01
        25   -1.2334053350e+02    6.2844481740e+00    4.0936404841e+03    4.0870000000e+03    8.7890625000e-02   -1.2326248043e+02    9.1759647620e-01    9.8996819183e-01
        26   -1.2345048963e+02    6.5667481510e+00    4.1008538966e+03    4.1060000000e+03    1.0937500000e-01   -1.2346245504e+02    9.1582378179e-01    9.8855333658e-01
        27   -1.2345299673e+02    8.9744434885e+00    4.0949757018e+03    4.1000000000e+03    7.6171875000e-02   -1.2349929393e+02    9.1731091816e-01    9.8634146341e-01
        28   -1.2338580244e+02    6.3275038767e+00    4.0928566234e+03    4.0800000000e+03    1.0546875000e-01   -1.2325730176e+02    9.1683236836e-01    9.8897058824e-01
        29   -1.2339080313e+02    5.7847907135e+00    4.0952339586e+03    4.0880000000e+03    9.5703125000e-02   -1.2328805070e+02    9.1715301838e-01    9.8776908023e-01
        30   -1.2334051174e+02    5.6222591669e+00    4.0936089946e+03    4.0860000000e+03    8.9843750000e-02   -1.2326858357e+02    9.1937661270e-01    9.8972099853e-01
        31   -1.2337878755e+02    6.1191517414e+00    4.0972915674e+03    4.0980000000e+03    9.7656250000e-02   -1.2336491984e+02    9.1847491042e-01    9.8901903367e-01
        32   -1.2341141267e+02    6.1973272734e+00    4.0969643437e+03    4.1000000000e+03    8.9843750000e-02   -1.2342759185e+02    9.1667217826e-01    9.8878048780e-01
        33   -1.2332621603e+02    6.5019734327e+00    4.0922356138e+03    4.0930000000e+03    7.8125000000e-02   -1.2337477816e+02    9.1768878631e-01    9.8607378451e-01
        34   -1.2336188164e+02    6.6312852269e+00    4.0952873799e+03    4.0790000000e+03    1.0546875000e-01   -1.2311826466e+02    9.1942859308e-01    9.8994851679e-01
        35   -1.2340592365e+02    5.2136829112e+00    4.0977857573e+03    4.0960000000e+03    1.0156250000e-01   -1.2336188164e+02    9.1332400269e-01    9.8632812500e-01
        36   -1.2334697416e+02    5.6565313995e+00    4.0928605196e+03    4.0860000000e+03    9.5703125000e-02   -1.2328370409e+02    9.1581738831e-01    9.8874204601e-01
        37   -1.2332825408e+02    6.0650934968e+00    4.0947548153e+03    4.0930000000e+03    8.9843750000e-02   -1.2331033965e+02    9.1970388489e-01    9.9022721720e-01
        38   -1.2327812720e+02    7.3574008781e+00    4.0942066857e+03    4.1050000000e+03    8.7890625000e-02   -1.2343799684e+02    9.1726876286e-01    9.8514007308e-01
