#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2336980288e+02    1.5225664818e+04   -1.9581416506e+02    7.2444362171e+01    9.1610522260e+01   -3.0313448145e+02    1.5709794133e+01    8.1902000000e+04    1.7626330740e+02    9.7920833919e-01
         1   -1.2336461384e+02    1.5224985989e+04   -1.9581318444e+02    7.2448570597e+01    9.1646199034e+01   -3.0309621989e+02    1.5636836417e+01    8.1892000000e+04    1.9739597665e+02    9.7875749325e-01
         2   -1.2338381441e+02    1.5229018834e+04   -1.9611803424e+02    7.2734219832e+01    9.1621484523e+01   -3.0353449055e+02    1.5794971787e+01    8.1945000000e+04    1.9282921197e+02    9.7874726252e-01
         3   -1.2337470959e+02    1.5227472533e+04   -1.9634689067e+02    7.2972181072e+01    9.1820118660e+01   -3.0408759235e+02    1.5920583026e+01    8.2040000000e+04    2.0864824935e+02    9.7854658536e-01
         4   -1.2336476351e+02    1.5224906613e+04   -1.9586166886e+02    7.2496905354e+01    9.1883142764e+01   -3.0348589723e+02    1.5741085607e+01    8.2228000000e+04    2.0297405732e+02    9.7897630711e-01
         5   -1.2334753039e+02    1.5220724844e+04   -1.9589511204e+02    7.2547581650e+01    9.1793223678e+01   -3.0341297922e+02    1.5724643495e+01    8.2241000000e+04    2.2333517840e+02    9.7884696569e-01
         6   -1.2336595510e+02    1.5225469014e+04   -1.9596057724e+02    7.2594622141e+01    9.1713517092e+01   -3.0362738913e+02    1.5953294801e+01    8.1873000000e+04    1.6869534301e+02    9.7871299602e-01
         7   -1.2337718772e+02    1.5227681137e+04   -1.9610445056e+02    7.2727262840e+01    9.1665302928e+01   -3.0362351054e+02    1.5853757050e+01    8.2988000000e+04    2.3606594284e+02    9.7874510739e-01
         8   -1.2336504414e+02    1.5224869250e+04   -1.9635217810e+02    7.2987133961e+01    9.1795037086e+01   -3.0403434270e+02    1.5887127517e+01    8.2982000000e+04    2.3095878937e+02    9.7871574563e-01
         9   -1.2338368155e+02    1.5228963969e+04   -1.9602610669e+02    7.2642425141e+01    9.1819823198e+01   -3.0401119767e+02    1.6165267787e+01    8.2458000000e+04    2.2624951751e+02    9.7883095400e-01
        10   -1.2336462003e+02    1.5224442438e+04   -1.9628468253e+02    7.2920062498e+01    9.2036794116e+01   -3.0422041615e+02    1.5898939513e+01    8.2156000000e+04    2.0412033353e+02    9.7885484274e-01
        11   -1.2336297741e+02    1.5224745148e+04   -1.9647417906e+02    7.3111201642e+01    9.2081854232e+01   -3.0447597814e+02    1.5919944848e+01    8.2448000000e+04    2.2960112705e+02    9.7866636676e-01
        12   -1.2339813561e+02    1.5232859474e+04   -1.9592669138e+02    7.2528555767e+01    9.1897891156e+01   -3.0375178205e+02    1.5927199512e+01    8.1738000000e+04    1.5705925186e+02    9.7894432859e-01
        13   -1.2336455005e+02    1.5224916138e+04   -1.9611996131e+02    7.2755411262e+01    9.1897774923e+01   -3.0407236830e+02    1.6054632068e+01    8.2534000000e+04    2.2571212684e+02    9.7897582087e-01
