#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2334136628e+02    1.5218643732e+04   -1.9541334265e+02    7.2071976371e+01    9.1749016572e+01   -3.0313510727e+02    1.5972748052e+01    4.0960000000e+03    9.4712411511e+00    4.6463088989e-01
         1   -1.2335219355e+02    1.5220691772e+04   -1.9560761387e+02    7.2255420314e+01    9.1818528493e+01   -3.0315625617e+02    1.5730113808e+01    4.0960000000e+03    9.7054688869e+00    4.6451492310e-01
         2   -1.2330171047e+02    1.5209695996e+04   -1.9558570459e+02    7.2283994121e+01    9.1927322411e+01   -3.0379859753e+02    1.6285570529e+01    4.0960000000e+03    9.6997663467e+00    4.6434936523e-01
         3   -1.2330702810e+02    1.5211935293e+04   -1.9528361565e+02    7.1976587552e+01    9.2036544720e+01   -3.0375832565e+02    1.6438165283e+01    4.0960000000e+03    9.6982018466e+00    4.6427078247e-01
         4   -1.2328251737e+02    1.5207509643e+04   -1.9550756757e+02    7.2225050203e+01    9.2011108491e+01   -3.0338381798e+02    1.5865141921e+01    4.0960000000e+03    9.7015722657e+00    4.6513061523e-01
         5   -1.2334087931e+02    1.5218161631e+04   -1.9564963084e+02    7.2308751525e+01    9.2053280532e+01   -3.0382287558e+02    1.6119964210e+01    4.0960000000e+03    9.6980841032e+00    4.6390151978e-01
         6   -1.2332022673e+02    1.5214202578e+04   -1.9560093928e+02    7.2280712553e+01    9.2222860598e+01   -3.0451865788e+02    1.6694858007e+01    4.0960000000e+03    9.7062221915e+00    4.6393203735e-01
         7   -1.2322998977e+02    1.5191845030e+04   -1.9574026424e+02    7.2510274473e+01    9.1996651300e+01   -3.0417926737e+02    1.6442351828e+01    4.0960000000e+03    9.6927213491e+00    4.6446685791e-01
         8   -1.2327971324e+02    1.5205279651e+04   -1.9586646901e+02    7.2586755772e+01    9.2039539793e+01   -3.0407627963e+02    1.6170270826e+01    4.0960000000e+03    9.6959001679e+00    4.6473388672e-01
         9   -1.2327273902e+02    1.5203030680e+04   -1.9516219824e+02    7.1889459216e+01    9.2139042336e+01   -3.0412931178e+02    1.6828071206e+01    4.0960000000e+03    9.7022219159e+00    4.6513137817e-01
        10   -1.2333625872e+02    1.5217345770e+04   -1.9568967570e+02    7.2353416983e+01    9.2010397277e+01   -3.0370976474e+02    1.6009691765e+01    4.0960000000e+03    9.6927051446e+00    4.6389770508e-01
        11   -1.2324904241e+02    1.5196422664e+04   -1.9519316456e+02    7.1944122153e+01    9.1923474048e+01   -3.0351164171e+02    1.6395003099e+01    4.0960000000e+03    9.6862187560e+00    4.6494293213e-01
        12   -1.2328766258e+02    1.5206775664e+04   -1.9491721845e+02    7.1629555872e+01    9.1953961014e+01   -3.0349321726e+02    1.6622037792e+01    4.0960000000e+03    9.6871249887e+00    4.6438598633e-01
        13   -1.2336871786e+02    1.5225279234e+04   -1.9577082725e+02    7.2402109388e+01    9.2093857328e+01   -3.0365634151e+02    1.5791656927e+01    4.0960000000e+03    9.6957536245e+00    4.6366348267e-01
        14   -1.2329090866e+02    1.5208717755e+04   -1.9515124102e+02    7.1860332360e+01    9.1883579706e+01   -3.0341495790e+02    1.6380137176e+01    4.0960000000e+03    9.6768008863e+00    4.6423568726e-01
        15   -1.2331367575e+02    1.5211623667e+04   -1.9509892502e+02    7.1785249271e+01    9.1778023139e+01   -3.0360261167e+02    1.6725663511e+01    4.0960000000e+03    9.6790064062e+00    4.6481170654e-01
        16   -1.2323010910e+02    1.5194654075e+04   -1.9558471082e+02    7.2354601717e+01    9.2132984106e+01   -3.0371735960e+02    1.5999664671e+01    4.0960000000e+03    9.6772364220e+00    4.6447372437e-01
        17   -1.2332237887e+02    1.5213859696e+04   -1.9594046447e+02    7.2618085595e+01    9.1929850303e+01   -3.0407140042e+02    1.6201085650e+01    4.0960000000e+03    9.6884906591e+00    4.6505203247e-01
        18   -1.2329620100e+02    1.5208587175e+04   -1.9524453251e+02    7.1948331508e+01    9.1732701029e+01   -3.0306439277e+02    1.6087159229e+01    4.0960000000e+03    9.6765978363e+00    4.6492919922e-01
        19   -1.2321645274e+02    1.5189529454e+04   -1.9499453028e+02    7.1778077531e+01    9.2003187324e+01   -3.0313078962e+02    1.6133072023e+01    4.0960000000e+03    9.6789315508e+00    4.6511077881e-01
        20   -1.2330723447e+02    1.5209882464e+04   -1.9537215208e+02    7.2064917615e+01    9.1891344219e+01   -3.0377366004e+02    1.6510163740e+01    4.0960000000e+03    9.6812451560e+00    4.6453781128e-01
        21   -1.2331890806e+02    1.5214107904e+04   -1.9548452629e+02    7.2165618231e+01    9.1995841739e+01   -3.0349497244e+02    1.6014604414e+01    4.0960000000e+03    9.6723854012e+00    4.6391296387e-01
        22   -1.2328656678e+02    1.5206986871e+04   -1.9491806466e+02    7.1631497880e+01    9.1645833278e+01   -3.0277545241e+02    1.6211554475e+01    4.0960000000e+03    9.6671153529e+00    4.6389770508e-01
        23   -1.2323406877e+02    1.5227413528e+04   -1.9607509543e+02    7.2841026663e+01    9.2168603860e+01   -3.0469465320e+02    1.6450953910e+01    4.0960000000e+03    9.6710703864e+00    4.6472778320e-01
        24   -1.2330178316e+02    1.5208891863e+04   -1.9458068473e+02    7.1278901575e+01    9.2181141230e+01   -3.0392361419e+02    1.7161788231e+01    4.0960000000e+03    9.6749515254e+00    4.6398239136e-01
        25   -1.2328392951e+02    1.5205295336e+04   -1.9575857647e+02    7.2474646966e+01    9.2215958437e+01   -3.0403725774e+02    1.6062722830e+01    4.0960000000e+03    9.6748191704e+00    4.6430130005e-01
        26   -1.2325179818e+02    1.5202092531e+04   -1.9525369701e+02    7.2001898831e+01    9.2070686826e+01   -3.0333906419e+02    1.6014680349e+01    4.0960000000e+03    9.6779751559e+00    4.6510314941e-01
        27   -1.2330692011e+02    1.5211066922e+04   -1.9493521949e+02    7.1628299379e+01    9.1628952350e+01   -3.0246296974e+02    1.5898797897e+01    4.0960000000e+03    9.6625300612e+00    4.6447677612e-01
        28   -1.2335117984e+02    1.5220927891e+04   -1.9551691671e+02    7.2165736866e+01    9.2059954812e+01   -3.0363860787e+02    1.6061736350e+01    4.0960000000e+03    9.6718147271e+00    4.6492004395e-01
        29   -1.2327041118e+02    1.5202294191e+04   -1.9470482860e+02    7.1434417416e+01    9.1798993647e+01   -3.0317313723e+02    1.6669314985e+01    4.0960000000e+03    9.6760532913e+00    4.6428680420e-01
        30   -1.2328488168e+02    1.5204961121e+04   -1.9567801342e+02    7.2393131740e+01    9.1930319408e+01   -3.0407570455e+02    1.6467371717e+01    4.0960000000e+03    9.6709455526e+00    4.6454925537e-01
        31   -1.2335567241e+02    1.5225449036e+04   -1.9610792462e+02    7.2752252210e+01    9.2143409377e+01   -3.0428605175e+02    1.6034717758e+01    4.0960000000e+03    9.6692028521e+00    4.6480636597e-01
        32   -1.2329199748e+02    1.5206647261e+04   -1.9593274314e+02    7.2640745661e+01    9.2126166632e+01   -3.0446703514e+02    1.6408125364e+01    4.0960000000e+03    9.6674776198e+00    4.6403427124e-01
        33   -1.2328733611e+02    1.5206188655e+04   -1.9566477266e+02    7.2377436552e+01    9.1891166316e+01   -3.0349605958e+02    1.5940120607e+01    4.0960000000e+03    9.6705879890e+00    4.6446990967e-01
        34   -1.2328443974e+02    1.5204758497e+04   -1.9623281756e+02    7.2948377824e+01    9.2234172440e+01   -3.0490942627e+02    1.6442436269e+01    4.0960000000e+03    9.6703071188e+00    4.6419219971e-01
        35   -1.2330853735e+02    1.5210593349e+04   -1.9616930880e+02    7.2860771454e+01    9.1968006740e+01   -3.0437970730e+02    1.6242391762e+01    4.0960000000e+03    9.6623401839e+00    4.6420516968e-01
        36   -1.2319877060e+02    1.5185009283e+04   -1.9528487182e+02    7.2086101218e+01    9.1887049201e+01   -3.0290763243e+02    1.5735711416e+01    4.0960000000e+03    9.6605083687e+00    4.6498260498e-01
        37   -1.2329897048e+02    1.5209647294e+04   -1.9528084704e+02    7.1981876561e+01    9.1741959434e+01   -3.0330156233e+02    1.6278755856e+01    4.0960000000e+03    9.6575657481e+00    4.6456527710e-01
        38   -1.2331555709e+02    1.5211868382e+04   -1.9517712974e+02    7.1861572650e+01    9.1776701452e+01   -3.0308212826e+02    1.6128297072e+01    4.0960000000e+03    9.6543680790e+00    4.6470642090e-01
        39   -1.2326779273e+02    1.5200885575e+04   -1.9527134366e+02    7.2003550925e+01    9.1979446932e+01   -3.0316944903e+02    1.5918658440e+01    4.0960000000e+03    9.6583582748e+00    4.6498489380e-01
        40   -1.2321618006e+02    1.5188294986e+04   -1.9558061926e+02    7.2364439200e+01    9.1976089148e+01   -3.0298727954e+02    1.5430571133e+01    4.0960000000e+03    9.6599861184e+00    4.6473922729e-01
        41   -1.2329420013e+02    1.5207687937e+04   -1.9567483071e+02    7.2380630587e+01    9.1911328314e+01   -3.0385762905e+02    1.6271470020e+01    4.0960000000e+03    9.6527582579e+00    4.6541137695e-01
