#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2333093894e+02    1.5211863531e+04   -1.9610167452e+02    7.2770735580e+01    9.1735982996e+01   -3.0357210425e+02    1.5734446734e+01    2.1760000000e+03    6.0592424585e-01    5.0034466912e-01
         1   -1.2334929320e+02    1.5216640744e+04   -1.9700074930e+02    7.3651456102e+01    9.1896739685e+01   -3.0554701688e+02    1.6649527890e+01    2.1760000000e+03    6.2567021522e-01    4.9942555147e-01
         2   -1.2329970691e+02    1.5204290728e+04   -1.9605922957e+02    7.2759522652e+01    9.1664956605e+01   -3.0271810901e+02    1.4993922838e+01    2.1760000000e+03    6.2729900155e-01    5.0174632353e-01
         3   -1.2328623409e+02    1.5200855582e+04   -1.9613270372e+02    7.2846469629e+01    9.1692481326e+01   -3.0394356133e+02    1.6118376285e+01    2.1760000000e+03    6.2621209661e-01    4.9986787684e-01
         4   -1.2329660029e+02    1.5203452408e+04   -1.9533929592e+02    7.2042695624e+01    9.2121151608e+01   -3.0388434010e+02    1.6423892577e+01    2.1760000000e+03    6.2650245757e-01    4.9927045037e-01
         5   -1.2331156789e+02    1.5207203624e+04   -1.9529680867e+02    7.1985240783e+01    9.1678617380e+01   -3.0336766286e+02    1.6392236804e+01    2.1760000000e+03    6.2578603713e-01    5.0040785846e-01
         6   -1.2333475025e+02    1.5212555308e+04   -1.9607659287e+02    7.2741842620e+01    9.1869849342e+01   -3.0361635437e+02    1.5669912163e+01    2.1760000000e+03    6.2535128436e-01    4.9871323529e-01
         7   -1.2330792475e+02    1.5206047126e+04   -1.9593923248e+02    7.2631307733e+01    9.2020663190e+01   -3.0448591282e+02    1.6526017144e+01    2.1760000000e+03    6.2435658802e-01    5.0070657169e-01
         8   -1.2329132079e+02    1.5202575775e+04   -1.9639491885e+02    7.3103598060e+01    9.2040084910e+01   -3.0448520434e+02    1.6050200574e+01    2.1760000000e+03    6.2617310378e-01    4.9888556985e-01
         9   -1.2331377812e+02    1.5207509345e+04   -1.9562367485e+02    7.2309896723e+01    9.1856216924e+01   -3.0355431354e+02    1.6074421770e+01    2.1760000000e+03    6.2499248215e-01    4.9867302390e-01
