# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -7.3790283058e+01    8.4784176271e+01    5.4110000000e+03    5.4400000000e+03    0.0000000000e+00    1.0000000000e+00    9.7850381710e-01    9.5882352941e-01
         1   -7.5079900417e+01    8.1311062429e+01    5.0259951816e+03    5.4400000000e+03    0.0000000000e+00   -8.1689883680e+01    9.8829810015e-01    8.7922794118e-01
         2   -7.6359722699e+01    7.6806854907e+01    5.0338034180e+03    4.9830000000e+03    4.0257352941e-01   -7.4739321104e+01    9.8991912336e-01    9.6849287578e-01
         3   -7.7476861307e+01    7.6519716685e+01    5.0280881151e+03    5.0300000000e+03    1.7371323529e-01   -7.6957929867e+01    9.8898703222e-01    9.6381709742e-01
         4   -7.8638144967e+01    7.6398592762e+01    5.0296820750e+03    5.0300000000e+03    1.5533088235e-01   -7.8075068475e+01    9.9140918635e-01    9.6620278330e-01
         5   -7.9830958677e+01    7.5919349800e+01    5.0295931591e+03    5.0330000000e+03    1.4246323529e-01   -7.9295976503e+01    9.9142400593e-01    9.6860719253e-01
         6   -8.0956235218e+01    7.6256429294e+01    5.0272377701e+03    5.0300000000e+03    1.2775735294e-01   -8.0429165845e+01    9.9055878350e-01    9.6719681909e-01
         7   -8.2051443092e+01    7.4264473910e+01    5.0264885486e+03    5.0230000000e+03    1.3786764706e-01   -8.1415180452e+01    9.9128599342e-01    9.6695202070e-01
         8   -8.3207269360e+01    7.6834561357e+01    5.0301139712e+03    5.0560000000e+03    1.6268382353e-01   -8.3165217534e+01    9.9077741771e-01    9.6340981013e-01
         9   -8.4436009975e+01    7.7243597826e+01    5.0320132456e+03    5.0490000000e+03    1.4981617647e-01   -8.4182498504e+01    9.9078778186e-01    9.6712220242e-01
        10   -8.5441350536e+01    7.0311242771e+01    5.0244006165e+03    5.0490000000e+03    1.4154411765e-01   -8.5411239119e+01    9.9156097112e-01    9.6098237275e-01
        11   -8.6527740487e+01    6.8226875768e+01    5.0286275531e+03    5.0110000000e+03    1.5257352941e-01   -8.5661108891e+01    9.9188809812e-01    9.7026541608e-01
        12   -8.7517021010e+01    6.7560669125e+01    5.0241068574e+03    5.0330000000e+03    1.4246323529e-01   -8.7185572023e+01    9.9103827264e-01    9.6264653288e-01
        13   -8.8657162365e+01    6.4508812410e+01    5.0313357645e+03    5.0160000000e+03    1.5533088235e-01   -8.7836510100e+01    9.9120062384e-01    9.6590909091e-01
        14   -8.9584459302e+01    6.2540501875e+01    5.0245064430e+03    5.0190000000e+03    1.4154411765e-01   -8.9036442189e+01    9.9134411390e-01    9.7330145447e-01
        15   -9.0458837147e+01    6.0147971114e+01    5.0218449077e+03    5.0390000000e+03    1.2775735294e-01   -9.0361433028e+01    9.9098706793e-01    9.7062909307e-01
        16   -9.1253972203e+01    5.9419974513e+01    5.0189558568e+03    5.0350000000e+03    1.2775735294e-01   -9.1156398520e+01    9.9036359607e-01    9.7259185700e-01
        17   -9.2026949697e+01    5.7899323558e+01    5.0176386096e+03    5.0300000000e+03    1.1488970588e-01   -9.1852179371e+01    9.9054319082e-01    9.6679920477e-01
        18   -9.2862053402e+01    5.6769367255e+01    5.0221384405e+03    5.0250000000e+03    1.3327205882e-01   -9.2525703848e+01    9.9109085753e-01    9.7353233831e-01
        19   -9.3652180964e+01    5.6316375938e+01    5.0185397999e+03    5.0280000000e+03    1.1856617647e-01   -9.3420491231e+01    9.8960716922e-01    9.7414478918e-01
        20   -9.4436753608e+01    5.5666289663e+01    5.0200483802e+03    5.0620000000e+03    1.3602941176e-01   -9.4884555933e+01    9.8984538845e-01    9.7056499407e-01
        21   -9.5221099629e+01    5.5355740494e+01    5.0198568662e+03    5.0530000000e+03    1.2132352941e-01   -9.5491174996e+01    9.9033455811e-01    9.6793983772e-01
        22   -9.5988669491e+01    5.3711185894e+01    5.0205510361e+03    5.0400000000e+03    1.3878676471e-01   -9.6017916594e+01    9.9025816097e-01    9.6785714286e-01
        23   -9.6721684540e+01    5.1788944251e+01    5.0190320204e+03    5.0130000000e+03    1.3419117647e-01   -9.6248332076e+01    9.8932599339e-01    9.7307001795e-01
        24   -9.7452324391e+01    5.0313213704e+01    5.0181964823e+03    5.0220000000e+03    1.1948529412e-01   -9.7160719370e+01    9.8997507757e-01    9.7272003186e-01
        25   -9.8124818437e+01    4.9853113870e+01    5.0175370818e+03    5.0320000000e+03    1.1764705882e-01   -9.8090285087e+01    9.8824797936e-01    9.6860095390e-01
        26   -9.8806762838e+01    4.7662774204e+01    5.0180546676e+03    5.0090000000e+03    1.2683823529e-01   -9.8304656631e+01    9.8885907349e-01    9.7224995009e-01
        27   -9.9523220779e+01    4.7153482813e+01    5.0200191901e+03    5.0490000000e+03    1.4705882353e-01   -9.9781991982e+01    9.8870136909e-01    9.6732026144e-01
        28   -1.0014174140e+02    4.7332516359e+01    5.0148062018e+03    4.9940000000e+03    1.2959558824e-01   -9.9403148721e+01    9.8900319876e-01    9.7416900280e-01
        29   -1.0062527942e+02    4.5399748068e+01    5.0110230131e+03    4.9970000000e+03    1.0110294118e-01   -1.0008172340e+02    9.8872250292e-01    9.7978787272e-01
        30   -1.0118428647e+02    4.4819683329e+01    5.0136208016e+03    5.0430000000e+03    1.2224264706e-01   -1.0148160248e+02    9.8871825517e-01    9.7065238945e-01
        31   -1.0172295603e+02    4.4950648777e+01    5.0145572192e+03    5.0230000000e+03    1.2224264706e-01   -1.0164323170e+02    9.8792413322e-01    9.7610989449e-01
        32   -1.0211666008e+02    4.3308036597e+01    5.0089088433e+03    5.0290000000e+03    1.0845588235e-01   -1.0230128051e+02    9.8807487693e-01    9.7255915689e-01
        33   -1.0260371846e+02    4.2578982845e+01    5.0118929722e+03    4.9950000000e+03    1.1488970588e-01   -1.0201661005e+02    9.8705094160e-01    9.7797797798e-01
        34   -1.0306505775e+02    4.2828837871e+01    5.0104125313e+03    5.0110000000e+03    1.1029411765e-01   -1.0282347681e+02    9.8694653174e-01    9.7645180603e-01
        35   -1.0353194262e+02    4.3167083743e+01    5.0130090758e+03    5.0560000000e+03    1.3143382353e-01   -1.0417883219e+02    9.8620805563e-01    9.7250791139e-01
        36   -1.0393517810e+02    4.3115143098e+01    5.0099403763e+03    5.0190000000e+03    1.1397058824e-01   -1.0391122244e+02    9.8562813456e-01    9.7170751146e-01
        37   -1.0437841887e+02    4.3278729654e+01    5.0113352605e+03    4.9970000000e+03    1.1856617647e-01   -1.0387516009e+02    9.8740485822e-01    9.7398439063e-01
        38   -1.0483385643e+02    4.3364718644e+01    5.0120139877e+03    5.0060000000e+03    1.1672794118e-01   -1.0449834693e+02    9.8665697824e-01    9.7263284059e-01
        39   -1.0533077737e+02    4.3632913280e+01    5.0133695231e+03    5.0050000000e+03    1.1488970588e-01   -1.0493380646e+02    9.8502153307e-01    9.7542457542e-01
        40   -1.0576539670e+02    4.3179265445e+01    5.0106885987e+03    5.0160000000e+03    1.1397058824e-01   -1.0565026646e+02    9.8617168543e-01    9.7667464115e-01
        41   -1.0614102249e+02    4.5471394979e+01    5.0089852727e+03    5.0230000000e+03    1.0937500000e-01   -1.0622434194e+02    9.8453376916e-01    9.7551264185e-01
        42   -1.0656768846e+02    4.7025273573e+01    5.0101868876e+03    5.0180000000e+03    1.0110294118e-01   -1.0650037604e+02    9.8574022832e-01    9.7508967716e-01
        43   -1.0690324396e+02    4.5356373475e+01    5.0069790086e+03    5.0060000000e+03    1.0477941176e-01   -1.0668761652e+02    9.8412521491e-01    9.7742708750e-01
        44   -1.0722272337e+02    4.5057039270e+01    5.0064117844e+03    5.0060000000e+03    9.2830882353e-02   -1.0702317202e+02    9.8435283328e-01    9.7283260088e-01
        45   -1.0768792079e+02    4.6832767822e+01    5.0117976673e+03    5.0000000000e+03    1.1305147059e-01   -1.0722272337e+02    9.8360124373e-01    9.7600000000e-01
        46   -1.0805554128e+02    4.5934774116e+01    5.0094533080e+03    5.0120000000e+03    1.1213235294e-01   -1.0792763325e+02    9.8219757631e-01    9.7605746209e-01
        47   -1.0857758461e+02    4.8333449460e+01    5.0134183701e+03    5.0340000000e+03    1.1948529412e-01   -1.0873323971e+02    9.8236902120e-01    9.6861342868e-01
        48   -1.0902895137e+02    5.0179854103e+01    5.0106069550e+03    4.9850000000e+03    1.3051470588e-01   -1.0827713370e+02    9.8232574915e-01    9.7853560682e-01
        49   -1.0940475290e+02    5.1739501507e+01    5.0075434671e+03    5.0060000000e+03    1.1121323529e-01   -1.0914887943e+02    9.8309705020e-01    9.7682780663e-01
        50   -1.0991093894e+02    5.0941341295e+01    5.0125966256e+03    5.0390000000e+03    1.2408088235e-01   -1.1018172662e+02    9.8191395643e-01    9.7162135344e-01
        51   -1.1039687309e+02    5.5399020914e+01    5.0112001598e+03    5.0280000000e+03    1.2224264706e-01   -1.1046937677e+02    9.8264023434e-01    9.6797931583e-01
        52   -1.1075536641e+02    5.3391682160e+01    5.0077559334e+03    4.9980000000e+03    1.3235294118e-01   -1.1035686509e+02    9.8086170845e-01    9.7218887555e-01
        53   -1.1127533108e+02    5.5719399952e+01    5.0115825029e+03    4.9910000000e+03    1.1764705882e-01   -1.1057520421e+02    9.8006128725e-01    9.7375275496e-01
        54   -1.1169773326e+02    5.4435337578e+01    5.0099363740e+03    5.0090000000e+03    1.2775735294e-01   -1.1145516928e+02    9.8129778387e-01    9.7584348173e-01
        55   -1.1207014426e+02    5.6427987911e+01    5.0079468970e+03    5.0210000000e+03    1.1121323529e-01   -1.1211685372e+02    9.8066034930e-01    9.7132045409e-01
        56   -1.1252837812e+02    5.6818121212e+01    5.0117717630e+03    5.0250000000e+03    1.2683823529e-01   -1.1256889841e+02    9.7985502096e-01    9.6995024876e-01
        57   -1.1295881721e+02    5.9692234645e+01    5.0100520614e+03    5.0210000000e+03    1.2500000000e-01   -1.1294749858e+02    9.7880371219e-01    9.6514638518e-01
        58   -1.1346466015e+02    5.9796459235e+01    5.0116052182e+03    4.9740000000e+03    1.3602941176e-01   -1.1243746051e+02    9.7849155867e-01    9.7386409329e-01
        59   -1.1389920827e+02    5.9805014723e+01    5.0088341044e+03    4.9960000000e+03    1.2775735294e-01   -1.1338462813e+02    9.7833534312e-01    9.7157726181e-01
        60   -1.1434166121e+02    5.9354236840e+01    5.0098005690e+03    4.9920000000e+03    1.1764705882e-01   -1.1373908013e+02    9.7886116407e-01    9.7235576923e-01
        61   -1.1482737436e+02    6.4342327416e+01    5.0110607540e+03    5.0180000000e+03    1.2591911765e-01   -1.1470101476e+02    9.7694231166e-01    9.7070546034e-01
        62   -1.1528130358e+02    5.7954326164e+01    5.0108991779e+03    5.0320000000e+03    1.2867647059e-01   -1.1546533506e+02    9.7747121135e-01    9.6959459459e-01
        63   -1.1569093884e+02    5.8794901368e+01    5.0095794272e+03    5.0330000000e+03    1.2683823529e-01   -1.1593913512e+02    9.7629903291e-01    9.6940194715e-01
