#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2336631680e+02    1.5221371565e+04   -1.9617565002e+02    7.2809333217e+01    9.2151286072e+01   -3.0423289349e+02    1.5905957398e+01    1.0880000000e+03    1.6243313012e-01    2.8015854779e-01
         1   -1.2322705015e+02    1.5187382524e+04   -1.9606835818e+02    7.2841308030e+01    9.2241111044e+01   -3.0440914282e+02    1.6099673601e+01    1.0880000000e+03    1.6609520005e-01    2.7806755515e-01
         2   -1.2328484173e+02    1.5200374521e+04   -1.9446714137e+02    7.1182299639e+01    9.1849545617e+01   -3.0214850550e+02    1.5831818520e+01    1.0880000000e+03    1.6536156526e-01    2.7992876838e-01
         3   -1.2326946131e+02    1.5196625194e+04   -1.9512797845e+02    7.1858517143e+01    9.1527908081e+01   -3.0247552295e+02    1.5819636413e+01    1.0880000000e+03    1.6565754528e-01    2.7802159926e-01
         4   -1.2327608869e+02    1.5198496076e+04   -1.9403031649e+02    7.0754227804e+01    9.1418343427e+01   -3.0176516264e+02    1.6316502718e+01    1.0880000000e+03    1.6533163102e-01    2.7819393382e-01
         5   -1.2330069742e+02    1.5204456519e+04   -1.9592458017e+02    7.2623882755e+01    9.1808582220e+01   -3.0360956881e+02    1.5876406421e+01    1.0880000000e+03    1.6564533816e-01    2.7751608456e-01
         6   -1.2333426591e+02    1.5212788867e+04   -1.9587589672e+02    7.2541630806e+01    9.1709339010e+01   -3.0302641268e+02    1.5441176956e+01    1.0880000000e+03    1.6557512805e-01    2.7798713235e-01
         7   -1.2334146763e+02    1.5215399320e+04   -1.9546113792e+02    7.2119670297e+01    9.1510935658e+01   -3.0281156816e+02    1.5839494582e+01    1.0880000000e+03    1.6560568332e-01    2.7909007353e-01
         8   -1.2334942225e+02    1.5216215802e+04   -1.9550045596e+02    7.2151033711e+01    9.1498697818e+01   -3.0298456942e+02    1.5985415639e+01    1.0880000000e+03    1.6520315255e-01    2.7899816176e-01
         9   -1.2325578841e+02    1.5193771337e+04   -1.9693683915e+02    7.3681050732e+01    9.2308590472e+01   -3.0570902394e+02    1.6463594323e+01    1.0880000000e+03    1.6631500401e-01    2.7749310662e-01
        10   -1.2335287965e+02    1.5217066299e+04   -1.9586964687e+02    7.2516767220e+01    9.1649646968e+01   -3.0421935105e+02    1.6700057210e+01    1.0880000000e+03    1.6540560740e-01    2.7967601103e-01
        11   -1.2335727938e+02    1.5218146487e+04   -1.9663451992e+02    7.3277240538e+01    9.1808031092e+01   -3.0471873539e+02    1.6276184377e+01    1.0880000000e+03    1.6602688852e-01    2.7859604779e-01
        12   -1.2327521750e+02    1.5197938797e+04   -1.9592666044e+02    7.2651442942e+01    9.1571985276e+01   -3.0403918609e+02    1.6540540371e+01    1.0880000000e+03    1.6542569285e-01    2.7650505515e-01
        13   -1.2327453485e+02    1.5197924793e+04   -1.9690467552e+02    7.3630140670e+01    9.1852369807e+01   -3.0526189000e+02    1.6504844669e+01    1.0880000000e+03    1.6548549428e-01    2.7917049632e-01
        14   -1.2328238888e+02    1.5199845506e+04   -1.9765175673e+02    7.4369367854e+01    9.1781991375e+01   -3.0552850310e+02    1.6094754991e+01    1.0880000000e+03    1.6583883171e-01    2.8012408088e-01
        15   -1.2325592128e+02    1.5193173210e+04   -1.9621554007e+02    7.2959618787e+01    9.2162534700e+01   -3.0464293023e+02    1.6264855465e+01    1.0880000000e+03    1.6567136895e-01    2.7759650735e-01
        16   -1.2331424580e+02    1.5207465540e+04   -1.9517793847e+02    7.1863692668e+01    9.1663980476e+01   -3.0206096911e+02    1.5219050163e+01    1.0880000000e+03    1.6597229834e-01    2.8059512868e-01
        17   -1.2325517673e+02    1.5193025626e+04   -1.9575575280e+02    7.2500576067e+01    9.2168683060e+01   -3.0520889843e+02    1.7284462566e+01    1.0880000000e+03    1.6568613118e-01    2.8088235294e-01
        18   -1.2334291349e+02    1.5215062063e+04   -1.9596588454e+02    7.2622971047e+01    9.2094502024e+01   -3.0477050705e+02    1.6710120489e+01    1.0880000000e+03    1.6564532851e-01    2.7936580882e-01
        19   -1.2333009783e+02    1.5211388076e+04   -1.9506921011e+02    7.1739112282e+01    9.2093094089e+01   -3.0434291736e+02    1.7180613163e+01    1.0880000000e+03    1.6551636094e-01    2.7747012868e-01
        20   -1.2330861973e+02    1.5206201388e+04   -1.9424990569e+02    7.0941285958e+01    9.2007640805e+01   -3.0305401624e+02    1.6796469741e+01    1.0880000000e+03    1.6594189625e-01    2.7649356618e-01
        21   -1.2326933758e+02    1.5196677350e+04   -1.9579782544e+02    7.2528487864e+01    9.1916279451e+01   -3.0419510799e+02    1.6481003104e+01    1.0880000000e+03    1.6576275668e-01    2.7958409926e-01
        22   -1.2335766290e+02    1.5218268623e+04   -1.9561200566e+02    7.2254342761e+01    9.1928543329e+01   -3.0488848325e+02    1.7347934262e+01    1.0880000000e+03    1.6564658525e-01    2.7882582721e-01
        23   -1.2334592111e+02    1.5215547008e+04   -1.9657247258e+02    7.3226551469e+01    9.1995025548e+01   -3.0457758822e+02    1.6010090095e+01    1.0880000000e+03    1.6572223735e-01    2.8160615809e-01
        24   -1.2329128431e+02    1.5202155623e+04   -1.9589630988e+02    7.2605025572e+01    9.1872035088e+01   -3.0299977542e+02    1.5231430453e+01    1.0880000000e+03    1.6541901757e-01    2.7822840074e-01
        25   -1.2329554445e+02    1.5203154716e+04   -1.9576620540e+02    7.2470660950e+01    9.1708337671e+01   -3.0340029753e+02    1.5925754455e+01    1.0880000000e+03    1.6572468859e-01    2.7872242647e-01
        26   -1.2326186172e+02    1.5194577208e+04   -1.9448502568e+02    7.1223163965e+01    9.1458857442e+01   -3.0233577379e+02    1.6391890665e+01    1.0880000000e+03    1.6561361709e-01    2.7899816176e-01
        27   -1.2330776293e+02    1.5206193606e+04   -1.9606678020e+02    7.2759017269e+01    9.1449103984e+01   -3.0390202719e+02    1.6386143011e+01    1.0880000000e+03    1.6531195908e-01    2.7877987132e-01
        28   -1.2323677345e+02    1.5188308953e+04   -1.9639994885e+02    7.3163175402e+01    9.1866445474e+01   -3.0513749993e+02    1.6871105605e+01    1.0880000000e+03    1.6590341356e-01    2.7853860294e-01
        29   -1.2327497829e+02    1.5198005384e+04   -1.9628269839e+02    7.3007720100e+01    9.1957113049e+01   -3.0402680340e+02    1.5786991962e+01    1.0880000000e+03    1.6616879206e-01    2.7655101103e-01
        30   -1.2325498553e+02    1.5193409151e+04   -1.9503316908e+02    7.1778183554e+01    9.1947121289e+01   -3.0405686436e+02    1.7076573993e+01    1.0880000000e+03    1.6581609385e-01    2.7806755515e-01
        31   -1.2331628375e+02    1.5208074375e+04   -1.9592993470e+02    7.2613650949e+01    9.1997750228e+01   -3.0386114642e+02    1.5933461494e+01    1.0880000000e+03    1.6610279679e-01    2.7693014706e-01
        32   -1.2322089090e+02    1.5185504051e+04   -1.9572713623e+02    7.2506245336e+01    9.2021011887e+01   -3.0449726313e+02    1.6749115015e+01    1.0880000000e+03    1.6535022373e-01    2.7918198529e-01
        33   -1.2326363390e+02    1.5194998045e+04   -1.9475275476e+02    7.1489120856e+01    9.1705734785e+01   -3.0335773692e+02    1.6899247376e+01    1.0880000000e+03    1.6573974753e-01    2.8051470588e-01
        34   -1.2332815194e+02    1.5210978595e+04   -1.9474325995e+02    7.1415108012e+01    9.1481426688e+01   -3.0213369206e+02    1.5909005425e+01    1.0880000000e+03    1.6578071827e-01    2.7940027574e-01
        35   -1.2329188013e+02    1.5202073740e+04   -1.9443873552e+02    7.1146855382e+01    9.0999821185e+01   -3.0133246171e+02    1.5893905014e+01    1.0880000000e+03    1.6498823376e-01    2.7982536765e-01
        36   -1.2328973237e+02    1.5201989116e+04   -1.9678233732e+02    7.3492604949e+01    9.1739283577e+01   -3.0471573389e+02    1.6194112994e+01    1.0880000000e+03    1.6567559847e-01    2.7812500000e-01
        37   -1.2326456992e+02    1.5195455082e+04   -1.9482291116e+02    7.1558341248e+01    9.1827399585e+01   -3.0315936848e+02    1.6509057732e+01    1.0880000000e+03    1.6571826093e-01    2.8020450368e-01
        38   -1.2328083548e+02    1.5199214393e+04   -1.9470817346e+02    7.1427337975e+01    9.1481607373e+01   -3.0245942409e+02    1.6269643261e+01    1.0880000000e+03    1.6518467709e-01    2.8069852941e-01
        39   -1.2332492654e+02    1.5210690538e+04   -1.9590678711e+02    7.2581860574e+01    9.2039208149e+01   -3.0454480326e+02    1.6598808001e+01    1.0880000000e+03    1.6541600008e-01    2.7881433824e-01
