# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.2325700446e+02    1.1570182059e+00    1.6325000000e+04    1.6320000000e+04    0.0000000000e+00   -1.2325465199e+02    9.6413914002e-01    9.9699754902e-01
         1   -1.2327420556e+02    1.2184639173e+00    1.6008337389e+04    1.6320000000e+04    0.0000000000e+00   -1.2526789976e+02    9.6285940690e-01    9.7965686275e-01
         2   -1.2328579453e+02    1.2998702183e+00    1.6000627689e+04    1.5998000000e+04    2.2886029412e-01   -1.2326170477e+02    9.6405931137e-01    9.9693711714e-01
         3   -1.2329576307e+02    1.2304960432e+00    1.6000963573e+04    1.6004000000e+04    4.7794117647e-02   -1.2331079140e+02    9.6299890320e-01    9.9712571857e-01
         4   -1.2329311931e+02    1.2512687303e+00    1.6000205603e+04    1.6014000000e+04    5.0551470588e-02   -1.2338322481e+02    9.6338404635e-01    9.9612838766e-01
         5   -1.2330644096e+02    1.3553693730e+00    1.6001116678e+04    1.6000000000e+04    5.6985294118e-02   -1.2329311931e+02    9.6322552093e-01    9.9656250000e-01
         6   -1.2330307476e+02    1.4901003429e+00    1.5999469299e+04    1.5993000000e+04    4.7794117647e-02   -1.2326268139e+02    9.6331291469e-01    9.9699868693e-01
         7   -1.2331076805e+02    1.3552569781e+00    1.6000163308e+04    1.5992000000e+04    4.4117647059e-02   -1.2325306226e+02    9.6252037288e-01    9.9718609305e-01
         8   -1.2331284821e+02    1.3554512641e+00    1.6000193645e+04    1.5999000000e+04    4.6875000000e-02   -1.2330451785e+02    9.6350636803e-01    9.9649978124e-01
         9   -1.2332603567e+02    1.4485950083e+00    1.6001122857e+04    1.6002000000e+04    5.0551470588e-02   -1.2332534743e+02    9.6219089255e-01    9.9643794526e-01
        10   -1.2331365410e+02    1.2389850191e+00    1.5998908182e+04    1.6001000000e+04    4.6875000000e-02   -1.2333228547e+02    9.6336692369e-01    9.9662521092e-01
        11   -1.2332691786e+02    1.8598164153e+00    1.6000869517e+04    1.6001000000e+04    4.6875000000e-02   -1.2331990391e+02    9.6341739842e-01    9.9725017186e-01
        12   -1.2333514373e+02    1.4563919835e+00    1.6000383676e+04    1.6001000000e+04    3.7683823529e-02   -1.2333316767e+02    9.6319404751e-01    9.9656271483e-01
        13   -1.2333253259e+02    1.4661312323e+00    1.5999149802e+04    1.5986000000e+04    4.8713235294e-02   -1.2324760542e+02    9.6326495734e-01    9.9774802953e-01
        14   -1.2332363968e+02    1.5155062981e+00    1.5999919907e+04    1.6013000000e+04    5.4227941176e-02   -1.2341374960e+02    9.6354537401e-01    9.9644039218e-01
        15   -1.2332161727e+02    1.4818520851e+00    1.5999256119e+04    1.5987000000e+04    4.8713235294e-02   -1.2324235665e+02    9.6311047487e-01    9.9743541628e-01
        16   -1.2333424368e+02    1.4032363472e+00    1.6001516523e+04    1.6012000000e+04    5.7904411765e-02   -1.2339658916e+02    9.6440698855e-01    9.9706470147e-01
        17   -1.2333650765e+02    1.5795737926e+00    1.6000643411e+04    1.6018000000e+04    4.7794117647e-02   -1.2344668044e+02    9.6374075188e-01    9.9581720564e-01
        18   -1.2332738314e+02    1.5781904772e+00    1.5999019730e+04    1.5995000000e+04    5.8823529412e-02   -1.2330525276e+02    9.6236673233e-01    9.9624882776e-01
        19   -1.2332180666e+02    1.8415199574e+00    1.5999248728e+04    1.5994000000e+04    5.0551470588e-02   -1.2328987611e+02    9.6337989820e-01    9.9643616356e-01
        20   -1.2332291270e+02    1.5646787766e+00    1.5999806069e+04    1.5992000000e+04    4.9632352941e-02   -1.2327179416e+02    9.6379227209e-01    9.9749874937e-01
        21   -1.2332269037e+02    1.7391541258e+00    1.5999658687e+04    1.6002000000e+04    4.3198529412e-02   -1.2333541192e+02    9.6370259034e-01    9.9637545307e-01
        22   -1.2332355848e+02    1.5505287373e+00    1.6000049334e+04    1.5998000000e+04    5.1470588235e-02   -1.2331018958e+02    9.6378906591e-01    9.9718714839e-01
        23   -1.2331895248e+02    1.3425528838e+00    1.5999707723e+04    1.6004000000e+04    4.5036764706e-02   -1.2334855535e+02    9.6296249193e-01    9.9706323419e-01
        24   -1.2332379588e+02    1.4639967252e+00    1.6000129731e+04    1.5997000000e+04    4.1360294118e-02   -1.2330020073e+02    9.6353770236e-01    9.9687441395e-01
        25   -1.2332248725e+02    1.3620399078e+00    1.6000428417e+04    1.6013000000e+04    5.8823529412e-02   -1.2340501289e+02    9.6223447562e-01    9.9681508774e-01
        26   -1.2332562019e+02    1.4124171418e+00    1.5999934733e+04    1.5997000000e+04    4.2279411765e-02   -1.2330373549e+02    9.6256642774e-01    9.9706194912e-01
        27   -1.2333965214e+02    1.5300632342e+00    1.6001496904e+04    1.6009000000e+04    5.1470588235e-02   -1.2338185437e+02    9.6312373595e-01    9.9618964333e-01
        28   -1.2332646170e+02    1.2891289839e+00    1.5998826790e+04    1.5998000000e+04    5.2389705882e-02   -1.2332715136e+02    9.6317715655e-01    9.9631203900e-01
        29   -1.2331892926e+02    1.4771761011e+00    1.5998879432e+04    1.5987000000e+04    5.2389705882e-02   -1.2324517867e+02    9.6331660021e-01    9.9593419653e-01
        30   -1.2332639058e+02    1.3668975720e+00    1.5999655515e+04    1.5971000000e+04    5.5147058824e-02   -1.2313751480e+02    9.6365860258e-01    9.9711977960e-01
