#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2316561415e+02    1.5178080295e+04   -1.9625297286e+02    7.3087358705e+01    9.2329595962e+01   -3.0467110931e+02    1.6088540493e+01    1.0880000000e+03    3.7606535019e-01    5.3199103860e-01
         1   -1.2307864674e+02    1.5159036583e+04   -1.9509002478e+02    7.2011378045e+01    9.2282954452e+01   -3.0355127991e+02    1.6178300676e+01    1.0880000000e+03    3.9272669330e-01    5.3058555453e-01
         2   -1.2309542753e+02    1.5160826698e+04   -1.9519752694e+02    7.2102099410e+01    9.2110861215e+01   -3.0321441180e+02    1.5906023640e+01    1.0880000000e+03    3.9205046502e-01    5.3068512561e-01
         3   -1.2306536332e+02    1.5158641279e+04   -1.9469430796e+02    7.1628944649e+01    9.1930040639e+01   -3.0202100205e+02    1.5396653446e+01    1.0880000000e+03    3.9193849485e-01    5.3157360600e-01
         4   -1.2319454840e+02    1.5184562504e+04   -1.9479360191e+02    7.1599053514e+01    9.2056870539e+01   -3.0377475811e+02    1.6924285656e+01    1.0880000000e+03    3.9213602135e-01    5.3206188725e-01
         5   -1.2312394196e+02    1.5166635183e+04   -1.9515090925e+02    7.2026967292e+01    9.2414217825e+01   -3.0489677772e+02    1.7331650635e+01    1.0880000000e+03    3.9155075962e-01    5.3157935049e-01
         6   -1.2314729246e+02    1.5176590424e+04   -1.9604966922e+02    7.2902376760e+01    9.2151279864e+01   -3.0408877315e+02    1.5887824061e+01    1.0880000000e+03    3.9230491593e-01    5.3245825674e-01
         7   -1.2318091011e+02    1.5183729907e+04   -1.9464743648e+02    7.1466526375e+01    9.2240664904e+01   -3.0418156555e+02    1.7293464164e+01    1.0880000000e+03    3.9310977126e-01    5.3138786765e-01
         8   -1.2334445946e+02    1.5220602768e+04   -1.9479020269e+02    7.1445743229e+01    9.1891616829e+01   -3.0292065798e+02    1.6238838460e+01    1.0880000000e+03    3.9278762919e-01    5.3207529105e-01
         9   -1.2322755812e+02    1.5192806210e+04   -1.9579348046e+02    7.2565922337e+01    9.2005314443e+01   -3.0428754402e+02    1.6488749114e+01    1.0880000000e+03    3.9285977930e-01    5.3081916360e-01
        10   -1.2299228452e+02    1.5145033218e+04   -1.9473604936e+02    7.1743764841e+01    9.2066915863e+01   -3.0188590130e+02    1.5082936074e+01    1.0880000000e+03    3.9148567244e-01    5.3273973652e-01
        11   -1.2299011755e+02    1.5136810639e+04   -1.9412661991e+02    7.1136502367e+01    9.1670959109e+01   -3.0186261463e+02    1.6065035607e+01    1.0880000000e+03    3.9137430182e-01    5.3224571078e-01
        12   -1.2317357252e+02    1.5179419049e+04   -1.9443401360e+02    7.1260441080e+01    9.1944047711e+01   -3.0248049706e+02    1.6102435754e+01    1.0880000000e+03    3.9168205441e-01    5.3235485600e-01
        13   -1.2322343458e+02    1.5191930277e+04   -1.9671668797e+02    7.3493253389e+01    9.2815804625e+01   -3.0663014031e+02    1.7097647723e+01    1.0880000000e+03    3.9185491204e-01    5.3105851716e-01
        14   -1.2331898206e+02    1.5215486329e+04   -1.9511095819e+02    7.1791976123e+01    9.2090867929e+01   -3.0318154389e+02    1.5979717771e+01    1.0880000000e+03    3.9241637311e-01    5.3083639706e-01
