# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.2327732291e+02    8.1126863186e+00    1.6324000000e+04    1.6320000000e+04    0.0000000000e+00   -1.2328524663e+02    9.6353702166e-01    9.9209558824e-01
         1   -1.2326860533e+02    8.6660841359e+00    1.6006780719e+04    1.6320000000e+04    0.0000000000e+00   -1.2528209244e+02    9.6391891068e-01    9.7310049020e-01
         2   -1.2328429237e+02    7.8746323307e+00    1.6001664367e+04    1.5997000000e+04    2.9411764706e-01   -1.2324985357e+02    9.6388519421e-01    9.9124835907e-01
         3   -1.2331657369e+02    8.1869729860e+00    1.6004179421e+04    1.6021000000e+04    1.3694852941e-01   -1.2341545631e+02    9.6424709003e-01    9.9275950315e-01
         4   -1.2329990520e+02    9.2994904915e+00    1.5999447709e+04    1.6033000000e+04    1.0753676471e-01   -1.2352261129e+02    9.6309357295e-01    9.9126800973e-01
         5   -1.2327059582e+02    8.8070651185e+00    1.5997781971e+04    1.6010000000e+04    1.1672794118e-01   -1.2336238567e+02    9.6322526642e-01    9.9081823860e-01
         6   -1.2334247070e+02    8.0373619208e+00    1.6005082203e+04    1.5983000000e+04    1.1856617647e-01   -1.2316428933e+02    9.6311022794e-01    9.9117812676e-01
         7   -1.2331571534e+02    7.9367193131e+00    1.5997488787e+04    1.5970000000e+04    1.1397058824e-01   -1.2315479470e+02    9.6356918326e-01    9.9236067627e-01
         8   -1.2332481942e+02    8.0283566834e+00    1.6001234183e+04    1.6000000000e+04    1.2591911765e-01   -1.2331571534e+02    9.6316007905e-01    9.9281250000e-01
         9   -1.2332492826e+02    8.7277143858e+00    1.6000673282e+04    1.6012000000e+04    1.1029411765e-01   -1.2339979131e+02    9.6426632678e-01    9.9044466650e-01
        10   -1.2326837951e+02    9.2836465005e+00    1.5996048241e+04    1.5989000000e+04    1.2500000000e-01   -1.2325615462e+02    9.6389757223e-01    9.9230721121e-01
        11   -1.2327434251e+02    8.6809803570e+00    1.6000276708e+04    1.6004000000e+04    1.1488970588e-01   -1.2329337639e+02    9.6379329951e-01    9.9068982754e-01
        12   -1.2326821847e+02    8.7663251808e+00    1.5999588361e+04    1.5994000000e+04    1.2867647059e-01   -1.2323683548e+02    9.6315351460e-01    9.9280980368e-01
        13   -1.2328884249e+02    8.8675594526e+00    1.6000742109e+04    1.6002000000e+04    9.7426470588e-02   -1.2328071769e+02    9.6394772755e-01    9.9187601550e-01
        14   -1.2330784161e+02    8.8299829477e+00    1.6000777002e+04    1.5997000000e+04    1.0202205882e-01   -1.2327009073e+02    9.6469225228e-01    9.9349878102e-01
        15   -1.2328111050e+02    8.0037739345e+00    1.5999337129e+04    1.6031000000e+04    1.1764705882e-01   -1.2350140415e+02    9.6299889546e-01    9.9139167862e-01
        16   -1.2328565823e+02    9.0947067385e+00    1.6000124664e+04    1.6005000000e+04    1.0753676471e-01   -1.2331235562e+02    9.6382666746e-01    9.9206497969e-01
        17   -1.2327898118e+02    8.3318833032e+00    1.5998483945e+04    1.5987000000e+04    1.1029411765e-01   -1.2320437520e+02    9.6361919539e-01    9.9218114718e-01
        18   -1.2327659150e+02    8.3768531533e+00    1.5999682423e+04    1.6011000000e+04    1.2408088235e-01   -1.2334770756e+02    9.6375814751e-01    9.9219286740e-01
        19   -1.2325332377e+02    9.7743684303e+00    1.5997882961e+04    1.6017000000e+04    1.0661764706e-01   -1.2338278509e+02    9.6315655775e-01    9.9082225136e-01
        20   -1.2326096987e+02    9.7362175220e+00    1.5999660603e+04    1.5974000000e+04    1.2040441176e-01   -1.2309069159e+02    9.6300694936e-01    9.9336421685e-01
        21   -1.2327415874e+02    8.7979927234e+00    1.6001647767e+04    1.6022000000e+04    1.2959558824e-01   -1.2339837543e+02    9.6328239006e-01    9.9070028711e-01
        22   -1.2324425934e+02    8.4393345569e+00    1.5997535272e+04    1.5994000000e+04    1.1397058824e-01   -1.2323665171e+02    9.6316749369e-01    9.9112167063e-01
        23   -1.2328195800e+02    7.9358382538e+00    1.6002924509e+04    1.5999000000e+04    1.1948529412e-01   -1.2323800914e+02    9.6332222067e-01    9.9243702731e-01
        24   -1.2329467394e+02    8.5430757904e+00    1.6001420085e+04    1.6014000000e+04    1.1397058824e-01   -1.2336941975e+02    9.6419085325e-01    9.9250655676e-01
        25   -1.2330916024e+02    8.5418686037e+00    1.6001332940e+04    1.6017000000e+04    9.9264705882e-02   -1.2340086754e+02    9.6323143023e-01    9.9125928701e-01
        26   -1.2326208611e+02    8.9908149707e+00    1.5996429755e+04    1.5994000000e+04    1.1397058824e-01   -1.2327165321e+02    9.6397165809e-01    9.9168438164e-01
        27   -1.2324999413e+02    9.2695667984e+00    1.5998782856e+04    1.6000000000e+04    1.1213235294e-01   -1.2326208611e+02    9.6364425805e-01    9.9168750000e-01
        28   -1.2324909244e+02    8.7885299880e+00    1.5999397959e+04    1.5997000000e+04    1.1121323529e-01   -1.2323124237e+02    9.6236674831e-01    9.9149840595e-01
        29   -1.2326138738e+02    8.6357503527e+00    1.6001431881e+04    1.6005000000e+04    1.1121323529e-01   -1.2328033756e+02    9.6337440631e-01    9.9243986254e-01
        30   -1.2327406500e+02    8.6634656664e+00    1.6001103684e+04    1.6005000000e+04    1.0294117647e-01   -1.2329263250e+02    9.6274966400e-01    9.9175257732e-01
        31   -1.2330978530e+02    8.0558520163e+00    1.6002717675e+04    1.5991000000e+04    1.0845588235e-01   -1.2321779917e+02    9.6362918160e-01    9.9243324370e-01
        32   -1.2327958403e+02    8.4990314838e+00    1.5997126602e+04    1.6005000000e+04    1.1305147059e-01   -1.2334103042e+02    9.6340259719e-01    9.9162761637e-01
        33   -1.2327554699e+02    8.5490460322e+00    1.5998773848e+04    1.5984000000e+04    1.0661764706e-01   -1.2317953400e+02    9.6349268383e-01    9.9155405405e-01
        34   -1.2327452051e+02    8.8002833049e+00    1.6000221668e+04    1.5990000000e+04    1.1121323529e-01   -1.2321302745e+02    9.6330891852e-01    9.9299562226e-01
        35   -1.2328938479e+02    8.0850402657e+00    1.6000895836e+04    1.6012000000e+04    1.0661764706e-01   -1.2334949240e+02    9.6414781292e-01    9.9213090182e-01
        36   -1.2328452472e+02    9.3192715418e+00    1.5999181455e+04    1.6011000000e+04    1.0477941176e-01   -1.2335811117e+02    9.6363437815e-01    9.9169321092e-01
        37   -1.2329920438e+02    9.0383545300e+00    1.6000643066e+04    1.6001000000e+04    1.0753676471e-01   -1.2329077452e+02    9.6320991880e-01    9.9168801950e-01
        38   -1.2332372914e+02    8.0733329808e+00    1.6003204359e+04    1.6010000000e+04    1.1672794118e-01   -1.2336168486e+02    9.6372200695e-01    9.9181761399e-01
        39   -1.2331331888e+02    8.8192385559e+00    1.6000328797e+04    1.6026000000e+04    1.2224264706e-01   -1.2348609725e+02    9.6371465864e-01    9.8989142643e-01
        40   -1.2333432452e+02    8.0299823548e+00    1.6002349322e+04    1.5993000000e+04    1.2867647059e-01   -1.2326955931e+02    9.6340023899e-01    9.9268429938e-01
        41   -1.2331137163e+02    8.4262764878e+00    1.5997780349e+04    1.6003000000e+04    1.0294117647e-01   -1.2335307276e+02    9.6292942415e-01    9.9162657002e-01
        42   -1.2331747924e+02    9.5559755148e+00    1.5999798485e+04    1.5995000000e+04    1.1121323529e-01   -1.2328011674e+02    9.6365594661e-01    9.9268521413e-01
        43   -1.2334078056e+02    7.7396581328e+00    1.6002715700e+04    1.6020000000e+04    1.1856617647e-01   -1.2344240118e+02    9.6410872177e-01    9.9101123596e-01
        44   -1.2327968775e+02    9.1860035719e+00    1.5994445092e+04    1.5995000000e+04    1.1764705882e-01   -1.2330952568e+02    9.6319280013e-01    9.9193497968e-01
        45   -1.2331845631e+02    8.8842917960e+00    1.6002849120e+04    1.5998000000e+04    1.0937500000e-01   -1.2326718697e+02    9.6370074764e-01    9.9206150769e-01
        46   -1.2330145995e+02    8.2543020377e+00    1.5999541320e+04    1.6024000000e+04    1.2316176471e-01   -1.2346834392e+02    9.6286791393e-01    9.9219920120e-01
        47   -1.2331320182e+02    9.5591975198e+00    1.6000417249e+04    1.6021000000e+04    1.0477941176e-01   -1.2343262389e+02    9.6228861724e-01    9.9082454279e-01
        48   -1.2326802523e+02    9.1963344808e+00    1.5996054800e+04    1.5995000000e+04    1.1488970588e-01   -1.2328194694e+02    9.6229076069e-01    9.9087214755e-01
        49   -1.2326161635e+02    8.2953868329e+00    1.5999757276e+04    1.5994000000e+04    1.1672794118e-01   -1.2323051820e+02    9.6435080742e-01    9.9249718644e-01
