#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2297951704e+02    1.5136493944e+04   -1.9470369208e+02    7.1724175041e+01    9.2433711301e+01   -3.0336840841e+02    1.6231005033e+01    5.4400000000e+04    1.4702077602e+00    5.0423971737e-01
         1   -1.2294926180e+02    1.5129134622e+04   -1.9451318346e+02    7.1563921660e+01    9.2308006231e+01   -3.0298441814e+02    1.6163228452e+01    5.4400000000e+04    1.4715033082e+00    5.0489114200e-01
         2   -1.2296434688e+02    1.5133107466e+04   -1.9458040629e+02    7.1616059412e+01    9.2325178715e+01   -3.0290328869e+02    1.5997703681e+01    5.4400000000e+04    1.4715279575e+00    5.0462115119e-01
         3   -1.2299643620e+02    1.5139948469e+04   -1.9460069524e+02    7.1604259045e+01    9.2343409865e+01   -3.0323221921e+02    1.6288114102e+01    5.4400000000e+04    1.4722217571e+00    5.0397159352e-01
         4   -1.2294446228e+02    1.5128378246e+04   -1.9437432306e+02    7.1429860776e+01    9.2257114983e+01   -3.0272391720e+02    1.6092479154e+01    5.4400000000e+04    1.4717724628e+00    5.0457433364e-01
         5   -1.2296513195e+02    1.5133313349e+04   -1.9452655243e+02    7.1561420483e+01    9.2311075125e+01   -3.0298626668e+02    1.6148639118e+01    5.4400000000e+04    1.4724358785e+00    5.0442612592e-01
         6   -1.2295359451e+02    1.5130748922e+04   -1.9453208413e+02    7.1578489611e+01    9.2271849662e+01   -3.0290674133e+02    1.6102807547e+01    5.4400000000e+04    1.4716838142e+00    5.0494528378e-01
         7   -1.2297749446e+02    1.5136333923e+04   -1.9463036591e+02    7.1652871456e+01    9.2311487718e+01   -3.0304029090e+02    1.6098437274e+01    5.4400000000e+04    1.4731436556e+00    5.0450267119e-01
         8   -1.2299696559e+02    1.5141386232e+04   -1.9454986900e+02    7.1552903412e+01    9.2359027381e+01   -3.0308105162e+02    1.6172155241e+01    5.4400000000e+04    1.4725166756e+00    5.0446504481e-01
         9   -1.2298582353e+02    1.5138606260e+04   -1.9448998544e+02    7.1504161911e+01    9.2308141707e+01   -3.0277603048e+02    1.5977903332e+01    5.4400000000e+04    1.4720500662e+00    5.0454101563e-01
        10   -1.2297299023e+02    1.5135028037e+04   -1.9451115986e+02    7.1538169632e+01    9.2357369516e+01   -3.0291813776e+02    1.6049608384e+01    5.4400000000e+04    1.4725189433e+00    5.0470717486e-01
        11   -1.2300118727e+02    1.5142341437e+04   -1.9452747003e+02    7.1526282764e+01    9.2287520289e+01   -3.0301354428e+02    1.6198553959e+01    5.4400000000e+04    1.4723598850e+00    5.0438103171e-01
