#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.2278600268e+02    1.5091834604e+04   -1.9476596198e+02    7.1979959302e+01    9.2275152680e+01   -3.0342681091e+02    1.6385696249e+01    5.4400000000e+04    8.5503148748e-01    5.3475973690e-01
         1   -1.2277817272e+02    1.5089792770e+04   -1.9418577603e+02    7.1407603303e+01    9.1994285969e+01   -3.0238277133e+02    1.6202709334e+01    5.4400000000e+04    8.5544340269e-01    5.3500789867e-01
         2   -1.2277070524e+02    1.5087530972e+04   -1.9466240329e+02    7.1891698050e+01    9.2180529436e+01   -3.0316595881e+02    1.6323026084e+01    5.4400000000e+04    8.5545422246e-01    5.3459199793e-01
         3   -1.2279640521e+02    1.5093371297e+04   -1.9470216910e+02    7.1905763884e+01    9.2258931422e+01   -3.0333043331e+02    1.6369332790e+01    5.4400000000e+04    8.5571023603e-01    5.3468247358e-01
         4   -1.2280108270e+02    1.5094442684e+04   -1.9459889703e+02    7.1797814326e+01    9.2149269685e+01   -3.0317869851e+02    1.6430531793e+01    5.4400000000e+04    8.5531004233e-01    5.3495433134e-01
         5   -1.2279517875e+02    1.5092822934e+04   -1.9446604376e+02    7.1670865017e+01    9.2167053339e+01   -3.0297049993e+02    1.6337402832e+01    5.4400000000e+04    8.5564335458e-01    5.3517922794e-01
         6   -1.2280812038e+02    1.5096720352e+04   -1.9437061214e+02    7.1562491762e+01    9.2021650274e+01   -3.0269833674e+02    1.6306074327e+01    5.4400000000e+04    8.5559788193e-01    5.3516615924e-01
         7   -1.2278661703e+02    1.5091210946e+04   -1.9460068013e+02    7.1814063104e+01    9.2103458683e+01   -3.0292458895e+02    1.6220450136e+01    5.4400000000e+04    8.5593093318e-01    5.3499425551e-01
         8   -1.2278482552e+02    1.5090362566e+04   -1.9454834240e+02    7.1763516878e+01    9.2041966230e+01   -3.0297895568e+02    1.6388647045e+01    5.4400000000e+04    8.5517162873e-01    5.3525764017e-01
         9   -1.2279588940e+02    1.5094196072e+04   -1.9435664815e+02    7.1560758748e+01    9.2083201078e+01   -3.0279613480e+02    1.6356285574e+01    5.4400000000e+04    8.5519348808e-01    5.3542638442e-01
        10   -1.2277428343e+02    1.5088690424e+04   -1.9461256190e+02    7.1838278472e+01    9.2210629084e+01   -3.0337572410e+02    1.6552533110e+01    5.4400000000e+04    8.5519798078e-01    5.3495892693e-01
        11   -1.2275894648e+02    1.5085842285e+04   -1.9467735018e+02    7.1918403696e+01    9.2196035869e+01   -3.0334095802e+02    1.6467571966e+01    5.4400000000e+04    8.5508825586e-01    5.3461655561e-01
        12   -1.2278450225e+02    1.5092178763e+04   -1.9444834405e+02    7.1663841799e+01    9.2127064354e+01   -3.0299501903e+02    1.6419610630e+01    5.4400000000e+04    8.5520188006e-01    5.3506189683e-01
        13   -1.2280127208e+02    1.5093977752e+04   -1.9420602508e+02    7.1404753006e+01    9.1950548461e+01   -3.0238558375e+02    1.6229010208e+01    5.4400000000e+04    8.5456412088e-01    5.3519186581e-01
        14   -1.2278310922e+02    1.5094378586e+04   -1.9449418032e+02    7.1711071098e+01    9.2173691931e+01   -3.0309214381e+02    1.6424271557e+01    5.4400000000e+04    8.5566290358e-01    5.3512149586e-01
        15   -1.2278102532e+02    1.5090040429e+04   -1.9439723447e+02    7.1616209152e+01    9.2079776113e+01   -3.0293760171e+02    1.6460591131e+01    5.4400000000e+04    8.5501797848e-01    5.3497644761e-01
        16   -1.2280524755e+02    1.5095290591e+04   -1.9457352436e+02    7.1768276806e+01    9.2164726597e+01   -3.0320395968e+02    1.6465708732e+01    5.4400000000e+04    8.5546119139e-01    5.3532628676e-01
        17   -1.2278355209e+02    1.5089929973e+04   -1.9446558338e+02    7.1682031296e+01    9.2155298721e+01   -3.0305317945e+02    1.6432297347e+01    5.4400000000e+04    8.5573593483e-01    5.3497400620e-01
        18   -1.2275319872e+02    1.5083416907e+04   -1.9466786261e+02    7.1914663888e+01    9.2148433187e+01   -3.0311881862e+02    1.6302522820e+01    5.4400000000e+04    8.5538268878e-01    5.3473446117e-01
        19   -1.2279717744e+02    1.5094089995e+04   -1.9462522283e+02    7.1828045390e+01    9.2194489653e+01   -3.0303888558e+02    1.6219173095e+01    5.4400000000e+04    8.5525910425e-01    5.3498420267e-01
        20   -1.2279283130e+02    1.5092388917e+04   -1.9437171964e+02    7.1578888345e+01    9.2178105496e+01   -3.0291223967e+02    1.6362414535e+01    5.4400000000e+04    8.5568218503e-01    5.3506405101e-01
        21   -1.2278139969e+02    1.5090142426e+04   -1.9442155107e+02    7.1640151381e+01    9.2149056846e+01   -3.0286156349e+02    1.6290955571e+01    5.4400000000e+04    8.5588173086e-01    5.3511517693e-01
        22   -1.2278894724e+02    1.5092349522e+04   -1.9452617890e+02    7.1737231656e+01    9.2116581804e+01   -3.0300616980e+02    1.6363409099e+01    5.4400000000e+04    8.5522432253e-01    5.3501019646e-01
        23   -1.2276352840e+02    1.5085993564e+04   -1.9441476447e+02    7.1651236079e+01    9.2085345223e+01   -3.0278118946e+02    1.6281079761e+01    5.4400000000e+04    8.5501062629e-01    5.3512939453e-01
        24   -1.2279517841e+02    1.5092897688e+04   -1.9471210473e+02    7.1916926316e+01    9.2296996167e+01   -3.0342472651e+02    1.6415625617e+01    5.4400000000e+04    8.5592202338e-01    5.3479650161e-01
        25   -1.2277573664e+02    1.5088749295e+04   -1.9425500282e+02    7.1479266181e+01    9.2112699150e+01   -3.0293210990e+02    1.6564407922e+01    5.4400000000e+04    8.5537055463e-01    5.3492144416e-01
        26   -1.2278731729e+02    1.5091112294e+04   -1.9453275609e+02    7.1745438806e+01    9.2136541993e+01   -3.0304807428e+02    1.6378776200e+01    5.4400000000e+04    8.5551110458e-01    5.3497055951e-01
        27   -1.2279214825e+02    1.5092404035e+04   -1.9475273409e+02    7.1960585843e+01    9.2312678028e+01   -3.0348511852e+02    1.6419706400e+01    5.4400000000e+04    8.5611659047e-01    5.3474365234e-01
        28   -1.2277453658e+02    1.5088431385e+04   -1.9444593608e+02    7.1671399501e+01    9.2116582924e+01   -3.0297960331e+02    1.6417084305e+01    5.4400000000e+04    8.5554543663e-01    5.3487792969e-01
        29   -1.2278346039e+02    1.5091005005e+04   -1.9449476105e+02    7.1711300664e+01    9.2177949215e+01   -3.0289618210e+02    1.6223471831e+01    5.4400000000e+04    8.5559323912e-01    5.3476347082e-01
        30   -1.2275642120e+02    1.5084278221e+04   -1.9455582336e+02    7.1799402155e+01    9.2231273326e+01   -3.0318688572e+02    1.6399789040e+01    5.4400000000e+04    8.5537036223e-01    5.3489415786e-01
        31   -1.2276683995e+02    1.5094614560e+04   -1.9455693446e+02    7.1790094506e+01    9.2208576463e+01   -3.0321191799e+02    1.6446407066e+01    5.4400000000e+04    8.5575910570e-01    5.3465619256e-01
        32   -1.2282091592e+02    1.5099114090e+04   -1.9465623780e+02    7.1835321881e+01    9.2161600316e+01   -3.0320599313e+02    1.6388155013e+01    5.4400000000e+04    8.5527217958e-01    5.3480698529e-01
        33   -1.2280225675e+02    1.5094927297e+04   -1.9449533247e+02    7.1693075722e+01    9.2079752418e+01   -3.0285092695e+02    1.6275842065e+01    5.4400000000e+04    8.5492785582e-01    5.3503216912e-01
        34   -1.2276627428e+02    1.5086864337e+04   -1.9449894847e+02    7.1732674185e+01    9.2167888917e+01   -3.0310355135e+02    1.6436713961e+01    5.4400000000e+04    8.5604866901e-01    5.3474480124e-01
        35   -1.2279816274e+02    1.5094216067e+04   -1.9489177791e+02    7.2093615161e+01    9.2243912547e+01   -3.0351593266e+02    1.6380242203e+01    5.4400000000e+04    8.5597241254e-01    5.3446504481e-01
        36   -1.2277902171e+02    1.5089863269e+04   -1.9460486378e+02    7.1825842066e+01    9.2179609680e+01   -3.0310136277e+02    1.6316889314e+01    5.4400000000e+04    8.5533005876e-01    5.3477495979e-01
        37   -1.2279681870e+02    1.5093621763e+04   -1.9434782394e+02    7.1551005247e+01    9.1973149072e+01   -3.0251971756e+02    1.6198744547e+01    5.4400000000e+04    8.5510801984e-01    5.3506218405e-01
        38   -1.2278864036e+02    1.5091691872e+04   -1.9464836674e+02    7.1859726374e+01    9.2204137245e+01   -3.0323591900e+02    1.6383415023e+01    5.4400000000e+04    8.5611242034e-01    5.3491943359e-01
        39   -1.2279599208e+02    1.5092964778e+04   -1.9459524261e+02    7.1799250526e+01    9.2178677037e+01   -3.0307586199e+02    1.6301942340e+01    5.4400000000e+04    8.5561959949e-01    5.3456930722e-01
        40   -1.2277674295e+02    1.5088880317e+04   -1.9484194767e+02    7.2065204713e+01    9.2271120373e+01   -3.0358318207e+02    1.6470114025e+01    5.4400000000e+04    8.5576993600e-01    5.3469539867e-01
        41   -1.2279815393e+02    1.5094281630e+04   -1.9498909980e+02    7.2190945871e+01    9.2250719816e+01   -3.0352472206e+02    1.6284902450e+01    5.4400000000e+04    8.5608927314e-01    5.3441908892e-01
        42   -1.2278417038e+02    1.5091951467e+04   -1.9415628096e+02    7.1372110578e+01    9.2111575520e+01   -3.0262905951e+02    1.6361203038e+01    5.4400000000e+04    8.5581803475e-01    5.3518037684e-01
        43   -1.2282724329e+02    1.5100852446e+04   -1.9429307269e+02    7.1465829399e+01    9.2000152747e+01   -3.0260684611e+02    1.6313620670e+01    5.4400000000e+04    8.5778557071e-01    5.3506017348e-01
        44   -1.2281364718e+02    1.5097751350e+04   -1.9443714753e+02    7.1623500346e+01    9.2132416864e+01   -3.0307408079e+02    1.6504516396e+01    5.4400000000e+04    8.5522788084e-01    5.3460808249e-01
        45   -1.2281809959e+02    1.5098487471e+04   -1.9471761385e+02    7.1899514265e+01    9.2201912957e+01   -3.0337021474e+02    1.6450687926e+01    5.4400000000e+04    8.5575074812e-01    5.3452134076e-01
        46   -1.2277628409e+02    1.5089991312e+04   -1.9444099031e+02    7.1664706225e+01    9.2062022522e+01   -3.0284693665e+02    1.6343923815e+01    5.4400000000e+04    8.5544748210e-01    5.3447035846e-01
        47   -1.2279672875e+02    1.5093689098e+04   -1.9471263140e+02    7.1915902645e+01    9.2168340602e+01   -3.0308774966e+02    1.6206777662e+01    5.4400000000e+04    8.5799450778e-01    5.3466725069e-01
        48   -1.2275576772e+02    1.5083901412e+04   -1.9463388824e+02    7.1878120526e+01    9.2237581514e+01   -3.0329549171e+02    1.6424021958e+01    5.4400000000e+04    8.5981353153e-01    5.3493867762e-01
