# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.0390229710e+02    4.1678079872e+00    4.1420000000e+03    4.1370000000e+03    0.0000000000e+00   -1.0388159675e+02    9.6942872907e-01    9.9008943679e-01
         1   -1.0390809885e+02    4.1925157945e+00    4.0924121431e+03    4.1370000000e+03    0.0000000000e+00   -1.0501908462e+02    9.7044985820e-01    9.7969543147e-01
         2   -1.0387635451e+02    4.7852476200e+00    4.0951853399e+03    4.0940000000e+03    2.5390625000e-01   -1.0385925880e+02    9.7005915746e-01    9.9487054226e-01
         3   -1.0391585680e+02    4.1170162247e+00    4.0964234880e+03    4.0900000000e+03    6.6406250000e-02   -1.0372976274e+02    9.6938020420e-01    9.9462102689e-01
         4   -1.0382590540e+02    5.3408297139e+00    4.0940471982e+03    4.0910000000e+03    8.9843750000e-02   -1.0379371192e+02    9.7147599232e-01    9.9364458568e-01
         5   -1.0388964293e+02    4.5271828956e+00    4.0969420270e+03    4.0850000000e+03    8.9843750000e-02   -1.0355698945e+02    9.6985758763e-01    9.9608323133e-01
         6   -1.0381390306e+02    8.2758775039e+00    4.0942393270e+03    4.0960000000e+03    8.5937500000e-02   -1.0388964293e+02    9.6971962033e-01    9.9316406250e-01
         7   -1.0386550529e+02    4.8606422919e+00    4.0967429677e+03    4.0880000000e+03    1.0156250000e-01   -1.0361839957e+02    9.6808977750e-01    9.9486301370e-01
         8   -1.0391846790e+02    4.2102225187e+00    4.0970242911e+03    4.0920000000e+03    8.9843750000e-02   -1.0376780133e+02    9.6906782008e-01    9.9535679374e-01
         9   -1.0394399469e+02    1.1011064672e+01    4.0957451200e+03    4.1080000000e+03    1.1718750000e-01   -1.0421100834e+02    9.6955837526e-01    9.9367088608e-01
        10   -1.0397114408e+02    3.8989689797e+00    4.0951854859e+03    4.0940000000e+03    8.9843750000e-02   -1.0389515464e+02    9.6935659585e-01    9.9316072301e-01
        11   -1.0391574570e+02    5.6935072067e+00    4.0946494087e+03    4.0920000000e+03    1.0156250000e-01   -1.0387344011e+02    9.6904899148e-01    9.9437927664e-01
        12   -1.0389700193e+02    4.6101384736e+00    4.0952041780e+03    4.0880000000e+03    8.9843750000e-02   -1.0372024222e+02    9.6998746246e-01    9.9510763209e-01
        13   -1.0389090663e+02    6.1972002671e+00    4.0957863221e+03    4.0940000000e+03    8.9843750000e-02   -1.0384816188e+02    9.7043115538e-01    9.9487054226e-01
        14   -1.0388602732e+02    4.2342596936e+00    4.0955841195e+03    4.0960000000e+03    8.5937500000e-02   -1.0389090663e+02    9.6974799354e-01    9.9487304688e-01
        15   -1.0385664308e+02    6.2246899618e+00    4.0957573207e+03    4.1060000000e+03    1.1328125000e-01   -1.0412987041e+02    9.6760649144e-01    9.9293716512e-01
        16   -1.0387116820e+02    4.3552269131e+00    4.0960483607e+03    4.0920000000e+03    1.0156250000e-01   -1.0375893912e+02    9.6927662467e-01    9.9291300098e-01
        17   -1.0378731021e+02    5.4701540415e+00    4.0940570067e+03    4.0900000000e+03    1.0937500000e-01   -1.0372457643e+02    9.6854895527e-01    9.9266503667e-01
        18   -1.0386107656e+02    4.2561346068e+00    4.0975819839e+03    4.0860000000e+03    9.7656250000e-02   -1.0354287107e+02    9.6879737182e-01    9.9486049927e-01
        19   -1.0384437566e+02    5.0654076793e+00    4.0953778543e+03    4.0890000000e+03    8.9843750000e-02   -1.0369003193e+02    9.7140982777e-01    9.9486426999e-01
        20   -1.0381351337e+02    4.7427822265e+00    4.0955599121e+03    4.1000000000e+03    1.0546875000e-01   -1.0394198426e+02    9.6836127145e-01    9.9365853659e-01
        21   -1.0383746821e+02    4.9743732521e+00    4.0967836219e+03    4.0990000000e+03    9.3750000000e-02   -1.0388672874e+02    9.6854556342e-01    9.9438887534e-01
        22   -1.0386527167e+02    4.1680154607e+00    4.0966863062e+03    4.0990000000e+03    8.5937500000e-02   -1.0391068359e+02    9.6958261853e-01    9.9414491339e-01
        23   -1.0389237791e+02    4.2668341049e+00    4.0963743436e+03    4.0940000000e+03    8.2031250000e-02   -1.0381643162e+02    9.6915711104e-01    9.9389350269e-01
        24   -1.0386122903e+02    9.0251445143e+00    4.0951911266e+03    4.0950000000e+03    9.3750000000e-02   -1.0386796087e+02    9.7042814454e-01    9.9633699634e-01
        25   -1.0385637000e+02    5.0893427027e+00    4.0954482221e+03    4.1000000000e+03    7.4218750000e-02   -1.0395883763e+02    9.7054990338e-01    9.9487804878e-01
        26   -1.0385849564e+02    5.4660962156e+00    4.0996316481e+03    4.1000000000e+03    7.8125000000e-02   -1.0386220512e+02    9.7032563338e-01    9.9390243902e-01
        27   -1.0387395763e+02    4.6589910724e+00    4.0983845241e+03    4.0980000000e+03    8.9843750000e-02   -1.0385928768e+02    9.7084293120e-01    9.9365544168e-01
        28   -1.0392309367e+02    5.4757683467e+00    4.0906411596e+03    4.0890000000e+03    8.9843750000e-02   -1.0385698777e+02    9.6869284520e-01    9.9633162142e-01
        29   -1.0392528046e+02    4.5052731641e+00    4.0925317515e+03    4.0900000000e+03    6.2500000000e-02   -1.0386104716e+02    9.6921306123e-01    9.9535452323e-01
        30   -1.0393414721e+02    4.0946476962e+00    4.0953731531e+03    4.0930000000e+03    8.2031250000e-02   -1.0387389650e+02    9.7090859642e-01    9.9511360860e-01
        31   -1.0389892438e+02    4.0519306790e+00    4.1053581121e+03    4.1040000000e+03    9.7656250000e-02   -1.0388502229e+02    9.6984553471e-01    9.9269005848e-01
        32   -1.0388040682e+02    4.4486352984e+00    4.0911061118e+03    4.0910000000e+03    1.0546875000e-01   -1.0388914621e+02    9.6913237241e-01    9.9413346370e-01
        33   -1.0389371768e+02    4.7058490553e+00    4.0887657565e+03    4.0890000000e+03    8.9843750000e-02   -1.0388972681e+02    9.7000043297e-01    9.9584250428e-01
        34   -1.0389373486e+02    4.7593396834e+00    4.0969451330e+03    4.0970000000e+03    9.7656250000e-02   -1.0389045576e+02    9.6911617150e-01    9.9414205516e-01
        35   -1.0389275589e+02    4.4939307993e+00    4.0980005949e+03    4.0980000000e+03    8.5937500000e-02   -1.0389105041e+02    9.6914734870e-01    9.9463152757e-01
        36   -1.0387899773e+02    4.3503628054e+00    4.1028821060e+03    4.1030000000e+03    8.9843750000e-02   -1.0389255820e+02    9.7104620870e-01    9.9536924202e-01
        37   -1.0389786890e+02    4.4568700436e+00    4.1039219438e+03    4.1040000000e+03    7.8125000000e-02   -1.0389296066e+02    9.6813521530e-01    9.9342105263e-01
        38   -1.0384541903e+02    5.8319264447e+00    4.1011348243e+03    4.1020000000e+03    1.0546875000e-01   -1.0389154923e+02    9.6906743950e-01    9.9463676255e-01
        39   -1.0386138336e+02    5.4826442741e+00    4.1093834629e+03    4.1110000000e+03    1.0937500000e-01   -1.0389429684e+02    9.6964996110e-01    9.9537825347e-01
        40   -1.0378668724e+02    8.0897394749e+00    4.1118454185e+03    4.1150000000e+03    8.2031250000e-02   -1.0389225454e+02    9.6902349556e-01    9.9368165249e-01
        41   -1.0386886787e+02    4.4832771331e+00    4.1063446711e+03    4.1090000000e+03    8.5937500000e-02   -1.0388915519e+02    9.6937544939e-01    9.9561937211e-01
        42   -1.0387988634e+02    4.5080561047e+00    4.1145296103e+03    4.1150000000e+03    7.8125000000e-02   -1.0388477321e+02    9.7039870654e-01    9.9441069259e-01
        43   -1.0389365264e+02    4.4076649319e+00    4.1111181976e+03    4.1110000000e+03    8.2031250000e-02   -1.0388317416e+02    9.6935833955e-01    9.9489175383e-01
        44   -1.0384558473e+02    4.4246317125e+00    4.1083328303e+03    4.1090000000e+03    7.8125000000e-02   -1.0388270689e+02    9.6889800767e-01    9.9318568995e-01
        45   -1.0383258212e+02    5.5166675664e+00    4.0964509819e+03    4.0980000000e+03    9.7656250000e-02   -1.0388073198e+02    9.6820890989e-01    9.9463152757e-01
        46   -1.0387930296e+02    5.5854086865e+00    4.1051871235e+03    4.1060000000e+03    1.1328125000e-01   -1.0388103182e+02    9.7002114999e-01    9.9464198734e-01
        47   -1.0391526553e+02    3.9090279494e+00    4.1060656640e+03    4.1050000000e+03    7.0312500000e-02   -1.0387869682e+02    9.6911223396e-01    9.9439707674e-01
        48   -1.0387682812e+02    4.2417728813e+00    4.1075605212e+03    4.1070000000e+03    8.5937500000e-02   -1.0387930569e+02    9.6972766949e-01    9.9537375213e-01
        49   -1.0382314479e+02    6.3405214897e+00    4.1052227142e+03    4.1070000000e+03    7.0312500000e-02   -1.0388091577e+02    9.7121079557e-01    9.9318237156e-01
        50   -1.0385797791e+02    4.7708399191e+00    4.1013121428e+03    4.1030000000e+03    9.7656250000e-02   -1.0387988512e+02    9.7060322431e-01    9.9415062150e-01
        51   -1.0386790560e+02    5.0533326320e+00    4.1082659940e+03    4.1090000000e+03    1.0156250000e-01   -1.0387922975e+02    9.7108028137e-01    9.9464589925e-01
        52   -1.0383873197e+02    4.6630155447e+00    4.1070504616e+03    4.1080000000e+03    7.8125000000e-02   -1.0387831661e+02    9.7024814791e-01    9.9415774099e-01
