#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0387901811e+02    1.0795351533e+04   -1.6201004681e+02    5.8131028709e+01    7.5948868427e+01   -2.5205151076e+02    1.4092595516e+01    8.1936000000e+04    3.0107938105e+02    9.8237971443e-01
         1   -1.0386199662e+02    1.0792483817e+04   -1.6232708894e+02    5.8465092321e+01    7.5977015373e+01   -2.5222459318e+02    1.3920488865e+01    8.2317000000e+04    3.3217330159e+02    9.8231288489e-01
         2   -1.0388251457e+02    1.0796071600e+04   -1.6252248880e+02    5.8639974225e+01    7.6004723198e+01   -2.5273051633e+02    1.4203304340e+01    8.2452000000e+04    3.5434632286e+02    9.8240480720e-01
         3   -1.0386601718e+02    1.0792827315e+04   -1.6233420598e+02    5.8468188796e+01    7.5960822244e+01   -2.5222832264e+02    1.3933294419e+01    8.2745000000e+04    3.5130666968e+02    9.8225956905e-01
         4   -1.0386243565e+02    1.0791802186e+04   -1.6225888067e+02    5.8396445020e+01    7.5951397745e+01   -2.5227841861e+02    1.4068140199e+01    8.2507000000e+04    3.4385444595e+02    9.8215130112e-01
         5   -1.0388375966e+02    1.0796404396e+04   -1.6213962388e+02    5.8255864224e+01    7.5869193776e+01   -2.5202344393e+02    1.4014626273e+01    8.2150000000e+04    3.2145946772e+02    9.8273866581e-01
         6   -1.0386315438e+02    1.0792475547e+04   -1.6194224945e+02    5.8079095071e+01    7.5852218178e+01   -2.5184810607e+02    1.4053638440e+01    8.2961000000e+04    3.5297001043e+02    9.8263062649e-01
         7   -1.0386667175e+02    1.0792740869e+04   -1.6209439924e+02    5.8227727493e+01    7.5778458605e+01   -2.5192598136e+02    1.4053123513e+01    8.3055000000e+04    3.6121357141e+02    9.8236489019e-01
         8   -1.0388540873e+02    1.0796620173e+04   -1.6201701456e+02    5.8131605825e+01    7.5889174479e+01   -2.5194212918e+02    1.4035940144e+01    8.2966000000e+04    3.5464501615e+02    9.8248514745e-01
         9   -1.0386719407e+02    1.0793340316e+04   -1.6243208451e+02    5.8564890440e+01    7.5987690056e+01   -2.5231502740e+02    1.3895252833e+01    8.3160000000e+04    3.6191508652e+02    9.8255900102e-01
