#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.6926432854e+02    2.8660728360e+04   -2.7696535340e+02    1.0770102487e+02    1.3089323638e+02   -4.2712897104e+02    1.9270381250e+01    2.0480000000e+03    2.5108975625e+00    4.2453974971e-01
         1   -1.6935322745e+02    2.8690156863e+04   -2.7658065377e+02    1.0722742631e+02    1.3058578831e+02   -4.2707930785e+02    1.9912865768e+01    2.0480000000e+03    2.8275798622e+00    4.2543493200e-01
         2   -1.6917443523e+02    2.8631425631e+04   -2.7580599802e+02    1.0663156279e+02    1.3088813946e+02   -4.2626205909e+02    1.9567921613e+01    2.0480000000e+03    2.7696118787e+00    4.2387604890e-01
         3   -1.6925454065e+02    2.8659825736e+04   -2.7615533777e+02    1.0690079712e+02    1.3074566220e+02   -4.2575315178e+02    1.8852151816e+01    2.0480000000e+03    2.7754098872e+00    4.2438241464e-01
         4   -1.6925792862e+02    2.8658057218e+04   -2.7584616893e+02    1.0658824031e+02    1.3084777266e+02   -4.2665954897e+02    1.9965607377e+01    2.0480000000e+03    2.7669329382e+00    4.2463831019e-01
         5   -1.6930175121e+02    2.8672578616e+04   -2.7786798412e+02    1.0856623291e+02    1.3110043808e+02   -4.2734269885e+02    1.8374276652e+01    2.0480000000e+03    2.7785440651e+00    4.2506872106e-01
         6   -1.6942805529e+02    2.8713897346e+04   -2.7553630464e+02    1.0610824936e+02    1.2995132904e+02   -4.2446468651e+02    1.8977052836e+01    2.0480000000e+03    2.7655579871e+00    4.2448730469e-01
         7   -1.6930845958e+02    2.8674652117e+04   -2.7705865203e+02    1.0775019244e+02    1.3089967724e+02   -4.2731538463e+02    1.9357055360e+01    2.0480000000e+03    2.7674270788e+00    4.2442039207e-01
         8   -1.6919046288e+02    2.8637562538e+04   -2.7561007127e+02    1.0641960838e+02    1.3054264439e+02   -4.2537210210e+02    1.9219386450e+01    2.0480000000e+03    2.7872647555e+00    4.2446108218e-01
         9   -1.6930899363e+02    2.8675309450e+04   -2.7659334221e+02    1.0728434858e+02    1.3081514244e+02   -4.2677930518e+02    1.9370820530e+01    2.0480000000e+03    2.7750461790e+00    4.2497196904e-01
