# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.6932581723e+02    9.8741414615e+00    4.1000000000e+03    4.0960000000e+03    0.0000000000e+00   -1.6919385289e+02    8.9191422307e-01    9.8339843750e-01
         1   -1.6931549773e+02    1.1265124901e+01    4.0964077625e+03    4.0960000000e+03    0.0000000000e+00   -1.6937462153e+02    8.9224853303e-01    9.7460937500e-01
         2   -1.6927403622e+02    1.0449043753e+01    4.0941295318e+03    4.1020000000e+03    2.8515625000e-01   -1.6938868632e+02    8.8908403400e-01    9.8732325695e-01
         3   -1.6934555230e+02    1.0226481339e+01    4.0991215606e+03    4.1020000000e+03    1.6015625000e-01   -1.6934722482e+02    8.8806457517e-01    9.8244758654e-01
         4   -1.6942229585e+02    9.2097796546e+00    4.0991187444e+03    4.0920000000e+03    2.1875000000e-01   -1.6929670032e+02    8.8778160969e-01    9.8582600196e-01
         5   -1.6937223762e+02    9.9517905388e+00    4.0929912787e+03    4.0910000000e+03    1.9140625000e-01   -1.6936122341e+02    8.9110333837e-01    9.8704473234e-01
         6   -1.6934225680e+02    1.0608313802e+01    4.0952214866e+03    4.1050000000e+03    2.2265625000e-01   -1.6948198038e+02    8.8861832432e-01    9.8416565164e-01
         7   -1.6937342264e+02    1.1144834229e+01    4.0979206946e+03    4.1060000000e+03    2.1093750000e-01   -1.6946417834e+02    8.8931173359e-01    9.8514369216e-01
         8   -1.6935364977e+02    1.0534304926e+01    4.0962109470e+03    4.1040000000e+03    1.9921875000e-01   -1.6947098365e+02    8.9317488800e-01    9.8269980507e-01
         9   -1.6935464016e+02    1.0370566138e+01    4.0942939621e+03    4.0800000000e+03    2.1875000000e-01   -1.6915795481e+02    8.9124583455e-01    9.8921568627e-01
        10   -1.6941589972e+02    9.4004010878e+00    4.0980980785e+03    4.1070000000e+03    1.9921875000e-01   -1.6948873752e+02    8.9024284314e-01    9.8977355734e-01
        11   -1.6931789146e+02    1.0714778988e+01    4.0943542279e+03    4.1240000000e+03    1.8750000000e-01   -1.6975653365e+02    8.9080960990e-01    9.8035887488e-01
        12   -1.6932449865e+02    9.6071719201e+00    4.0960852901e+03    4.0920000000e+03    2.2656250000e-01   -1.6926903948e+02    8.9028660046e-01    9.8582600196e-01
        13   -1.6931738540e+02    1.0258893957e+01    4.0962713147e+03    4.1030000000e+03    2.0312500000e-01   -1.6940987493e+02    8.9078019364e-01    9.8757007068e-01
        14   -1.6929673446e+02    1.1544649791e+01    4.0963247232e+03    4.1160000000e+03    2.0312500000e-01   -1.6956093191e+02    8.8914238787e-01    9.8275024295e-01
        15   -1.6936217212e+02    1.0535330855e+01    4.0964074539e+03    4.0790000000e+03    2.1875000000e-01   -1.6908878309e+02    8.8993144175e-01    9.8798725178e-01
        16   -1.6942319695e+02    9.9282999943e+00    4.0990246243e+03    4.1020000000e+03    2.0703125000e-01   -1.6943536072e+02    8.8754776577e-01    9.8415407118e-01
        17   -1.6938364221e+02    9.1583587033e+00    4.0941374118e+03    4.0960000000e+03    2.1875000000e-01   -1.6942319695e+02    8.8974262291e-01    9.8779296875e-01
        18   -1.6938770127e+02    8.9612633508e+00    4.0970598365e+03    4.1110000000e+03    1.9921875000e-01   -1.6956641322e+02    8.8970818456e-01    9.8540501095e-01
        19   -1.6935308472e+02    8.8914688152e+00    4.0958867912e+03    4.1070000000e+03    1.8750000000e-01   -1.6952179863e+02    8.9327512134e-01    9.8295592890e-01
        20   -1.6944798945e+02    1.0515372364e+01    4.1002250323e+03    4.1040000000e+03    2.1875000000e-01   -1.6945064573e+02    8.9220937259e-01    9.8538011696e-01
        21   -1.6941552797e+02    1.0241417976e+01    4.0935430843e+03    4.0900000000e+03    1.9921875000e-01   -1.6937469357e+02    8.8766121202e-01    9.8606356968e-01
        22   -1.6940058330e+02    1.0557264352e+01    4.0945813137e+03    4.1010000000e+03    2.2656250000e-01   -1.6947652590e+02    8.9153400543e-01    9.8366252134e-01
