# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -4.6525401671e+01    2.8722429230e+00    4.0390000000e+03    4.0300000000e+03    0.0000000000e+00   -4.6539377980e+01    9.8841883349e-01    9.9578163772e-01
         1   -4.6538432629e+01    1.3131713129e+00    4.0856685351e+03    4.0300000000e+03    0.0000000000e+00   -4.5124026555e+01    9.8987632141e-01    9.9677419355e-01
         2   -4.6523390067e+01    3.4143113342e+00    4.0953792303e+03    4.0880000000e+03    1.1914062500e-01   -4.6342929146e+01    9.8814864184e-01    9.9926614481e-01
         3   -4.6511646790e+01    1.5998244183e+00    4.0954694084e+03    4.0960000000e+03    2.1484375000e-02   -4.6523390067e+01    9.8834231785e-01    9.9658203125e-01
         4   -4.6550334296e+01    1.1280688575e+00    4.0967869366e+03    4.0910000000e+03    2.7343750000e-02   -4.6389501911e+01    9.8959500550e-01    9.9706673185e-01
         5   -4.6561701490e+01    1.3776391609e+00    4.0962406112e+03    4.0980000000e+03    3.5156250000e-02   -4.6599150504e+01    9.8958379434e-01    9.9829184968e-01
         6   -4.6581360655e+01    9.1816427286e-01    4.0962457494e+03    4.0940000000e+03    1.3671875000e-02   -4.6512861441e+01    9.8994461839e-01    9.9780166097e-01
         7   -4.6581643029e+01    1.0743215058e+00    4.0959244413e+03    4.0990000000e+03    2.7343750000e-02   -4.6654576034e+01    9.8830714446e-01    9.9731641864e-01
         8   -4.6575155423e+01    1.1561789151e+00    4.0958099979e+03    4.0960000000e+03    1.9531250000e-02   -4.6581643029e+01    9.8988534284e-01    9.9731445312e-01
         9   -4.6547172288e+01    1.3587843962e+00    4.0953418068e+03    4.0930000000e+03    1.9531250000e-02   -4.6501886400e+01    9.8871460811e-01    9.9731248473e-01
        10   -4.6550625670e+01    1.4277590815e+00    4.0960820093e+03    4.0970000000e+03    2.7343750000e-02   -4.6571583370e+01    9.8764793289e-01    9.9853551379e-01
        11   -4.6564220324e+01    1.3791261759e+00    4.0963294320e+03    4.1000000000e+03    1.7578125000e-02   -4.6648234267e+01    9.8932808229e-01    9.9658536585e-01
        12   -4.6560938886e+01    1.3579871823e+00    4.0959506087e+03    4.1020000000e+03    3.1250000000e-02   -4.6710597516e+01    9.9010221416e-01    9.9683081424e-01
        13   -4.6521339503e+01    1.7343864373e+00    4.0950561502e+03    4.0940000000e+03    2.3437500000e-02   -4.6512098836e+01    9.8896204427e-01    9.9829018075e-01
        14   -4.6531090955e+01    1.3505248611e+00    4.0961459297e+03    4.0990000000e+03    2.3437500000e-02   -4.6594554882e+01    9.8794270828e-01    9.9682849475e-01
        15   -4.6533972995e+01    1.4119919173e+00    4.0959117377e+03    4.0910000000e+03    2.5390625000e-02   -4.6408946076e+01    9.9019267685e-01    9.9731117086e-01
        16   -4.6551532678e+01    1.1129883483e+00    4.0963933063e+03    4.0940000000e+03    2.7343750000e-02   -4.6485132945e+01    9.8840979958e-01    9.9658036150e-01
        17   -4.6530882694e+01    1.1277537270e+00    4.0956903783e+03    4.0910000000e+03    2.7343750000e-02   -4.6429387799e+01    9.8782082105e-01    9.9731117086e-01
        18   -4.6530187678e+01    1.2751298206e+00    4.0959671483e+03    4.0950000000e+03    2.9296875000e-02   -4.6506465651e+01    9.8961698639e-01    9.9780219780e-01
        19   -4.6551666098e+01    1.0226729204e+00    4.0963836546e+03    4.0950000000e+03    1.7578125000e-02   -4.6505770635e+01    9.8908336891e-01    9.9633699634e-01
        20   -4.6552943747e+01    1.4710743855e+00    4.0959904589e+03    4.0950000000e+03    2.9296875000e-02   -4.6527249055e+01    9.8931249608e-01    9.9780219780e-01
        21   -4.6567546876e+01    1.1589706197e+00    4.0966917068e+03    4.1020000000e+03    3.1250000000e-02   -4.6699320939e+01    9.8799739012e-01    9.9634324720e-01
        22   -4.6560529551e+01    9.5257717955e-01    4.0957292304e+03    4.0900000000e+03    2.9296875000e-02   -4.6420955108e+01    9.8948360809e-01    9.9731051345e-01
        23   -4.6536049443e+01    1.7521219063e+00    4.0954028080e+03    4.0890000000e+03    2.1484375000e-02   -4.6389484916e+01    9.8779413979e-01    9.9853264857e-01
        24   -4.6563303955e+01    1.1632486920e+00    4.0964435279e+03    4.0950000000e+03    2.3437500000e-02   -4.6511632399e+01    9.9074466933e-01    9.9682539683e-01
        25   -4.6558341783e+01    1.2059572493e+00    4.0959588658e+03    4.0930000000e+03    2.5390625000e-02   -4.6490034932e+01    9.9131782305e-01    9.9657952602e-01
        26   -4.6564695511e+01    9.8260310140e-01    4.0920024733e+03    4.0920000000e+03    2.7343750000e-02   -4.6562326915e+01    9.9004775112e-01    9.9731182796e-01
        27   -4.6570585190e+01    1.3840834117e+00    4.0922613703e+03    4.0920000000e+03    1.9531250000e-02   -4.6559845829e+01    9.9044388411e-01    9.9853372434e-01
        28   -4.6555281681e+01    1.5862580097e+00    4.0939286240e+03    4.0940000000e+03    1.5625000000e-02   -4.6561625349e+01    9.9046236732e-01    9.9755740107e-01
        29   -4.6557377535e+01    1.6512516143e+00    4.0909360733e+03    4.0910000000e+03    1.9531250000e-02   -4.6563010161e+01    9.8915326676e-01    9.9608897580e-01
        30   -4.6577952757e+01    1.1624379082e+00    4.0855029370e+03    4.0850000000e+03    2.9296875000e-02   -4.6559752464e+01    9.8924015207e-01    9.9608323133e-01
        31   -4.6524380295e+01    3.3344266299e+00    4.0767088126e+03    4.0770000000e+03    2.9296875000e-02   -4.6556948145e+01    9.8914125422e-01    9.9705665931e-01
        32   -4.6550924884e+01    1.2540108189e+00    4.0793582971e+03    4.0800000000e+03    2.9296875000e-02   -4.6560020160e+01    9.8888232116e-01    9.9730392157e-01
        33   -4.6544972202e+01    1.0450917507e+00    4.0826478655e+03    4.0830000000e+03    2.7343750000e-02   -4.6555810963e+01    9.9023760649e-01    9.9828557433e-01
        34   -4.6559574196e+01    2.3847333389e+00    4.0857170061e+03    4.0860000000e+03    1.9531250000e-02   -4.6555649341e+01    9.8951095095e-01    9.9681840431e-01
        35   -4.6543707215e+01    1.9476523647e+00    4.0827799621e+03    4.0830000000e+03    2.5390625000e-02   -4.6553602704e+01    9.8913388671e-01    9.9828557433e-01
        36   -4.6548682694e+01    1.4626152942e+00    4.0847956480e+03    4.0850000000e+03    1.7578125000e-02   -4.6554346294e+01    9.8928288945e-01    9.9706242350e-01
        37   -4.6542982886e+01    1.3563234406e+00    4.0837037005e+03    4.0840000000e+03    2.3437500000e-02   -4.6552990780e+01    9.8985222994e-01    9.9730656219e-01
        38   -4.6564106943e+01    1.0449678593e+00    4.0860387797e+03    4.0860000000e+03    2.5390625000e-02   -4.6552923293e+01    9.8935229507e-01    9.9779735683e-01
        39   -4.6566730071e+01    1.2059201134e+00    4.0914388461e+03    4.0910000000e+03    2.5390625000e-02   -4.6553261607e+01    9.8945152899e-01    9.9657785383e-01
        40   -4.6528843567e+01    2.5481298868e+00    4.0889041716e+03    4.0890000000e+03    2.7343750000e-02   -4.6553414202e+01    9.8937683543e-01    9.9730985571e-01
        41   -4.6543475185e+01    1.3815947913e+00    4.0853316428e+03    4.0860000000e+03    2.1484375000e-02   -4.6553405596e+01    9.8852803124e-01    9.9730788057e-01
        42   -4.6557599842e+01    1.7086509311e+00    4.0838750524e+03    4.0840000000e+03    2.1484375000e-02   -4.6551327387e+01    9.8909486080e-01    9.9755142018e-01
        43   -4.6550740568e+01    1.3352930962e+00    4.0861083102e+03    4.0860000000e+03    2.3437500000e-02   -4.6551217750e+01    9.9027457642e-01    9.9681840431e-01
        44   -4.6538343412e+01    1.6398252232e+00    4.0866482075e+03    4.0870000000e+03    2.7343750000e-02   -4.6551669706e+01    9.8861262924e-01    9.9902128701e-01
        45   -4.6551354530e+01    9.8692769137e-01    4.0905468394e+03    4.0910000000e+03    1.5625000000e-02   -4.6552491499e+01    9.8883871598e-01    9.9706673185e-01
        46   -4.6572251801e+01    1.2180505625e+00    4.0953102597e+03    4.0950000000e+03    2.9296875000e-02   -4.6552736895e+01    9.8831688132e-01    9.9682539683e-01
        47   -4.6555394041e+01    1.3854007474e+00    4.0955305845e+03    4.0950000000e+03    2.5390625000e-02   -4.6552662962e+01    9.8941559676e-01    9.9731379731e-01
        48   -4.6554851567e+01    1.3410178278e+00    4.0970212716e+03    4.0970000000e+03    2.5390625000e-02   -4.6553992315e+01    9.8870142623e-01    9.9780327069e-01
        49   -4.6520517736e+01    1.7758944166e+00    4.0973706404e+03    4.0980000000e+03    1.9531250000e-02   -4.6554304943e+01    9.9005320649e-01    9.9731576379e-01
        50   -4.6568036441e+01    1.0276713598e+00    4.0967682262e+03    4.0970000000e+03    2.1484375000e-02   -4.6554102283e+01    9.8873741843e-01    9.9731510862e-01
        51   -4.6566757358e+01    1.3064091003e+00    4.1024831030e+03    4.1020000000e+03    3.1250000000e-02   -4.6554039620e+01    9.8799595489e-01    9.9707459776e-01
        52   -4.6540932195e+01    1.8947994797e+00    4.1039104770e+03    4.1040000000e+03    2.5390625000e-02   -4.6555099683e+01    9.8988758657e-01    9.9780701754e-01
        53   -4.6541160212e+01    1.9353129143e+00    4.1062524013e+03    4.1070000000e+03    2.3437500000e-02   -4.6556316442e+01    9.8925422500e-01    9.9707815924e-01
        54   -4.6560731301e+01    9.7014732526e-01    4.1099536815e+03    4.1100000000e+03    2.7343750000e-02   -4.6556608625e+01    9.8849181799e-01    9.9683698297e-01
        55   -4.6549030870e+01    1.2131672579e+00    4.1009296828e+03    4.1010000000e+03    2.1484375000e-02   -4.6554015234e+01    9.8807367202e-01    9.9731772738e-01
        56   -4.6548484948e+01    1.0911240023e+00    4.0989557009e+03    4.0990000000e+03    2.1484375000e-02   -4.6553783430e+01    9.8856617991e-01    9.9731641864e-01
        57   -4.6529508181e+01    1.2272216989e+00    4.0974561330e+03    4.0980000000e+03    2.1484375000e-02   -4.6553413800e+01    9.8997044812e-01    9.9731576379e-01
        58   -4.6544536247e+01    9.4061194445e-01    4.0953477298e+03    4.0960000000e+03    2.1484375000e-02   -4.6552791072e+01    9.8999919464e-01    9.9707031250e-01
        59   -4.6532501725e+01    4.0551507258e+00    4.0924366139e+03    4.0930000000e+03    2.3437500000e-02   -4.6551373591e+01    9.8995808159e-01    9.9780112387e-01
        60   -4.6561052309e+01    1.0428184648e+00    4.1000718859e+03    4.1000000000e+03    2.9296875000e-02   -4.6552866080e+01    9.8845053639e-01    9.9780487805e-01
        61   -4.6548118033e+01    1.0283422423e+00    4.0980531409e+03    4.0980000000e+03    1.7578125000e-02   -4.6551839593e+01    9.8747618710e-01    9.9804782821e-01
        62   -4.6547378531e+01    1.0487900894e+00    4.1056979184e+03    4.1060000000e+03    3.1250000000e-02   -4.6554052048e+01    9.8876308575e-01    9.9756453970e-01
        63   -4.6550542574e+01    9.6242326042e-01    4.1108009393e+03    4.1110000000e+03    2.9296875000e-02   -4.6555177048e+01    9.8889450350e-01    9.9610800292e-01
        64   -4.6529538695e+01    2.1499649130e+00    4.1054475130e+03    4.1060000000e+03    2.9296875000e-02   -4.6553853826e+01    9.9042301284e-01    9.9707744764e-01
        65   -4.6525515833e+01    1.2892203756e+00    4.1022307103e+03    4.1030000000e+03    2.1484375000e-02   -4.6553101100e+01    9.8857158733e-01    9.9731903485e-01
        66   -4.6547565139e+01    1.2051816077e+00    4.1042960001e+03    4.1050000000e+03    2.5390625000e-02   -4.6553055384e+01    9.8924845742e-01    9.9732034105e-01
        67   -4.6532973932e+01    1.3871520776e+00    4.1006416175e+03    4.1010000000e+03    2.1484375000e-02   -4.6551477042e+01    9.8930830588e-01    9.9804925628e-01
        68   -4.6569875290e+01    1.2874864745e+00    4.1009489596e+03    4.1010000000e+03    1.5625000000e-02   -4.6551414439e+01    9.8817062852e-01    9.9683004145e-01
        69   -4.6553210066e+01    1.1135779780e+00    4.0954175524e+03    4.0950000000e+03    2.5390625000e-02   -4.6549558933e+01    9.8927455742e-01    9.9780219780e-01
        70   -4.6548351330e+01    1.1768844668e+00    4.0960074019e+03    4.0960000000e+03    1.7578125000e-02   -4.6550249152e+01    9.8860535282e-01    9.9682617188e-01
        71   -4.6573784363e+01    1.1519045836e+00    4.0994444167e+03    4.0990000000e+03    3.1250000000e-02   -4.6551045674e+01    9.9004338760e-01    9.9780434252e-01
        72   -4.6567144374e+01    9.9606538470e-01    4.0969313600e+03    4.0960000000e+03    1.5625000000e-02   -4.6550271771e+01    9.8878901574e-01    9.9780273438e-01
        73   -4.6542611527e+01    1.4100283803e+00    4.1020049457e+03    4.1020000000e+03    2.9296875000e-02   -4.6552225389e+01    9.8888720648e-01    9.9634324720e-01
        74   -4.6572337891e+01    1.0659209211e+00    4.1001683237e+03    4.1000000000e+03    2.7343750000e-02   -4.6552072045e+01    9.8993652362e-01    9.9634146341e-01
        75   -4.6577200977e+01    9.1352826795e-01    4.1039745083e+03    4.1030000000e+03    3.5156250000e-02   -4.6552633796e+01    9.8800177627e-01    9.9731903485e-01
        76   -4.6571129407e+01    1.0405722465e+00    4.1029068909e+03    4.1020000000e+03    2.1484375000e-02   -4.6552809878e+01    9.9019594882e-01    9.9926864944e-01
        77   -4.6575651691e+01    9.2178113873e-01    4.1147222200e+03    4.1140000000e+03    2.5390625000e-02   -4.6556228219e+01    9.8922600573e-01    9.9732620321e-01
        78   -4.6550718989e+01    1.1157051839e+00    4.1162238628e+03    4.1160000000e+03    2.5390625000e-02   -4.6557078134e+01    9.8996076512e-01    9.9805636540e-01
        79   -4.6580749923e+01    1.0088638609e+00    4.1183914920e+03    4.1180000000e+03    1.9531250000e-02   -4.6557998082e+01    9.8947020408e-01    9.9878581836e-01
        80   -4.6580691442e+01    8.8318260539e-01    4.1208634082e+03    4.1200000000e+03    1.3671875000e-02   -4.6558448684e+01    9.8903955833e-01    9.9635922330e-01
        81   -4.6573638838e+01    8.8392387538e-01    4.1217504852e+03    4.1210000000e+03    2.9296875000e-02   -4.6559193936e+01    9.8821791071e-01    9.9757340451e-01
        82   -4.6564380193e+01    1.0664040505e+00    4.1243276527e+03    4.1240000000e+03    2.5390625000e-02   -4.6560405553e+01    9.8902335266e-01    9.9830261882e-01
        83   -4.6556329768e+01    1.0099222920e+00    4.1288782931e+03    4.1290000000e+03    2.3437500000e-02   -4.6561962854e+01    9.8856221125e-01    9.9733591669e-01
        84   -4.6518738363e+01    1.7797544493e+00    4.1329169684e+03    4.1340000000e+03    3.1250000000e-02   -4.6563350046e+01    9.8797163643e-01    9.9709724238e-01
        85   -4.6551858865e+01    1.5660689367e+00    4.1268298294e+03    4.1280000000e+03    2.1484375000e-02   -4.6561934518e+01    9.8832459498e-01    9.9588178295e-01
