#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -4.6544604679e+01    2.1679557166e+03   -6.5953225994e+01    1.9408621315e+01    3.0148220561e+01   -1.0438799317e+02    8.2865466104e+00    8.1838000000e+04    1.3809415649e+02    9.9353082894e-01
         1   -4.6557597933e+01    2.1689843638e+03   -6.5938163730e+01    1.9380565797e+01    3.0053960286e+01   -1.0401383334e+02    8.0217093200e+00    8.1767000000e+04    1.2473008632e+02    9.9372304759e-01
         2   -4.6548847379e+01    2.1682524792e+03   -6.5843667211e+01    1.9294819832e+01    3.0101482181e+01   -1.0404810866e+02    8.1029592688e+00    8.1926000000e+04    1.4423769948e+02    9.9356609377e-01
         3   -4.6557458601e+01    2.1687180935e+03   -6.5866434722e+01    1.9308976122e+01    3.0137536105e+01   -1.0423743857e+02    8.2334677413e+00    8.2092000000e+04    1.6695116625e+02    9.9346789095e-01
         4   -4.6549863121e+01    2.1681737888e+03   -6.5885086759e+01    1.9335223638e+01    3.0161778277e+01   -1.0415838031e+02    8.1115152757e+00    8.2267000000e+04    1.8334973025e+02    9.9341465063e-01
         5   -4.6549892704e+01    2.1682250730e+03   -6.5816650018e+01    1.9266757314e+01    3.0167034762e+01   -1.0410798331e+02    8.1242985260e+00    8.1659000000e+04    1.2206259215e+02    9.9350064223e-01
         6   -4.6560400886e+01    2.1692140194e+03   -6.5911789978e+01    1.9351389092e+01    3.0124316686e+01   -1.0411073903e+02    8.0746323684e+00    8.1386000000e+04    1.2357636928e+02    9.9357363422e-01
         7   -4.6554423858e+01    2.1685937818e+03   -6.5850143438e+01    1.9295719580e+01    3.0109749437e+01   -1.0415426668e+02    8.1943738074e+00    8.1223000000e+04    1.2263411081e+02    9.9354316554e-01
         8   -4.6551275041e+01    2.1683828651e+03   -6.5828712753e+01    1.9277437712e+01    3.0118783668e+01   -1.0410397882e+02    8.1564823962e+00    8.1433000000e+04    1.2583087134e+02    9.9353040297e-01
         9   -4.6551546312e+01    2.1682696248e+03   -6.5868869252e+01    1.9317322941e+01    3.0077484016e+01   -1.0395627583e+02    8.0099225658e+00    8.1466000000e+04    1.2270021428e+02    9.9333696740e-01
        10   -4.6553954406e+01    2.1686257470e+03   -6.5751090919e+01    1.9197136514e+01    3.0091033604e+01   -1.0397382026e+02    8.1316957383e+00    8.1667000000e+04    1.2415035150e+02    9.9346651019e-01
        11   -4.6551494719e+01    2.1683395647e+03   -6.5985165557e+01    1.9433670838e+01    3.0177221389e+01   -1.0433386077e+02    8.1714738274e+00    8.2016000000e+04    1.5670375123e+02    9.9350362822e-01
        12   -4.6560990472e+01    2.1691450213e+03   -6.5919429529e+01    1.9358439057e+01    3.0182987446e+01   -1.0451978975e+02    8.4173727720e+00    8.2480000000e+04    1.9918439255e+02    9.9335389532e-01
        13   -4.6552792499e+01    2.1685588296e+03   -6.5885092302e+01    1.9332299803e+01    3.0147522300e+01   -1.0427600994e+02    8.2433953416e+00    8.2192000000e+04    1.8872746633e+02    9.9350588376e-01
        14   -4.6544373223e+01    2.1678221571e+03   -6.5874790088e+01    1.9330416865e+01    3.0169805413e+01   -1.0417942196e+02    8.1348264596e+00    8.2186000000e+04    1.8624157052e+02    9.9338649460e-01
