# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -5.8098502333e+01    2.0002643400e+00    4.0610000000e+03    4.0670000000e+03    0.0000000000e+00   -5.8075551359e+01    9.9415986998e-01    9.9557413327e-01
         1   -5.8063668788e+01    3.2168697879e+00    4.1008390216e+03    4.0670000000e+03    0.0000000000e+00   -5.6382174526e+01    9.9405018641e-01    9.9827882960e-01
         2   -5.8092149837e+01    2.1967292412e+00    4.0962808398e+03    4.1040000000e+03    1.4062500000e-01   -5.8453912815e+01    9.9384315341e-01    9.9805068226e-01
         3   -5.8077272285e+01    2.1989668411e+00    4.0958192359e+03    4.0980000000e+03    2.7343750000e-02   -5.8189782253e+01    9.9386390563e-01    9.9877989263e-01
         4   -5.8084511861e+01    2.0291265502e+00    4.0960297849e+03    4.0970000000e+03    1.9531250000e-02   -5.8126094451e+01    9.9467536407e-01    9.9804735172e-01
         5   -5.8118588837e+01    1.6268829918e+00    4.0963720452e+03    4.0950000000e+03    3.1250000000e-02   -5.8035677774e+01    9.9371164470e-01    9.9877899878e-01
         6   -5.8093771064e+01    1.6165154122e+00    4.0957614587e+03    4.1030000000e+03    5.0781250000e-02   -5.8460093981e+01    9.9454542738e-01    9.9780648306e-01
         7   -5.8087295481e+01    2.6450347414e+00    4.0959222668e+03    4.1000000000e+03    3.1250000000e-02   -5.8288988259e+01    9.9376327158e-01    9.9731707317e-01
         8   -5.8115132756e+01    1.4900582265e+00    4.0962463726e+03    4.0940000000e+03    3.5156250000e-02   -5.7989615381e+01    9.9457668751e-01    9.9853444064e-01
         9   -5.8100173252e+01    1.6699574615e+00    4.0958968987e+03    4.1000000000e+03    4.6875000000e-02   -5.8310349950e+01    9.9362841217e-01    9.9780487805e-01
        10   -5.8072430968e+01    2.0836541428e+00    4.0957139400e+03    4.0970000000e+03    3.5156250000e-02   -5.8148995417e+01    9.9507732590e-01    9.9853551379e-01
        11   -5.8084609498e+01    1.5556672319e+00    4.0955488986e+03    4.0960000000e+03    2.3437500000e-02   -5.8100173252e+01    9.9282138773e-01    9.9707031250e-01
        12   -5.8076502648e+01    2.0859316949e+00    4.0939351938e+03    4.0940000000e+03    4.6875000000e-02   -5.8085813709e+01    9.9451593329e-01    9.9829018075e-01
        13   -5.8068276962e+01    1.8415008793e+00    4.0957560171e+03    4.0960000000e+03    3.5156250000e-02   -5.8085737906e+01    9.9404772295e-01    9.9731445312e-01
        14   -5.8059384665e+01    1.9874493884e+00    4.0936437697e+03    4.0940000000e+03    4.2968750000e-02   -5.8082940691e+01    9.9455250128e-01    9.9804592086e-01
        15   -5.8086519129e+01    1.7066315473e+00    4.0978365565e+03    4.0980000000e+03    3.9062500000e-02   -5.8080886828e+01    9.9439861807e-01    9.9804782821e-01
        16   -5.8078868414e+01    1.8522697272e+00    4.0971148731e+03    4.0970000000e+03    3.1250000000e-02   -5.8077140443e+01    9.9363807385e-01    9.9877959483e-01
        17   -5.8044551104e+01    2.4434727903e+00    4.1006344638e+03    4.1010000000e+03    3.1250000000e-02   -5.8079490976e+01    9.9426370227e-01    9.9780541331e-01
        18   -5.8063345067e+01    1.6363059536e+00    4.0994434781e+03    4.1000000000e+03    3.5156250000e-02   -5.8079321778e+01    9.9310710041e-01    9.9853658537e-01
        19   -5.8092005633e+01    1.6140248588e+00    4.0980155466e+03    4.0980000000e+03    2.3437500000e-02   -5.8075078900e+01    9.9393723284e-01    9.9755978526e-01
        20   -5.8081222344e+01    3.0848185449e+00    4.0913228260e+03    4.0910000000e+03    3.9062500000e-02   -5.8072244722e+01    9.9397022471e-01    9.9780004889e-01
        21   -5.8090074735e+01    2.1383631834e+00    4.0891176684e+03    4.0890000000e+03    3.5156250000e-02   -5.8073441130e+01    9.9456895338e-01    9.9706529714e-01
        22   -5.8101761086e+01    2.3325311844e+00    4.0902938291e+03    4.0900000000e+03    4.6875000000e-02   -5.8074191556e+01    9.9495372494e-01    9.9755501222e-01
        23   -5.8099452048e+01    2.0083298967e+00    4.0953258181e+03    4.0950000000e+03    5.4687500000e-02   -5.8076522323e+01    9.9438587437e-01    9.9780219780e-01
        24   -5.8160067825e+01    8.3177522021e+00    4.0946114192e+03    4.0940000000e+03    3.5156250000e-02   -5.8078063421e+01    9.9514457257e-01    9.9902296043e-01
        25   -5.8119371581e+01    1.8530830625e+00    4.0976883047e+03    4.0970000000e+03    2.7343750000e-02   -5.8080189281e+01    9.9426366543e-01    9.9804735172e-01
