#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -5.8062246367e+01    3.3731115316e+03   -8.4370517884e+01    2.6308271516e+01    3.8740673778e+01   -1.3245203846e+02    9.3408468003e+00    8.1936000000e+04    9.7167219908e+01    9.9126877487e-01
         1   -5.8086953653e+01    3.3758268211e+03   -8.4292262703e+01    2.6205309049e+01    3.8759725825e+01   -1.3258337844e+02    9.5313899075e+00    8.1755000000e+04    7.9411171343e+01    9.9143002415e-01
         2   -5.8081478117e+01    3.3752182683e+03   -8.4254531653e+01    2.6173053535e+01    3.8776524622e+01   -1.3229738064e+02    9.2663243675e+00    8.1330000000e+04    7.9533852293e+01    9.9146948692e-01
         3   -5.8078427795e+01    3.3750650783e+03   -8.4333494843e+01    2.6255067048e+01    3.8856709760e+01   -1.3243103928e+02    9.2408346723e+00    8.0740000000e+04    7.8527800438e+01    9.9127121907e-01
         4   -5.8080678827e+01    3.3751379028e+03   -8.4526396318e+01    2.6445717491e+01    3.8935613588e+01   -1.3279889208e+02    9.3368821708e+00    8.0990000000e+04    7.9539664736e+01    9.9124344937e-01
         5   -5.8083590930e+01    3.3754216698e+03   -8.4642655422e+01    2.6559064492e+01    3.8950129830e+01   -1.3283540385e+02    9.2426185969e+00    8.0529000000e+04    7.8475348391e+01    9.9099111220e-01
         6   -5.8076639922e+01    3.3748565457e+03   -8.4713730312e+01    2.6637090391e+01    3.9051836796e+01   -1.3304161036e+02    9.2760432563e+00    8.0172000000e+04    7.7255203561e+01    9.9134829258e-01
         7   -5.8095951288e+01    3.3768730511e+03   -8.4682405755e+01    2.6586454467e+01    3.9027896673e+01   -1.3296752053e+02    9.2572181042e+00    7.9960000000e+04    7.8991141087e+01    9.9125812453e-01
         8   -5.8078103270e+01    3.3751256354e+03   -8.4694170679e+01    2.6616067409e+01    3.9054939976e+01   -1.3304483927e+02    9.2957286159e+00    8.0153000000e+04    7.7950820195e+01    9.9124843887e-01
         9   -5.8083852474e+01    3.3757291315e+03   -8.4573863480e+01    2.6490011006e+01    3.8980478515e+01   -1.3285731427e+02    9.3029722791e+00    8.0261000000e+04    7.8408066245e+01    9.9134073351e-01
        10   -5.8088091934e+01    3.3759087421e+03   -8.4414491454e+01    2.6326399520e+01    3.8977142998e+01   -1.3261284433e+02    9.2212098804e+00    8.0609000000e+04    7.8969227782e+01    9.9136938544e-01
        11   -5.8060322618e+01    3.3729365123e+03   -8.4608172758e+01    2.6547850140e+01    3.9034414044e+01   -1.3300444840e+02    9.3618616011e+00    8.0613000000e+04    8.0765970585e+01    9.9122132614e-01
        12   -5.8089908615e+01    3.3761884658e+03   -8.4631832940e+01    2.6541924326e+01    3.9006638842e+01   -1.3298214828e+02    9.3436764992e+00    8.0807000000e+04    8.1292967818e+01    9.9107081125e-01
        13   -5.8090574586e+01    3.3764449569e+03   -8.4604498881e+01    2.6513924295e+01    3.9054672455e+01   -1.3314492074e+02    9.4857494083e+00    8.1000000000e+04    7.8981977725e+01    9.9128576909e-01
        14   -5.8097806932e+01    3.3770489720e+03   -8.4716460368e+01    2.6618653436e+01    3.9036115627e+01   -1.3318537773e+02    9.4328017323e+00    8.1529000000e+04    7.7259396411e+01    9.9106572309e-01
        15   -5.8104316450e+01    3.3779814837e+03   -8.4581740590e+01    2.6477424140e+01    3.8960444320e+01   -1.3288525699e+02    9.3430720770e+00    8.2016000000e+04    1.0567065099e+02    9.9107931350e-01
        16   -5.8083641225e+01    3.3755419358e+03   -8.4733245814e+01    2.6649604589e+01    3.8996287767e+01   -1.3292032863e+02    9.1907950470e+00    8.2068000000e+04    1.0727407479e+02    9.9143260420e-01
        17   -5.8074077715e+01    3.3746123508e+03   -8.4720447437e+01    2.6646369722e+01    3.9037883961e+01   -1.3321692218e+02    9.4585907805e+00    8.2511000000e+04    1.2045930137e+02    9.9126016232e-01
        18   -5.8069184821e+01    3.3738555479e+03   -8.4606419306e+01    2.6537234485e+01    3.8987927972e+01   -1.3282658667e+02    9.2322393873e+00    8.2885000000e+04    1.2730297424e+02    9.9108661098e-01
        19   -5.8088895350e+01    3.3760681413e+03   -8.4560916053e+01    2.6472020703e+01    3.8977652931e+01   -1.3285890877e+02    9.3203397867e+00    8.2486000000e+04    1.2638755923e+02    9.9116816572e-01
        20   -5.8085970346e+01    3.3759775959e+03   -8.4483571759e+01    2.6397601412e+01    3.8977449059e+01   -1.3279839022e+02    9.3373694065e+00    8.2600000000e+04    1.3036958601e+02    9.9136876640e-01
        21   -5.8083637053e+01    3.3755750639e+03   -8.4668237416e+01    2.6584600363e+01    3.8940259465e+01   -1.3271509656e+02    9.1065996766e+00    8.2495000000e+04    1.2859078022e+02    9.9129737178e-01
        22   -5.8084618234e+01    3.3757148067e+03   -8.4764436208e+01    2.6679817975e+01    3.8993721293e+01   -1.3298967181e+02    9.2315143104e+00    8.2367000000e+04    1.2672505647e+02    9.9109978174e-01
        23   -5.8090167674e+01    3.3764221888e+03   -8.4590347114e+01    2.6500179441e+01    3.8928095039e+01   -1.3264895814e+02    9.1305159851e+00    8.2307000000e+04    1.2273819145e+02    9.9115208701e-01
        24   -5.8088374865e+01    3.3765747513e+03   -8.4331801460e+01    2.6243426594e+01    3.8852926808e+01   -1.3231664691e+02    9.1319186413e+00    8.2250000000e+04    1.2207535035e+02    9.9147860706e-01
        25   -5.8088007179e+01    3.3760060192e+03   -8.4338420218e+01    2.6250413039e+01    3.8823069293e+01   -1.3243367322e+02    9.2721837082e+00    8.2270000000e+04    1.1667573257e+02    9.9138057497e-01
        26   -5.8084285720e+01    3.3755786595e+03   -8.4428787490e+01    2.6344501770e+01    3.8841278869e+01   -1.3252551834e+02    9.2554519783e+00    8.2125000000e+04    1.1495285169e+02    9.9153703004e-01
        27   -5.8086675565e+01    3.3759135702e+03   -8.4469456049e+01    2.6382780484e+01    3.8844562529e+01   -1.3252853223e+02    9.2145136575e+00    8.1783000000e+04    7.8354466708e+01    9.9154651119e-01
        28   -5.8077215721e+01    3.3749877515e+03   -8.4498764541e+01    2.6421548821e+01    3.8883889887e+01   -1.3241935964e+02    9.0367052125e+00    8.2293000000e+04    1.2429474535e+02    9.9135833732e-01
        29   -5.8084321190e+01    3.3756037893e+03   -8.4440727810e+01    2.6356406620e+01    3.8901354608e+01   -1.3263770897e+02    9.2956265521e+00    8.2642000000e+04    1.2668118789e+02    9.9142215959e-01
        30   -5.8061255152e+01    3.3730762958e+03   -8.4453335582e+01    2.6392080430e+01    3.8985501719e+01   -1.3272835630e+02    9.2895190004e+00    8.2790000000e+04    1.2670679911e+02    9.9142670399e-01
        31   -5.8085062958e+01    3.3758974509e+03   -8.4631820548e+01    2.6546757590e+01    3.8982537868e+01   -1.3305279007e+02    9.4384316501e+00    8.2471000000e+04    1.2569383223e+02    9.9134022739e-01
