#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -5.8086024263e+01    3.3759805417e+03   -8.4167993544e+01    2.6081969281e+01    3.8807132694e+01   -1.3214759279e+02    9.1724665515e+00    8.1907000000e+04    8.7906734991e+01    9.9650724095e-01
         1   -5.8092422492e+01    3.3765468480e+03   -8.4173101229e+01    2.6080678737e+01    3.8769906370e+01   -1.3212216432e+02    9.1791567196e+00    8.1476000000e+04    7.7361792044e+01    9.9654384711e-01
         2   -5.8091950502e+01    3.3765471529e+03   -8.4193503050e+01    2.6101552548e+01    3.8842732484e+01   -1.3218201948e+02    9.1457839434e+00    8.1655000000e+04    7.6932055426e+01    9.9653183759e-01
         3   -5.8098419157e+01    3.3772198583e+03   -8.4260077617e+01    2.6161658460e+01    3.8833990860e+01   -1.3224735389e+02    9.1532854167e+00    8.1509000000e+04    7.4991974196e+01    9.9659948069e-01
         4   -5.8090846447e+01    3.3763013019e+03   -8.4434287680e+01    2.6343441233e+01    3.8838456208e+01   -1.3262836770e+02    9.3556238140e+00    8.1667000000e+04    7.5740051787e+01    9.9665164376e-01
         5   -5.8071083026e+01    3.3740252581e+03   -8.4411421477e+01    2.6340338451e+01    3.8917982607e+01   -1.3286926603e+02    9.5398619482e+00    8.1901000000e+04    8.9169498230e+01    9.9653627679e-01
         6   -5.8093117312e+01    3.3765240927e+03   -8.4558759118e+01    2.6465641806e+01    3.8946509575e+01   -1.3294743577e+02    9.4421670720e+00    8.2352000000e+04    1.2446685253e+02    9.9654327275e-01
         7   -5.8071882554e+01    3.3743071455e+03   -8.4645083217e+01    2.6573200663e+01    3.8966931795e+01   -1.3282698166e+02    9.2149666513e+00    8.2131000000e+04    1.1532632683e+02    9.9647113844e-01
         8   -5.8079646025e+01    3.3755196369e+03   -8.4575784331e+01    2.6496138305e+01    3.8992209016e+01   -1.3302966399e+02    9.4616706447e+00    8.2511000000e+04    1.2542343323e+02    9.9657482200e-01
         9   -5.8096616222e+01    3.3770617798e+03   -8.4613906592e+01    2.6517290370e+01    3.8945654847e+01   -1.3284120754e+02    9.2816461048e+00    8.2510000000e+04    1.2553181796e+02    9.9651743439e-01
        10   -5.8078806011e+01    3.3750920402e+03   -8.4596326752e+01    2.6517520741e+01    3.8925251895e+01   -1.3278816924e+02    9.2665905909e+00    8.2742000000e+04    1.2790939498e+02    9.9652907237e-01
        11   -5.8086521827e+01    3.3758240076e+03   -8.4369565597e+01    2.6283043770e+01    3.8926031185e+01   -1.3262336283e+02    9.3277660471e+00    8.1929000000e+04    1.0083523561e+02    9.9647856350e-01
        12   -5.8081961997e+01    3.3757929387e+03   -8.4451363193e+01    2.6369401196e+01    3.8943470859e+01   -1.3259960497e+02    9.2047709170e+00    8.1632000000e+04    8.8461161797e+01    9.9641110627e-01
        13   -5.8081469776e+01    3.3756271266e+03   -8.4422848048e+01    2.6341378272e+01    3.8940523395e+01   -1.3260676891e+02    9.2433974666e+00    8.1855000000e+04    9.2356817815e+01    9.9649588703e-01
        14   -5.8099774475e+01    3.3773185809e+03   -8.4458571804e+01    2.6358797329e+01    3.8904000870e+01   -1.3278563139e+02    9.4230587144e+00    8.2083000000e+04    1.0479675637e+02    9.9652139926e-01
        15   -5.8068572098e+01    3.3740702721e+03   -8.4563456248e+01    2.6494884150e+01    3.8951487778e+01   -1.3272131575e+02    9.2063717203e+00    8.2278000000e+04    1.2419162622e+02    9.9655332750e-01
        16   -5.8076330511e+01    3.3747623474e+03   -8.4482377524e+01    2.6406047014e+01    3.8981341960e+01   -1.3284564067e+02    9.3819211879e+00    8.2101000000e+04    1.0987792985e+02    9.9653217106e-01
        17   -5.8077896975e+01    3.3750393844e+03   -8.4597351017e+01    2.6519454042e+01    3.9024348936e+01   -1.3305603568e+02    9.4343357308e+00    8.2159000000e+04    1.1781283825e+02    9.9640849776e-01
        18   -5.8097299540e+01    3.3773642926e+03   -8.4547807804e+01    2.6450508264e+01    3.8962542434e+01   -1.3297287908e+02    9.4625288434e+00    8.2245000000e+04    1.2296689598e+02    9.9657642160e-01
        19   -5.8079560783e+01    3.3751707876e+03   -8.4606989215e+01    2.6527428432e+01    3.8955302130e+01   -1.3296342766e+02    9.4011363116e+00    8.2189000000e+04    1.1773342874e+02    9.9656335688e-01
        20   -5.8083339077e+01    3.3755247501e+03   -8.4738989881e+01    2.6655650804e+01    3.8951106551e+01   -1.3285312394e+02    9.1630275092e+00    8.2026000000e+04    1.0162505861e+02    9.9650814742e-01
        21   -5.8088003052e+01    3.3759770677e+03   -8.4527336317e+01    2.6439333265e+01    3.8932928565e+01   -1.3281681526e+02    9.3565503749e+00    8.1986000000e+04    9.9241668357e+01    9.9662392628e-01
        22   -5.8094690866e+01    3.3767965665e+03   -8.4543914876e+01    2.6449224011e+01    3.8906722097e+01   -1.3276162746e+02    9.3109904851e+00    8.2032000000e+04    1.0257137965e+02    9.9650907279e-01
        23   -5.8097066816e+01    3.3770982013e+03   -8.4626528440e+01    2.6529461625e+01    3.9006375034e+01   -1.3316875628e+02    9.5358528054e+00    8.2188000000e+04    1.1543672584e+02    9.9648383626e-01
        24   -5.8081234157e+01    3.3753934811e+03   -8.4555727044e+01    2.6474492887e+01    3.9037984926e+01   -1.3287266479e+02    9.2789528171e+00    8.2681000000e+04    1.2316191430e+02    9.9653121336e-01
        25   -5.8084365596e+01    3.3756744674e+03   -8.4545096237e+01    2.6460730641e+01    3.9009782149e+01   -1.3299735729e+02    9.4424789033e+00    8.2611000000e+04    1.2459521590e+02    9.9652015983e-01
        26   -5.8077727595e+01    3.3748674520e+03   -8.4504331396e+01    2.6426603801e+01    3.8981138992e+01   -1.3290559586e+02    9.4201254732e+00    8.2471000000e+04    1.2600454604e+02    9.9643719724e-01
        27   -5.8085027544e+01    3.3757766295e+03   -8.4627582347e+01    2.6542554802e+01    3.8986208657e+01   -1.3282629595e+02    9.2125049426e+00    8.2458000000e+04    1.2597381944e+02    9.9657341530e-01
        28   -5.8086477912e+01    3.3757749645e+03   -8.4586519589e+01    2.6500041677e+01    3.9000442847e+01   -1.3281735707e+02    9.2303946312e+00    8.2258000000e+04    1.1911300148e+02    9.9653251137e-01
        29   -5.8081529319e+01    3.3754067486e+03   -8.4436411257e+01    2.6354881938e+01    3.8965837321e+01   -1.3278511665e+02    9.3828680731e+00    8.1841000000e+04    8.8483131369e+01    9.9642251724e-01
        30   -5.8088516429e+01    3.3760190965e+03   -8.4503791855e+01    2.6415275426e+01    3.8934447135e+01   -1.3269798589e+02    9.2597468998e+00    8.1781000000e+04    7.8310876101e+01    9.9650951091e-01
        31   -5.8080409675e+01    3.3752652629e+03   -8.4580940251e+01    2.6500530576e+01    3.8927685973e+01   -1.3282740387e+02    9.3187776500e+00    8.2080000000e+04    1.0866504823e+02    9.9652076282e-01
        32   -5.8076800646e+01    3.3746708900e+03   -8.4445353339e+01    2.6368552692e+01    3.8928025967e+01   -1.3270742508e+02    9.3340457733e+00    8.1631000000e+04    8.3040851713e+01    9.9641140271e-01
        33   -5.8094934317e+01    3.3769698445e+03   -8.4766998736e+01    2.6672064419e+01    3.9066804975e+01   -1.3314166280e+02    9.3078590879e+00    8.1516000000e+04    7.5491316957e+01    9.9638433200e-01
        34   -5.8088738284e+01    3.3760816697e+03   -8.4658210062e+01    2.6569471778e+01    3.9012657356e+01   -1.3304375215e+02    9.3728847355e+00    8.1678000000e+04    7.5840215837e+01    9.9651754140e-01
        35   -5.8089304403e+01    3.3764974071e+03   -8.4628964919e+01    2.6539660516e+01    3.9007740319e+01   -1.3290746755e+02    9.2707623165e+00    8.1851000000e+04    8.0422931906e+01    9.9657959594e-01
        36   -5.8080805882e+01    3.3752666533e+03   -8.4568064533e+01    2.6487258652e+01    3.8979136505e+01   -1.3288487106e+02    9.3376700229e+00    8.1921000000e+04    8.3560706091e+01    9.9642479472e-01
        37   -5.8100031355e+01    3.3773790538e+03   -8.4419520298e+01    2.6319488943e+01    3.8916563092e+01   -1.3271517481e+02    9.3790914234e+00    8.1750000000e+04    8.3297467397e+01    9.9647529767e-01
        38   -5.8074164133e+01    3.3745344205e+03   -8.4424151237e+01    2.6349987104e+01    3.8915941636e+01   -1.3264549732e+02    9.3054044452e+00    8.1439000000e+04    7.7769105592e+01    9.9658085263e-01
        39   -5.8090594397e+01    3.3764747054e+03   -8.4590083055e+01    2.6499488658e+01    3.8940177152e+01   -1.3308948254e+02    9.5592223317e+00    8.1739000000e+04    7.6473256487e+01    9.9650184513e-01
        40   -5.8089168495e+01    3.3763308846e+03   -8.4542669592e+01    2.6453501097e+01    3.8894947294e+01   -1.3287478550e+02    9.4371686122e+00    8.2322000000e+04    1.2331260316e+02    9.9657474997e-01
        41   -5.8077434181e+01    3.3749994813e+03   -8.4432305133e+01    2.6354870952e+01    3.8944816582e+01   -1.3270831446e+02    9.3311927421e+00    8.2061000000e+04    1.0701012107e+02    9.9654828750e-01
        42   -5.8104122990e+01    3.3778105059e+03   -8.4523535011e+01    2.6419412020e+01    3.8895121098e+01   -1.3255753366e+02    9.1388775508e+00    8.2118000000e+04    1.1564724048e+02    9.9646663557e-01
        43   -5.8092636277e+01    3.3765858951e+03   -8.4394509508e+01    2.6301873231e+01    3.8813706325e+01   -1.3240691502e+02    9.1986991886e+00    8.2364000000e+04    1.2598935413e+02    9.9653472562e-01
        44   -5.8077994508e+01    3.3748463856e+03   -8.4384716258e+01    2.6306721749e+01    3.8886137817e+01   -1.3269573709e+02    9.4248830167e+00    8.2696000000e+04    1.2675256811e+02    9.9645269924e-01
        45   -5.8080291459e+01    3.3756354966e+03   -8.4473374434e+01    2.6393082975e+01    3.8960815459e+01   -1.3287024325e+02    9.4360533584e+00    8.2648000000e+04    1.2600115922e+02    9.9645277884e-01
        46   -5.8087853213e+01    3.3762407955e+03   -8.4502382976e+01    2.6414529763e+01    3.9022889213e+01   -1.3298661638e+02    9.4613441940e+00    8.3086000000e+04    1.2629137685e+02    9.9646650383e-01
        47   -5.8087710347e+01    3.3760009035e+03   -8.4683848989e+01    2.6596138642e+01    3.9023108057e+01   -1.3312601032e+02    9.4190532786e+00    8.3042000000e+04    1.2362977046e+02    9.9640648249e-01
        48   -5.8095166429e+01    3.3770554762e+03   -8.4677778572e+01    2.6582612143e+01    3.8990323092e+01   -1.3290403767e+02    9.2359360018e+00    8.3026000000e+04    1.2237472291e+02    9.9640769543e-01
        49   -5.8083776827e+01    3.3756102891e+03   -8.4538841350e+01    2.6455064523e+01    3.9011003998e+01   -1.3273900768e+02    9.1891623321e+00    8.3174000000e+04    1.2411571785e+02    9.9649893522e-01
        50   -5.8108553252e+01    3.3785474530e+03   -8.4509798427e+01    2.6401245175e+01    3.8989957494e+01   -1.3302535144e+02    9.5255955176e+00    8.3310000000e+04    1.2617165962e+02    9.9645472221e-01
        51   -5.8076730424e+01    3.3748127596e+03   -8.4525475212e+01    2.6448744788e+01    3.9036089202e+01   -1.3306274334e+02    9.5011789209e+00    8.3037000000e+04    1.2272294911e+02    9.9648784356e-01
        52   -5.8106723073e+01    3.3782825349e+03   -8.4496398799e+01    2.6389675727e+01    3.8922252698e+01   -1.3276859211e+02    9.3499406161e+00    8.2858000000e+04    1.2369782222e+02    9.9656424029e-01
        53   -5.8095577620e+01    3.3766870472e+03   -8.4446873455e+01    2.6351295835e+01    3.8883973459e+01   -1.3276538359e+02    9.4345366786e+00    8.2803000000e+04    1.2268547973e+02    9.9641645841e-01
        54   -5.8109324446e+01    3.3784323192e+03   -8.4356279215e+01    2.6246954769e+01    3.8831392299e+01   -1.3254142160e+02    9.3537500892e+00    8.2960000000e+04    1.2200889457e+02    9.9651030512e-01
        55   -5.8091971032e+01    3.3765565608e+03   -8.4300702049e+01    2.6208731017e+01    3.8858798695e+01   -1.3238886078e+02    9.2293600330e+00    8.2458000000e+04    1.2052910498e+02    9.9658534059e-01
        56   -5.8063814912e+01    3.3733641236e+03   -8.4285457587e+01    2.6221642675e+01    3.8839177390e+01   -1.3256880411e+02    9.4441691370e+00    8.1795000000e+04    9.2009196585e+01    9.9654340297e-01
        57   -5.8086413576e+01    3.3760798896e+03   -8.4464405956e+01    2.6377992380e+01    3.8873397574e+01   -1.3268882311e+02    9.3510195799e+00    8.1413000000e+04    7.4309598377e+01    9.9650278023e-01
        58   -5.8075730822e+01    3.3747410354e+03   -8.4387842455e+01    2.6312111633e+01    3.8899028682e+01   -1.3256106574e+02    9.2741946018e+00    8.1427000000e+04    7.5701879333e+01    9.9652571717e-01
        59   -5.8082971950e+01    3.3754224155e+03   -8.4352016706e+01    2.6269044757e+01    3.8896554904e+01   -1.3262025435e+02    9.3716827435e+00    8.1547000000e+04    7.3367299745e+01    9.9637142428e-01
