#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -5.7963737288e+01    3.3670253231e+03   -8.4467894489e+01    2.6504157201e+01    3.9058736255e+01   -1.3294306655e+02    9.4164358091e+00    2.0480000000e+03    5.9114655093e+00    5.6003960503e-01
         1   -5.8026764861e+01    3.3690303613e+03   -8.4255191023e+01    2.6228426161e+01    3.9005641649e+01   -1.3274196262e+02    9.4811299484e+00    2.0480000000e+03    6.0027981534e+00    5.5920410156e-01
         2   -5.8066248970e+01    3.3734098564e+03   -8.4357050250e+01    2.6290801280e+01    3.9022291083e+01   -1.3231235751e+02    8.9330161724e+00    2.0480000000e+03    5.9975634151e+00    5.6007080078e-01
         3   -5.8018444454e+01    3.3679344009e+03   -8.4494454035e+01    2.6476009581e+01    3.8960627575e+01   -1.3276965290e+02    9.3145712878e+00    2.0480000000e+03    5.9884487099e+00    5.5917290582e-01
         4   -5.8095816511e+01    3.3766129585e+03   -8.4696585251e+01    2.6600768740e+01    3.8964603391e+01   -1.3300921146e+02    9.3480228223e+00    2.0480000000e+03    5.9963206523e+00    5.6043158637e-01
         5   -5.8037665066e+01    3.3698514313e+03   -8.4260377920e+01    2.6222712854e+01    3.8776130519e+01   -1.3246940391e+02    9.4328954693e+00    2.0480000000e+03    5.9983945488e+00    5.6056179470e-01
         6   -5.8011121857e+01    3.3672589254e+03   -8.4375694882e+01    2.6364573026e+01    3.9030632074e+01   -1.3272458784e+02    9.3182608864e+00    2.0480000000e+03    5.9935873576e+00    5.6073676215e-01
         7   -5.8068015216e+01    3.3736900578e+03   -8.4444083867e+01    2.6376068651e+01    3.9017826601e+01   -1.3295763995e+02    9.4957294824e+00    2.0480000000e+03    5.9956202087e+00    5.6059705946e-01
         8   -5.8039435823e+01    3.3702148819e+03   -8.4401125977e+01    2.6361690155e+01    3.8943657061e+01   -1.3281554049e+02    9.4707574481e+00    2.0480000000e+03    5.9965204797e+00    5.5911051432e-01
         9   -5.8119840354e+01    3.3795570574e+03   -8.4809803100e+01    2.6689962745e+01    3.8913493388e+01   -1.3275408568e+02    9.0307891936e+00    2.0480000000e+03    5.9962261654e+00    5.5960693359e-01
        10   -5.8057541132e+01    3.3723827214e+03   -8.4733331057e+01    2.6675789925e+01    3.9187521225e+01   -1.3363298375e+02    9.7121314713e+00    2.0480000000e+03    5.9992506092e+00    5.5993923611e-01
        11   -5.8077181305e+01    3.3757818111e+03   -8.4413796867e+01    2.6336615562e+01    3.8866500073e+01   -1.3263055779e+02    9.3502608516e+00    2.0480000000e+03    5.9895529045e+00    5.5916069878e-01
        12   -5.8024379629e+01    3.3684714130e+03   -8.4164920454e+01    2.6140540826e+01    3.8957715021e+01   -1.3265537004e+02    9.5327345622e+00    2.0480000000e+03    5.9884553655e+00    5.6026204427e-01
        13   -5.8086096568e+01    3.3763039619e+03   -8.4516198128e+01    2.6430101560e+01    3.8980994737e+01   -1.3285817385e+02    9.3609809851e+00    2.0480000000e+03    5.9981140207e+00    5.6095513238e-01
        14   -5.8098997387e+01    3.3770198804e+03   -8.4215614029e+01    2.6116616641e+01    3.8850825119e+01   -1.3257462886e+02    9.5081897105e+00    2.0480000000e+03    5.9926635360e+00    5.6058213976e-01
        15   -5.8070220662e+01    3.3735806485e+03   -8.4778466875e+01    2.6708246213e+01    3.9012777808e+01   -1.3332044661e+02    9.5292019261e+00    2.0480000000e+03    5.9929562103e+00    5.6051432292e-01
        16   -5.8015230819e+01    3.3678840350e+03   -8.4757495630e+01    2.6742264811e+01    3.8960790551e+01   -1.3294328107e+02    9.2249948915e+00    2.0480000000e+03    5.9904713642e+00    5.6138644748e-01
        17   -5.8030127214e+01    3.3694836229e+03   -8.4412149069e+01    2.6382021856e+01    3.9103613300e+01   -1.3339357465e+02    9.8778122822e+00    2.0480000000e+03    5.9971867751e+00    5.6062554253e-01
