# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -7.1442911615e+01    2.4406379911e+00    4.0950000000e+03    4.0970000000e+03    0.0000000000e+00   -7.1427594561e+01    9.8052673981e-01    9.9121308274e-01
         1   -7.1429140259e+01    2.7451957052e+00    4.1009506951e+03    4.0970000000e+03    0.0000000000e+00   -7.1418494572e+01    9.7941109806e-01    9.8755186722e-01
         2   -7.1441040717e+01    2.8666482252e+00    4.0961491259e+03    4.0970000000e+03    9.3750000000e-02   -7.1453551342e+01    9.8129512119e-01    9.9633878448e-01
         3   -7.1441618489e+01    2.5289980059e+00    4.0963551795e+03    4.1040000000e+03    3.5156250000e-02   -7.1636162730e+01    9.7990333486e-01    9.9366471735e-01
         4   -7.1437752447e+01    2.6402816698e+00    4.0957112329e+03    4.0890000000e+03    4.6875000000e-02   -7.1270573853e+01    9.8083268916e-01    9.9779897285e-01
         5   -7.1452594221e+01    2.4368796252e+00    4.0964519260e+03    4.1040000000e+03    4.6875000000e-02   -7.1632874460e+01    9.8025723309e-01    9.9342105263e-01
         6   -7.1451837556e+01    2.3447377701e+00    4.0958710543e+03    4.0870000000e+03    5.0781250000e-02   -7.1232625906e+01    9.8029544434e-01    9.9779789577e-01
         7   -7.1422487526e+01    2.4865172240e+00    4.0952897241e+03    4.0970000000e+03    3.7109375000e-02   -7.1476248638e+01    9.7868215548e-01    9.9633878448e-01
         8   -7.1411187659e+01    2.4715513136e+00    4.0956791030e+03    4.0980000000e+03    2.9296875000e-02   -7.1471303734e+01    9.7989897573e-01    9.9633967789e-01
         9   -7.1421014653e+01    2.2963291008e+00    4.0960802987e+03    4.0940000000e+03    2.7343750000e-02   -7.1362347609e+01    9.8157250154e-01    9.9780166097e-01
        10   -7.1397483774e+01    2.7141238035e+00    4.0955663710e+03    4.1060000000e+03    4.1015625000e-02   -7.1664857739e+01    9.7982042099e-01    9.9415489528e-01
        11   -7.1421623880e+01    2.9796208077e+00    4.0965485416e+03    4.0950000000e+03    4.4921875000e-02   -7.1373066731e+01    9.8276952316e-01    9.9609279609e-01
        12   -7.1481251881e+01    2.6537350228e+00    4.0971017526e+03    4.0940000000e+03    3.1250000000e-02   -7.1372783830e+01    9.8029881181e-01    9.9609184172e-01
        13   -7.1452531983e+01    2.3754434218e+00    4.0954532749e+03    4.0960000000e+03    3.3203125000e-02   -7.1481251881e+01    9.7981786285e-01    9.9584960938e-01
        14   -7.1418435756e+01    2.6897492937e+00    4.0952455788e+03    4.0980000000e+03    3.5156250000e-02   -7.1501348191e+01    9.8205203539e-01    9.9536359200e-01
        15   -7.1408697632e+01    2.8873924927e+00    4.0957790231e+03    4.0970000000e+03    3.7109375000e-02   -7.1442846839e+01    9.7929430481e-01    9.9487429827e-01
        16   -7.1432312180e+01    2.5202932817e+00    4.0964740645e+03    4.0980000000e+03    3.9062500000e-02   -7.1457513839e+01    9.8086675281e-01    9.9658369937e-01
        17   -7.1423804634e+01    2.1392602700e+00    4.0959343267e+03    4.1040000000e+03    3.7109375000e-02   -7.1627434193e+01    9.7988377477e-01    9.9537037037e-01
        18   -7.1410236990e+01    2.6365493426e+00    4.0956858636e+03    4.0990000000e+03    3.5156250000e-02   -7.1497020012e+01    9.7975139042e-01    9.9560868505e-01
        19   -7.1454219954e+01    2.2756050846e+00    4.0969773450e+03    4.0970000000e+03    3.5156250000e-02   -7.1434648073e+01    9.8024383087e-01    9.9487429827e-01
        20   -7.1411436528e+01    2.9250311109e+00    4.0949794761e+03    4.0940000000e+03    4.1015625000e-02   -7.1405379904e+01    9.7971525469e-01    9.9633610161e-01
        21   -7.1409591669e+01    3.9235007307e+00    4.0957910075e+03    4.0960000000e+03    3.3203125000e-02   -7.1411436528e+01    9.8148985620e-01    9.9438476562e-01
        22   -7.1406664048e+01    3.0524979020e+00    4.0956462801e+03    4.0840000000e+03    4.1015625000e-02   -7.1116192925e+01    9.8041508687e-01    9.9338883448e-01
        23   -7.1459756055e+01    2.1687165891e+00    4.0970123892e+03    4.0820000000e+03    5.0781250000e-02   -7.1064281713e+01    9.8061518219e-01    9.9706026458e-01
        24   -7.1423442302e+01    2.3365287311e+00    4.0952595933e+03    4.0980000000e+03    5.4687500000e-02   -7.1508572262e+01    9.8035994440e-01    9.9511957052e-01
        25   -7.1408969438e+01    3.1377098249e+00    4.0955729478e+03    4.0920000000e+03    3.9062500000e-02   -7.1325738338e+01    9.8083761206e-01    9.9682306940e-01
        26   -7.1391925158e+01    3.9366189377e+00    4.1018202243e+03    4.1030000000e+03    4.6875000000e-02   -7.1425149828e+01    9.8126068995e-01    9.9683158664e-01
        27   -7.1440441320e+01    2.1648196195e+00    4.1140466797e+03    4.1140000000e+03    4.4921875000e-02   -7.1420590774e+01    9.7905172853e-01    9.9562469616e-01
        28   -7.1473653413e+01    2.0272219308e+00    4.1147978300e+03    4.1130000000e+03    3.3203125000e-02   -7.1412254101e+01    9.7979954930e-01    9.9659615852e-01
        29   -7.1459720877e+01    1.9747197423e+00    4.1197910080e+03    4.1180000000e+03    3.3203125000e-02   -7.1421551275e+01    9.8034139824e-01    9.9757163672e-01
        30   -7.1444540505e+01    2.7523529138e+00    4.1186148280e+03    4.1180000000e+03    1.9531250000e-02   -7.1433043047e+01    9.7970959236e-01    9.9562894609e-01
        31   -7.1446812373e+01    2.8935863488e+00    4.1181684464e+03    4.1180000000e+03    3.5156250000e-02   -7.1438382139e+01    9.8264597173e-01    9.9538610976e-01
        32   -7.1449009441e+01    2.0164600714e+00    4.1190585924e+03    4.1190000000e+03    3.9062500000e-02   -7.1440269958e+01    9.7956033149e-01    9.9708667152e-01
        33   -7.1430269979e+01    2.3900409149e+00    4.1248170823e+03    4.1250000000e+03    3.5156250000e-02   -7.1443243305e+01    9.8125551810e-01    9.9418181818e-01
        34   -7.1402303809e+01    2.5704457593e+00    4.1129730798e+03    4.1140000000e+03    4.2968750000e-02   -7.1441997662e+01    9.8090432786e-01    9.9586776860e-01
        35   -7.1414392903e+01    2.8686289645e+00    4.1196963030e+03    4.1210000000e+03    4.2968750000e-02   -7.1442963445e+01    9.8109284935e-01    9.9684542587e-01
        36   -7.1447272556e+01    2.9856078187e+00    4.1374588762e+03    4.1380000000e+03    5.6640625000e-02   -7.1443937020e+01    9.8052873550e-01    9.9637506042e-01
        37   -7.1398943031e+01    2.7437322685e+00    4.1442293908e+03    4.1450000000e+03    4.2968750000e-02   -7.1444015361e+01    9.8100827344e-01    9.9565741858e-01
        38   -7.1423283234e+01    2.3940367953e+00    4.1468606837e+03    4.1480000000e+03    3.9062500000e-02   -7.1445904178e+01    9.7875562723e-01    9.9710703954e-01
        39   -7.1412269130e+01    2.8955318084e+00    4.1576323440e+03    4.1590000000e+03    4.2968750000e-02   -7.1446099280e+01    9.8107109446e-01    9.9735513345e-01
        40   -7.1390486720e+01    2.5310185917e+00    4.1611250218e+03    4.1630000000e+03    2.7343750000e-02   -7.1446557103e+01    9.7890992669e-01    9.9519577228e-01
        41   -7.1406474416e+01    3.5266422509e+00    4.1558043707e+03    4.1580000000e+03    3.7109375000e-02   -7.1444226393e+01    9.8077390016e-01    9.9567099567e-01
        42   -7.1407759938e+01    2.5374874147e+00    4.1542820421e+03    4.1560000000e+03    3.3203125000e-02   -7.1441467844e+01    9.8174838821e-01    9.9663137632e-01
        43   -7.1389290305e+01    2.4192884669e+00    4.1571716578e+03    4.1590000000e+03    3.3203125000e-02   -7.1441053251e+01    9.7987233940e-01    9.9519115172e-01
        44   -7.1423296413e+01    2.5705392842e+00    4.1527566083e+03    4.1540000000e+03    3.7109375000e-02   -7.1438901393e+01    9.7993799240e-01    9.9494463168e-01
        45   -7.1407028363e+01    3.4985473980e+00    4.1529709355e+03    4.1540000000e+03    3.9062500000e-02   -7.1437123880e+01    9.8100583606e-01    9.9518536351e-01
        46   -7.1373424294e+01    3.0034219938e+00    4.1449301662e+03    4.1470000000e+03    3.9062500000e-02   -7.1435448449e+01    9.8137355715e-01    9.9493609838e-01
        47   -7.1427045938e+01    2.6185094606e+00    4.1437069452e+03    4.1450000000e+03    4.1015625000e-02   -7.1434236702e+01    9.8177877144e-01    9.9734620024e-01
        48   -7.1453623405e+01    2.3299739439e+00    4.1461880745e+03    4.1460000000e+03    2.3437500000e-02   -7.1432350949e+01    9.8084885539e-01    9.9734684033e-01
        49   -7.1473438427e+01    2.3250792044e+00    4.1531056196e+03    4.1520000000e+03    3.1250000000e-02   -7.1434081585e+01    9.8037430289e-01    9.9686897881e-01
        50   -7.1478816258e+01    2.9737620718e+00    4.1546101499e+03    4.1530000000e+03    2.5390625000e-02   -7.1435647247e+01    9.8179918219e-01    9.9494341440e-01
        51   -7.1451260079e+01    2.3314195613e+00    4.1501783644e+03    4.1490000000e+03    4.1015625000e-02   -7.1436668672e+01    9.8071204552e-01    9.9662569294e-01
        52   -7.1458395282e+01    2.8012060865e+00    4.1526344185e+03    4.1520000000e+03    3.3203125000e-02   -7.1439428663e+01    9.8093169614e-01    9.9662813102e-01
        53   -7.1434439938e+01    2.6292731070e+00    4.1550775004e+03    4.1550000000e+03    3.3203125000e-02   -7.1441058470e+01    9.8129818337e-01    9.9687123947e-01
        54   -7.1432666520e+01    2.8632660504e+00    4.1564401204e+03    4.1570000000e+03    2.7343750000e-02   -7.1442630680e+01    9.7864405286e-01    9.9663218667e-01
        55   -7.1425178974e+01    2.3909879207e+00    4.1707320102e+03    4.1710000000e+03    5.4687500000e-02   -7.1446212569e+01    9.8085700517e-01    9.9736274275e-01
        56   -7.1421343815e+01    2.6901141894e+00    4.1719439358e+03    4.1730000000e+03    2.5390625000e-02   -7.1446840306e+01    9.8121138027e-01    9.9544692068e-01
        57   -7.1424682962e+01    2.6527022995e+00    4.1681539938e+03    4.1690000000e+03    3.5156250000e-02   -7.1445786397e+01    9.8125198409e-01    9.9760134325e-01
        58   -7.1471031227e+01    2.5928871578e+00    4.1768748528e+03    4.1770000000e+03    3.5156250000e-02   -7.1447498111e+01    9.8254352017e-01    9.9712712473e-01
        59   -7.1446449477e+01    3.2977131662e+00    4.1834358758e+03    4.1830000000e+03    3.3203125000e-02   -7.1448838437e+01    9.8169940594e-01    9.9426249104e-01
        60   -7.1474966352e+01    2.2211784790e+00    4.1798807006e+03    4.1790000000e+03    4.6875000000e-02   -7.1449116317e+01    9.8067973297e-01    9.9593204116e-01
        61   -7.1479687141e+01    1.9563691652e+00    4.1861785667e+03    4.1850000000e+03    4.4921875000e-02   -7.1451034211e+01    9.8025684850e-01    9.9617682198e-01
        62   -7.1456175954e+01    2.4744635498e+00    4.1776369905e+03    4.1770000000e+03    2.7343750000e-02   -7.1450348575e+01    9.8075618978e-01    9.9664831219e-01
        63   -7.1490099618e+01    2.0568274915e+00    4.1857949139e+03    4.1850000000e+03    4.1015625000e-02   -7.1453549388e+01    9.8080418342e-01    9.9522102748e-01
        64   -7.1443013810e+01    3.1176302087e+00    4.1836801130e+03    4.1830000000e+03    3.7109375000e-02   -7.1453689899e+01    9.7923040747e-01    9.9569686828e-01
        65   -7.1415788408e+01    3.2827832862e+00    4.1826683176e+03    4.1840000000e+03    3.5156250000e-02   -7.1455364621e+01    9.8030807464e-01    9.9498087954e-01
        66   -7.1451199223e+01    2.6697196938e+00    4.1772011496e+03    4.1780000000e+03    3.9062500000e-02   -7.1454146778e+01    9.8034617649e-01    9.9545236955e-01
        67   -7.1438059563e+01    2.7639425191e+00    4.1815607701e+03    4.1820000000e+03    4.4921875000e-02   -7.1454662368e+01    9.8134481257e-01    9.9665231946e-01
        68   -7.1446139760e+01    2.5881763523e+00    4.1822766755e+03    4.1830000000e+03    2.9296875000e-02   -7.1455304147e+01    9.7966047843e-01    9.9641405690e-01
        69   -7.1459539513e+01    2.3133789949e+00    4.1817896543e+03    4.1820000000e+03    2.9296875000e-02   -7.1455150811e+01    9.8200804926e-01    9.9665231946e-01
        70   -7.1386536401e+01    2.6964605661e+00    4.1805890583e+03    4.1820000000e+03    2.5390625000e-02   -7.1455412314e+01    9.7997401275e-01    9.9497847920e-01
        71   -7.1347836529e+01    5.9113395495e+00    4.1712883970e+03    4.1750000000e+03    3.9062500000e-02   -7.1454278504e+01    9.8026681105e-01    9.9449101796e-01
        72   -7.1413167126e+01    2.5312639689e+00    4.1603980140e+03    4.1630000000e+03    4.2968750000e-02   -7.1450365250e+01    9.8042846328e-01    9.9447513812e-01
        73   -7.1422133465e+01    2.2776701319e+00    4.1478376337e+03    4.1490000000e+03    4.1015625000e-02   -7.1445198630e+01    9.8007270083e-01    9.9542058327e-01
        74   -7.1417022340e+01    2.5588115523e+00    4.1470013791e+03    4.1480000000e+03    3.7109375000e-02   -7.1444566252e+01    9.8066668001e-01    9.9590163934e-01
        75   -7.1403375195e+01    2.2969424739e+00    4.1405423886e+03    4.1420000000e+03    3.1250000000e-02   -7.1442922377e+01    9.8056783587e-01    9.9686141960e-01
        76   -7.1424667406e+01    2.2548565105e+00    4.1406556822e+03    4.1420000000e+03    2.3437500000e-02   -7.1442633511e+01    9.8004961846e-01    9.9420569773e-01
        77   -7.1413282033e+01    2.5314182598e+00    4.1352240679e+03    4.1360000000e+03    4.4921875000e-02   -7.1440643684e+01    9.8072664497e-01    9.9685686654e-01
