#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -7.1345460930e+01    5.0918833127e+03   -1.0729971945e+02    3.5954258524e+01    4.9957894269e+01   -1.6874693197e+02    1.1489318252e+01    5.1200000000e+02    2.9668642404e+00    5.3511117788e-01
         1   -7.1447434137e+01    5.1070571991e+03   -1.0695630296e+02    3.5508868820e+01    4.9735957633e+01   -1.6857939202e+02    1.1887131435e+01    5.1200000000e+02    2.9750481131e+00    5.3316556490e-01
         2   -7.1496388484e+01    5.1133189657e+03   -1.0676920222e+02    3.5272813737e+01    4.9574529075e+01   -1.6776424879e+02    1.1420517493e+01    5.1200000000e+02    2.9659893420e+00    5.3556189904e-01
         3   -7.1307982023e+01    5.0884155020e+03   -1.0553987977e+02    3.4231897744e+01    4.9547232190e+01   -1.6685023381e+02    1.1763121858e+01    5.1200000000e+02    2.9675510149e+00    5.3218900240e-01
         4   -7.1367136358e+01    5.0954826691e+03   -1.0678692675e+02    3.5419790390e+01    4.9306010324e+01   -1.6642736349e+02    1.0334426415e+01    5.1200000000e+02    2.9744948801e+00    5.3069411058e-01
         5   -7.1381738059e+01    5.0981865526e+03   -1.0754781566e+02    3.6166077604e+01    4.9810786959e+01   -1.6903012558e+02    1.1671522956e+01    5.1200000000e+02    2.9783842252e+00    5.3182842548e-01
         6   -7.1352879627e+01    5.0954300168e+03   -1.0619642053e+02    3.4843540905e+01    4.9796372099e+01   -1.6756344082e+02    1.1570648189e+01    5.1200000000e+02    2.9770482918e+00    5.3246694712e-01
         7   -7.1301571330e+01    5.0874643014e+03   -1.0648925511e+02    3.5187683781e+01    4.9479853459e+01   -1.6771956925e+02    1.1750460680e+01    5.1200000000e+02    2.9711671364e+00    5.3155799279e-01
         8   -7.1315095531e+01    5.0891065584e+03   -1.0576439350e+02    3.4449297971e+01    4.9252040780e+01   -1.6575150190e+02    1.0735067615e+01    5.1200000000e+02    2.9688095981e+00    5.3557692308e-01
         9   -7.1376958951e+01    5.0971841229e+03   -1.0659850340e+02    3.5221544451e+01    4.9383472540e+01   -1.6741156853e+02    1.1429592583e+01    5.1200000000e+02    2.9590870258e+00    5.3542668269e-01
        10   -7.1464406113e+01    5.1089937519e+03   -1.0727715635e+02    3.5812750239e+01    4.9704659674e+01   -1.6923513825e+02    1.2253322222e+01    5.1200000000e+02    2.9686874193e+00    5.3131760817e-01
        11   -7.1422798165e+01    5.1031356474e+03   -1.0676944184e+02    3.5346643676e+01    4.9561072366e+01   -1.6810837446e+02    1.1777860248e+01    5.1200000000e+02    2.9615468639e+00    5.3106971154e-01
        12   -7.1411875375e+01    5.1024486109e+03   -1.0626350845e+02    3.4851633075e+01    4.9361900117e+01   -1.6669093975e+02    1.1065531185e+01    5.1200000000e+02    2.9670591280e+00    5.3705679087e-01
        13   -7.1404320906e+01    5.1011472689e+03   -1.0716840952e+02    3.5764088614e+01    5.0134532676e+01   -1.6975030398e+02    1.2447361781e+01    5.1200000000e+02    2.9738569837e+00    5.3321063702e-01
        14   -7.1348452973e+01    5.0930483846e+03   -1.0664385749e+02    3.5295404516e+01    4.9617793980e+01   -1.6735984144e+02    1.1098189969e+01    5.1200000000e+02    2.9664758355e+00    5.3326322115e-01
        15   -7.1487253791e+01    5.1123100983e+03   -1.0753799497e+02    3.6050741184e+01    4.9927415821e+01   -1.6935595688e+02    1.1890546083e+01    5.1200000000e+02    2.9674686021e+00    5.3344350962e-01
