#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2634545897e+02    5.1248777687e+04   -3.7908606064e+02    1.5274060167e+02    1.8017662574e+02   -5.8265166351e+02    2.3388977126e+01    8.1966000000e+04    1.1660571602e+02    9.6166718007e-01
         1   -2.2635711295e+02    5.1254233553e+04   -3.7887968676e+02    1.5252257380e+02    1.8000756723e+02   -5.8215776961e+02    2.3270515618e+01    8.2337000000e+04    1.2586260715e+02    9.6129908732e-01
         2   -2.2633495482e+02    5.1243559628e+04   -3.7833219535e+02    1.5199724053e+02    1.7978852671e+02   -5.8122635410e+02    2.3105632038e+01    8.2228000000e+04    1.2559186334e+02    9.6164899982e-01
         3   -2.2632025589e+02    5.1237190920e+04   -3.7827230843e+02    1.5195205254e+02    1.7992305804e+02   -5.8141570854e+02    2.3220342070e+01    8.1020000000e+04    1.0763018724e+02    9.6190409675e-01
         4   -2.2633027493e+02    5.1241658005e+04   -3.7835337209e+02    1.5202309716e+02    1.7963618110e+02   -5.8121029414e+02    2.3220740956e+01    8.0390000000e+04    1.0581489365e+02    9.6154055542e-01
         5   -2.2636882484e+02    5.1259278054e+04   -3.7832613084e+02    1.5195730600e+02    1.7958927155e+02   -5.8106200182e+02    2.3146599437e+01    8.1160000000e+04    1.0824181750e+02    9.6165075725e-01
         6   -2.2633156557e+02    5.1242304208e+04   -3.7899350322e+02    1.5266193764e+02    1.8004003380e+02   -5.8231793577e+02    2.3284398754e+01    8.0297000000e+04    1.0776470219e+02    9.6139275453e-01
         7   -2.2636553718e+02    5.1256939956e+04   -3.7926787759e+02    1.5290234041e+02    1.8006396139e+02   -5.8243823708e+02    2.3106398098e+01    8.0264000000e+04    1.0686345493e+02    9.6145416910e-01
         8   -2.2634178297e+02    5.1246887167e+04   -3.7906887656e+02    1.5272709359e+02    1.8019286309e+02   -5.8243141069e+02    2.3169671043e+01    7.9950000000e+04    1.0917258868e+02    9.6158865667e-01
         9   -2.2635054067e+02    5.1251194518e+04   -3.7846031796e+02    1.5210977729e+02    1.7996573759e+02   -5.8157011784e+02    2.3144062287e+01    8.0039000000e+04    1.0649522531e+02    9.6163528830e-01
        10   -2.2636223618e+02    5.1257563655e+04   -3.7778399885e+02    1.5142176268e+02    1.7953062939e+02   -5.8023698227e+02    2.2922354026e+01    7.9693000000e+04    1.0746710594e+02    9.6180430035e-01
        11   -2.2633624667e+02    5.1244702272e+04   -3.7753897948e+02    1.5120273281e+02    1.7949463447e+02   -5.7989483542e+02    2.2861221479e+01    7.9983000000e+04    1.0500630250e+02    9.6174331045e-01
        12   -2.2634163651e+02    5.1246873742e+04   -3.7817299845e+02    1.5183136194e+02    1.7962311667e+02   -5.8087894731e+02    2.3082832186e+01    8.0557000000e+04    1.0680818640e+02    9.6183401878e-01
        13   -2.2637399257e+02    5.1264561028e+04   -3.7796272416e+02    1.5158873159e+02    1.7951119713e+02   -5.8058929138e+02    2.3115370088e+01    8.1411000000e+04    1.0598909555e+02    9.6138390532e-01
        14   -2.2634543839e+02    5.1248069188e+04   -3.7820041390e+02    1.5185497551e+02    1.7956435847e+02   -5.8088567713e+02    2.3120904758e+01    8.1486000000e+04    1.0606450798e+02    9.6196265043e-01
        15   -2.2635618129e+02    5.1254274417e+04   -3.7779985664e+02    1.5144367535e+02    1.7949667963e+02   -5.8048018614e+02    2.3183649875e+01    8.2348000000e+04    1.3332830933e+02    9.6190109221e-01
        16   -2.2634727242e+02    5.1249168787e+04   -3.7789659942e+02    1.5154932701e+02    1.7926629901e+02   -5.8018295194e+02    2.3020053512e+01    8.2008000000e+04    1.1934270726e+02    9.6163725443e-01
        17   -2.2637361145e+02    5.1261402803e+04   -3.7827613941e+02    1.5190252797e+02    1.7967288148e+02   -5.8128032964e+02    2.3331308744e+01    8.1981000000e+04    1.1983425068e+02    9.6147823187e-01
        18   -2.2631570542e+02    5.1235992087e+04   -3.7824888656e+02    1.5193318114e+02    1.7991439289e+02   -5.8114543062e+02    2.2982151171e+01    8.2214000000e+04    1.2487435560e+02    9.6155047358e-01
        19   -2.2632827932e+02    5.1240436916e+04   -3.7846312962e+02    1.5213485030e+02    1.7983840976e+02   -5.8129460421e+02    2.2993064831e+01    8.2177000000e+04    1.2179488343e+02    9.6182757287e-01
        20   -2.2633280610e+02    5.1242515194e+04   -3.7844281201e+02    1.5211000591e+02    1.7966392791e+02   -5.8134603529e+02    2.3239295383e+01    8.3549000000e+04    1.4086186101e+02    9.6173567882e-01
        21   -2.2634467730e+02    5.1248578997e+04   -3.7760848446e+02    1.5126380716e+02    1.7941502617e+02   -5.7985220691e+02    2.2828696284e+01    8.3546000000e+04    1.4248651729e+02    9.6200167876e-01
        22   -2.2635955920e+02    5.1255081224e+04   -3.7888667514e+02    1.5252711595e+02    1.7977406616e+02   -5.8180993183e+02    2.3149190526e+01    8.3124000000e+04    1.4126831833e+02    9.6161163649e-01
        23   -2.2635051194e+02    5.1250409125e+04   -3.7921390724e+02    1.5286339529e+02    1.8020136326e+02   -5.8249271365e+02    2.3077443150e+01    8.2404000000e+04    1.3091426540e+02    9.6164576576e-01
        24   -2.2632808263e+02    5.1240043537e+04   -3.7880710628e+02    1.5247902364e+02    1.8031873558e+02   -5.8227416363e+02    2.3148321777e+01    8.0767000000e+04    1.1147784678e+02    9.6156046648e-01
