# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.2644757604e+02    1.3967600010e+01    4.0640000000e+03    4.0610000000e+03    0.0000000000e+00   -2.2633370004e+02    9.7007861059e-01    9.8818025117e-01
         1   -2.2635486464e+02    1.6302979800e+01    4.0929256513e+03    4.0610000000e+03    0.0000000000e+00   -2.2487894055e+02    9.7116649405e-01    9.8522531396e-01
         2   -2.2637343269e+02    1.5549172158e+01    4.0958408336e+03    4.0770000000e+03    2.0703125000e-01   -2.2542497186e+02    9.7107209014e-01    9.9607554574e-01
         3   -2.2634626684e+02    1.4938927095e+01    4.0953072281e+03    4.0860000000e+03    9.3750000000e-02   -2.2588455443e+02    9.7245929684e-01    9.9339207048e-01
         4   -2.2630813123e+02    1.7430389041e+01    4.0956085308e+03    4.0970000000e+03    1.3281250000e-01   -2.2639508901e+02    9.7149251530e-01    9.9292164999e-01
         5   -2.2631243875e+02    1.8150898555e+01    4.0961749760e+03    4.0900000000e+03    1.0937500000e-01   -2.2601494770e+02    9.7096419602e-01    9.9633251834e-01
         6   -2.2644734767e+02    1.5621688197e+01    4.0972823620e+03    4.0980000000e+03    8.5937500000e-02   -2.2641007117e+02    9.7045908526e-01    9.9438750610e-01
         7   -2.2640693295e+02    1.5247250631e+01    4.0954354734e+03    4.0930000000e+03    8.2031250000e-02   -2.2630080962e+02    9.7039309720e-01    9.9609088688e-01
         8   -2.2632850234e+02    1.6448813935e+01    4.0952802698e+03    4.1000000000e+03    8.5937500000e-02   -2.2660215014e+02    9.7030326656e-01    9.9341463415e-01
         9   -2.2627223103e+02    1.7414889160e+01    4.0956021608e+03    4.0980000000e+03    9.7656250000e-02   -2.2642613476e+02    9.7197722168e-01    9.9316739873e-01
        10   -2.2635669796e+02    1.6873086583e+01    4.0968090904e+03    4.0890000000e+03    9.7656250000e-02   -2.2593014176e+02    9.7229005933e-01    9.9633162142e-01
        11   -2.2631911870e+02    1.7166569033e+01    4.1002374241e+03    4.0990000000e+03    7.8125000000e-02   -2.2627296319e+02    9.7099578778e-01    9.9560868505e-01
        12   -2.2638115490e+02    1.6356250595e+01    4.1036019538e+03    4.1030000000e+03    7.8125000000e-02   -2.2631617202e+02    9.7096587471e-01    9.9366317329e-01
        13   -2.2629987684e+02    1.9156544813e+01    4.1002831795e+03    4.1000000000e+03    8.9843750000e-02   -2.2631699198e+02    9.7258826142e-01    9.9414634146e-01
