#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.4507959621e+02    2.1050408770e+04   -2.3491180557e+02    8.9832209361e+01    1.1025756339e+02   -3.6205878925e+02    1.6889420286e+01    4.0956700000e+05    1.7423699219e+00    9.7469744768e-01
         1   -1.4508618113e+02    2.1052369981e+04   -2.3471136410e+02    8.9625182967e+01    1.1027687729e+02   -3.6187424369e+02    1.6886002307e+01    4.0944100000e+05    1.7719218547e+00    9.7474796244e-01
         2   -1.4508073663e+02    2.1050690133e+04   -2.3467407822e+02    8.9593341592e+01    1.1027077695e+02   -3.6185308028e+02    1.6908225119e+01    4.0794200000e+05    1.8268751574e+00    9.7481853593e-01
         3   -1.4508807929e+02    2.1052838954e+04   -2.3483663286e+02    8.9748553567e+01    1.1023282390e+02   -3.6202612261e+02    1.6956665853e+01    4.0661500000e+05    1.4356191254e+00    9.7470440425e-01
         4   -1.4508716001e+02    2.1052611402e+04   -2.3488774271e+02    8.9800582692e+01    1.1027960924e+02   -3.6206858786e+02    1.6901235912e+01    4.1150400000e+05    1.6212068165e+00    9.7468992582e-01
         5   -1.4508063647e+02    2.1050633067e+04   -2.3467157358e+02    8.9590937108e+01    1.1014376558e+02   -3.6161033979e+02    1.6795000623e+01    4.1266500000e+05    1.5876160006e+00    9.7471458365e-01
         6   -1.4508207363e+02    2.1051020377e+04   -2.3450670684e+02    8.9424633209e+01    1.1009046242e+02   -3.6144320513e+02    1.6846035870e+01    4.1284700000e+05    1.6389232143e+00    9.7473408164e-01
         7   -1.4508120052e+02    2.1050783850e+04   -2.3447052584e+02    8.9389325320e+01    1.1008423961e+02   -3.6141460767e+02    1.6859842224e+01    4.0665200000e+05    1.4036280143e+00    9.7481472341e-01
         8   -1.4508268813e+02    2.1051284789e+04   -2.3461176076e+02    8.9529072629e+01    1.1017128993e+02   -3.6158689186e+02    1.6803841172e+01    4.0685200000e+05    1.4321579121e+00    9.7468202602e-01
         9   -1.4509511551e+02    2.1054904841e+04   -2.3483649835e+02    8.9741382834e+01    1.1019073854e+02   -3.6201393249e+02    1.6986695603e+01    4.0502300000e+05    1.3802637772e+00    9.7478637722e-01
        10   -1.4508555641e+02    2.1052103058e+04   -2.3500542122e+02    8.9919864809e+01    1.1039790129e+02   -3.6240387130e+02    1.7000548791e+01    4.0864600000e+05    1.5081628186e+00    9.7457920348e-01
        11   -1.4509256080e+02    2.1054140959e+04   -2.3493947139e+02    8.9846910589e+01    1.1041332093e+02   -3.6220112533e+02    1.6848333007e+01    4.0874200000e+05    1.5268383962e+00    9.7471032086e-01
        12   -1.4507665149e+02    2.1049571030e+04   -2.3505548353e+02    8.9978832034e+01    1.1037335740e+02   -3.6222308572e+02    1.6794244791e+01    4.0284900000e+05    1.3930133136e+00    9.7461377802e-01
        13   -1.4508072469e+02    2.1050695911e+04   -2.3464203550e+02    8.9561310815e+01    1.1014413846e+02   -3.6168973311e+02    1.6903559146e+01    4.0556900000e+05    1.4563471372e+00    9.7472427572e-01
        14   -1.4508531125e+02    2.1052037397e+04   -2.3487286008e+02    8.9787548834e+01    1.1038062047e+02   -3.6211226677e+02    1.6858786219e+01    4.0703700000e+05    1.4632570003e+00    9.7469688218e-01
        15   -1.4508014332e+02    2.1050521885e+04   -2.3482677743e+02    8.9746634115e+01    1.1037797338e+02   -3.6216984746e+02    1.6965096643e+01    4.0965300000e+05    1.4924346730e+00    9.7462053454e-01
        16   -1.4508470187e+02    2.1051866142e+04   -2.3505476623e+02    8.9970064354e+01    1.1044666705e+02   -3.6238921528e+02    1.6887782004e+01    4.0915000000e+05    1.6511733807e+00    9.7465894211e-01
        17   -1.4508074964e+02    2.1050761654e+04   -2.3493099234e+02    8.9850242701e+01    1.1026676015e+02   -3.6197033681e+02    1.6772584321e+01    4.1058300000e+05    1.5769816225e+00    9.7465977602e-01
        18   -1.4508993468e+02    2.1053378749e+04   -2.3480412472e+02    8.9714190044e+01    1.1022307612e+02   -3.6185376683e+02    1.6826565983e+01    4.1051200000e+05    1.5331111958e+00    9.7471312267e-01
        19   -1.4508199724e+02    2.1051038781e+04   -2.3495835327e+02    8.9876356036e+01    1.1043894105e+02   -3.6231885018e+02    1.6921555854e+01    4.1060100000e+05    1.5413963534e+00    9.7459328622e-01
        20   -1.4508247577e+02    2.1051175821e+04   -2.3523570995e+02    9.0153234178e+01    1.1065393214e+02   -3.6281773891e+02    1.6928096823e+01    4.1302600000e+05    1.6085115790e+00    9.7459521441e-01
        21   -1.4507838742e+02    2.1050070507e+04   -2.3495806353e+02    8.9879676104e+01    1.1048356582e+02   -3.6225858486e+02    1.6816955513e+01    4.0774200000e+05    1.4143412183e+00    9.7463158944e-01
        22   -1.4508264677e+02    2.1051288191e+04   -2.3503744184e+02    8.9954795068e+01    1.1041146638e+02   -3.6231962332e+02    1.6870715098e+01    4.1406600000e+05    1.6526022642e+00    9.7457609894e-01
        23   -1.4507542678e+02    2.1049159042e+04   -2.3491812996e+02    8.9842703179e+01    1.1040929732e+02   -3.6216806234e+02    1.6840635060e+01    4.1352100000e+05    1.6656461142e+00    9.7466282935e-01
        24   -1.4509026671e+02    2.1053430611e+04   -2.3491508642e+02    8.9824819704e+01    1.1040303361e+02   -3.6219717460e+02    1.6879054576e+01    4.1085000000e+05    1.5843682301e+00    9.7460242303e-01
        25   -1.4508163256e+02    2.1050975532e+04   -2.3492623645e+02    8.9844603889e+01    1.1029114395e+02   -3.6206193114e+02    1.6844550746e+01    4.0673000000e+05    1.3867370507e+00    9.7466597322e-01
        26   -1.4508626759e+02    2.1052332759e+04   -2.3506774882e+02    8.9981481236e+01    1.1039582236e+02   -3.6238122831e+02    1.6917657128e+01    4.1054000000e+05    1.5373608063e+00    9.7468913539e-01
