#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -5.8073267274e+01    3.3732366208e+03   -8.4800026423e+01    2.6726759149e+01    3.9003698205e+01   -1.3305559744e+02    9.2518728119e+00    1.0240000000e+03    2.6185878087e-03    6.2247721354e-01
         1   -5.8030534075e+01    3.3684061016e+03   -8.4457355567e+01    2.6426821492e+01    3.8878068858e+01   -1.3319842220e+02    9.8629977707e+00    1.0240000000e+03    2.4952783715e-03    6.1764322917e-01
         2   -5.7996995113e+01    3.3647136295e+03   -8.4299351524e+01    2.6302356412e+01    3.8957249532e+01   -1.3239027218e+02    9.1336711192e+00    1.0240000000e+03    2.4625416845e-03    6.2309570312e-01
         3   -5.8005866350e+01    3.3658844047e+03   -8.4361639389e+01    2.6355773039e+01    3.8813411979e+01   -1.3220857104e+02    9.0335196695e+00    1.0240000000e+03    2.4637123570e-03    6.2542317708e-01
         4   -5.7976961140e+01    3.3621832862e+03   -8.4114735519e+01    2.6137774379e+01    3.9205059140e+01   -1.3256557229e+02    9.2457776320e+00    1.0240000000e+03    2.4603628553e-03    6.2408854167e-01
         5   -5.8051551275e+01    3.3707901930e+03   -8.4286498505e+01    2.6234947230e+01    3.9195584998e+01   -1.3270804646e+02    9.2259629588e+00    1.0240000000e+03    2.4559937883e-03    6.2496744792e-01
         6   -5.8084780153e+01    3.3753675392e+03   -8.4307469244e+01    2.6222689091e+01    3.8997463957e+01   -1.3221434454e+02    8.9094113338e+00    1.0240000000e+03    2.4449129123e-03    6.2550455729e-01
         7   -5.8019929092e+01    3.3671816577e+03   -8.4441385162e+01    2.6421456070e+01    3.8966782064e+01   -1.3271099034e+02    9.3028231142e+00    1.0240000000e+03    2.4366460275e-03    6.2016601562e-01
         8   -5.7988840872e+01    3.3634063294e+03   -8.4249333375e+01    2.6260492503e+01    3.9103142032e+01   -1.3243748026e+02    9.0850048499e+00    1.0240000000e+03    2.4522361346e-03    6.2636718750e-01
         9   -5.8063176709e+01    3.3720808179e+03   -8.4309507495e+01    2.6246330785e+01    3.8868707125e+01   -1.3264072626e+02    9.4625116409e+00    1.0240000000e+03    2.4409573525e-03    6.2430013021e-01
        10   -5.7996038141e+01    3.3641184364e+03   -8.3934456712e+01    2.5938418571e+01    3.9015843585e+01   -1.3273042162e+02    9.7801213221e+00    1.0240000000e+03    2.4349831510e-03    6.2067057292e-01
        11   -5.8025831874e+01    3.3676661869e+03   -8.3873557830e+01    2.5847725957e+01    3.8900170850e+01   -1.3215049489e+02    9.3767662050e+00    1.0240000000e+03    2.4292506278e-03    6.2263997396e-01
        12   -5.7997383220e+01    3.3644992984e+03   -8.4357750511e+01    2.6360367291e+01    3.9053315938e+01   -1.3305112411e+02    9.6400576574e+00    1.0240000000e+03    2.4305484258e-03    6.2080078125e-01
        13   -5.8058840639e+01    3.3715484824e+03   -8.4533292954e+01    2.6474452315e+01    3.9154685756e+01   -1.3314181390e+02    9.4538351897e+00    1.0240000000e+03    2.4300336372e-03    6.2436523437e-01
        14   -5.8018669525e+01    3.3668678399e+03   -8.4309674827e+01    2.6291005302e+01    3.9242010507e+01   -1.3265102722e+02    9.0993418863e+00    1.0240000000e+03    2.4259341881e-03    6.1997070312e-01
        15   -5.8004776791e+01    3.3653688412e+03   -8.4729729764e+01    2.6724952972e+01    3.9274224997e+01   -1.3378242983e+02    9.7784750704e+00    1.0240000000e+03    2.4274743628e-03    6.2332356771e-01
