#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -7.1312189496e+01    5.0865588179e+03   -1.0605930543e+02    3.4747115936e+01    4.9575792719e+01   -1.6797463405e+02    1.2339535899e+01    2.0480000000e+03    5.5070715025e-03    5.9778395433e-01
         1   -7.1319558702e+01    5.0875655975e+03   -1.0611030544e+02    3.4790746741e+01    4.9793480082e+01   -1.6774567046e+02    1.1841884935e+01    2.0480000000e+03    5.3512775339e-03    5.9752103365e-01
         2   -7.1320251867e+01    5.0877146272e+03   -1.0651693664e+02    3.5196684771e+01    4.9867746158e+01   -1.6800491358e+02    1.1620230783e+01    2.0480000000e+03    5.3271523211e-03    5.9927884615e-01
         3   -7.1349795543e+01    5.0918680799e+03   -1.0673503786e+02    3.5385242315e+01    4.9703447302e+01   -1.6810323568e+02    1.1664750523e+01    2.0480000000e+03    5.3257879335e-03    5.9800180288e-01
         4   -7.1341728943e+01    5.0905876625e+03   -1.0637828890e+02    3.5036559956e+01    4.9709966354e+01   -1.6787317430e+02    1.1784919046e+01    2.0480000000e+03    5.2765954752e-03    5.9531250000e-01
         5   -7.1305111269e+01    5.0855031237e+03   -1.0619794466e+02    3.4892833394e+01    4.9870047829e+01   -1.6840034727e+02    1.2332354782e+01    2.0480000000e+03    5.2968433592e-03    5.9599609375e-01
         6   -7.1353469971e+01    5.0924170411e+03   -1.0641976694e+02    3.5066296973e+01    4.9786508451e+01   -1.6805853467e+02    1.1852259279e+01    2.0480000000e+03    5.2539368626e-03    5.9577073317e-01
         7   -7.1314967045e+01    5.0869047208e+03   -1.0621507963e+02    3.4900112585e+01    4.9530088756e+01   -1.6705948213e+02    1.1314313743e+01    2.0480000000e+03    5.2681514062e-03    5.9677734375e-01
         8   -7.1326726086e+01    5.0886381000e+03   -1.0562845663e+02    3.4301730549e+01    4.9543997204e+01   -1.6739948668e+02    1.2227032838e+01    2.0480000000e+03    5.2549813408e-03    5.9786658654e-01
         9   -7.1283141037e+01    5.0822743634e+03   -1.0679792900e+02    3.5514787963e+01    4.9788189056e+01   -1.6858981164e+02    1.2003693578e+01    2.0480000000e+03    5.2462723106e-03    5.9850510817e-01
        10   -7.1343316535e+01    5.0908431801e+03   -1.0625024965e+02    3.4906933115e+01    4.9823963285e+01   -1.6774890343e+02    1.1674690499e+01    2.0480000000e+03    5.2347509190e-03    5.9652193510e-01
        11   -7.1355596381e+01    5.0927217825e+03   -1.0636858338e+02    3.5012986997e+01    4.9750300440e+01   -1.6763759202e+02    1.1518708202e+01    2.0480000000e+03    5.2394005470e-03    5.9775390625e-01
        12   -7.1311607505e+01    5.0863251814e+03   -1.0674012458e+02    3.5428517077e+01    4.9963770839e+01   -1.6847331240e+02    1.1769416984e+01    2.0480000000e+03    5.2093227860e-03    5.9556039663e-01
        13   -7.1336052812e+01    5.0897804600e+03   -1.0701528130e+02    3.5679228490e+01    4.9894801151e+01   -1.6874405392e+02    1.1833971471e+01    2.0480000000e+03    5.2404820453e-03    5.9855769231e-01
        14   -7.1348180895e+01    5.0914856941e+03   -1.0701800092e+02    3.5669820028e+01    4.9985448936e+01   -1.6907222041e+02    1.2068770556e+01    2.0480000000e+03    5.2458262071e-03    5.9526742788e-01
        15   -7.1382415680e+01    5.0963850539e+03   -1.0720833688e+02    3.5825921203e+01    4.9943274014e+01   -1.6850172503e+02    1.1350114136e+01    2.0480000000e+03    5.2467007190e-03    5.9666466346e-01
        16   -7.1344638875e+01    5.0910203152e+03   -1.0672219905e+02    3.5377560171e+01    4.9863872753e+01   -1.6825731494e+02    1.1671243144e+01    2.0480000000e+03    5.2589285187e-03    5.9827974760e-01
        17   -7.1350460938e+01    5.0919900560e+03   -1.0645213872e+02    3.5101677784e+01    4.9699339709e+01   -1.6776817851e+02    1.1616700077e+01    2.0480000000e+03    5.2436052356e-03    5.9715294471e-01
